CH GAN,R1684314
BR PQE,R303656
BE DOI,R1604184
FR ICN,N2627386124
ZA KEW,W42873228
US UPQ,R181876
AL NPP,R1250602
FR EV3,R1328857
IT XNN,R40759
DE SNE,R1184254
US BWN,R182917
HR ZLR,R12994575
US GWS,R112255
RU PWE,W146464842
VE SAT,N2511061173
CA ZSP,R7706455
NO BKK,N3298358328
ES SNA,N1241865395
DE SPU,R958967
US CQR,R182946
FR TFL,R35735
TZ KUR,R6000987
ES SLU,N3971340667
BR MSI,R314612
FR ADV,R9402080
DE ABO,R5931511
US YL2,N158228326
US ZC2,R13598578
US WRL,R252105
DE NBT,R1307668
FR IBU,R975590
US OLN,R2387633
BW GBE,N30670040
US IL2,R195050
ES PLM,N9947901300
US GXA,W33612597
JP HTS,N6751629455
CA SAP,R8110658
PG TLP,N6466122906
FR NNB,R164867
US DC7,W33124521
MX SIO,N5364485681
DE BHD,R1245060
NL WTE,R2649200
ES RMO,R346147
US CK8,N154197502
US ATI,R14988997
BG PVM,R1955799
BR PYP,R362175
IT VC9,R43215
BR CGG,R334623
PG BRH,N2523366848
ZA BNN,N262719384
DE FRG,R30005
US RHO,N158264300
DE VFG,R1252767
HU HIS,R1280975
US NAK,R1865757
FR AFU,R3258433
CN KAH,R3278463
US AY2,R193836
DE WOK,R1152713
US 8AE,N151847610
SO BXX,N1404233007
US EHS,R198897
ES NZ3,R340120
US I95,R129292
GB CDM,R2994248
FR PRM,R139886
FR MP8,R2548784
NO OSY,R10143402
US 9FI,R12221690
US GD7,N151739619
IT VOI,R45911
HU VTL,R1027782
FR OSA,R88683
FR CRC,R1019730
FR BO6,N400915330
CA YZW,R9561197
US DBB,R187617
IT STX,R42022
MX SAV,N1043929298
DE GAF,R2983329
BG HRM,R1947833
US MN3,R197174
GB KKS,N268429112
GL THU,N2051281114
US BHY,R140721
GB BYR,N270995917
NO DRK,W228163682
US BNJ,N158303046
CH LNA,R1682525
BR BVU,R301326
LU BIW,R532144
BR CMY,R334473
LK HDL,N6569450050
US TT4,R128676
DE 8BG,N86155011
SE HAA,R935579
IT CDR,R45852
GB TNN,R1629153
US RHI,R251816
US ZOR,R117981
BE PWZ,R2163651
DZ QBP,R4486894
AO MAL,W352835608
US ADR,R194075
NL MEB,R2721327
BR YCM,R297864
DE 54M,R1469272
IN SJN,N572231982
US QMV,R170651
IT MZ5,R44555
DE PUB,R1437551
CA POR,R12126652
CA BNO,N51971418
US 8DG,R12189696
IQ ABL,N599019138
DE GBO,R1451576
US KL7,N141036849
IT TEL,R45475
IT SYD,R43875
PL G8N,R2880619
US CQ4,R127241
MK PTR,R6953762
FR ESG,R109476
FR FUN,R1820692
US YWR,N158655294
ES VFA,R348834
US OOM,R9209752
PT CMM,R5404219
DE ZJJ,R936793
DE 2AI,R1286652
FR BHI,R184466
FR DU7,R108634
US HD7,N153690630
IT AFF,R45303
FR HNZ,R164939
ES MZZ,R346598
US B88,N153887407
FR PF7,R1226870
FR NFJ,R148818
FR LZM,R3090603
BE LNX,R2436183
DE KOE,R964463
US KSP,R175715
US 8LL,R126309
DE KUH,R443953
US FTN,R179710
BE SDI,R6251544
ES CZA,R344569
HR KAT,R16030743
FR RO3,R2694704
US ZKF,R3389755
CA OPE,R2922722
FI VAT,R34920
US NM5,R128646
ID KPS,N1308662909
AT SVV,N240066922
GB SPD,R2399707
DE RGU,R147275
IT LDE,N274678861
IT AI7,R42464
US BHS,R182125
AU SAR,R2451382
FR F9S,R161144
BR PPB,R302587
GB CWL,R6148042
JP KMA,N8571553939
FR NNZ,R124401
FR TKJ,R18419
GB YEO,R2877321
DE KHS,R935265
FR QQI,R1279412
NL GOJ,R300156
BR RAR,R301380
DE ETT,R659839
DE JSH,R964236
ES TDO,R348000
IT ONA,R40369
US IKB,R180255
FR BTB,R907040
HT JEE,R390550
SE BVN,N1867977532
FR BIS,R163809
US P4K,R182098
GE ZAK,R5997314
AU SGY,R2410222
IT ASO,R46014
FI YLA,N274718074
TR GZR,N1693095126
FR LHM,R173336
CR GUA,N1296484227
SE SUV,N132458573
US GBN,R110801
ES SAS,R340990
US W6M,R130527
AT TBL,R444102
US XIQ,N158312779
CZ MK3,R441344
DK AYB,N2242031830
BR MBC,R303881
FR 3LP,R107491
US FU5,N157605099
AU ARM,R6063353
DE SIR,R5684766
BE SBU,N1691683781
US F3C,R251848
US MK2,W33033767
MT HHF,N599173884
FR BBF,R947758
JP MAK,N8485107678
BR CCL,R325872
DE NTR,R533257
RO DSI,R9744249
GB GUW,N2904801522
US QAZ,R182916
US QT2,N150951528
FR VRX,R383294
FR BZY,R2080103
PT GHB,R5989549
FR RCY,R896173
IT VAI,R44814
GY NAI,N373016459
ES LXC,R343184
TR EBN,R1341120
IT LSO,R45467
FR YLO,R2069762
BR CPK,R314737
IN PUK,R9094422
NL ZVG,R1373035
KE EYS,W1169446759
CA HCT,R7351894
FR NBU,R92954
US XIA,R130250
NO FLR,N258770049
US BIH,R11062336
BE KHI,R4569
IE EYV,R6984696
IT SSP,R43170
ZA WYN,R2047366
FR NPS,R233498
FR USO,R386631
FR LNA,R55831
AT KDO,R104467
US VET,R182240
IT MUT,N298329396
CZ MYE,R440891
ES PZY,R341131
ES ZSN,R340636
US H4D,N153384376
DK HPN,W106954934
BE LNE,N683081898
FR IGU,R1571067
GR SAA,N364235283
US RUJ,R1114671
BR SOG,R325863
US H2R,R127598
IT RBE,R43249
CO LRI,N310195666
NL NAA,R162384
ES MCP,R348227
BR AUO,R314958
IT ERC,R40788
DE NAD,R2179198
GB ITN,R3328261
PL NNP,R2924824
US PZS,R8052623
PL RWO,R9752126
IT LET,R44639
US NJK,N141045408
US SFZ,R7686760
CH VAD,N240120099
DE NLG,R1748612
FR SJD,R128281
CH SNN,R1683100
BR ABI,R298452
IQ AMA,N248700950
SK PZA,R1557489
AR TDL,R3399642
FR CFD,R102562
HU ZSI,R1458350
ES TG2,R346543
AT GWF,R106257
ES LIU,R344940
SE ARL,N55079611
LI SCH,N240060684
IT NRD,R40335
DE NWK,R959640
US QGF,R130464
CL ELQ,R296843
FR VWB,R535224
US O3T,R13613122
US OGF,R137610
US BQV,N158278074
NL SPC,R161402
TR KIC,R1758898
FR MHA,R168022
DE RIB,N415798859
US 6NT,N154188941
BR AFG,R334459
CH SFR,R1682642
ES ZGN,N1487396545
HU GSA,R1440629
BR BDI,R336811
CL CHL,R1767500
IT ZQH,R42690
OM TTH,N1720597818
FR BG4,R179318
GB LWI,R1875253
US UNT,R126809
CA FYT,N927612414
FI NAU,R2374242
DK GDB,N104925473
MZ MZQ,N3525041405
TR TUR,R11769445
FR HME,R286830
FI INI,R10804567
PG WTP,N7791321221
US YHS,R1844171
TD AMC,N322037986
US QIM,R109854
AT HRS,R103114
CN XPI,R3221016
US GFM,N151846087
DE GUX,R452207
DE KFU,N321776462
PL PLI,R2838652
IT PEL,N1773198626
PK CCE,R16108359
US HZC,R181710
US ZFP,N158646760
US KDR,R121431
US CDB,W32974755
ES CTM,R340378
AT SWB,R3794293
US RBM,R115300
BA BAA,R2528173
ES CIO,R343799
CL GIO,N214197643
ES JUA,N4863437584
IT CUB,R42412
US H9M,N154299560
GT SFR,R4558860
PA CHI,R11480533
IT BRO,R45098
CZ MAR,R424845
US HNI,R121351
FR VCJ,R83818
FR MQP,R74317
BE MTE,R2219471
PA PIS,N9943985796
IT VOL,R43850
FR P7O,R3084845
AT JEN,R83101
ES CRD,R346442
ES CUD,R339786
BR PMO,R298271
FR DIA,R113068
DE DCE,R1378227
VE SFX,R8814334
BR ESI,R315326
TZ ZNZ,N3320526612
DE 66S,R176737
ES LL3,R12672566
BR TLG,R334044
MX JAA,N472257847
ES ENR,N362876554
DE 4AL,R1318343
HR MVN,N87265200
RO PSE,R14701134
FR IZF,R89393
MY BAT,N254074228
US MDS,R119580
US 5SV,R121196
ES AGI,R11909587
DK RRV,N30911600
DE HYZ,N240051276
CA BLA,R7703991
ES CQU,R339689
NL BMS,R2713014
FR AC2,R136451
FI FAD,N260473437
FR VCT,R73941
CH CHY,R1685293
FR N33,R963195
IT NEM,R45913
PY YPE,R6601486
RO SBA,R10698044
UA HDK,R3964175
BR STQ,R314735
CA CCH,R3303764
US BG2,R251412
RO OBE,R10715447
GB BMD,N309776226
IL PEH,N278473040
DE ORD,R374247
NL SRK,R1883614
DE UDF,R79594
LK NAW,N250781785
BR GMR,R297590
US SPL,R110149
IT PNN,N265068425
DE ABN,R148072
US BSO,R197391
HU MKN,R575123
BR NLS,R303890
US JCA,R8897011
GB SYA,R6626278
SE HOO,R935450
US E8T,N158336281
SE GKV,N821457090
US HV7,N158494533
AU OTR,R10586166
AU RES,R2386843
IT DLE,R44649
RU AXZ,R2664008
FR TND,R1125786
LV LM8,N574816719
IT TBE,R296198
FR OKE,R102523
CZ HTV,R440359
US MGE,R119641
US YDX,R903151
IT MGI,R44742
DE NBM,N415566462
ES BIG,R344417
DE HNQ,R1161863
ES TDA,N349248584
DE 53D,R1473804
HR NVM,N380538884
SE VED,N179691236
US MFK,R1844177
US KT5,R102099
US GLT,R133737
US JHA,R126792
PL STR,R2925966
US ZPT,N157556102
US IV4,R180353
GB GND,W262398336
ES GLV,R341915
DE SAT,R90874
US XKF,R237646
US WSN,N150918590
BE LES,R1924183
CZ DEK,R437224
PL OXF,R2696479
US PFC,R186835
FR U6Y,R135764
FR BYX,R145776
IT BOI,R179172
BR QTS,R2217377
JP AXZ,R2689444
IT VA8,R46850
CZ KOA,R438448
AT KSP,R105572
FI VTV,N30969826
IN NYG,N2275459369
FR RYQ,R161303
FR CHQ,R1146940
DE AFB,R405290
US SML,N158625731
PK HFD,R16108323
US VBT,R129981
JP KKK,N8447946566
SE SZI,N2235001454
FR VIB,R88115
DE 5AY,R2831105
US BJG,N151510839
US GJZ,R13584311
US CUR,R186697
PE CRZ,R1944707
BE EET,R11760834
CZ VSV,N1599257994
GH EJU,N1901518630
AU GUL,R6074534
US JOL,R194174
BR JCM,R301202
US AL5,N153671367
US WZM,R2021560
FR AGN,R392513
BR PCE,R298418
US VVY,R130903
FR ROQ,R38316
DE HTF,R933534
GB HHI,N41045184
BR DFO,R242363
GB WWV,R7592349
FR VU2,R2980063
US SMR,R182634
RU TRK,R10926397
MG MJA,N1348423038
BR DAU,R303826
US S7P,N154094376
ES VVG,R348851
FR S7T,R2869305
AU WEW,R5793572
CA GWY,R2408845
US VGP,R129579
AT KUC,R86342
PL PUL,R2962050
DE BIX,N162791292
FR CBQ,R111323
CA LWP,R2858413
US PUK,N151456753
DE B9O,N410093908
AU BEW,R11675249
FR SD8,R187032
BR CMR,R362463
US ED9,N158859217
US UZM,R119979
US PM7,N158814977
BY BER,R5599322
MX SIJ,N1486008842
NL NTO,R163030
FI PAO,R2270669
US 4AR,N157640588
US BXI,R237959
BE WLN,N684372432
IT FVO,R43703
BR IUN,R1829623
AT PLA,N119767395
KE WJR,W412741634
ES KLG,R342271
NO RLN,R406127
GB NAZ,R3189929
BE GRI,N684372430
BR MHT,R302816
FR IAG,R71244
FR CKR,R570124
FI LAU,N3292507390
PL NEG,R2872127
US FWQ,R191197
PL REZ,R9267025
DE RIK,R349451
FI SLU,R2525699
US NMX,R6605107
TT MTS,N1824462552
SK 6SK,R2384767
FR 3NY,R1424216
FR EC9,R2761510
FR VGE,R2348321
UA IRP,R11092577
TR GTA,N6263066077
US SR4,R1217250
US VAB,R206670
SE STN,N256223073
BE MGL,R11203783
AU MLS,R11676806
US EGD,R10838575
FR QPX,R1106382
FR FG3,R233582
AU W7W,R3108811
UA KHU,N265058149
GB BHN,R7727019
IT FEO,R45092
FR P9I,R276810
DE 3BA,R898199
DE 58I,R423190
FR CAS,R135627
FR NNS,R54713
NO GJS,R405827
BR OTO,R315391
NL EDM,R289463
BG DNJ,R13477497
SE HRA,N308055126
ES ARC,R345122
US S3C,R182088
FR LTQ,R2095264
ET HOG,N1150890024
US HJQ,N150956474
ES CSM,R348827
DE GOS,R1421453
FR PSC,R124614
ES MJC,R345097
EG ABS,N2726682865
US S9N,N157585148
US WQC,N150964314
IN SAL,N2075911963
CA YWL,R2222268
FR AUK,N965996273
DE FKN,N109054421
AU WIN,R11676713
BR SYT,R362274
NL SML,R400954
US DBZ,N151463512
NL NSC,R1434035
US CXH,R4011844
IT P2Z,N3924006293
JP HKN,R4567447
GB PEX,R4778363
MY LUM,N254073468
LU HLZ,R1718938
RU BUZ,R1540277
BR PKR,R314950
RU IAA,R4605228
US UYU,R9691948
CN DNT,R5670792
US LY3,R119939
DE WZB,R2179230
US KFL,W1017984546
IT PTV,N4737317833
CZ 3LZ,R440889
SN FOU,R12995360
DK FUG,N9098387838
NL GSB,R1380661
US LQS,R169717
AU PRD,R11690177
PT PSI,N1606560920
DE DZ5,R2404540
US R9W,R174431
DE BE9,R937894
DE BHI,R444290
US EKE,R238734
RS SOM,R1279958
BR AIK,R242538
TR CEY,R1249250
ES SUD,R342729
DE PKL,R1318329
US BJL,R117491
BR CLG,R242300
FR JJ4,R1632327
DE BO7,N248338948
GB WIO,R7600364
GB MGR,R3190324
AU AOK,R11677664
RS APT,R9202385
FR DVI,R3326873
US RKP,R6587514
ZA KKA,N262720812
FR NS4,R898752
PL GLS,R4258205
BR VEO,R315151
GB WKB,N32821899
CA PCB,R8462859
US M4A,R169569
HU UHO,R1447637
ES MTR,R345519
DE SPA,R1231960
FR EIX,R118576
IT SL6,R40984
CA WTB,R2833039
US QSK,R2021559
CH UGN,R1684565
CA RRO,N747083327
US ACF,R238061
BR MAR,R362336
IT TLV,N1852235326
US DAM,R119928
TH NKT,N372813341
UY CHY,R2608352
DE ZDS,R965010
IT DDG,R45019
CN DYA,R3411717
DE SSK,R1152710
BR FDL,R315245
TR BOR,R1269252
FR OMT,R2255881
US BAN,R180337
TR KYA,N25869814
ES SEA,R346731
BR FDO,R297688
FR DOZ,R88604
BR GEC,R297739
GB BPD,R3239355
CZ MBV,R437559
BE POP,R1561101
NZ HVN,N178456122
US 3TT,R129677
FR 446,R78679
NO BIN,R408210
FR VVH,R104177
GB BTD,R11180827
US IYM,R137288
ZA SPL,N262717614
IT SMU,R45508
ES LCF,N263734382
NL HDR,R1379477
NO RMV,N9899781566
ES VLD,R341904
CU TDZ,N1550738937
ES BOJ,R342298
DE BCN,R942047
FR GRM,R116834
BR BOA,R242412
US VLD,R119603
US DDL,R7458822
IN KCP,N256777854
PT VEL,R7430844
US HSX,R119397
DE B78,R9332041
CA REB,W977595026
ES NRG,N60278354
FR SGT,R178359
GB HGO,R5141066
DE HLN,R306358
HU POM,R216159
US CT8,R130714
US HK2,N154285087
US CTO,R175702
FR UBE,R113072
DE SCR,R966623
FR LO7,R3412904
ID NAH,W617326313
LT ZAB,R4649102
BR BWM,R303786
SE NVE,N369407689
GB LNR,R11041411
FR LHC,R1017380
AU TBH,R6043959
CA STP,R8160827
TH NSA,N114123787
CN NXI,R11591964
US HLY,R110353
CZ KSV,R440182
NO GPN,N174953661
CI DJB,R4525198
US MK4,N150938371
CZ MKA,R439458
BR PSQ,R242319
DE DG4,R1245842
AU MHO,N3198435490
AR ING,R5411160
US UBB,N150940994
JP OGO,R4008351
FR GRO,R945543
PL OXC,R2635537
US 7CI,R8898136
US CLW,R118909
AU RAE,R11689119
BR PSV,R298267
TH PYX,N278056967
RO MOT,R9716438
US TYZ,W33005588
DE WUP,R62478
IT IVR,R44971
US SGK,R113767
FR CXN,R58677
US OW9,R174436
CA SWP,R4661463
CA ABU,N973319125
US GSY,R239840
FR BV2,R1173338
CZ OEV,R442012
BR SDL,R298451
US XJF,R182486
US TTI,R170043
FR SS4,R254564
NL RDH,R2661905
NL SPK,R163550
BR RIU,R302570
CZ FNP,R439566
DK FBG,N25389641
US MY2,R15904373
US SP8,R6571685
BR TME,R298255
DE GSZ,R2265116
US ZGA,R9951519
ES OLS,R346005
IN SIO,W22826465
US BM2,N150933177
AR GLV,N198451516
CO CHG,R1423474
DE EZG,R419011
DE KGM,R335195
FR GBO,R1255560
NL MDF,R324270
FR BOW,R55157
IT EL2,R42058
DE SOH,R1245187
ES RQT,R345492
DE EMT,R1184315
JP TAY,R3653983
FR GLF,R1404114
NL RIJ,R162196
CO POC,W346992206
IT PME,R45230
US ZBO,R130756
PL PLS,R2881754
GB WBC,R6924456
FR JSC,R1319235
DE NBH,R180680
BR PZO,R298217
FR JAJ,R153419
CA LOH,R2834305
PL OLU,R2793919
FR GJG,R2699360
BR MNX,R332463
FR XBO,R2954207
SE JNA,N293430231
US SWI,R187485
FR P5L,R140819
BE LAK,R902061
DE DRB,N8995605691
CA RLY,N2650884708
FR SO7,R1920087
CN JGH,R3463956
SE SFT,R10663598
BR CGU,R298259
DE B6Z,R1245119
FR LOZ,R252614
DE UWT,N124347887
BE EPT,R1701293
US T9S,R6603662
ZA ULD,N262722327
AU PGW,R6599577
DE KBF,R454540
IT GOA,R44875
FR XXV,R2723910
FR ICP,R1950568
US YA2,R237279
PE RIJ,R1971717
FR MVY,R138424
ES JUN,R341805
DE SXU,R418999
DE EZB,R943749
JP MTD,R2679924
DE BGC,R940863
US RC2,R179903
DE 72M,R1156151
TR CTR,R1238932
FI POR,R4446212
AR SIS,R1877221
DE OGZ,R1104571
BR NIN,R298285
FI VAJ,N676469556
AU GLD,R11676673
NO AAA,N249162214
FR DVZ,R610960
FR ACT,R122784
NO UGD,N1929578664
US G2U,R131571
BR AMX,R331477
BR SBZ,R315285
US TPB,N154170253
AU VAS,R11295257
IT ZWM,R44829
DE SYK,R20680
CN DOX,R11339325
PL LDS,N692624906
CL LAL,R1656036
CZ HTE,R425788
GB AGG,N673763417
CZ SEY,R442255
CZ KZY,R439918
US QFW,N158363554
ZA UDI,N63281372
PT PLO,R5399205
IT PC5,R47328
IT CIT,R45502
FR BOY,R107966
US MQJ,R111571
US SE3,R237811
FR FCA,R144849
US OJT,R128549
DE WWI,R2806005
IT RFN,R42646
IT ISP,R39156
BE SVG,R3896698
US TXC,R113786
US GIV,R141595
FR RCL,R1376831
LT PNV,R1567531
US KHO,R134901
US IPY,R1216640
US QAK,N151538034
CH GDA,N20600198
CA EDI,N1659689862
EE NME,R353379
CA GBG,R11810506
GR LOU,N301280236
US ZPU,R242792
FR QJS,R164078
US DLH,R136669
US UYR,R2312767
BR NVR,R297837
CH LUC,R1682891
ES VDZ,R347312
CG OYO,N922284291
FR AD4,R3289338
SK ZSL,R2265042
FR HSM,R108279
GY KRG,N5371170724
