HR POP,R8820148
AR LUJ,R6930714
DE BYZ,R422921
US PUC,R198908
FR TIC,R906086
NL NSU,N1928565247
BG SBV,R1947829
BR RAT,R242609
LU CRA,N271326114
IT CBT,R44813
CA JOH,N1583464848
CL TOL,R1769297
FR PVD,R155550
FR JCN,R166806
DE REK,R162724
US NYA,R176016
JP KWS,R2689476
SE LA9,N512578563
GB AUL,N1741733467
BR SHN,R332960
MX AVD,N472257755
DE RTN,R936785
FR IXY,R157427
US HR5,N151711814
US AZX,R111121
US ILA,R134876
UA OKH,R3589658
FR NSS,R85802
BR LCA,R303789
IT CNV,R44797
CH WQL,R1684393
FR CZM,R163628
PE ANS,R1929532
US EQB,R12165784
CA HUN,R7473983
IT EEC,R41122
FR EEP,R2064750
US S6T,R198751
QA DOH,R1572224
US AS2,N158853356
AU LDH,R8975660
FR OPY,R133294
RO MGR,R9850359
ES ZJI,R347458
IN BHA,N568382432
US ZVT,R8897513
ES SEN,N592395948
DE AZH,N266006775
US PEZ,R124848
GB PBL,R6637119
EC PIF,R2673246
FR T8S,R955023
US AUC,R112875
US QS3,R119793
US R8G,R183338
FR UMR,N5614050048
CZ MYO,R440542
BS IGA,R3775740
IT IPP,R41392
BE LQA,R11130528
FR WA2,R1381769
US NKR,R3389525
US GLJ,R179797
BR LOP,R302792
FR BBS,R86282
AR CMG,R13498484
FR IAC,R154220
FR YXX,R2684132
HN CUL,N529514238
US ABB,R5881465
FR RD4,R126347
US GMH,N158859661
FR RDE,R2370146
IN CHR,N5418178954
FR CA9,N3541224817
FR ORR,R147559
FR MY5,R119319
RU ZDK,R1749490
IN BDQ,N2022807192
FR TS4,R285569
LU BCH,R569736
IT TPO,N290891177
AU IGF,R8358240
CA COB,N18354971
PT VNB,R5400348
US M5I,N153743504
AU ZBO,R11677017
FR MGP,R2036019
US GGO,N158274224
AU MRA,R11689731
US NAH,N158568989
US RMP,N150920768
CZ VNE,R438193
IT ZLI,R40569
US HAM,R170472
RS VOG,N611392459
DE HET,R2788301
DE MOW,R3087580
NL ORE,R273203
US RJZ,N157569718
US CPA,N150965864
DE ZMM,R181162
FR PBK,R158881
DE HZC,R137982
KE MUH,R15986038
BR AUM,R362353
IT CHA,N567970104
ES VRO,R343801
DE UNR,R935161
US SP9,N154313068
US UZG,R206959
NO HVG,N31264096
LB BMN,N5348907834
CA CMT,R5989288
TR DEM,R1835617
GT MOR,R4559485
US HNJ,R196019
GN KOU,N2462582628
US RSS,R119398
FR V5O,R149429
PT ADS,R5401847
NO TYF,N6185383615
RU YEK,R6564910
US OLP,N151648655
BR NBA,R242317
FR OM3,R114884
HR DJE,R12850990
IT MZO,R45143
FR ZSV,R114171
MY TUN,N1679383631
EC PAS,N249596325
GB RPY,R946732
US VCT,R6587525
FR MPS,R3347916
TR AYS,R1710801
US NBX,R113822
CZ OTI,R437611
IT AC4,R40748
FR CL9,R128197
FR OUZ,R240872
FR ERM,R76381
