PL JLW,R7690945
ES VIM,R347959
BR PLP,R185566
GB NRH,R2996155
NL LKK,R162084
CA BCN,N52553898
DE KST,N310302731
NL EEM,R2518795
DE REZ,R544321
FR YUC,R2926512
AU ROZ,R5680949
CA SSN,R7927008
BR CMB,R2215542
US OG2,R251604
JP KGO,N7964155212
PG DAU,N1645033734
CN YGK,N3824021887
US ZRB,R4294412
FR WQA,R74015
IT CNK,R42563
AT TEC,N305066028
FR LOS,R58402
US DC9,N153923614
DE HMK,R1257084
IT ICN,R43794
US VHN,R6587606
TH YAN,R3147456
IN ORS,N7147071411
AT WSG,R80228
BR DLS,R314646
CO GRD,R1350612
DE RTB,R3144489
ES ZHU,R344659
BE SNO,R2389229
CL HOR,N214214866
US FIH,R125721
NL LIO,N44415255
DE LNZ,R1289798
SE BAA,N112032928
DE SXM,R405822
DE SWJ,R452998
US GYE,R191235
FR MMF,R1540512
SE ARB,N367885859
US TVK,R3235443
UA HRK,R3154746
DE OGG,R958259
US LYN,R238062
PL MNO,R2831154
US TYC,R198766
CN YIC,R2983923
NZ RAG,N368177945
IN BLM,N1997049602
JP TGM,N8484830788
HU PTU,R1356910
CL MPI,R296839
DE GTY,R958952
GB PGI,N3724710006
FR GCC,R154027
FR SUL,R113272
RU KVO,W174730062
CH MKN,R1684375
FR OZN,R280180
BE CAL,N665093207
NO FEI,N498937811
FR HEV,R120315
US 4WM,N158236544
DE DGT,R962388
DE KLW,R447955
IT SNR,R39529
IT CCI,R45147
US FNN,R170471
AT MON,R102326
PA BFS,R10583752
IT ZFI,N296874920
DE 56L,R1467347
ES ECE,R347684
US BX4,R179758
CL PDV,N214190981
GB CDN,N267762829
CA SGR,R7704059
US YAL,R134886
BR CPJ,R315077
US ZEF,N158915251
CA BR9,N558715651
CA LAL,R7716093
NO SAC,N9869661518
NL MRK,R2722737
NL NES,R1515064
FR HM5,R117899
RS SZC,R8644356
NO MIS,N288225045
AU M2D,R2423145
BR NFU,R2215553
AD PAS,N64954437
DE MB3,R1149275
DK TKB,N1089473592
DE RUG,R941688
US VLV,R253973
TR TSD,R9289278
FR XCE,R158851
AM LWN,R7814501
US GNI,R125800
US YMI,N154362056
CL QCO,R3078364
DE GEZ,R2012731
FR CDJ,R107481
DE 77A,R271658
CA VCT,R7950486
US JWN,R182351
US SK5,R189135
BR IDF,R303874
KE SMN,W678388246
US 2DD,N151324053
PT ZVI,R3924925
US TAK,N158813935
US RLJ,R142484
DE CFZ,R1310638
US JGA,N153433952
FR S9P,R3221546
NO TNN,N5547584157
IT 4DC,R39934
FR SXA,R107704
US LES,R119895
FR HRD,R79701
SE STL,N6314049903
CA YZE,R7558762
US IAU,R176854
FR ILZ,R38261
US EGP,R4096574
AR LCM,N198455035
BR IDC,R362307
SC ANS,N765252264
DE WD8,R215985
US WIU,W67076003
FR EES,R1226706
IR DEH,R11173638
MX ETP,N458611289
ES ZFA,R347978
CO LAT,N510613386
CL SMA,R231949
US SZW,R1181613
PT SMG,R5400572
FR YEE,R1919933
NL VZH,R1419666
RO MOI,W75512372
GB CSB,R4663184
NL N8W,N43569249
GR MEL,N135519334
ES GCX,R346774
FR O22,R153791
BR SAP,R242566
PT PEA,N4037007451
GB ET2,N180307249
GB BGL,R11271165
US SVE,R112242
BR TZP,R296535
BG NLS,R3759442
BR RAP,R298135
DE DEI,N669060110
FR QRQ,R184468
US K8L,N153847271
AU LHW,R5521258
US ZWO,R141288
AU APR,R9051357
CN YNN,R2775772
GB PMB,R2403985
AZ ZAQ,W281611343
BR SZL,R298488
US PM9,R8364248
ES GAL,R342289
FR WIE,R224366
FR TS2,R74695
JP KRH,N8837224264
DE KIB,R57844
IE BYY,R6117502
US OM2,R251390
TR ANC,R10340522
IS STK,N321680260
CA YDQ,R7908931
NL OGE,R444068
RU GRA,R5350319
IT AQI,R41305
CL POZ,R1561943
US BVJ,R126096
FR BTA,R1126191
PT SGA,R6022199
FR SC8,R120686
HU KOK,R1379827
ET DSE,N281666535
FR MBQ,R107492
DE CHA,R960533
FR OU2,R1079412
FR AYP,R2783383
SV SPT,W382407784
NL HKT,R2715229
NL G7R,R2444588
US ALX,R110863
AT QWE,R111827
JP IWN,R4087831
FR LY8,R128144
PE SUR,R1944852
BR REA,R362441
CA MOS,R12006839
US UTG,R15920249
GB BCC,R4782269
SE AB5,N3173649715
FI DEG,R3337450
US TEE,N153806069
RU KER,N1240995040
FR SFH,R93875
BR UJR,R297936
FR VQL,R1204733
UG PKE,N2229124114
FR XRV,R2963005
US WMO,W32974114
US ZVX,N154136463
US CVT,R180318
US S7G,R187497
FR CE4,R2148075
AU SBN,R11677741
PA SMG,R8389079
ES ADG,R339667
US EM4,N141043039
GR AHS,N139712856
ES 2BL,R347253
DE NMB,R2407633
PL WLE,R4029373
JP UZK,N7705093757
US 9SL,N154081566
CO VUP,R13437307
FR TOM,R76080
FR L3S,R1524564
AT FXO,R110392
IT BVV,R46537
DE HNN,R1716876
DK BKP,N26559099
AU WRG,R6044379
IT BFA,R44776
SK SLB,R2276226
FR BM4,R1274096
GB WTX,R1609095
US JBB,N154370880
CO ROZ,N703512975
US B8N,R140902
FR LUO,R86972
IT ZMU,R45133
FR MIB,R78397
RU LBU,R3363182
TZ IRI,N11070723589
IT ELI,R43975
FR MPP,R75303
DE 3AD,R1451540
GB MOY,R8319240
CZ KNL,R441027
US 9SW,R117949
US KHH,N150920781
US 7LS,R4034979
MK KVD,R6503123
DK BKT,N100124977
BR CJC,R362390
IT QTN,R44954
DE ND8,R965017
GB ZOY,R2707669
IE KGD,R6972451
DE BNN,R158452
IT O88,R44710
DE NWZ,R214354
HR PUY,R2259875
BR ABS,R303601
GB RSD,R1271366
ES ZUE,R345733
IT NQZ,N3704526688
DE FLK,R553468
US GBE,R110803
BR SSA,R362362
US FOB,R111761
HU MAY,R1440874
NZ TPK,N248762085
US JN8,R111166
US AFH,R179011
FR BIU,R68724
US CH5,R125775
IT ZMC,N838668160
US HUP,R126238
KR CJA,N415166106
IT NAV,R45394
FR BHA,R1243759
DE PY6,R2778121
FR SJN,R121739
GB FBP,R5572395
FR GEE,R81678
RS DOB,R9506242
US CJT,N150978018
DE 65M,R189455
ES ELP,R345474
US EY2,N151344764
BR AVP,R334519
US IQS,N157549242
US FKD,N158859385
TT GNE,N1822868107
CN QIE,W332783277
FR LS9,N5232525797
DE 4BA,R535003
US OJH,N150946209
CA ADI,R7997178
IN DMT,W658557382
DE 57M,R532396
MY KBK,N254073310
US WAC,R3705576
US NA2,R14024089
FR SA7,R384632
IT SES,N30152764
IN STV,N10029899747
BR CIC,R301058
FR TCB,R124633
FR ZNO,R167652
DE OLR,R415015
GB EBW,R1861825
CL QUI,R164102
ES VBN,R342234
US AUN,R112652
BR MWE,R315070
AU MYS,R11689215
GB EWN,R1633850
US O2K,R128347
BR TMO,R4082327
DE EFW,R556602
PT TZC,R6022202
RU PUD,R2304148
CA PIO,R7696236
CL SVT,R1666367
US PZW,R6586809
US FEP,R124844
US MBP,R188848
US LEU,R238090
FR ANH,R132413
FR RLY,R1183643
FR TOZ,R74993
IT MOC,R40100
IR MEB,R8812048
US A8C,N158842477
GB ACI,N8922463654
US AMN,R135160
BR XVA,R296653
FR NBB,R1245011
DE FES,R5741759
PL 7UZ,R2925613
DE PUI,R415807
DE AA7,R396563
DE 68R,R412078
ES BEA,R340582
GR PIA,N1804047593
FR SN7,W840064533
IT ZGB,R45796
MX SRF,N472258184
US 7TR,R110197
SD KRT,R3851428
FR B36,R972319
ES GCN,N8582974967
IT TR5,R43422
IT IVG,R45865
DE LBZ,R911760
AU RNW,R6201664
KR SGM,R2409180
DE SPX,R1309580
FR SR2,R2963962
ES BLA,R348890
IT ZIO,R42601
NL ELL,R1435100
US 289,N157574274
ZA GAR,R2034621
GB COO,R4570657
DE NIF,R536005
LT KRM,R10490656
IT DES,R45466
CZ HMR,R442228
FR A55,R122628
FR 3G3,R2869190
NG BRA,N501499019
US KOY,N5156163034
AT ZRF,W31542395
US CI2,N2334174068
PT RPN,R4192930
FR AKP,R102668
NZ PPU,R11282294
CN SLO,R12045937
TR MIL,R1827276
DE TGH,R1284746
IT CHL,R42542
ZA ZFE,N262718111
DE GSJ,R536590
US XGU,R134589
DE UHM,R331064
US SKD,R177317
FR EGG,R1269568
NL BAV,R2712696
US EI2,W1169400378
IT OT8,R42002
DE BST,R312070
PA CPL,R9364700
IT MT3,R40894
US DHC,N151588356
NG ASO,R12200354
US AHI,R170930
RO FMU,R13803911
US DY2,R130506
CA MCO,R11908671
GB ANB,N315122265
US OXW,N158858459
FR CID,R971335
US RVM,N153520223
GB OKH,R3920131
US MS8,R13578474
US WPF,R131896
CI FEK,N1828765103
US CKE,R129046
CN YHN,R12555971
US TGS,N154301819
FR SJ3,R276155
US 5FQ,R184804
LV VCE,N389349472
US NA3,R188346
MA SII,R2886004
DE FHG,R1028559
FR GGG,R28900
GB TAS,R3600281
AU NVN,R9045612
AU SGT,R6026859
CZ ZLV,R441227
IT QGO,R42916
US BGN,R2342528
CA LZB,R8180276
CU TND,R5884868
US AZ6,N150935245
BR KMT,R315013
US ZQX,N158842428
FR HSX,R2733063
AU TOJ,R2504903
SV SST,R7011532
AU KKQ,R6059105
DE HBA,N3611114591
GB XHO,R1849294
AU MAA,R11716528
US DUS,R188860
SE TAO,R935584
PE PHM,R1944789
GB NLE,R8653587
AR TVJ,R3491676
DE LCR,R7750219
IT BDS,R40545
US GRE,R127048
GB KZO,R4155570
PL LZC,R3107056
BE GGO,R4473227
US DBV,R252272
GB GST,N395505908
GB IDL,N29066915
US BQH,R189059
BR SAH,R332934
ES QW5,R14874746
FR C3N,R167617
JP TSB,R2682891
AR BUE,R1224652
US GB8,R176283
BR CAN,R242574
SE SKM,N29690590
IT SSU,R43229
US QDY,R176215
TW LHN,R9980176
TR PTL,R1799855
US SNG,R5963739
DE 59K,R423180
FR EUT,R70826
GB BHU,R2367162
US VGV,N151797156
DE NUG,R1171891
ES L8T,R348133
FR B29,R124033
US OTE,R238710
RS ELE,N1074638904
IT XOB,R39959
CA MGG,W72940915
AR URH,R2989712
ES AB9,W190113600
DE WOH,R935131
DE SHI,N251885174
BG KOL,N273813005
FR MNN,R167638
FR TJO,R75376
US RIN,R6577487
ZM KUI,N435893724
FI MEN,N857204737
IT PZL,R39159
CN BYA,R2755757
US QLH,R181825
MG WTA,N9348343619
LU WEI,R1353113
US CLE,R182130
MG WTS,N300389556
CN LNZ,R3468498
BR CZP,R302703
CA SBM,R7710960
PA PSG,R11327557
US SGU,R198918
CZ PLV,R438317
BR LEW,R302848
ES ZIW,R339900
CN LOA,N1641971968
FR MUL,R1896049
LV VIL,R5188923
FR XNE,R1424259
CZ RUD,R436719
AU MLG,R5871419
FR RGR,R173132
US VVC,R3253314
TZ XMI,N258502528
FR ADY,R1249424
CA YAQ,N343916114
IT ANE,R45922
DE KAC,R1256080
BR DJM,R315230
US ZYL,N151884281
BR FUA,R332802
ES JUE,R343908
FR UBG,R1331924
DE IFF,R907207
HU SZS,R1025074
ES DMA,R348232
ES AA2,R341673
SE DJN,N2806005719
US HN6,R126236
US SCG,R174500
GB DLX,W256067259
US QGA,R130112
AU WWY,R5820417
TR INC,N1420832352
US UVL,N158810468
BR XQI,R362414
ES PNA,R344401
DE 77J,R2784986
DE ZIB,N309431646
FR COG,R74406
US 2MI,N158810869
BR ECD,R314669
PA CPP,N9942844261
JP TAN,N6745495754
SI KRI,N2782185397
BR CSC,R362149
BR BRI,R298021
US DEA,R242242
FR TMC,R145219
IT ZGE,N302129856
EE JOL,R350208
PL TZN,R2974876
SI VAC,N60884521
PL PYR,N31900642
PL KKG,R3531215
BG JAM,R4767886
US KNN,R8417968
IT NEE,R43034
GB NHV,R2310313
IN KOC,N3862624198
BR RUE,R298108
DE MKD,R534389
CH ALT,R1683056
DE 5AC,R394333
US PXY,R3328255
RW BTQ,R1746349
MA ASI,R2752822
BO VVI,W195573040
GB WHT,N360252023
BE ACS,R3668560
