BR BSR,R301341
FR M55,N4713355329
US CR8,R187593
US R8W,N158835199
FR RAX,R3044662
US ADS,R110355
CH MSD,R1684365
FR BGJ,R78763
AT NGG,N117034406
GB LVY,R899573
GB CXT,R593703
GB WNT,R2649278
GB WWN,N731444628
DE GVS,R349935
GB JHT,N298840427
IT IAO,R42026
BR CBE,R297708
FR VYG,R123350
FI JYK,N563942047
US OXY,N151964996
FR 2IN,R1687478
LU FSB,R1333121
US RS2,R140674
US CKU,R187531
AT JOC,N1852842322
FR FOQ,R953895
US PNN,R12199416
DE 63C,R443299
US WTW,R1933719
US VCN,R126826
PT VFC,R7540356
DE RIO,R1255897
US CHM,R176177
IT ZMH,N262616853
DE OSA,R2788136
FR JMT,R2199981
IT ZAN,R45725
HU ENY,R1458080
FR GXZ,R557266
CA GDO,R11322594
BR CIH,R314529
CO ELJ,N703373292
DE 79O,R410522
CH LIE,R1683669
US C5P,N151421877
DE TIF,R957043
US NGH,R175688
US ISE,R188818
BE BVE,R1204549
IT CBO,R43517
CZ RAK,R442396
US UUA,R251612
US MR8,N153809440
DE BDH,R1421451
FR JIE,R2506268
FR MAW,R1458131
GM SUK,N2616106113
SK KRU,R2266215
AO UGO,N279010696
PL BRT,R2942238
US R5C,R176312
HU OKD,R1027760
DE WLI,R943555
IT ZCB,R41106
JP ESK,N8479049153
BR CSL,R242666
FR VTV,R74628
US ZNN,N154100602
NO VEF,R408213
PT GON,R4165437
DE HVG,R1284733
IN VIJ,N2315959414
GB CLL,R2877474
FR DR2,R88678
FR MFA,N668896601
US RW7,R252294
FR ZDT,R145083
US 6FT,R12208160
FR UF4,R1952504
GB ASO,R3594185
BR PNC,R2213688
PE PCM,R1944779
BE REM,R4714630
FR RPM,R1156540
FR LI7,R83175
BR PIS,R303782
IT SUD,R41208
FR 2PC,R547855
US DL7,N153992758
IT AAS,N2320765370
US NRV,R134664
US GQV,N9720826768
DE 67L,R450519
CA PUT,W1110875124
BR RHE,R297722
FR BVL,R1640530
BR DGW,R242583
IT VOX,R42794
FR EG8,R187040
US PRJ,R194042
CH NLS,N9869762470
IT RR5,R39592
DE HEQ,N266493615
PG BNZ,N2266566015
US 8FD,R8016995
US RWF,R137525
FR IVS,R105748
JO SAH,N802869352
CA MIN,N262732722
DE UNK,N775168877
US CLN,R194158
GB GBR,N354939430
FR HDG,R535640
BR SQP,R297860
DE HAE,R138701
BR SBF,R301283
US XER,R187807
PG LSA,N6959480140
US HCG,R126306
IT CPE,R42035
FR GCS,R1252520
DE QBI,R5683639
FR BR7,R92867
FR D6Y,R164530
ES CRZ,R342773
IT PGB,R6590343
DE UDT,R2903160
FR Y2A,R2998891
NL ASP,R301910
BR POM,R4271672
US BW8,N153477567
CN NNI,R4189788
CN FYS,R3246004
ES A2C,R346572
GB BHS,N200088
US AVU,R1216581
ES ALM,R347966
AT KRL,R1016886
CA THH,R4233814
FR TVO,R157432
BR HNO,R302817
FR G28,R274204
FR A4R,R1373339
FR JO5,R109400
US EEW,R197334
CN FPG,R3442994
CH VZL,R1685195
AU PTL,R11676379
FR QBG,R149288
FR TUA,R156382
FR TOR,R402764
NL MRT,R2461316
DE SNJ,R856209
FR MD8,R2243303
RU SHE,R2048177
FR L3C,R149715
AR BAJ,N198439897
BE BLO,R2166829
US DKI,R182525
CA NMA,R9174810
US QLT,R188651
US LLC,R179059
FR 87L,R116535
GB HWV,N3896784261
IT ZEY,R43130
BE SWN,R10507937
IT MPC,R42308
US SLS,R2385580
FR AUN,R1848060
NO GLL,R412357
DE SSM,R1248703
FR HZB,R78593
AU KIT,R3538444
SE SKO,N60141422
GL UAK,N5118647850
US RFQ,R129241
IT CU3,R40882
