BR IBH,R314686
BR KRO,R302551
FR FTD,R3006851
BA DOJ,R2528187
US CLY,R176002
US XLB,R237812
CH DSF,R1684959
ES SPP,R346008
SE LIT,N256335722
DE 78D,R156069
FR XCU,R2931942
US H8U,R12203859
DE BUJ,R2801020
FR XPY,R129725
CA TND,R7496385
US QLM,R194873
CA YVO,R7359771
IT TN9,R41000
DE RGO,R453849
BR PSI,R297959
CA VKH,N732764690
US QSO,N141030415
BR MHN,R297584
IT RRE,R43916
FR VKO,R107610
US YLF,R5476812
CA YDA,R9457300
US HSS,R118867
US CL9,N150966312
AU WUD,R6290412
PL OPR,R2929606
US XKE,R237684
GB BKN,R3872725
TR DAR,R1211490
US EXF,R170482
US PWW,R113877
BR VHA,R325887
US XHL,R170896
CN JMO,R5655231
FR AVJ,R897554
CZ LUP,R427919
SK NZZ,R2169288
FR 8M8,R2032227
VE PPZ,R14540370
US BNT,R111561
ES OCB,R339737
FI ATT,N53802803
SE GTS,N1254643409
US SE4,R130152
PL BGL,R6627757
DE GNT,R1283580
AU STT,R11676795
CZ AAA,R439503
FR EFG,R1178019
CN SXI,R3203989
ES BU3,R1821272
DE XHR,R415014
US TPX,N151770712
AU OXY,N2033410944
GB ATH,N10582517
BR SGP,R1837825
SE ASQ,N1142893749
US EP7,R338694
PE COM,R1944720
LY ZLI,N1170583242
TR BAB,R1835616
TH KRU,R3146642
IT SGG,R179231
GB TDG,N267762727
NL BSE,R2713013
US BCG,N154373727
BE MDE,R3388430
DE ZED,R1182308
AR SDL,R11571686
PT ESC,N6774942899
US JBE,R141446
CG ANJ,N3300968760
US C55,N151630688
FR ZFX,R1598565
PT MAC,N4573652338
GB NCP,N287386563
IT BEG,R45574
PE MOH,R1913509
GB AXB,R2722484
DE GZE,R933494
FR LL6,R121972
CA NRN,R7360112
CN ZZS,R3246762
JP NAB,N8318898548
US L2B,N158566395
US WYU,R197263
US MH7,N157600159
DK TIL,N416444238
RU MEG,R5518935
US ITE,R180266
BO QJR,R4511327
PE YAY,R1944863
AU YNA,R5550860
BE VIV,N747888135
US IQP,R141126
NL SVT,R1357924
ES OGA,R343676
US CAI,R194001
US ZB9,R182639
IT GIA,R39375
FR 4VH,R2429157
IT CRC,R43062
GB HAA,W232342299
BR DDV,R315362
FR DTH,R76954
GR APA,N358805564
US KSU,R1260312
CL COC,R1981561
AT BWD,N119701231
FR JCZ,R2848213
GB ZLS,R5547220
US OKS,R169459
US PUT,R2017821
AE DAS,W985863444
FR RHT,R453792
IN TAD,N767157106
US YYE,R238000
AT WIF,R111132
CZ ONL,R440334
GB CWB,R2835357
DE S3C,N315983742
NL ZAD,R337726
US HDZ,R961379
US S5M,N151848264
PE SNX,R1953337
IN HAA,N2164058591
PG NOO,N715956232
GB CSO,N18305907
US HHE,R11901036
US KZM,R181537
FR BHK,R3256193
CD KBN,N621235472
IN IXA,N245717374
CH ROL,R1685122
DE 8B8,R443948
GR GLO,N1666088342
VE MGT,N5705035604
DE SEY,R1071013
BE WID,R2337289
AT PRF,R8798076
ID WNR,N10951602023
FI MUS,N11077647183
US LSH,R128333
BR SDH,R242569
AO GGC,N2097639559
BR KGR,R301088
US LUK,R133636
GB WBG,R4660853
CO AZT,R1315084
US X5O,R141627
NL SLU,R158221
IT BUO,R44667
AR CRD,R3732554
PL SBZ,R2881292
BR SJX,R303745
DE KRW,R449882
FR FVF,R2268403
US 9RH,R2030460
LV UTY,R6881377
US ZPL,R134801
AU QEL,R6059323
IT NAG,R45827
RO PNA,N454152053
IT PPT,R43668
IT BT3,R42247
GB ATY,R2868082
NO FJE,R12525866
FR SPK,R139278
FR XAN,R120070
US UAE,R180056
PL ZUR,R3012647
FR DZZ,R1125447
FR VB3,R70289
MX OTU,R11678114
US TBD,R125822
US MAI,N151712013
GB WEB,N27457923
FR LAC,R168023
FR MRS,R76469
ES JAO,N288260813
US HJL,R182503
FR V7L,R1927280
LV VVM,N565485685
DE 67Z,R448608
US MXM,R206837
FR FOV,R272371
US GP8,R175617
BE NFE,N2850062187
BG DOC,R13477546
DE CMI,R3023081
FR HS2,R1165370
US FIQ,N151962002
US QAP,R188681
US NGB,R176308
BE LAW,R1335258
AZ QUB,W181054323
DE KHF,R2857004
FR JJX,R145527
CI OGO,N2189893258
US 9NL,R114859
FR VBK,R75140
FR VC9,R108429
NL VBK,R337642
DE DUP,R6906168
AR PQU,R6777856
CZ LOE,R441762
FR TZU,R532482
US USM,N158860718
IT RDD,N418857949
AU CXT,R11676769
FR A6D,R969459
US KUN,R121366
US GZN,R182692
CN PJO,N5524710909
US ZDC,N158589973
DE WE6,R1588115
DE LKB,N1700405658
US YOL,R142571
GR TFS,N146304012
NI MAT,R15051887
US ZBF,R188633
US MJL,R121430
US 8GT,R129962
US WVO,R188461
US 9IS,R2021417
ZA BNL,N262695101
ES NVJ,R346105
ES MZA,N2381222776
CI TIA,N319225766
ID BNI,R9674156
IT AHO,R40581
CN ZGT,R5664243
DE B5S,R1157800
JE STH,R2371948
DE 8AD,R1444893
IT QAR,R42863
FI SVK,N562653415
FR SE5,R385151
US MPZ,R129069
DE BEX,R1184820
CZ CSY,R436128
DE OWD,R3980179
GB FT8,N26472013
BR NPM,R301359
NL MKE,R272190
SE TUG,N221606587
US PWJ,R8364263
HR BEN,N459166454
FR ZXG,R1848107
AU SBR,R11677467
CA OTB,N52561442
US 8WM,N158873507
AR CDC,R2989596
US ICM,N150958875
ZA TLT,W242884832
DE RGG,R941077
US HIT,N154327772
ES FSD,N288260312
AT WS6,R3796380
ES ATG,R342633
FR VR7,R113546
ES WSS,R347357
FR LMQ,R107567
DE KUP,R907229
ES AGT,R341834
FR CH4,R146325
IE BEH,R6778941
GB SLS,R3404205
DE WZT,R156058
FR WCS,R1239463
RO BLA,R10631057
PY PGU,N5038356455
NL ZAT,R1419870
US IZL,N157553924
ES SSL,R342184
CO TDA,R11313200
DE TBY,R422916
US CMS,R237272
PT VIL,R2898714
IT OVM,R41401
GB GRX,R1629607
BR FRI,R302846
ES EGT,R345944
FR OI5,R2348036
US LXH,R206868
BR DAI,R334516
FR GRR,R120764
CZ CLK,R437162
IT PBJ,R45433
GB ROR,N267762406
DE GB3,R1248626
DE EH7,R450107
IT VL5,R39577
GB POY,N227594687
US AVY,N154361021
DE WSU,N347775706
US GD2,N151584999
FR VZV,R126400
FR CLD,R72148
GR PTK,N10099033040
AU KYA,R11693386
