US FFK,R251614
ES ZJB,N6110688501
PT CV5,N10694218902
JP NAK,R4545538
CH SRZ,N240070632
FR 9ND,R2736664
DE HRE,R450110
US GWI,R181413
ES MLR,R345583
US QSH,R1839567
DE ALQ,R1965381
DE BRJ,R957155
NL WHA,R2679520
CL LEB,R1654913
BR BTC,R301291
BR LJA,R315261
CA EBU,R7414928
CH KRI,R1683536
DE A4H,R3997095
FR CNI,R92770
DE GHZ,R1184824
ES BNR,R339568
JP JHE,R4799779
ES ZHO,R343644
US SM7,R123098
IT SUV,N927267058
CZ HPN,R431309
ES CBC,N288260125
DO JBC,N1940867864
RO LUN,N464360800
SK SAB,R2277097
HU SGD,R1368079
TR UZD,R8401000
DE 58U,R423151
FR LZQ,R63653
US BEA,R126091
PT TZM,R2897162
US LDF,R140152
HU NYT,R1446109
NL NKV,R2560287
IN AJL,N245716231
US ID4,N141045728
BR XAI,R326260
US QPE,R306315
CA LVY,N7082643552
DE B9T,R934747
US S73,N151834851
ZA ROD,N64499629
TR TAR,R1586057
IT RGS,R42893
IT LAD,R41663
AT EGG,R74777
US RXN,R169662
PE GSM,N7393111847
US PBP,R169555
RU ZAR,R3795384
US NXI,R141233
ES VJP,R343975
BE WSU,R1277250
US QNT,R8059688
US SYM,R1839164
IE KCR,R6905512
IR XBJ,R8199755
FR RVM,R1107723
FR MO6,R2255321
US PUO,R195150
GB BXF,R1840577
JP MWR,N8340477204
US KIW,N3811458395
BR SWY,R297949
CN JYG,R3282749
CH LOT,R1682538
DE HMU,R1202121
ES CBT,N313156237
PT SVV,R5321487
IT MSI,R45130
IT GLV,R42097
HU BYK,R1418121
IN PYB,W22826194
DE 2AL,N7106624016
NO FOL,N311769900
CA SSS,R7711544
US TFY,R133640
ES ZJK,R341947
PL TBY,R4093433
AT TNZ,R111103
LB BYT,N289346590
US EFC,R125978
AF SDD,N315043220
FR CYH,R374710
SE BJU,R935478
FR 3LC,R166626
DE RB2,R2902867
SE BKS,N10523510
BR JOG,R242687
AU YLL,R10590498
ES VM7,R346754
DE SES,R5408633
DE GIC,R279222
US TCG,R6571668
US ACB,R134916
RO BPH,R10697239
AT LPB,R111042
SE SZK,N1493585087
US IUS,R175852
CH DGT,R1683640
ES CDR,R346383
US DD7,N150957804
CA MCB,R7908777
PL SIC,R3049636
US ZLI,R251079
IT ZLX,R39675
MM MER,R5996753
FR 6B2,R199157
AT AMK,R968969
BR TQN,R303623
BR LPS,R301129
GM BWI,N5440739317
DE BA5,N8042362837
US CUY,R3542185
US NJW,N158842365
CO LAA,N703177105
FR DCF,R1251144
US FIZ,R194112
DE 5AG,R1244034
FR GYQ,R137980
SI VDR,N60952963
AT MTH,R417578
JP OHH,R722202
GH NAV,N434389500
US LCN,R7686740
DE OHF,R1470258
US IBZ,R141599
NL OHZ,R1373199
ES LOB,R342450
GB GOW,R1396382
GB PRE,R148606
FR FAD,R2120380
US OVK,R3067643
BE LHL,R191582
HU MYD,R214930
US AZD,R13271806
IT TRX,R46923
US CX8,R135013
BE WTL,N2533542439
TT TAA,N474729709
BR QUZ,R298275
IT DVO,R46045
US RFM,R132576
FR IOU,R357180
DE BM7,R958134
DE EHQ,R390655
GB HGW,R7625235
DE HDM,R454173
CZ PRT,R441582
FR OU6,R538362
NL ZOT,R2528322
AR GGL,R7268438
DE ONZ,N263255828
FR TGN,R1075055
FR AL7,R151148
ZA JNB,N261833893
FR NBO,R90780
US GXG,R6603572
BR ONA,R362399
IT AR3,R179104
US G8P,R188774
SE DFS,R935498
IN GGV,N5483527593
NL VLN,R1492172
FR SVE,R2165294
IL NID,N278471194
FR C4S,R2978934
FR AVF,N307509261
CH GNG,R1682131
FR GDV,R117191
HN SRI,N8041658597
SI SRP,N175672568
US NYW,R127925
NL AMZ,R334324
FR 34H,R255567
GB CLN,R7611827
ID MLG,R9674151
SE ABI,R6663160
PA ARS,N6311560700
NL ET2,R2716723
NZ KAK,W456268926
EC EBL,R3652269
SK DOJ,R2203820
CZ CAS,R439906
RU NVO,W115606270
DE SPH,R1384810
US CBU,R130676
BR DOI,R314954
US DEK,W399684849
NO BYS,N10168236934
JP HKG,R1769193
BG QVJ,N1574815648
AT MKA,R226100
MM PEG,R5996573
PH DUL,R5426225
DE 78R,R403749
US FJY,R125651
US ANF,R127582
US LAN,R134997
US DOT,R6406330
FR VGJ,R18354
ES GTZ,R340424
NL MSL,R324400
BR LER,R296616
FR UVZ,R3187140
BR KIT,R315235
US WLK,W32973874
BD KUS,N1472130097
CD PUN,N87739316
FR YMY,R2722541
US FAC,R206642
US YWQ,R185106
US YRD,R170702
FR BIC,R122236
US RCX,R127092
CN YIG,N244082340
US XMO,R2310549
US AST,R186203
AU LPY,R2382153
HU JSZ,R1323514
AU PUG,R6360802
BE ANB,N469836626
CN HGC,N2065892174
CO MDE,R1343264
BR VGD,R315179
BR PCV,R303858
FR ASD,R76157
DK HSE,N60108386
ES GZF,R340893
IT GEU,R46697
US CE4,R7147788
MX AYO,N3833182538
FR BBY,R116025
BE VSE,R2247819
FR V8S,R2950481
FR NN9,R152893
FR MCV,R116114
FR PSJ,R158992
CH KSZ,R1682505
DE KKM,N1831408256
US EMO,N154094493
GB HBW,N1777557676
DK LES,R2097968
ES FNS,R342282
AU BYB,R11688861
DK BOR,N8580770974
FR ELB,R102810
GL LLU,N1928557688
LU GVC,R532141
