ES ENT,R12565927
US AUY,R179887
PL OSR,R2908854
DE ZSK,R1250385
NL MSB,R1410871
US IFS,N154377992
DE 3AS,R548034
BE CLY,R12911346
BR MOH,R301195
FR JLV,R908128
BG KOS,R1978772
US USK,N150938016
ZA BRR,N36231454
US 2SI,R113818
CH RGG,R1682394
BR MND,R363021
CA AAB,R9451101
PL BRG,R2813155
GR LII,R2215271
RO MUT,N454150391
US OOF,R184097
US QHK,R128561
FR AN5,R58065
IE DRM,R2308209
NL TAK,R1434037
FR ABZ,R120544
DE ELH,R1307660
CN QGP,R3292760
DE HEC,R2779005
US HGP,R170626
US PSH,R8364261
PA MAC,N3168135067
CA YGC,R8460867
FR 3FO,R164197
DE KUA,R2786236
BE MGM,R9331968
ES OGM,R340592
GB CIM,R5951135
US XKQ,R183395
FR M4F,R414478
DE RDU,R551230
IL BDR,W79317077
AR GCA,R5282315
FR PIO,R187033
US WO7,N158243357
FR 2MG,R1782037
IN VRU,N3992907900
IE LEI,R6915481
NO LST,R10155374
ID PER,N457837553
US CYM,N150918482
DE DHU,R3483072
CA YOH,N52561751
SA KKH,N348108482
DE DKL,R1020429
BR CNT,R12123545
DE ZIQ,R403738
PK GHK,N66319295
US KY4,R185305
FR RRV,R55662
FR A7P,R1824716
US S7V,R112396
DE 62U,R404324
ES ELZ,N427089620
FR L26,R88677
US VTY,N151705030
IT RV5,R39198
HU SGZ,R1368045
BR UUB,R314863
IT TEO,R42107
DE ADK,R451777
ES SNV,N5718422753
PL KIK,N31589003
BR LAH,R362179
US PF5,R251770
US CXA,R135188
US LBJ,R3353286
KR GOI,N415160364
IT MLC,R42262
ZW NAG,R10686840
FI VIE,R2522182
CH SVI,R1684152
US 5GL,R137053
US SEX,R132070
AU BEA,R10585664
ES TEJ,R346321
KR ASN,R2409159
FR VGS,R2697344
DE K2Z,R2405010
CZ SLZ,R437526
CZ DNS,R438100
US KMR,R175029
US UYI,R170599
PL GWO,R2924852
FR OEC,R31255
DE MXI,N33212131
IT SUZ,R45728
ES RMY,R344410
GB ETA,R2850032
US BCS,R131694
DE ZJQ,R1077536
US BSE,R191223
AU RWE,R2406183
IT ZHV,R42066
IT RV2,N66503247
US SGT,R111270
MX OAH,N2803007844
DE 62D,N360208059
FI LIP,R2521592
IE ANT,N52244772
GB PSW,N267763043
GB FXT,R4655348
US LK8,R127918
PE YMS,R1994140
US XNL,R122953
FR ULM,R1730509
GB BLB,N21664801
FR ROS,R420907
IE FFO,R6301037
ZA NEA,N2688744108
CA LSY,N8762725912
US HFW,R238642
US MCO,R123442
BR SQS,R333990
CG MSX,N3300967701
US YOF,R182105
FR FRF,R812072
GB STT,R14383330
DE IEB,R1421454
RU BEK,W32885222
US WVS,N158814920
BR NDN,R301222
FR HCS,R157879
IT PCR,R40340
US P4C,R7898980
FR AAE,R2813433
FR JOI,R904664
CO CDO,R1343437
CA WNF,R9438958
US RUV,R7463746
FI LPV,R2521952
US 2HM,N151596553
AT RBA,R34882
US HEJ,W33612917
SE OFS,N27422249
PK RJP,R16108343
US SHU,R1844192
US NHH,N4487849512
DE NSW,R62724
IT CZ4,R46446
US P4L,R130103
MX TEU,N272110557
GB LMT,R1390179
DE JET,R1246677
MY LGL,N4833964300
CO GPI,R1310021
FR VE7,R155877
CN RLC,R2753021
IT ZYL,N2430563362
BR CRO,R242295
US BK9,R176127
FR VET,R75518
US 7MS,R8903561
FR JMZ,R1843133
NG GBA,N501527574
DE LT9,N307081793
DE EGS,R2186918
FR LIX,R281346
CA BEA,N52553839
NO AKH,N4849029095
IT SIE,R8826250
FR AS5,R74316
CA ABB,R2221182
CI XMB,N2735818843
CH HTL,R1682137
US TUT,R13594207
CA CQ5,R7360111
NO YTR,N4566644129
ES RCC,R347491
BE HSL,R4215938
DE ZDN,N18481613
US KRC,R140806
PT VDN,R5402587
US LV4,R178953
US AGD,R7456000
US IAX,R130092
ES ADO,R345060
US HHS,R129950
ES AR9,N288260755
FR PYM,R128158
FI HHO,N256748123
US V9N,N157634536
NO SEL,R405161
ES GAX,R344711
NL HRB,R2721356
DE BUE,R147447
IN KTD,N9217055588
IT RAL,R44645
CZ BNY,R436852
SE FAA,R935504
RO LUG,R10643314
FR PUA,R276814
AT GHR,R3837917
DE WOW,N335879228
MX SPC,W484239055
BR MMG,R334515
CH OLO,R1685077
PT TCS,R3981773
NO BJO,N415487250
US 5WP,R128624
DE NHM,R420483
PL MYC,R2776116
US DOX,R137861
GB HXL,N56107190
US 5LS,N154384741
UZ UGC,W110132970
BE RQS,N156623355
FR TSV,R401187
SI POD,N2911803264
NO GRZ,N2710942444
GR PAI,R13389136
NL TGE,R2712967
US OWN,R188846
NL GRD,R2714647
US SLO,R126220
CN BBU,R3262334
US SIS,R133501
IT PRF,R42440
SK TKY,R2206763
DE TCE,R416408
GB HDN,N26703051
FR V8Z,R158898
US PE2,R175009
HU EGE,R1418154
FR RYY,R418197
DE SWH,R1255887
US XEV,R1805428
RS VLA,R7222998
US ZE4,N150933549
IE KCK,R4478505
FR JVA,R166910
US GVV,R252246
IT AAA,R39207
IT SAI,N2608228183
FI ORV,R1700624
FR ATM,R29366
US SOP,R180010
FR SY2,R1340512
US AUL,R119971
PL KWY,R3101305
US OCC,R112452
DE 74O,R1168914
ES ERB,N492413051
US ZSP,R136887
FR LFM,R150712
US DG2,N154289367
FR YCV,R111182
PA PCI,N2530911816
US WAK,R3245837
BR ZAE,R301312
FR BXO,R148135
AT POG,R554893
ZM CHI,N1166695047
DE RLE,R53945
FR S5G,R1571468
FR OBY,R85665
US BK3,R142510
ES JCO,R343334
AU AWK,R11675621
ES ECP,R340030
AR PLA,R3153109
AT STA,R3851322
IT MEA,R49128
US VDX,R251740
US JQJ,N4932709768
FR JPT,R959208
IN IMF,N569040820
AU HPK,R5539505
DE ACW,R1182036
RO ARI,R13854967
DE 73I,R1337350
IT ZKG,R46144
IN MKM,N1124400515
