US 9AR,R3497065
US FNU,R181398
FR SNX,R396711
US LKY,R174938
PK NRW,R16108415
NL SCA,R161402
CL RIB,R1982289
CH STU,R1682676
BR TRW,R302545
ES AA5,R346029
LV LVD,R1877520
GB WSD,N26953573
CA FCX,R11940543
FR ST8,R957712
FR Z3M,R76127
FR LMK,R970878
PL OCZ,R1972788
DE BZD,R1383378
IT ZMX,R39625
GB SNE,N27365018
DE WRK,R957061
IT MA7,R43580
PE TBP,R1986988
BR ATG,R333623
DE FRC,R3318346
SE FEL,N367264356
US 5PA,R129080
PL KNM,R4093431
FR L7T,R395924
SK HRA,R2205545
US 3TH,R11052660
CA HOK,W72940714
GB KWT,R4042478
FR CTG,R79767
US HJ2,R175819
FR GQX,R1229786
BE MKE,R1394101
AU RAV,R11688994
AT TEX,N1840195359
GB SLD,R3406814
GB POC,W55450847
DE PMN,R966145
EE SRU,R355535
FR LRF,R75202
FR MAA,R2415569
GB HOD,N29974968
US VDW,R14988971
GB KGY,N31200155
FR SJQ,R152390
ES TOP,R341628
FR T7R,R173442
US JOD,N154107716
DE NOB,R453847
EE MDI,R351583
DE RML,R959164
AT ALE,R406296
PL RSI,N31612091
US TCK,R171320
PL SKJ,R3011197
FR XR8,R75612
RS NSL,N358530364
IT SOC,R42007
IT MEO,R45377
DE LJN,R1183254
BR MFR,R362325
IT CNA,R44087
US CT5,R8903552
US H2D,R133624
BG AKH,N455943256
RO RZY,R10643248
AU BET,R11294978
BR RUS,R302565
BE GDE,R11274740
JP HRM,W104299829
BR SLW,R302572
US 7VN,R2017154
US PVB,R141154
FR HRT,R541645
CA TRA,R9670598
US EPT,R188356
FR RNR,R55725
FR MXA,R325001
US SBS,W750912164
FR A36,R208036
LU ESR,N60844733
FR SNG,R390767
GB OBN,R2014372
FR HED,R422642
US LWS,R121282
US IIF,N153945855
FR TUF,R76306
NL MON,R1360666
GB BKW,R947936
DE OB2,R15036497
BA ZCA,N1966975750
IT TVY,R40995
TR CUM,R1830383
FR HSC,R2273935
CN XXI,R3316521
GB FID,N31818382
ES ZCY,R342293
PT PRE,N4359997700
US PUM,R113151
PL MPK,R2665873
CA PIR,N52561017
ID REO,R12752856
US PUD,R187920
IT VC5,R45277
SK KOC,R1558830
SK NOV,R2218539
DE 59Q,R422848
LA PNH,R5831756
US L4V,R12181001
GR ENK,W545198920
FR RLB,R166807
BR KDV,R301070
BR NMV,R333599
DE OBL,R417461
US TCY,R8889794
US PCZ,R2512485
DE BG4,R1258370
SE LYC,R935428
GB TEE,W50981960
FR PA5,R3226798
BR BQI,R242748
SE BJR,N55102316
AU MOC,R6683028
ZA KWM,N262720900
MX TQP,N292837172
PA CGS,R11005327
SE LIO,R398035
DE JON,R957048
IT FVD,N61753465
BR EIU,R297861
IT CT9,R47269
MX COE,N2217100316
US LS3,R140895
FR SEQ,R161527
BZ BMP,R10331791
IT RGI,R43443
BS RSD,N1104494534
DE BVB,N117825904
US QTS,R7243979
FR HRE,R1732315
ES VOG,R346161
FR ZH3,R1459423
GB ERR,N4153928809
CN LUO,N2465415975
CH SFM,R1684414
US TT2,R128607
GB RPT,R1022499
ES RJO,R346354
HN VLN,N11097685177
FR VLQ,R140875
DE WFT,R958688
PL KLP,R13605860
IT TA7,R41037
HU TOM,R1130404
CL YAI,N5314153602
FR UGZ,R91130
CO LEJ,R1342036
FR GQO,R135784
US INL,R137073
