US AQE,N153808899
GR KOC,N1828764578
US IEW,R251859
AU WWA,R11688674
US C2Q,R14988957
DE VDR,R14312580
FR F89,R2838415
MA KHA,R2879633
JP HSG,R4013125
FR XVG,R131454
US LVC,R188963
AO NQI,N2170811773
DE DWZ,R4778081
PL MZD,R2859158
IT PUI,R44589
BR IUY,R303693
BR AVG,R314821
JP HMM,R4674741
PT ARC,R3920278
US SWZ,R179964
BE SYR,R1877704
FR ADG,R28962
BE LHA,R3875062
GB PVD,N539460409
US GYO,R130532
HU VSY,R1456924
CA MHO,N249643435
US 9RI,R451328
IT BHO,R46384
DE BB2,N309265356
IT PPD,R41534
GB LYW,R4580967
FR VIJ,R105146
US QRD,R130634
FI KYO,R2385388
FR YYR,R120085
US QLY,N153706554
FR TCC,R2975638
ZA HMM,N262706953
IT BUR,R46765
US C5O,R140772
BE BRG,R2170413
AF UND,N271741224
US DYJ,R170072
ES ZEG,R341059
NL HRN,R291667
ID CRG,R4682033
FR BZJ,R158791
EG BEN,N768586066
DO GAZ,N2945820971
NL NWS,R1419769
US WCK,R187775
SI SPO,N385075843
LT GKS,N863090905
FR RRY,R114365
OM MCT,R14237949
CA SJJ,N1498609041
US Z4X,R12024799
US EN2,R130675
US CNY,R198930
MX AUT,N1361090971
US L7A,R125898
MY LAH,N254072992
ES PZS,N4799518771
US AJA,R206696
AU GRA,R10565111
CL ANF,R1561898
IT ZAB,R45983
ID LRT,N1308640014
CH CHP,R1685287
PA ADZ,R11479515
ID SUT,R5802256
IT VSE,R43413
IT TYC,R40750
AT MST,R416328
GB NCW,R5340750
GB COK,R8307636
US W9U,N151606445
FR ZDO,R55594
US 3FR,R122954
FR LAU,R1153513
GB BDT,N29029396
FR DDM,R93401
DE HAG,R1800297
CH GFR,N130257796
CO AUC,N9632105989
IT ZGC,R39286
FR P4U,R147890
BR TCM,R301310
NL WTU,R158756
DE FFS,R1258640
US PDI,N150972305
NO ORK,N279932407
US GGL,R180123
US EXD,R251587
GB BMN,R5714351
FR VDU,R166102
FR BIH,R75802
GB UHD,N1186277830
CZ DNA,R439584
IT SAN,R45171
BR VGH,R242379
IT XAA,R39903
GB MRC,R6967127
CH GVA,R1685488
US FER,R134451
HU PEU,R1323258
PL KEN,N31531924
AU GOR,R3117846
US FEF,R6296878
BE BTK,R3954001
DE IHT,R1059434
DE HUC,R1410800
US BFR,R127887
FR O6A,R150711
BE LFG,R7821411
US KJR,R134510
IT LIT,R42148
FR LRZ,R2951299
CH SPF,R1682921
GB ALQ,R6024538
US SCV,R130701
DE KEF,R450111
FR FGT,R2971308
FR VCO,R53448
FR NAU,R115804
MX HXD,N271608791
FR R3O,R1067835
NA GOG,R8650363
MY KKP,N254072998
GB RYI,N1186083690
IT PBT,R43812
AT PBU,R545418
US WZB,N153727323
DE JUM,R1245312
IT 9GG,R43596
DK SVE,N7150539911
US OKQ,R111730
FR CO7,R2961918
US QPN,R175784
NL WWL,R2713306
DE BAV,R168532
NL ANT,R334173
AT WIH,N240068220
IE SRY,N639135276
BE DOE,N1711926237
ES VRU,R341965
ES YUN,R344565
US NX5,R181464
SO BIB,N35926758
US AOM,R1946500
SE UGG,N559634991
MX MTM,N1601416420
MX EPM,N273589743
NZ AKA,R2726039
GB HAE,R1433226
US SOG,R206911
ES GDR,N348085790
IT BTN,R45065
CA ELI,N1111228775
DE WES,R58590
PT VDG,R4194884
US DNJ,R3537531
ZW BAT,W461613720
US HZM,R9209764
CZ PKE,R438155
IT VTM,R45861
DE 64P,N2146854743
IN PAA,N4910487293
CO GUP,R1310021
GB ADN,R9274293
DE BCD,R173096
IN UDR,N2409551371
IT ZAF,N1634199549
NL GRV,R1355996
FR RWL,R70105
FR XQJ,R158788
JP TWD,R4107331
US MES,R136712
PE HSA,N8223946596
MU VAC,R13476400
DE BM4,R6151222
DE WQF,R1016533
US TW9,R964659
FR 2MN,R1022791
CA MFD,R7478457
FR L4C,R2418411
FR CYY,R2689646
MM BPE,N597205381
FR EMC,R86532
ES 2EM,N10574710025
FR CLU,R75352
GB ETR,N27730148
BR NOA,R242615
GB SSG,R2404628
FR RTV,R1919982
ES PSN,N36294445
FI RTL,N1377542310
SK JRV,R2206758
FR DDE,R387074
FR VDC,R1771563
US 2HR,R195048
BE ZWN,R3138576
RS KAY,R1639618
AR RHD,R2271182
US MD5,R367447
US NNI,N154310543
DE NKW,R935920
BR KJI,R314842
CN DEX,N3004970319
AU EDC,R10593527
MD HIM,R16136115
NL DIK,R2726641
IT NNT,R44934
GB BUG,R4782680
GR AMA,W591823791
