ZA HDS,N262720602
FR L2G,R3257413
US SHB,R136611
US WL8,N153399474
US FRQ,R127305
PL MOK,N31692133
FI RAU,R2377364
PL TOL,R3108429
IT VLE,R45298
FR HFN,R289044
BR MUO,R302503
NL AZU,N7188616582
NL RTU,R300176
ES PIP,R346479
CA LKN,N498152551
RU SAA,R6422261
DK TAA,N26559273
MX SGS,N679005801
US OZV,R135174
US UH3,R182085
FR PUD,R2070523
GB BES,R1870162
TM SAK,W503731527
BR MDY,R302858
US ZHM,N150949054
GB HPV,R2893929
GB ODM,R3743252
DE CRP,R1419603
ES LGN,R1864339
FR BG7,R154549
US 8MF,N158505881
FR 2FR,R104008
GB FXY,R7665073
IT TDS,R41831
ES LL4,R342836
US PU2,R182521
GB HBO,R1875235
RO BCE,R10697873
US P8Y,R130862
BR AEC,R301271
FR MVB,R2885406
DE 63L,R443194
FR HIX,R116809
NL LSB,R2725271
US PC5,R251893
US HRA,N153735419
US BED,R1838335
US WI4,R197201
NO MON,N10170632475
PR SIS,W1046262881
DK SRP,N1667695839
GB QZL,R2962229
BR BUI,R332867
AU WYN,R11690303
US LIR,N3013552140
PT MMV,R5378425
IT FG2,R42520
US BEX,R188220
MY TKK,W857856733
BE PLY,N3296546761
BR ISU,R297985
AU DMA,R11690414
MY BMT,N605217805
FR SVD,R2615480
RU KEJ,R1312868
GB RDG,N298902596
US ELZ,R13621200
FR PL8,R276815
FR XDW,R58879
BI MWM,N1343439979
PL SPR,R3536301
CH FTY,W988950586
AU AVV,R2455524
EC GUA,R2661012
IT BV6,R42240
US AO9,N151813322
CA GBT,R7719054
NO FNA,R5900511
US RFO,R182541
FR DUR,R167623
DE EGF,R55781
FR 7VL,R1416413
US WBE,R187994
US MOH,R12189529
PL SNS,R3848954
PL SZZ,R404940
US ETG,R119709
BR DVS,R297671
DE BOB,R935167
AU BTO,R5998989
US GU4,R9244627
HU KFR,R1130377
FR M5P,R186968
EC PYO,R1666428
US RQJ,N158862874
US NC5,N158846609
CA MLL,N2252641509
US CBI,R130888
GB WWC,N106227330
EE ORI,R354268
RO SNC,R14879158
BR MCE,R314777
FR CO9,R1730397
DE BMX,R12529143
IN PUT,N1184155485
US ASC,R8531704
BR BST,R302560
US ESZ,N153690973
TR DRK,R1840248
GB DLT,R8413396
DK DGP,N2683174661
CA BLO,N51971648
HR CIL,R15909698
TH LCH,N1919715630
HU BOJ,R575311
CA BDL,R7785077
ZM LUZ,N268995924
IT FSD,N3862377607
IE TRI,R7033778
FR FYC,R125395
RU RUZ,R2549484
US COH,R175847
US 8UP,N158626573
CA DVO,N618348942
FR 2LC,R10149425
ES UCC,R344738
FR L6V,R3068910
GB MRW,N321828851
BR VLM,R242301
CZ TSC,R437627
FR ZNN,R76166
TR GZM,R1269251
CZ COO,R438789
DE OBU,R422258
US 8PV,N158844292
US GEM,N158356363
IT R3E,N2596528148
FR LIM,R37775
FR ASV,R236661
GB RMG,R2568388
IT ROL,R45160
CA LIT,R8188527
BR GAO,R303639
US VXT,N150938490
PT SVC,R8421418
MG TVA,N300385953
GB ALN,R3344949
US SP5,R128800
MZ MCU,N1426021070
FR IBL,R149480
DE HUG,R418623
US ROH,R126317
US WEZ,R187445
DE MWL,N280522731
RU RYB,R1432255
ET LLI,N71464974
MY RAI,N4529962389
PL WSA,R6476531
DE FID,R957925
BR YMA,R302566
US DHE,R331936
CA HIB,R9209345
