DE 53Q,R1474024
MW LUZ,N274681182
GB KTE,N243767477
ZA RHS,W766770285
IT UKQ,R41711
CA LKD,R9133172
JP IHK,R2682920
FR MQ8,R144916
DE BQS,R959165
CH VSN,R1683424
IT SUI,R45624
BR MHZ,R315403
US JN2,R115190
FR URT,R1364347
IL DFN,W87167832
GB CYK,N1845183374
GB PNO,N31834987
UA UGL,R3936160
FR BGU,R1928160
DE 4AY,R548614
GB PRS,R11296176
NO USD,N8359145792
FR MH6,R145991
FR BSF,R124449
IT TSA,R44000
DE IGH,R401807
BE RKM,R1335257
FR TMB,R240369
ES BBJ,R345075
US SRF,R112679
IT JCO,R45812
AU WIT,R11690232
TR ZEY,R1766109
ES TRV,R346131
TR MHM,R1238923
DE BN5,R446467
IT VBO,R6598602
FR GOC,R1314410
IT LDM,R41646
US 2MH,R142448
SK MOL,R1556722
ES FBX,R344940
US SQP,R141483
DE WS3,R2012152
US NSZ,W517642840
US B3G,N154183083
FR XCO,R447531
GB SIT,N668473962
AZ MGC,W337369693
AU PNG,R3110764
US IR5,N153480937
DE ZEF,R536588
GB WAW,N4011624417
PT TZO,N10857144693
US MR7,R12189652
CA SHM,N7091755598
CA GNO,R10624373
US JDI,R140056
US DOC,R181600
FR AR3,R2139338
IQ KIK,N248436981
CA MMI,N1257515231
BE SLY,N317240852
AZ XIR,W186275017
ES HIE,N1296041703
IL NUR,N278477891
CA YXN,R9463044
CN GIR,R2744880
US AOK,N158301462
FR 3FC,R56306
AU EDE,R6683174
SE STD,N33024732
DE 3AC,R1157542
US NRX,N158325700
FR YRV,R2838186
IT PXT,R45631
FR LVY,R1270078
ES ZLO,R3410171
TR SRK,R1771128
DE 53B,N317156439
TZ BKZ,N258165920
FR BWI,R78643
AU MLN,R6074578
PT MLI,N3933505571
FR AL3,R133926
HR ALJ,R12873576
US NOI,R6571662
GB EME,R3245634
US TRL,R6571689
IT PRO,R40758
NL ASS,R1433676
CN NJK,N3626318303
US EE4,N154066910
US UTV,R194738
ES PES,R339656
SI MED,N108133289
DE WB5,R552388
AU COJ,R5803540
ES SDE,N302231483
BR QUO,R302577
NL BZW,R300154
DK LAA,N8808750412
JM HIE,N4953799379
MU TDD,N281956800
FR E3B,R149654
AU NSO,R6059236
IT 5FN,N2670580354
CA MNN,R8462160
DE DSD,N253206580
TN MOK,R7111392
FR ABA,R144515
AT SRM,R107254
US OFI,R140627
CH BSU,R1682399
US GYM,R365498
AU ONS,R11690003
FR FY3,R3074720
NL SUA,R2645629
BR PSD,R333605
IT MT9,R45130
DE OVR,R173104
US MCB,R2585909
ZW MZW,R5596171
US PL4,R2395798
BR SXA,R332967
BR BET,R333986
CA MWA,N1206641111
DE 83X,R1249951
ZA AVL,N262717606
FR NNA,R300489
US JFI,R9100910
US CWX,R141060
US RN7,R123106
US MQH,R10117628
CH SHT,R1684555
CN NZA,N8913116839
FR LA5,R1975838
FR EMO,R2805512
HU HAQ,R1405223
GR ILI,R1844465
US WRO,R1844206
NZ PON,N253311252
GB BY9,R4822950
DK ESK,N289699488
LB RRK,R14403819
DE SUE,R4043265
DE BA7,N240122688
US S2Y,N157633466
BR KDR,R303724
US PAI,R130588
CZ RDN,R436102
NL GOE,R1379476
AE AJM,N262479959
SE MOR,R935518
QA RLF,W223674170
DE 9BE,R10308148
IT TTP,N414031914
US EIM,R119544
GB WYM,R8426495
CZ SDV,R439477
FR P6R,R563134
DE OWZ,N251601289
GN MCA,N2574288470
SE SRW,N2235762015
US SZV,R1844193
FR KSR,R295983
TR HAD,R9680620
FR DPE,R110435
HU VSZ,R1131692
US XAH,R140926
CN GJS,N8380866905
RU LAZ,R4837053
CA TAR,N243794886
CZ OVC,R440978
BR PEE,R302516
PG TBQ,N8016999868
AU GOA,R7234718
CH FEH,N30757705
DE 2AJ,R2796467
GB WST,N271051
FR WGX,R406166
IT GDD,N5715201637
LY MRA,N5431087789
