IL GAA,W31979041
CA MUA,R6597535
FR PPD,R157699
RU VER,W108578701
AT HGB,R114780
IQ BAL,R11065742
US JC4,R251553
GB DDN,N5768706092
US KP3,N151478338
DK BDG,N26559077
ES MLP,R345826
FR FTG,R120296
US WLS,R109861
DE WA8,R9190286
CA SAI,R7932159
BR CHH,R332847
MX QRO,R4062443
US GHC,N150976855
BE SJN,R58262
BR IUE,R302735
SK DJZ,R2207322
US QMI,R182424
NO SKF,N6225718168
FR BUL,R148042
FR DNZ,R2697733
US KS4,R238714
PT SCA,R6461807
FR PUO,R151274
US LBX,R6586791
US HY3,R137000
FR MNH,R367064
FR TMQ,R173423
AU QRX,R6079557
SE KAF,N5252967445
CA YFR,R9495981
PL RUC,N31612285
AT GRN,R909439
US OZA,W607619118
TD GZB,N2094966007
UY NVN,R2743657
PG KPA,N2862726056
IE NEW,R14578512
FR CR3,R107556
FR VVU,R28795
US ENL,R125844
US IR2,N154151046
CL LPR,R168268
YE ASR,N3861258295
DE MHS,R1021685
CA SVA,R8180271
IT GIO,R43938
FR DM3,R1815323
FR RLU,R87366
FR CV2,R134107
NL MTL,R417701
IE ENN,R6805942
ES AFN,R340021
BE BLS,N668879854
PH SSV,R3813854
US YLQ,R194071
IT ZXF,R44150
DE GQL,R2396097
PK JLP,R16108421
ES MGN,R342219
DE SSZ,R1077566
SE TOB,R935637
AU MQL,R3116010
US HUD,R128366
DE M5N,R1433086
DE PRF,R7832648
LT VIN,R3154597
BE SVO,R3390752
GB SWN,N27329919
US SD9,R127410
US TXO,R2387636
DE FRL,R941757
FR POR,R49275
NP PPL,N3188795442
US GMS,R242238
US OOK,W32975279
FR PVI,R2959739
FR CHD,R285662
US PI3,R2045560
CN DEQ,R3205794
IT BGO,R45681
US TGQ,R10241085
SK CIE,R2205551
IT ZAK,R45364
PH STT,R6295736
NL REU,R1414195
FR VDM,R1379911
AR LBA,R3743462
PL KRM,R1561167
AU EXO,R10598741
FR P7R,R452163
US CR9,R10661604
LU EBN,N289929073
ES ETH,R342705
US 5CR,W33158972
PE CHH,R1973480
IT ILA,R45034
NZ GBS,N2933632222
US C6Y,R181629
CR PTL,R6362814
FR SFU,R169168
DE LXN,N254647009
ES DLR,R343743
CZ BRV,R437152
NO NSB,R406654
US G8S,R170133
SN KLC,R12997055
US MNM,R10342762
US WCT,R187665
RU KIM,R1836409
CA NOR,R7129502
US PEQ,R113414
