US JBK,R2833528
GB TLB,N29345212
DE B27,R1427223
IT SZS,N1774650391
US TSM,R171267
US NFE,R5448008
BR CZZ,R315001
PL MZM,R336133
PE NGS,N10181499926
PH LUE,W1126189305
IE ACN,R5445555
FR AKS,R2152285
DE GMF,R3719219
ES YUR,R343869
EE ORA,R353304
NL OOY,R2731933
DE LIS,R1141533
CH PLY,R1685114
MX SN2,N297223557
BY MSQ,W112308065
FR WQE,R2751964
BR CSO,R314744
FR HUC,R1167803
JP ESM,N5660815546
GR MGN,R5225335
GB DTH,R2781587
BE NVL,R3465271
US NS9,R137681
DE 77M,R452975
BE BND,R12943066
ES PTE,R345286
FI TOJ,N428111436
EE KEH,R351550
FR Y47,R2699547
FR BAS,R88614
US ICH,R119952
NO TVI,N463211695
GB TPO,R5758150
BR BMX,R303824
LB JAH,R12040021
IT AIG,R39312
IE CLC,N52259545
DE 73U,R1446648
NO RAN,N35814456
US PGT,N151852356
NL SMD,R47687
DE ETY,R939317
SE HYD,N369550463
CA PTH,R7476933
FR UVA,R133752
US RB8,N151496996
GB JMS,N4590905458
US S2G,R125806
IT QNO,R43237
US S98,N153427031
BR BOX,R298358
FR LO3,R376336
ES AIJ,R341537
AU PRE,R5537985
CA RVI,R11969230
US SBH,R182029
FR UBO,R126513
BR EST,R303898
DK HSL,N10046685007
RO SOU,R10541474
FR QT9,R2917401
BR SWM,R314801
US ARR,R15899803
DE 75S,R2083536
FR 69R,R252594
GB MOL,R11277805
FR XSE,R2998819
IT PDM,R179215
DK HDS,N26559218
US OKK,R127487
CA 6SE,R197583
SI SLK,R1676314
RU BLG,R2049858
DE HKN,R180670
GB CYA,R6945701
IT ACZ,R45637
IT MSS,R42665
IE KDY,N52243365
FR FOB,R149612
MD ORH,R5636983
PL JKO,R6849009
US GKW,R238667
CM MBA,R3822882
DE HE2,R85242
US LSK,R252213
CL RGO,R1665334
ES AJR,R345002
DE MAC,R933500
FR YAV,R106388
RO GRB,R12593744
FR RRW,R73841
ES LRN,R344467
US UJZ,R194170
US 9AN,R3492845
DZ OGX,R4601326
US WLG,R206807
FR Z4R,R3008436
US VYA,R170342
SK SZS,R2169310
PL KOP,R6786129
MX ATH,N2133527040
US TEU,R1217278
JO AMM,N1643504896
FR SNM,R116874
DE NDT,R4137141
PL CNW,R1981828
DE MUL,R358085
NL KOI,W406741417
NL SAT,R2712483
SI OIV,N269360785
US BWO,R183382
CA AIT,R7743231
FR EAF,R281840
IE NEN,R6855426
FR SN9,R145265
BE EIN,R9366889
GB MOC,R8194842
CZ KLV,R439482
US BKM,R132198
CA MCR,R11824492
RO PRE,R10515001
BE BLT,N506142776
NL M9G,R310818
GB GYN,N89034091
GB NGW,N29272386
RS HRT,N1074638858
NL ZHV,R1354657
GB PBD,R6192893
AU KBO,R2421647
HU KCO,R1130407
SA MJH,N1236400187
AT UPS,N240053067
DE QUA,R1808589
FR GCA,R1870905
FR BHY,R418697
CH URH,N1509166339
US MM8,R137849
SI TR3,N2777255781
DE PRR,R3696885
GB ABP,R11369351
MN ULG,R14489586
IT EMS,R47288
US HTX,R113267
PH AGL,R9386775
US COI,R117527
IT AM8,R179286
EC NRJ,N3003981525
FR LJX,R1360536
US ZOO,R175938
US BDF,R125944
IT XSP,R39877
FR LOQ,R166786
US MPJ,R6681772
SK TSK,R1799066
BR LOI,R297660
US OXE,N158321976
BR SAQ,R314671
PL DBO,R13389808
YE LOH,N1224179664
IT ZOP,R179282
EE PUS,R352210
US EJG,R140713
NL KAA,R444054
FR ERS,R58392
CA MAB,R9329807
AZ TOV,W75061462
IT LL4,R40398
MX SFP,N4057162730
FR PDV,R140022
US FTD,R110161
IN KUN,W22826289
AU CHS,R5608479
BR CBL,R302540
IN KVL,N304916587
ES VCL,R343733
CN PKX,R2988895
FR ETK,R109295
FR LHA,R447024
JP HJO,N4913524608
IN REA,N520986776
DE BBV,R1460241
DE MRH,R161503
CL PLE,N214224998
AR PCO,N2836055515
FI JKS,R2426369
CA PPR,R14665301
AU AYD,W447931116
PK JRD,N867102026
US NDI,R124714
FR 4CR,R1070591
US IPA,R187180
DE KL3,R7995510
US GMY,R1839156
US DGQ,N157601540
DK SBG,N247953773
FR SPH,R963201
PA CLG,N9946239992
FR 2MJ,R1362068
IN BTK,N245625781
DE YWB,R966151
SL KBS,N314001434
PT ORV,R5520523
IT CZG,N1411381334
AU RBK,R11691061
FR M6P,R1245582
BR TUG,R303671
PL ADJ,R3111914
FR LCC,R103235
TH YNT,N409691951
FR ATA,R1448550
RO NDE,W74663647
FR VQI,R166645
FR DV6,R169034
ZA BDF,N262694965
FR LB3,R1904594
IS NOU,N5229789491
NO BAF,R407755
US H3G,N153533888
DE AH5,R3694181
GR GAS,N282638065
US POF,R141647
US EME,N153664495
US DWR,N151931073
GR PTC,N436184201
ES MZQ,R346454
IT RGN,R46338
BR PUL,R242468
MX MAV,N291426721
CH HUN,R1683143
US NLX,R182458
US OVH,R6428268
CZ SYK,R437165
AT EBD,R37358
CN LUZ,N244081288
GB ALB,R4748463
FR LSR,R1175376
CN NPS,R3206301
ID LBO,N1271856012
IT TVA,R47033
FR SEY,R150532
NO SAU,R405837
LT MAC,N1142899358
CA LCL,R11895897
NZ MMU,N60729094
ES CEL,R12625788
FR M4C,R150156
DE EKB,R2802282
NO RTL,N9972699881
US GEV,R169492
IT FTN,R43547
GB AYM,R6188263
FR EOI,R372166
GR FYT,R11991801
FR LXP,R1898419
FR NIO,R2994211
FR DO2,R129386
ES HJS,R346842
US ZPA,R131581
DE GTZ,R551077
US SVV,R133582
CH VNR,R1685540
US STL,R1180533
FR DSA,R140084
BR LGS,R301103
FR MDS,R76021
US OFU,R130182
SI CRE,N2252779183
FR UVR,R530587
GB KBA,R9246080
BR BNE,R362257
FR A9C,R146651
DE EED,N248053866
AT LEN,R1022957
AU HY5,R2451355
DE 83D,R544549
PL GZK,R2859089
DE KRM,R376875
PT MIN,R6457904
BE HTJ,N414208075
BE GDI,N382325428
FR P8P,R365370
HU CSA,R1027788
CA BGH,R7445181
SI LZN,N56750681
DE A88,R1162782
DE WEG,R324303
NL TSL,R47531
CA YWM,N107366039
US APA,R170912
BR IOB,R298500
US P7N,R169428
US PGD,R117978
IT BPS,R44115
PL K2B,R2424768
FR PP9,R357969
US HMT,R112014
US NEF,N158543585
IT DDC,N867449270
MC MCM,R5986438
BR NRS,R242441
ES SAR,N4813693973
US QPL,R112113
