FR CCZ,R2032812
DE TTI,R958098
US SDN,R182718
ES NGN,R341741
CA ORF,R7953118
FR JSY,R2952249
FR JHT,N932902650
NL CRU,R1883604
FR ME3,R85866
CU SNU,R5884803
ES PLR,N493393330
BR MNA,R314920
FR JAT,R139154
IT ZOR,R45510
IT SRT,R45900
AT GSF,R555678
IT ZXG,N4890425657
US WNQ,R136941
FR BYV,R27632
US HQF,N150956898
IE LEX,R4588054
FR VAP,R78855
CA DDO,R197601
US KAQ,R140471
FR BMO,R3331103
US 9OM,R119870
IT NIS,W78808738
BR GIS,R334378
IT ZRY,N64776767
FR RFS,R105269
GB LNY,N1375576635
BE LNY,N30119736
GB OXF,R394037
US BZF,N153516209
FI PK9,N30969756
CA BCY,R14705496
FR HNO,R280544
DE MAG,R62481
IN BTP,N6160749663
ID MGB,R14264207
CA GEE,R8244714
TR SAK,N25869708
DE FH3,N364882130
GB RAR,R2407868
FR FUO,R1331288
US RVG,N158349522
FR SM5,R154057
US HCY,R6571644
US DGT,R2405913
US QRI,R195731
US WYS,R142450
DE NKN,R1187145
FR FQG,R113552
US 8LP,R129220
US CC4,R10228722
GB GPO,N247792684
PL KRO,R2632584
AU KKD,R11676741
AU STA,R10593508
DE BWI,R443584
US THV,R187708
DE IE2,R1269728
FR OMA,R2995510
SK TVE,R2218548
US GV2,N158875782
UZ FEG,R15537982
DE RDW,R55757
FR HPY,R1734911
FR 9TR,R2946026
BR BJZ,R301406
FR HGS,R1634825
FR TT2,R153109
FR CTP,R55721
HU LEN,R1311800
LV PVN,R2688483
PT PTB,R3904625
US KEG,R206979
IT SCA,R43322
PL BTS,R4579488
CH PEO,R1685099
ES SZX,R348216
FR SWY,R168172
DE DHG,N2589207760
BE FPI,N668635872
PH RSO,R1486321
IT BG3,R45437
BR ERL,R242605
US WZF,R183407
AU MNL,R6063659
US L9M,R128327
CH LYN,R1685029
FR GXV,R1070516
DE TBR,R444513
NL EEE,R2713390
CN FEC,R5676297
IT MGF,R47312
MX TDL,N448082045
DE TFS,R335469
MX CAU,N448081511
AR CNL,R9405740
US SH7,R187516
BE HME,R913860
US IVI,R129158
US PX7,R140866
US CH2,R126017
US CEB,R110271
US IXE,N4984356932
AR FRY,R9384682
SE VLB,N65132358
FR HOT,R215400
US LPN,N154081847
JP ATK,N8571635748
CO NAR,R11940489
TH PHI,N409975309
SI SDE,N1038949927
NO RNA,R408202
AU LHT,R7381721
GB WRA,R2940000
FR SHF,R5937554
IT LCO,R46229
US HBA,R127195
PH BAC,R15535323
BR LJO,R336741
US 8RF,R12189651
FR SDX,R3337300
DE VGF,R933953
IT TPE,R43643
NO BEL,N436219801
AO LUO,N349039206
US XMQ,R3501739
DE MEG,R2406260
MX GNL,N1305142475
US GZO,R1844167
DE FNB,R391364
US ESG,N154282717
PT GIN,R7540330
FR EDU,R1815235
US DOL,N153735574
GB CDD,N27329896
CA MYE,N52553066
QA SIM,N1736130075
NL HHU,R2767198
IT GDT,R42340
CZ HBV,R440715
US OKR,R196150
US A9U,N158857484
IN VVA,N245691743
GB HIE,N1573413788
GB CDH,N1498843288
JM CHA,N6575801017
GB CHA,N1498843288
CA YLA,W797660788
