FR ZLT,R935992
US TP4,R187771
CL CTM,R1656148
GB WMV,R5649836
BE MEN,R1335275
BR MLP,R242664
IL GEZ,R1381347
US YVK,R130593
CH G7W,R1682453
BR MNE,R332894
FR LUE,R2506120
BR GVL,R296646
DE RGH,R409708
AU PLO,R6334164
SE HYL,N30147985
FR MEO,R56076
US XKG,R6595929
US AMM,N153384198
IT G9C,R39432
AU MYF,R6074579
FR ALN,R303250
CA JUN,N1642486026
FR ZPU,R70700
DE 72P,R1145087
RO BBT,R13838181
US EKX,R130635
ES YLJ,R345389
DE SDL,R162731
US M77,R110192
IT PLM,R6574822
FR TO8,R55469
RO ULT,R10697297
NO LVE,N1635193302
BR TRC,R297849
CA NLW,N5254833774
US HI7,N158899021
SE SJP,N73912590
ES RUS,R340853
BR WBZ,R297755
GB PPL,N27365043
DE NDE,R7696907
IT CRH,R43862
US 2AR,R184956
CZ JPN,R437349
SE RUV,N249074234
FR PVT,R1251744
KR NYU,R2409175
US YOH,N151699768
LK AMP,N1877296501
IT MGY,R42096
FR ANV,R1225504
GB FAM,R2797450
GB ZAV,N391878800
AU GXN,R6675274
BR RQO,R296594
FR DR8,N1129877245
BR NVC,R1837772
CA LCV,N473199878
US 3TF,R128468
JP HGK,R4051412
US 2WV,N153996646
NL URK,R408115
IT CVQ,R40049
FR CXM,R104836
NL ZBE,R144731
AU SEA,R10621845
IL BNA,N278473953
IT DCM,R42705
NO SON,N2442669057
US WK8,R142587
RO BII,N422877664
SI SEC,N817498726
FR FL2,R36238
FR TOS,R122842
NA OTJ,R8650330
IT 9PI,R47293
US FED,R141655
BR VEA,R303750
US OKU,R206833
DE HAM,R28971
FR CG4,R145678
PA CYA,N9943985779
MG DIE,R7742476
AU BCH,R6719077
FR HJY,R126505
CN YDZ,R4052296
DK PRS,N26559168
DE 75P,R296199
PL WZN,R2695156
DE Z3B,R7876002
FR RIT,R1435626
DE SGU,R936750
BE BIZ,R2239343
US XJV,R251966
DE HLZ,R2785127
PL HJK,R2793533
GB LIV,W1060162567
US EGF,R128456
US EAA,R16194833
MG BMD,N725564687
MX TRC,N4143719537
CZ HRP,R440006
NO MLS,R406537
US AMI,R126034
DE EUT,R382408
ES PSM,R342093
TR DUD,R9462528
DE ZGD,R2186924
FR QAM,R140497
BE MOR,R58641
CA LOM,R8392513
CR ROX,R5716058
AT WEA,R966967
ES MZC,R341951
DE PPS,R1244008
ES NTE,R346215
DK TIM,N2388088967
US KFF,R137771
DE CRL,R56664
AU GLN,R5477295
CA SFR,R8042780
FR ZDB,R58140
AT TIR,N3744299380
IN JPG,N5914126159
PT AZU,N4361779958
IT RCT,R41358
BR AEN,R242305
DE BYY,R964623
US OVW,R237951
IR ARA,R6578662
US RNC,R197151
NL AWD,R308718
US L9Y,R180284
FR SXH,R911517
RO BEI,R10718901
CH ORF,N1509166326
DE ZIO,R942025
GB BCV,N60707831
GB NPO,R910852
MX GUE,N849900926
US OST,N153496419
DE PZY,R447626
FR CHA,R276905
US ZGJ,R118839
PE ACA,R1879296
IT CT5,R43585
FR BAZ,R1361832
ES HSN,R339868
BE SES,N689778689
US AL9,R11049863
US BTU,N158657021
FR CJB,R1140988
DE BU7,N1612821989
DE DCG,R2826521
SD ELF,N300074306
FR GHK,R1164628
DE DEL,R62414
CA CTE,R7711423
CZ VTC,R442303
US CXT,R119474
AU EUK,R10604247
TR OIY,R7070601
IT ZJL,R39612
US MFW,R361302
ES ATS,R347957
US GKI,N151946620
FR RS8,R2018584
AU CRE,R11675404
US C7L,R182787
NL DBM,R1361806
DE DUD,R1399072
US JUV,R170054
BR KXO,R314871
IT CPI,R45420
CA GBF,R7478455
BR PRC,R242479
FR APH,R2362483
DE WN5,R2395648
US IAA,R128765
IT MLF,N9280656714
FR CWX,R226348
US QVL,R184820
US BDI,R127620
MX TAL,N299809681
US MQZ,R237360
NL OSK,R1475382
HR RAB,R7465896
BR FEO,R314902
IE ATY,R4771821
BJ DJA,N313015848
FR OIY,R1357420
ES LPN,R345210
US BU7,R194117
IT LFF,R46111
DE NLL,R422505
ES MXK,R344660
DK VMB,N9013108323
NZ HB3,N160514252
DE HUU,R1240407
DE BL9,R929923
CZ UBR,R437482
US WUZ,R182747
FR LGQ,R102145
BR CWX,R302788
FR MV2,R135979
US SZJ,R119738
IT IPM,N391647819
GB EDN,W1002266060
ES VIO,R342555
US 7TS,R115173
TR YPZ,R1813273
US HC2,R198656
US RZV,R237648
ES VON,R347610
BR IMI,R334420
GB CUF,N30099967
US ATY,R195026
FR LNG,R3019384
DE ORC,R1254055
US CMG,R119564
FR CZV,R117232
IN MNW,R14297160
SI SHC,R2772522
US VI3,R8534022
