GB RTN,N27329901
HN PCA,N830322610
IT GRV,N1267129613
FR CBD,R112499
FR VB5,R75853
BR SOC,R298249
US MYW,R170643
ES VIB,R343191
GB FIR,R948524
US LCD,R136609
CA TIO,R8374596
BR SAO,R298285
DE ZGY,N270842843
BR DBO,R362494
IT CMZ,R45643
CH SPY,N726245580
ES GUA,R342800
DO LCS,N3076645936
US CT4,N153633332
US OZT,R112645
DE HIZ,R722063
IE RUS,N52242025
BE QRO,R2175157
US RFI,R125735
BR PSO,R325885
US HSH,R330700
US JMA,R125714
DK HVA,N1152526471
FR GNT,R120057
PT VGA,R5403220
GB IGM,R660845
FR RVV,R399666
PL TOR,R2633746
US XGT,R182312
AU DYA,R11677560
DE WZF,R280558
CN WUA,N3542132337
ES CLH,R344310
MX SME,N1390312459
HU 4PS,R1452607
US CEQ,R4640074
CZ MTO,R439722
US H9F,R111288
CH WNS,R1683955
NL ZAG,R1335538
CZ CSE,R439994
IT GMT,R46030
AU WLV,R6595969
FR HLZ,R156350
DE WZN,R1355604
US AVL,N157640913
FR PEV,R169849
US XVH,N153514566
BR SQC,R333697
MX NHY,R5606086
BO POR,N1687604657
IT AGD,R47082
DZ ZZB,R5176213
FR 8DG,R1023493
NL BBR,R1422771
SR MZG,N8945112887
FR LRI,R76308
LV KRU,N1159209533
US INI,N154325727
ES ADR,R343250
AO SVP,N279010365
FR PME,R77291
US DRX,R179898
US FOM,R14988893
FR FBC,R542792
ES GLL,R341109
US BLF,R239899
NZ PMS,N997385082
NL NUL,R161307
DE NSO,R444231
RS VRB,N3722369896
US JP9,N153941570
FR PIV,R149118
US XKN,R180143
FR SFC,R191463
DE ORM,R14292802
MG MOB,N1350616391
US MMF,R249918
BR CVC,R242699
ES CAM,R346144
IT CSL,N1429155247
SE AJG,N330170422
IE CHA,R6911420
GB UP3,R1583923
BR CVT,R334541
NL HVK,R2078297
ES CAQ,R340849
ES ZEY,R346460
FR CB3,R152410
CA YXL,R5995390
PA PAL,N3440129363
AU BZU,R2016121
DE WRH,R418436
RU KU3,R1646090
IE DUK,N52241990
US GP7,R238134
PE SUP,R1944849
IT RV7,R40695
TR CVD,R1280050
US XCW,R6595884
BR YGM,R362265
AU MTL,R6058592
FR HRX,R138739
VN BNH,R7130838
GB DSW,R3585987
FR ORM,R418179
ES ROB,R345044
BF KOS,W31134522
CA TRC,R7932164
DE DHN,R1251119
JP OMU,R4008384
DE A26,N66217157
AU LDB,R5637857
ES AKA,R344996
IT BOA,R40405
SV CHM,N461575273
PL KWE,R6736690
BR SQI,R302634
CA CDL,R10257736
FI SLF,N246660412
DE LK9,N2776856777
DE NGF,R422460
FR TGV,R135900
IT TIL,R43785
ES SSA,R347477
DE AFO,N3744175415
DE LHC,R29997
BE DEU,R3402540
IT CRZ,R45211
US NET,R187318
PL OYS,R2812315
FR R38,R2547643
NL WLK,R161404
PL CIC,R4578464
IT LID,N481327393
CZ TRE,R442258
AU PLW,R7385846
FR RPA,R1715320
FR DUO,R363702
TH RNN,N301181330
ES EAL,R343682
CR UPA,R6682968
NO AKL,N662558733
US CZP,N150918580
DE TTA,R1015147
BR OMB,R334490
FR DYL,R3347158
AT HIA,R958936
DE RLZ,R12100704
CL QNO,R168059
BR PLS,R334551
DE SLI,R233450
FR L7D,R2067281
ES ZEJ,R347443
FR DGL,R3241960
BR BVZ,R242737
SE SBH,N279376854
DE 72H,R1417213
GB KIH,N55441680
FI MAN,R1701738
GB MUD,R4069932
DE MWA,R444545
HR VDC,R13960736
US EIY,R14024079
AT HEO,R86629
FR RSU,R36664
DK MKV,N271753609
DE A92,R938073
FR LZT,R118810
FI LPJ,R2213830
US P3E,R194887
BR ICG,R302525
BO CLN,W770948448
DE WEY,R20101
AT MUC,R3945145
IT ZBJ,R43946
IT TLO,R45201
FR VFM,R174961
HU JAN,R1491422
JP OBU,R4567401
US NLS,R181904
DE MBG,R2784048
NO VNG,N6216715387
US MC5,R114550
HU RLS,R1420734
US CCA,N151586917
CN KRY,R2751491
CA WSY,R11838967
FR E56,R122776
FR TLQ,R74051
PL OLE,R2942230
AU ESM,R3080712
IN PAB,R364166
MX ALT,N6887572768
GB EMT,R1022653
BE FXI,N747649252
US RG7,R121409
HR LSZ,R15967677
DE 67D,R189482
CA BET,R6677171
US SNX,N150917135
US ZDN,R133618
US SQ2,N158354928
CA PSD,R2846413
FR SWQ,N1701170117
US BT9,N158298089
US DIQ,R141111
SE OSV,N1770565557
US HSL,W32975686
US G2T,N153831062
IT VC3,R46921
CA CLE,R2863899
US RVZ,R141204
GR PRO,N299014674
DE R5B,R422438
US AHA,N150977666
AT MLS,R1020213
AT HCH,R958118
FR CAR,R365717
CR CSC,R11823965
US HC4,R7898975
DE EDH,R962451
NL GOW,R2712555
DE GGI,R410517
FR DIS,R2812042
NL WOB,R2725430
RO CNO,R11522502
FR Q7Q,R1959458
CA PAB,R2221211
PL CHN,R1584920
