ID CDS,R13290100
UA ZDO,R12330728
FR TZN,R116811
FR EAS,R129523
IT CBB,R45633
GB CKP,N429826315
GB PEG,W1157923238
SK VIN,R2207084
US GXO,R126827
DE BHC,R958621
DE ZSF,R10608666
FI POR,R4446212
CH EIS,R1682433
CA SHR,R7785076
US MX2,W33113923
US JYS,N153382279
AU SRR,R11677888
IL CML,R1387990
FR EP3,R296042
US JPY,R175755
BR CSG,R314593
DE LPD,N251710088
CA MTI,R7360108
SK R4B,R2218576
IN JIN,N1144143339
ES Q8A,R346562
US MG4,R113925
TZ KIM,N1136001371
US RGR,R11842256
DE B5N,R4008632
FI VKO,N30969815
DE NBN,R1021742
FR SGP,R169173
US QBB,R197468
FR SCJ,R117275
FR OO3,R102757
AU ALI,R11688811
FR LIY,R125704
US R63,N151964185
FR PMR,R387145
GB GEN,R3296560
BR VSC,R242663
IT NBA,R42309
US KTK,N150978376
US HMB,N158576552
DE CLR,R2012318
BR BUT,R315293
FR ICY,R162337
FR GNZ,R144327
CA BRZ,N3648172996
AU TSA,R7381722
GA OYE,N331139740
FR P29,R1300611
IT ROO,R44620
AT FIS,N801771101
US BAH,N158863608
US M9I,R10115167
ES ADE,R347304
FR YBA,R1530586
US UA7,N158822059
ES ARJ,R342626
HU CDE,R1452440
BR MHD,R363142
US OAM,R170882
PH CAL,R1578579
FR OTO,R156672
BR RLP,R242458
BR SYN,R301322
BE LIV,R1351605
BE HRO,R1283244
PL BLN,R2713290
US CC8,R133649
US ZPR,R111548
BR LSF,R302759
IT ONV,R40853
IT NOV,R43651
US EBD,R180268
US NPN,R6699500
FR GZN,R118748
IT LUG,N1185166082
DE BWD,R1307621
AE QWE,W360000709
US KBC,N3609009523
GB PES,R2851594
DE TFR,R1251031
US 7VF,R129681
US ZQ3,N150942272
CA SRT,R7551459
AT KLH,N240050113
FR VN6,R74310
US GMO,R182952
PL LUB,R2985030
DE JB3,R452208
FR HVR,R454888
DE WTP,R63510
IT GVT,R46459
US JV3,N151756603
CN SYX,R2128284
ES MBA,R339603
FR OFT,N291658542
CA RED,N52553791
DE LRC,R1380343
CZ MUV,R436097
PL ZBK,R2881288
CH WSO,R1683586
SD ATB,R4667777
NO FTU,N4899765892
US OOG,R126588
JP HED,N8586552620
US UWO,N150959430
US ZMS,R237379
BE WCG,N299217772
TR GCK,N8385862957
LU WLB,R569742
AU ELW,R2398100
DE MEH,R1184405
MA MEK,R2561177
BW SER,W133578644
FR FTL,R1383122
DE HER,R2791216
NL VHN,R2528315
AU SYD,R5750005
US OWY,R901510
JP KGM,N8873759534
US MMI,R196152
US FXK,R188768
US MIM,N151611987
FR G87,R453795
PL BNO,R6904684
ES DFE,R342596
AU SLK,R2425532
DE PBA,R1077551
KR GNO,R2414775
US H8R,R110299
BR LAG,R296771
BE LSE,R2239347
BE BOR,R59577
DE JBG,R422436
US CI5,N141029951
US BYJ,R239865
US MWN,R187658
NL SJK,R2473037
CA ELM,N825311839
FR MV4,R1993561
IT SRR,R43353
US VGK,N158804202
CL LSQ,R1658515
BY ASH,N242978910
US DSK,N154113042
US SJ8,N157629661
IT CII,R41961
US E5G,N154152223
US EAL,R193847
AU BXH,R2384008
CA ETZ,N51970959
US UYS,N154348152
PL WBK,R2633922
US JKH,N158856995
IR MLK,N833708349
US TDS,R6586547
CL SDO,R296814
DE LDS,R1978257
CA ZFT,N309379851
DE ZTL,R414701
