FR MM9,R406298
NL TRO,R1515067
GB HIB,N267762658
IL NEV,N275589911
GB MTH,N529117977
BE GEM,R2313628
US TGL,R119767
US HRQ,R139858
EG EDK,W614249740
SE MSD,N130148772
FR CEN,R1162544
BA FOJ,R9046086
FR T5M,R396704
US BDY,R186756
US PSR,R13827393
IT ZPQ,R41378
IT SCQ,R44911
PL GNN,R2470488
AU NME,R2384470
NL DDO,R2726919
CZ HPC,R441024
AU LAM,R11690996
GB DSA,R1022352
RW NSA,R1718836
DE MZL,R1130289
ES AI4,R347308
ES AOL,R339552
BR ADS,R242323
US AZO,R135028
SK DRC,R2384699
JP IWY,N6748936751
IN BHN,W119997588
LV CSV,R1859648
AR JNI,R3443259
PT MAI,R3384812
AT PLH,R106755
NL UCT,R2718381
GB REB,W340735699
AR NNA,R9377182
BR QUX,R302608
NZ LYJ,N57871098
BR AMQ,R334609
GB FEM,N2714630753
AU GRI,R5573587
IT VRY,R45970
IT 2X3,R43956
VE AGU,R14436550
US EDQ,R113788
CA PTA,R2221305
BR PPA,R334010
DE BDS,R534534
BR JPE,R302670
FR MC8,R296442
FR QMC,R145838
FR MPC,R285662
PL OXT,R4252083
US KEP,R2016819
DE OLZ,R1108070
SI XZA,N1877812405
FR F45,R111165
DE SLT,R659751
CZ DAV,R442240
CA RWN,R7707059
GB NSA,N1400032511
DE LDM,N31406097
US AO5,R3578936
IT ZFJ,R41367
DE ZAQ,R405631
GB MDO,R4639904
US RXF,R142559
US SH2,R170308
IT NGI,R43099
US FO7,N158584755
PT MSA,R5321486
US MXK,R169782
BA TIH,N1732800265
CZ ZDI,R440841
BE EPN,N669763644
PL BRA,R2709309
US ZUN,N158861144
ES SEI,R12684259
NO SUN,N135642422
US CRM,N150974647
RS SAB,R1762274
BE BSL,R3376838
RU KGV,R1753084
GB GSA,W125548853
AU LTN,R5901439
US AB3,R961385
HU KMJ,R1130387
US R4V,R242250
GB DDM,R4638548
BR CMQ,R297676
FR TLP,R216351
US LBW,R1102870
US SIT,N1505783342
US CYJ,R170595
FR YFF,R357886
AT S7B,N1824135444
NL EML,R275967
BR MYN,R314976
US NPK,R176060
ES 8SC,R339774
IT TGS,N5396658460
DE UGL,R2778361
GB MEY,N29779139
US QDT,R1839547
NO NFD,N81350220
ES VUC,R341100
DE ATO,N32691066
FR VAY,R117016
DE MLH,R453401
GB W5C,R3007579
AU KGT,R2397995
DE HHS,R158702
MY TJH,N254073583
CA MHA,R11901731
HU TSA,R1440625
IT FOG,R41243
ES HSJ,R345943
GB SNS,N410395804
NO NTY,N6181695333
GB ZAN,R1860426
BA KLJ,R2528218
US 7WA,R2017766
IT YBB,R47266
GB TVS,N29288990
LU WBD,R407500
CZ SYR,R440880
GR IES,N130167618
JP GTK,R4567518
US B4V,N157617939
FR RDO,R163624
BE IWE,R11132073
BR IMD,R301398
US LM3,N153724402
CH RDN,N32863366
DK BRV,N460411226
AU PBH,R9730556
IT GIP,R43387
RO ALB,R12560371
IT ZAE,R11643818
DE EGK,R940903
US GLB,N157618663
IL KSW,R1378947
GB BIY,N255308981
DE BIR,R1244279
FR FLM,R56366
KR JMJ,N415152346
ES AGE,N279235755
IT ZSF,R41410
ES LZ2,R347299
FR PSQ,R300636
DE 58O,R423222
US HGI,R187901
ZA ZER,N262717508
US PKQ,N151948911
DE GAI,R391365
FR MZK,R2994966
GB KLR,R4239411
IT MOH,R42396
DE ZOR,R1416137
BE ASB,R4103973
BE WVR,R224757
US RRY,N150949332
DE 76U,R14983885
IT RRT,R45775
ES VDG,R341475
US VLY,R169253
FR NNN,R111850
PL BLE,R2996353
PL OLN,R2675967
US YIB,R126639
US CB2,N158366916
DE BM6,R1465979
FR MOM,R2032464
FR ALX,R83673
JP KDA,R359195
FR CYC,R1169857
PA PUP,R11848304
PL NIW,R9150358
FR NAY,R134197
PG MDU,N8027655717
BE BOG,R1243518
DE WDS,R722152
YE LEH,N6039901085
US P3T,R194886
US AOL,N157639353
FR NLV,R161217
FR M52,R2586845
NL LOZ,R299224
GB YST,R11519619
PL SER,R2911933
TR RES,R9395355
US WEP,R11998607
GR THK,N280856426
TN KOR,W208440754
LV IKK,R1402869
DE NMW,R1419896
ES ESP,R7231039
FR OUO,R148267
GB LYK,N21517379
GB CWN,N29339294
DE FSR,R445499
CL MUL,R1658516
IT CXR,R40866
DE GRN,R659812
CN LHG,R15852379
US T99,R129756
DE OEC,R356988
FR QAT,R2032170
DE 8AA,N1132280992
CZ LPL,R439091
US RHY,R187791
ES TAT,N264942413
CA MAG,R7953117
FR TIA,R126360
BE ACE,N664040757
US OMR,R184170
CR BAR,R6148920
CH BBN,R1684271
US SV8,R182869
CA CHH,N7161311073
UA KRN,R15548721
FR RGX,R270480
AU DVP,N2400006418
BD TKR,N6131551739
FR IML,R120327
US FNJ,R3509303
LV GKE,R2552337
US PCR,R6587498
BR RWB,R298330
FR LIJ,R2963141
MX NDG,N333154558
FR 8RF,R300465
IT CFN,R42524
US SG8,R3679625
BR ODO,R301127
DE MXB,R1303470
GB ZCH,R7795108
IL GIN,N278473789
FR PUU,R1270594
GB HY2,R3475036
BG KUB,R1931070
GB FOU,N29579291
ES OVR,R342092
NL EES,R419185
US EXG,R12810947
FR TMS,R148978
FI KAU,R1855919
GB FRV,R5993389
DE ENZ,R1433093
BR UVH,R301282
US WT9,R8540521
DE FEH,N212792485
NL ZWO,R414720
RU GUS,N829045888
CH ROM,R1683389
GB LNH,N29340892
DE ALS,R157993
FR GLJ,R1460729
US BNB,R127214
FR MWF,R2414846
DE 68E,R447162
ES VTU,R348837
US WHU,R197242
FR MO5,R3346163
US 8MR,R451337
PH BUG,N3408316768
IL AMI,W582897658
US STK,R112162
AU BLS,R11674852
IN EKM,N2278426212
AU BTN,R8355114
DE ZIP,R935947
NL VRS,R416844
US W7I,R251821
ID NTI,R14954916
US 5RF,W33117687
TT 4BT,N1098464284
MX EPC,R5605754
US CTC,R195980
PK PZH,N271909330
US ZBR,R199070
BE VSN,R3372867
CA CLS,N558747919
IT ARI,R45169
SK HNE,R2322644
DE MOA,R7987108
US FN2,N154138915
PL SMN,R2912175
IT ZET,R39180
GB PKY,R2504412
CZ LUS,R437715
DE QTW,R6907052
BR SYA,R297723
FR X99,R146383
DE EMH,R2808126
US TDZ,R175870
CA ELT,N51972655
CN ZGO,N244082533
IT SSZ,R45262
PL SMO,R6376183
ZA GPT,R2034684
US QGN,N158574715
PL GLZ,R2927632
NL ERP,R2725297
ES VVL,R340297
US YMD,N1998445852
FR QUT,R152625
DE NAA,R532373
LY RLA,W177407251
IE KZL,R4709305
GB TWR,N311730314
SK DOK,R2149419
FR RH7,R120116
CY ANM,R12311643
HU MYH,R1026185
AU GGV,R11691903
DE 54R,N3169524091
DE 6ED,R7244759
BR CUS,R303703
DE HWX,R965611
BR TSR,R333675
PL KIC,R2911923
FR FCX,R56288
FR BRW,R134239
DE 55X,R1465974
US YGS,R6605102
DE A28,R12473918
FR FDN,R52370
FR S73,R75638
FR VS3,R29144
FR AGF,R146357
CA RRV,R7660839
US AEB,N9879366690
FR ANG,R85809
US CY6,R4196796
FR XPX,R391615
US WSA,R175050
SY DAM,R13442508
US OEW,R127923
RO SDI,R11318315
LA PKZ,N133069982
NL AME,R419152
FR BHB,R138183
FR CXE,R31237
AU BQA,N189820294
SI N84,N679788327
HU BAJ,R1131417
HN TGU,R3850824
US AAI,R119572
US PO3,R141796
CZ MST,R436570
PH PAM,N6450075100
DE NPO,R2778393
US SUU,R114492
CN SRS,R3046782
US KWC,R237651
IT RBO,R43830
SK ZDA,R2272569
FR INI,R77714
ZA JBT,N262720739
DE 235,R387783
IT SSR,R42849
GB BMX,N303417620
DE KRO,R1021756
IT OCE,R41591
FR SIX,R2120299
BF POU,R2916381
FR SJ7,R2981278
ES ACM,R340925
