NL BST,R164225
DE WKH,R935168
FR SRO,R135862
US HNC,R11313221
FR XCM,R2656668
AU WFD,R11690182
IT ZPK,R42494
KP FNJ,R356443
US V8K,N151345973
DE FNU,R418342
FR PSX,R456810
TM KER,W405725640
PL MSD,R2433336
DE DMZ,N59866427
DE BML,R158145
US OOR,N158389136
CZ HJD,R439357
FR TOH,R906424
FR VSB,R145018
IT USN,R40654
BE TCI,N683081900
US HHQ,R193828
FR LST,R2151769
BR CYL,R242350
ZA ZFQ,N262695101
ZA ZAU,N262719552
EE AEC,N33691813
US DDD,R10228705
FR NRI,R31343
ES ESS,R345554
NO GOT,N6203030845
BE COU,R3411169
US WUS,R129262
FR PAL,R33504
PL BUD,N692625141
AR LAR,R2461036
CN TCS,N244081837
US VSO,R187173
DE KBN,R450117
US 3LM,R134761
FR TH5,R125361
AU ASE,R2732096
BR VAT,R1828127
US UJG,N157643158
DE TEE,R446586
PL ZOR,R3049637
US HB6,R6724977
FR ORN,R1347476
MX SDT,N458616973
FR VY3,R333227
RO TIR,R8334767
US RBL,R112211
DE TIG,R958096
ME PLJ,N292101644
PL RZZ,R2920905
ES VNE,N349248115
DE OHR,R534486
LV AUC,R5246546
GB PYL,R9288384
GB EGD,R2865609
SK SEC,R1859942
GB BEF,N4085941
US LRU,R171260
FR 2PY,R78543
US OUU,N154103450
US 9LS,R11059189
IN MYQ,N2068274800
US WSG,R187265
GB FEB,N331202
GB WEQ,R3795156
CN HEZ,N703046938
NO BLV,N3451878224
FR MR5,R88603
US EWX,R251896
ET GDE,N298296173
JP HMR,R5301559
BR PXI,R242320
DE KFI,R448112
FR GIY,R185715
NL WTW,R416742
FR LEC,R91840
US KHM,R6587594
IT SPO,R44155
AU DEB,R11677692
FR ZZW,R85836
BR ASA,R362437
US CD8,N150969885
FR UXE,R945562
DE SAJ,R376881
CN LGH,R5664193
FR PGM,R149785
NO FYL,R5900512
BR CAU,R303670
IT VGV,R44586
CL LCZ,R113197
NO VSS,N290030455
US CQE,R961158
BE VHN,R10519365
AT PTT,R111523
MU BRE,N9280540356
ZA BKN,N262695046
BR CSX,R302538
DE R8H,R387773
PT BAO,R6017834
US FTR,N158313574
FR C7L,R1670982
BR SSN,R314714
CH RSM,R1685126
AR JUJ,R4465720
US LCF,R130789
IT GMM,R179247
IT SAP,N1918479203
DE ZWT,R450513
FR TYI,R159039
US DIT,N158651986
CZ LYL,R441528
DE ZBT,R1070782
AU LOX,R6691838
ES SXH,R340206
CH JBG,R1682497
ZA CHL,N262719728
ES QUE,R345224
US LFM,R140536
IT LVA,N347389700
CA CSD,R7495717
US CX9,N158612026
EE KRG,R350461
BO URI,N1447706298
AU GUN,R6074539
CL LAU,R1767210
IT VGK,R41982
MY TBU,N2445363659
DE 67F,R289174
FR MDV,R552248
FR FIY,R121962
BE GVO,R4497125
TM BKH,W651136459
BE TLT,R1322971
GB YMS,N311974533
ES NYO,R347956
