BR FLT,R297602
DE ELE,R324312
US UOK,R127585
AT KUB,N240089788
PT FIA,R6022191
US RZX,R1949885
SK MDV,R2206713
FR L6O,R1175383
TD NDJ,R3718330
BA ZNK,R14529508
FR EIC,R146826
CA CBI,R11901494
DE HDA,R455489
JP KGT,N8681866596
DE SS4,R3546708
SA ZUL,R12423674
NL VLA,R300902
BR NOL,R302493
IT ODL,R45576
US PIK,R197411
JP AKT,N1321991806
US KSX,N150940184
BR GJA,R332843
IT VEX,R179252
FR UAS,R158799
DE NOL,R1239640
GB NRY,R4676275
AT LNZ,R86708
FR FNU,R384220
SK UBL,R2324000
US W7C,R8898137
GB HYS,R4070438
US RFH,R10073981
NO HAE,N432828073
HT HI5,N614229648
ES HIG,R345645
UA UHH,R2692232
NL DRI,R47449
GB CWG,R8099905
US RQQ,R170654
RU PKC,R4139922
FR OMS,R1170904
GB POM,R9441300
IN RMD,N774646132
DE ZUR,R941796
AU MBH,R11676136
AU USL,R11689968
MG WBE,N1814931788
FR CIB,R157279
AU GTW,R3153763
FR FRT,R80869
IT CSS,R45415
US RVD,R169334
US RDT,N154055994
MX MDC,N4742057332
CA LOY,N7049360790
ES ZDM,N288260664
CA BLY,N309311306
US ITL,R127343
FR SGI,R1347672
PE SNP,R1900646
AR ROL,R3368050
US RHN,N157561740
IN DIU,N708952315
AR MGD,N198401138
FR B23,R2789106
US BTA,R124878
RU KUZ,R1846780
CR CPS,R5685518
BE SJW,R3479855
SI KRO,N276064782
US OCR,R119383
IE WAL,R4299517
US UKV,R206893
BA PJR,R14607971
FR VSL,R124612
US SIB,R137115
IT EAZ,R43678
US NC3,R127641
CA SGQ,R8180275
FR CNT,R142146
IN VID,N3278150473
PL BZE,R2924825
FR GMA,R123059
ES EPR,R341888
FR EAX,R418032
ES PPG,R346202
AT NHR,R397982
US TNM,R12180993
JM PTM,N290803535
PL JWY,R4105358
US BYL,R125747
DE PRP,R1251035
ES CAJ,R339737
FR FLD,R145168
GB VCL,N175881435
GB ESK,N5840613946
AU WRM,R11691049
FR TPN,R270424
SI KRK,W89819245
NL ESB,R1517570
FR RT2,R148730
US 4EX,N158866405
MU TRE,N4537616471
CA KKT,N480357020
US REY,R119937
HT JAK,N375727706
ZW ZMW,N3664272595
HR JAS,R12310637
US NOV,R135054
