FR B67,R88845
FR SDQ,R115581
IT IOE,R45566
GB BAO,N2054385191
DE AH9,R378389
RO VAR,R9849522
RU ASF,R1853866
DE BLN,R444528
IN DEW,N603685851
FR LID,R79390
AU LSW,R7378341
DE FTA,R455475
CN DWA,N3822558045
ES SMD,R344626
GB HDH,R1610597
MX HUH,N9543286307
FR BCA,R384088
NP RJB,R10321399
CA ASS,R9341875
CA YLB,R9451101
TM AMY,N7468764287
SI BLE,R1675660
DE UBN,R1258359
US GHH,R12166365
FR STY,R3061844
CZ MNV,N3358431635
FR T3D,R338007
LK DMP,N1239442633
JP KUH,R4069477
IT CPY,R41768
IT OFF,R42229
NG KT7,R3711502
US NMM,R127367
US GRD,R194067
FR CGZ,R3213219
IT PLN,N1210265796
IT SDV,N856626796
AT VTS,R532517
AU BWI,R11677911
DE 84D,R1239662
FR JAR,R111373
PA ELL,N8406672148
ES GRG,R341533
US WC5,N153599536
FR ZFZ,R271117
FR ZOU,R279687
US VUR,R111270
SE BER,W203765692
DE DXD,R1399074
CH HHM,R1683139
PT CDP,N1427596744
DE UMN,R1269805
CA FFO,R7927016
US GAO,R239956
IT SN4,R41377
IT PMA,R6628636
MX DFL,N3853816208
US SKR,R198784
GB WAT,R2699595
DE PBH,N524557180
US CYZ,R170939
ES SLD,R12632195
ES BAI,R340285
SE BRM,R935659
DE 54F,R158732
MY SEG,N254074485
FR L5T,R76321
BR ADA,R302613
FR CBK,R2077909
US ENF,R11062459
ES JYS,R341496
CA CTR,R4162517
GR ATT,N2850425852
KR CHO,R2474718
AU QLD,R11675540
CL LPI,N332050137
US CC9,R176344
US JEQ,R110266
US YGV,R131947
US DYH,N141031992
MD BOL,R10628802
US 2MA,R142425
DK RKB,N26559138
US BZP,N157579959
BE RBA,R214462
US PSL,N150978869
CN MSN,N1829815802
GB KCN,R4576855
IT CAT,R43200
CG DIS,N619897914
CR BNC,N6289778682
BE RSA,R3409720
US GQM,R189186
BR ING,R298478
CA CCT,N1133307866
FR MX3,R147321
FR SUH,R1173502
US DOQ,N153851685
LV ZKE,R12953713
GB HFO,R6682986
FR TES,R146059
NO BUG,N29339304
CZ NAA,R440663
US ORJ,R199082
BR UDO,R296755
BR MRC,R2220787
BR BCZ,R302615
JP HDA,R4567438
CH 4VM,R1685170
FI RUO,N9820757108
US DAK,R128365
US RRW,N154100656
DE WXA,N240048860
FR YLC,R534440
JP OFO,R963792
FR HAQ,R1078973
CH MRT,R1682162
