DK LMM,N758756695
ES LGZ,W26504115
DE WSY,R453399
US 4UR,N158577239
BR FST,R315162
DE NOW,R1432537
DK BMG,N26559207
DE ELB,R443703
US FNL,R112524
PL KCI,N31620155
AR MED,R9453853
CA PIN,R10492107
US G9V,N150954481
CA LPT,R7953235
ES UDS,R343738
ES AW4,R348056
AR PDM,R5335691
FR ZBB,R1419812
MX TLN,N2397868694
ES BDV,R341730
US PHK,R117916
US QAD,N5907130813
GA LCN,N2178082119
US H88,R183320
FR MT7,R2753318
BR BLU,R302828
ES FDD,R343780
AU ASF,R11689278
SE HRN,N124416425
RU SHV,W557235151
DE HXT,R447194
GR NPE,N296902003
ZA AS3,N262721302
MX ZAC,N448081503
AT VOT,R67017
PL KEK,R2807132
CA NPG,R7596935
VN HYN,R7128990
IE GUR,N52227183
ES YTR,R339827
CA SQT,R8180112
JP HOM,R2682909
DE RRE,R394331
CA DID,N29772204
US WG7,N158266859
US NWK,R384312
BR MRV,R302514
US AC8,R12661485
DE DSN,R935832
US OT2,R125480
FR LP3,R255478
US MYI,R9212836
KP RJN,N5518886936
CA MGV,R8709747
US LRD,R113253
US 8BT,N151558807
IT GVP,R40680
US BDK,N158895657
CH ETO,R1684968
AU CDF,R6026661
ZA ZAX,R2035086
RU SKA,R337852
US BBM,R194116
US SXH,R179870
FR LCS,R2001156
US HUG,R185240
ES L8S,R347733
BR VBO,R296562
US QJU,R187200
BY NHK,R6722420
PL KZB,R13782494
SK BRP,N530544351
PL CRW,R332346
BE KLS,R10507936
LC GRI,R9316447
US P7L,R170662
FR ATU,R152627
IT ACM,N261208015
AT KRO,N240109165
DE VBM,R569413
PT MLV,N283501575
BE PRO,N679637470
CR OGE,R6271690
PE BAG,R1973476
FR B5Y,R550357
FR OY2,R274483
ES AWN,R341594
US EVX,R6571635
RU SGV,R2458972
US AWO,N158811096
CU PIL,R5915230
US SRM,R11976338
JP OQM,R3224421
CZ BDA,R439451
BR IPS,R298240
US GIZ,N158438552
IT MVP,R42362
FR FRI,R114946
FR BD4,R160885
US XRH,R185200
RO BOA,R10744437
ML GUD,N1703670035
CN UYN,N6828357214
DE GYM,R13765312
IN GJP,N2532369155
EC PEV,N4488718493
US BXE,R127890
US BAO,N154319928
DE FRE,R2010625
IT RZZ,R45145
DE GXR,R1420557
JP YAS,N4795361033
BG SLP,R1947828
FR WEL,R1155794
FI PUD,R2525742
US LNV,R110322
LU RDN,R1356683
GB HST,W91085616
FR BZU,R1606296
FR FOT,R1355560
DE GZW,R1334088
PT AVE,R5325138
US EVC,R188393
ZA HDW,N262707119
US UNZ,R126060
CL LAM,R168295
FR SAV,R961617
CL CAU,R255374
UA KIR,R2825228
ES PMI,R2174951
CH OTT,R1682187
FR RHG,R122832
CD LKS,N435789385
GB TMR,N11087232694
CO SA2,N703179891
CN CQI,N734098547
CA MYR,N1569623128
FR AH5,R164215
SE BID,R1520468
US FFZ,R239957
AT BDA,N240110559
FI GUL,N4437424230
FR 3SL,R1403275
FR M2N,R1179646
PG DOS,N7131019502
US AD4,R169298
US NN6,N150956045
US MI2,R134697
US LNS,R3997756
HU ALS,R1078460
CA SLK,N1464633418
NO RNS,N5233688990
DE HBG,R1416139
NO BYO,N527385349
GB CER,N731385978
BR JGT,R297806
RU VNN,W330700745
BG VDM,N273878764
FR POO,R255444
BY ZHI,R5598580
PA RSI,N9187624739
US BLP,R128586
ES TIO,R342903
US PY4,N154125092
US MTP,R175770
GB KNE,R3476499
BF PAM,N902927965
DE CBN,R2778409
GB BPH,N29174780
US S5V,R194161
HU PAN,R1323379
ZA CHP,N262704663
ES ZHH,R341659
LK MLE,N258049423
JP OUE,R1761834
US AA3,R251739
BR MFE,R1830502
BR OEA,R303777
FR MGM,R1456766
FR CDA,R117893
US BJO,R4287988
MX YAU,N273569070
FR FOM,R1067834
CZ HCV,R441079
AT ULF,N240114767
US KZS,R131908
US L2G,R119904
DE ESP,R145253
US C9U,R1839153
FR SPE,R11978
AM RN4,W389022166
AU W23,R11689425
CN POJ,N9778566360
DE LKI,R55736
DE 7BY,N266933187
CZ LUZ,R436638
GR LGA,N281688095
GB HIN,R3390435
BE ESI,N670425267
SE ABY,R935684
IT CPC,R45202
DK KLE,N297671618
ES CHF,R346951
BR RIG,R242762
SE MSK,N337857489
FR RYM,R911498
FR LCB,R128282
DK ASK,N10904602481
US GUI,R181498
LS UTG,N243645756
AR SLL,R3399542
US BE7,R12793154
BR PUM,R1826739
BF BOU,N902926724
FR 6FR,R173418
PL LUL,R2206549
US YTS,R129881
FR EIR,R942377
JP YAZ,R3320531
GB XCW,N29208312
US HIN,N151806313
TN SLI,N2930586474
DE AL9,R54383
FR UPC,R82513
NZ RAV,N1321772324
US SLK,R176209
US UNK,R12045480
AU GRZ,R9095872
ZA BBR,N4620414864
IT MZE,R46001
US JAD,R10224869
AU BAE,R6058881
DE BOK,R1528299
NZ PEO,N62201548
FR AHB,R1675615
GB MEA,R1608957
FR PMP,R103230
DE 62S,R442917
US QHO,R125412
BR TPY,R314639
FR AQC,R1050361
US TZQ,N9221529634
GR ARE,N3791859008
TR SSZ,R13761239
AU MID,R11689307
CN XGN,N244082129
MX PDI,N1707679272
HU ILD,R1390692
EE AEN,R11128678
ES PCA,R345359
US KOP,R3161204
DE 75Q,R1526833
CZ MLA,R439721
MA SET,R2879955
CL PLN,R164137
CN HLI,R3295552
US MWT,R183435
PL GRD,R1671681
US WHV,R239975
BR SHD,R242318
FR MPY,R2944329
DE 83Z,R1254389
US CQV,R119757
DE EFG,R935840
FI KHO,R1855924
FR NMO,R389983
GB BIM,R2990955
DE BDI,R422924
US EIU,R130673
DE BGK,R405840
US DUT,N150920329
US QCN,R187250
GY GUY,N631280740
ES CHH,R348228
CL CGN,R296823
DE GBM,R30971
ES NOV,R342675
