US UDN,R131880
ID LWE,N6392146272
PL LBB,R4429859
BE HER,R1275056
BR OFI,R314898
FR 2RP,R164904
US TZL,R181388
CN LSS,R3289209
DO SPM,R7405546
CZ VMO,R440542
CA AAD,N1208130726
US LB5,R6334114
FR BHV,R115102
JP YWH,R4051176
BR SNZ,R301176
FR UYD,R149385
US CUE,R1949495
US C2D,R182759
US FF4,R134759
FR PUM,R1287590
GB UMR,R1854764
FI NRM,N11017641527
GB WRL,N434648913
FR VND,R276769
LT MAI,R3822300
US PNL,N150981040
HU BAN,R1428540
US XIL,R124822
AT BXT,R541904
FR ZCN,R71214
HU DFV,R1407270
US VN3,N153691391
FR LOT,R122934
DE BBY,R389267
AU XML,R6649175
FI KVJ,N1402095511
CA THD,R2388023
FR ILX,R2948831
FR UI8,R192346
FI LEP,N1563564744
US EVT,R1842139
FR OBC,R20842
FR BFC,R398191
US RKO,N158845062
DE WAB,R173874
BR IUL,R297532
FR GL2,R939022
DE TQT,R1157801
US UQN,R963138
RO JDM,R13854979
NL OOV,R377701
IT VZB,R41011
US JJP,N158569072
DE DUL,R2778747
ES HEV,R341783
US CDE,R170683
FR M6A,R75956
DE BPH,R1245095
BG BLE,R1922468
US OIP,R183412
US OH2,R194829
HU ALA,R1323442
PL MGC,R2996084
GB SHD,N58685757
BR SFI,R2211797
PL ZLK,N692621958
US WHW,R251773
FR UIM,R294957
FR NN8,R142123
LS MSG,N2976866524
CA DUR,N309640903
DE DNV,R11011432
CN NNH,R14180411
CZ VKS,R439622
DE OTX,R1476085
FR DDC,R145270
CN SWE,N244085029
DE RUT,R153398
DE 58G,R423225
IE MYO,R4085175
FR EBA,R1375914
CZ NTN,R441736
CH LSF,R1683543
US SUG,R13686007
FR TUL,R190861
DE KZM,R318308
BE SPA,R2422528
DE RUN,R324308
ES AAA,R347525
US TEY,R242797
ES LTR,N9352940996
FR UCR,R442736
FR PSO,R1283520
IN KTK,N245630722
ES ZIL,R346050
US FK4,R8889921
MX ANH,R6417487
ES SGG,R340209
PH LZB,R3604061
US KOD,R137856
ES LEZ,R339945
AR PSS,R2294383
AT EBN,N240069153
BR FPR,R297543
FR AYV,R53803
US UL5,N158859629
DE BNI,R376924
IT APP,R43750
CL PUD,R168269
BR KSR,R314782
AT HOG,N906961703
CZ LOV,R439254
US BYX,R119797
MY CHE,N7717733753
DE NQB,R1286651
MY BKM,N7384179372
BG ATL,N273873566
DK LGR,N2258508084
DE HMG,R2791803
CH DIB,N5471244703
US NWA,R127470
ID MAK,R11243159
FR COH,R1215496
NL KRI,R3745330
US FV2,R182653
US NLD,R251605
CA YNE,N52557195
DE FDN,R6680431
GB HNX,R3633938
FR ITF,R112378
US BGS,R141226
RU KHN,R2595961
BE NCA,N685124330
