DE 6AY,W315967721
BR CRB,R2212558
FI KOU,R16079783
CN QJO,N3846881801
DE TSO,N1913705858
BO TRC,R4500578
ES AGN,R342784
GR EDI,N364233216
US BYS,N150941874
CA YTL,N107365994
DE DNL,R1113766
FR GIK,R74718
US BQE,R112829
US MS3,N158644322
DE WWF,R943708
MX CDH,N459391776
CN NCO,N244081437
DE RNS,R3650171
CZ KMA,R438621
KE KAK,W660639265
US VIL,R125669
PL DMC,R1565681
ES SS2,R343004
RO BZS,R10718301
DE VIP,R2856468
ES BLL,R343503
US CBW,R251802
US 9LV,R1807447
CZ BY5,R442360
US FYD,R13962371
CA NEP,N52290419
US ZGZ,R124872
US WWB,R183404
NZ MAH,N1900082059
US G8K,N9805365366
CA OXB,R6447595
DE XNU,R1273179
US TJP,R238277
DE 62E,R422844
AR GRC,R3972911
DE CRN,N265802288
UA KKH,R2516278
US NFT,R188923
DE OCD,R543129
FR VOM,R107536
GB GPE,N29621701
US PGO,R112715
FR TXH,R158957
FR B33,R93273
IT CT8,R45579
IT RST,R44747
US GDN,R132534
CN LIP,N3257805953
CA TPR,R7696250
FR 55M,R971033
BR NID,R298060
DE FZT,R418141
FR V2A,R5812049
CZ ZUB,R442041
FR L4G,R1175408
FR ZGF,R319065
RS BSA,N8818885130
DE EAG,R396219
US JWW,N158408357
FR VYA,R395016
PT BMT,R5380921
DE 5B9,R958683
US PBS,R189092
CZ VPT,R439646
CH VS5,N240069432
GB BKM,N123921330
US APW,R110839
IT ZPP,R39277
HR SIZ,R15925465
FR VRO,R3069272
LV BRK,N2069381742
BR VDR,R362348
IN SUM,N1477710431
IT MZ9,R40921
FR DLP,R157301
US VTS,R124719
SK LOV,R2273305
FR GSF,R111490
PL PBE,R6529508
DE KU5,R1246673
FR PMB,R138540
FR BSZ,R154210
US JFL,N153598111
US H5S,N153477607
ES LNV,R347622
CN TIL,N244082066
FR CZH,R76661
DE EN2,R1186706
NL SEK,R161938
FR ZAP,R108138
FR C2S,R277506
JP HKO,R4792125
US VV7,R240056
BJ PKO,R2859964
FR ZUR,R150567
SE AKP,N55080218
ES TCE,N196008214
US BCH,N151573765
DE UPF,R13729247
US DNF,R15937505
DE KIG,R932431
PL JWE,R5640002
FR UM8,R2954532
US TQJ,R175756
GB HLR,N29796267
AU JST,R6532502
DE ZLE,R55734
ES STX,R344072
BR KIC,R301445
FR GOB,R61000
DE GIS,R2813135
DE HPN,R158545
DE ATS,R2808120
US C2K,R182380
US OKD,R132526
DE PDF,R1016406
PK KBA,N765974222
US AHZ,R170405
