NG FOR,W890202400
DE UDD,R7367666
PG AGL,N7416422115
US BEI,R240073
IT VB2,R42018
AU M7K,R2425418
CN QIA,R3625144
US ZDT,R111205
LU HES,R410953
RO RMV,R10718302
AR GPC,R1943943
IL KHN,W385731794
US VEN,R7460566
GB MKL,N3715489019
BR PFG,R301396
BR CUU,R185576
AU MBC,R11689382
FR SGZ,R1226787
BR IND,R297717
ZW MGU,N3028263336
US OTC,R137865
FR MHT,R152899
JM 8MM,W746501575
DE UOZ,N1667005943
US JVH,R128596
NO VAO,R406652
AU KNG,R9099681
US PSQ,N154061794
GB TRL,R948003
FR S8L,R123716
FR NGU,R120892
EG AGZ,N27565120
US BSA,R2834528
BE OWI,R3465189
AU TXR,R11676700
US NJJ,N158873044
GT LEC,N1546026079
FR SFP,R194637
CH ONX,R1685520
US XHT,R182733
ES COU,R343693
DE RA3,R419007
FR ALM,R18416
CA TGU,R9244326
US UNG,R2868715
SE HOV,N97943797
US CPP,R187431
US WB2,R6627966
ES HG9,R339899
IT RIO,R45240
PT BBA,R5402658
US MLF,R198975
CL VNT,N214184341
US JBC,R118954
FR URF,R392608
US BUO,R11112121
FR 8BL,R1574184
ES ZMO,R347628
FR CSZ,R3061900
FR BBJ,R78133
ES DEU,R8671635
FR SQU,R1279503
CZ NSE,R438806
IT LUB,R42123
IT OTD,R45883
LV JPL,R14885572
US 6BS,R137414
NO VIG,N6216715411
US FFT,R130677
FR YEY,R2599326
NE TIL,N277929869
IT RPP,N4338380578
DE WBS,R442914
US DQM,R181632
IT ZBQ,R43731
IT RBA,R44982
FI MHQ,R2297665
US GWT,R13812574
BR CEL,R315031
ES CNU,N2270431771
FR HUA,R135545
ES CYC,R341172
FR SYV,R108144
FR CED,R122468
US 3TX,R113457
US MA2,R189334
MY BST,N369488653
SE LYS,R935549
CL SVE,N6463436062
US UMV,N153983460
FR D9D,R410616
SE AA8,N663041755
US RHU,R121253
CZ NPJ,R440885
BR DUA,R297822
GB TSO,N3990255818
IT CIC,R44658
US RLD,R237653
ES RQD,N492417242
RO BBG,R10366920
NO VLR,R410884
SK MNB,R2384683
FR S5B,R538363
US JQT,N153611963
FR RDI,R146023
GB WHY,R8686634
ES ATZ,R341828
BR IEM,R296608
DE FLO,R414751
PL OYV,R5386790
TH SIB,N114123525
MX MTE,N291728489
CH OBG,N317045711
RU MQF,R10185071
BR YIG,R315337
TH PTH,R13158892
GB CTS,N30020364
US SGP,R6595945
US ZAX,N158623920
FR TRW,R415240
IT RAE,R43013
DE KRG,R418112
US XNY,N158306387
CA PTQ,R8205572
US NV7,R127064
FR ATD,R191471
FR AAD,R121830
US NAA,N158806931
BR BIC,R242692
JP HSH,N7706657711
FR BSM,R105794
FR GXN,R138521
ES CNS,R340502
IT MM9,R41040
ES VBD,R348838
CZ SZM,R440293
FR TBS,R129348
NZ CHE,N204966690
US GHY,N157642897
US IIZ,N158388288
FR RNO,R3158121
RO CVA,R13838179
BR TOS,R301161
IT SVX,N353935371
NO KRT,N5421094484
CH WNG,N240096898
LB HBM,R9106613
PL WEJ,R2640229
HU HDM,R1025072
GB WID,R14661711
DE ZAT,R535901
IT CEV,R42959
CZ VPL,R442444
CZ SHZ,R437476
GB PRP,N1242327216
CA CMB,R8164880
CL EML,N214218854
NO TAL,N2503958845
IN VSH,N619090921
CA FWL,N7096461756
DE US3,R3643297
FR HI6,R1628162
US C7S,R179037
US PGV,R179983
US OS9,N150952956
FR 2LO,R255603
FR EBS,R102851
FR RNV,R169831
FR GFU,R149725
US MUG,R189017
DE OOF,R447771
FI LEM,R2502702
US CIE,R2450577
FR NXS,R146051
FR RRE,R168014
LU 4ST,N410923314
DE DID,N403258519
HU HAY,R1027798
IT TAI,R40320
FR VEC,R1332082
FR CKV,R88832
ID AAS,N6444382338
US GRX,R253954
FR 7CP,R2749629
US UEL,R117196
IT FIL,R45551
BR ERN,R332511
US XFV,R175550
US MBT,R1844178
US IKO,W32976597
GB WBH,R3356848
IN STP,N9921035758
TH PYO,N367367305
ES SON,R342163
US KMQ,R11762341
VE BOR,R10832862
DK RKE,N21040334
CH BGN,R1683618
CA QUE,R2319206
DE MUC,R62428
ES EST,R345464
US NNB,R6603647
IT ZDO,R39517
ES 9BJ,R347180
FR BJY,R911278
DE 79M,R410474
GB NWD,N27365510
US ZBP,R113464
ES CC8,R339687
BE MRI,R3136599
TR KAS,R1727265
DE 73K,R7723965
BR GRC,R302623
GB WMY,N472082752
BR BUD,R297743
BE ROU,R2160648
FI VJK,N1427744414
BR YRC,R302492
DE ASA,R402686
SE ORK,R935449
GB SEZ,R6036213
DE WGE,R1352965
AU BLI,R11675669
FR ICV,R76947
US CXM,R6584701
IN GAJ,N984080146
GY SKM,N571917800
US TUZ,R253824
CA PGA,R9201405
FR TGI,R2946671
IT MA2,R42310
FR AZX,R116096
GR ANG,R1844587
SA ARR,N346703530
