FR IGG,R374725
BR PJC,R362140
BR CZR,R334500
CA CAU,N704270677
FR QMY,R1393352
MG BSV,R7128423
AT MLJ,R453691
ES TRR,R344615
US F3M,N153787983
US Z38,R129808
US OC3,N151377202
FR VFY,R30294
FR PLP,R337903
FR LH4,R134310
US APG,R133194
GB XOV,R6614417
FR LPP,R1837358
GB CV9,N651961782
IE BNA,R5408526
BO SCH,N1511274050
FR ERA,R89470
NZ SHL,N62210502
JP KTG,R10729513
DE BG5,R1242135
US WQ3,R187462
DE 5BG,R452416
US OHA,N151631915
DE ACX,R1417214
CN YSA,W288011754
SE KIA,N28350059
US EXQ,R186585
US MZV,R251452
PT OFR,R5330330
DE SOC,N15372387
FR BRK,R111309
BR PIX,R302705
US DUG,R110675
DE EZ9,R1249953
US FYJ,R188572
CA ADR,R7950489
BR ARK,R362487
DE IJH,R548584
US GSQ,R176358
AT GOF,R34884
DE B9N,R2398897
CN ANI,R5679062
ZA ULZ,N262722332
EC NAR,R2648534
HN JUT,N307972854
AO NTO,N331385742
US 4GA,R119852
US JCY,R114588
US FNC,R111943
US YKB,N158819073
ES MRQ,R12622136
ZA AMZ,N262694804
BR AGD,R298016
US CRD,R128359
US TYF,R119561
DE MNN,R1466109
CD YAN,N435443106
AT BDH,R1016887
US K85,N153758697
PL ZGR,R2454863
DE BFN,R142623
DE 8B4,N291967923
BE SJR,R2239537
NL BOT,R1411108
GR THI,W251907240
US PYI,R133646
ES AGH,R344745
US HK9,R126821
FI SKS,N246077608
AU SNY,R9099682
BR CVS,R362306
US SC4,N158612288
ES CSC,N1243738851
ES MIX,R344449
MD BAS,R9813085
US 5SD,R126734
IT BB8,R43608
FR UX4,R1374462
US CKS,R119365
ES URI,R347616
DE SEG,R448306
US NAG,R169442
FR SGE,R304598
ES OIN,N288260438
DE EEH,R936944
NL VVL,R10121259
IT ZOC,R42151
DE UCE,R1108067
US JVB,R1216736
NL RIE,R2725179
DE AAK,R1254398
BR JUW,R301331
DE WSI,R2410105
SE GUB,R5701296
ZA MGZ,N262712403
AU SVD,R5507321
CU NIQ,R5915229
DE HUH,R935951
FR FDL,R9164163
AT MNG,N4450829536
DE BP9,N33471539
BO VIA,R4500580
FR IVP,R532298
US MCH,R119886
IT XPL,R40985
US MVJ,N153804839
BR BCT,R332518
DE WMR,R62493
FR V7G,R1171056
FR S3M,R120504
GB HER,N679972778
DE XFW,R28970
BG BTV,N273878698
FR GBE,R1270518
FR 8MF,R3187215
US VRN,R11059520
US HVV,R126975
DE DGM,R12134751
US KX2,R113849
US WS3,N150953404
AU CUQ,R11677444
IE KTA,N52247568
US OCK,W33113515
NL DM9,R2722766
BR TUC,R242302
FR B5S,R1446534
ES LM8,N1243036789
DE MPN,R1204721
US KAM,R237697
AU AVA,R2529537
TZ KBG,N8019676915
PT TAM,R4058985
DK OFQ,N8299247367
PA LVS,N3177891461
SE LDO,N249323197
GB BUD,N33795930
BR CQU,R315290
US ZC9,R237432
CN FCH,R12340947
CN ZHY,R10707080
DE EPH,R957745
BR AAB,R302495
US ANY,R130093
FR NVN,R2915660
FI MST,N264018271
US GEW,N150967227
AU WQD,R11677728
US NPB,R1216776
FR UNL,R116828
DE A47,R959671
US IMV,R6595922
US EQC,R169329
FR ECS,R155028
BR BRG,R242754
US S3T,R129834
ZA RCM,N262715298
FR MAR,R113569
CH EMM,R1682829
US MFJ,R128805
DE RB4,R2407370
ES ZJX,R346041
PL PEO,R4214088
FR GVP,R173706
DE LDD,W141423028
CA SVY,N3196389207
AO CBT,N10977443177
US WOG,R9227077
IT CXS,N4116373721
ES GRC,R340393
IT DRZ,N62511438
US 9CN,R331917
MX AYH,N458606429
DE GZF,R318227
NI TEU,R5753322
ES LUZ,R346173
FR PRP,R73343
AU BRK,R5735934
DE KLU,R1240391
US RLT,R237640
DE BMB,R532375
US NTQ,N158288710
NL BBT,R2722716
HR DVA,R8309471
FR LDC,R392022
ES RQM,R347557
TR YAR,R1211492
IT PDZ,R41249
DE AAR,R413109
PK HRA,W235475302
US CLM,R237310
US VFK,N154149863
GB OTT,N1699989057
PL CIZ,R2883527
FR AVC,R130929
RU NFM,R4208576
US ZTC,R175759
US NEB,R238140
CA GGW,N1616739750
FR NJN,R2678406
DE EBZ,R405819
DE EMN,R1124268
FR SO2,R280481
CZ MRN,R441739
FR CMT,R904595
GB YSH,R15749949
GB CLW,R6969311
BR JNU,R314818
IN KNN,W22825987
FR RCO,R117888
CO CIE,R1314682
MG TAN,R7741761
GB LTN,R2359593
FR GEB,R1675794
FR IQR,R173372
US C3Y,N158853211
GB BWS,N27458910
FR TDU,R252642
CA FNE,N52555977
FR XAG,R120208
US RGO,W325933623
CA BAD,R9261384
PA CMP,N6319345971
IT CA3,R42080
CO CCO,N703253756
GT USP,N1039836029
US BII,R237327
FR FSE,R229587
AU ECR,R4525456
ES ART,R10041456
FR TCO,R139132
AT WDG,R110413
US TGK,R16137910
US MAR,R131739
ES ITR,N1217687315
DE 42B,R2808124
BE MEA,N690449086
NO ELL,W319477270
LA SAV,N6066399433
US BCR,R110695
PR JUN,N6255447298
