US 9CY,R119069
BR ONO,R185605
BR SJL,R303838
PL SZC,R2603218
US HRK,R2389793
US NNF,N158842519
IT GUS,R43743
ES GOA,W218986253
NA OVO,W314746350
DE NKS,R1017484
NL ZDV,R47762
PK TFT,N3026200257
GB SOK,N29797315
SK HNH,R2261476
CN DAT,R3008552
FR YYP,R1605961
CI LKT,N443387111
EC LOH,R3651090
CN YHO,R3286958
IT LZ2,R40413
BR CEO,R1840271
US XEI,R237805
CD TNK,R5478121
HR PRZ,R15936311
CH JJO,R1684711
AU CGA,R11690098
FR CSM,R417365
FR BVH,R161311
US PER,R112037
GB AGL,R4589300
FR RFM,R126409
SE FGN,N255898916
CN KGT,R2785527
CZ TBD,R426324
CL REQ,R1665248
CA TEU,R2713427
AU KAY,R10585676
FR TSD,R929389
BR XAL,R315101
IT ZAS,R41436
FI TJO,N5446430748
FR JUX,R269926
NL STE,R296914
IT BRB,N997723706
IE CAD,R6859987
ZW HUI,N4586982195
FI HEI,N254952150
GB INK,R14164950
AU ODL,R6184804
CY VAS,W27618715
BR PHR,R303770
DE HZN,R1184652
US ORH,R1844209
FR AJN,R118076
US B97,N151509697
IN DLB,R14217826
PY ITE,R3654342
PL CSW,R2850325
GB EDW,R957405
FR S8T,R1387777
DE GBR,R537047
ES RIZ,R348856
US AO2,N153443879
US C2B,R117527
FR PAN,R179821
IT SGM,R42736
IT ZJP,R43757
ES LOA,R344530
CH RAM,R1683692
US UGF,R13912991
ES III,R342256
CN JID,R1673543
AT EPD,N240029535
PT PDM,R5399206
NL ZAA,R337728
PL WLA,R3175151
PA LSS,N9984420551
IT GIT,R44865
FR TVS,R1861313
CZ MFI,R437876
TR CKY,R1771126
FR FBL,R412748
BR BUA,R362344
DE NU3,R63062
US NKU,R127618
CZ KOZ,R442610
DE B8E,R2406717
LU WNS,R1357539
US CM4,N150932982
DE DOQ,R1504826
US JWA,R129819
BR GDX,R301207
PA ANT,N1600688722
GB CNW,R4218311
FR PRC,R93873
CI TOZ,N319225798
US INS,R170134
DE USC,N840475758
BE EBR,R3479625
NO FLM,N278427984
ES MEL,R346635
FR PN5,R140256
ES MQP,R342887
FR LU9,R395862
CD NKL,N5644554321
US IAV,N151917029
ZA VIR,N66135953
DE CHW,N103025381
US LQ8,R2561346
BR OBA,R303791
FR BHM,R84000
AU ATK,R2430790
RU OMS,R1558108
IT 9MG,R44159
AR CDL,R3190511
BY SVE,R5598676
CZ LZC,R440430
US MGB,R9426592
US TUA,R137134
ES ACT,R344730
FR SX3,R170086
SM DGN,R10758539
ES AC9,R345137
FR GE9,R80340
ZA ZBF,N262705184
US D9E,R124799
NE ZND,N277873430
BR MPO,R297941
IT BSP,R46150
BE TEN,R207264
DE FMR,R1245826
IL NAS,W616781620
IT NNR,R47070
DK TRG,N2398614132
DE GFI,R1970196
AU BAH,R6669186
GB SHL,N26890166
IN JAK,N1421848737
US FM3,R170337
FR ZBI,R76251
US EWK,R129736
PL BUO,R2936845
US QDE,N150953776
CA WLH,R11990582
DE ZIL,R957071
FR MPI,R395963
ES IGL,R345402
FR CU4,R74368
BR RHO,R332833
EE JUR,R350534
US SRB,N151573028
FR BEP,R155953
DE GRF,R2168243
GB VJL,N4597038026
US HDY,N154026330
US XRN,N158900780
CA MKD,N3051839178
FR HBH,R120266
SA JBI,N1237806938
IT C6E,R39238
IT MC8,R43707
FR QMO,R140338
RO RZV,R10761201
TW SHL,N1831902896
CZ ONV,R437498
CH FLN,R1683072
US POL,N158385491
DE OXR,R1310637
DE RHM,R452423
TR AYZ,R9644506
IT NNB,R40580
CN QNX,R3221011
US GBT,R197447
DE MQB,R958245
DE ALR,R957781
CA YVQ,R9495979
US NLT,R131898
ES JDM,R346900
BR OUV,R334618
BE WYT,R1276816
US IWU,N153456118
FR JKI,R55826
US WAZ,R141109
US HWM,N153690577
VN BHA,R7154127
CN JCN,R2723535
BR ARN,R296568
BE E8O,R3401815
ES ZFJ,R340391
FR BYE,R1664257
FR SC7,R123506
US LV6,N158633208
RS PLA,R9823083
DE BQT,R324306
GB CTF,N528870828
US FUN,R3158839
FR SSP,R123299
FI IJK,R2269241
CZ ZAB,R436966
US BVK,R251948
BR BJH,R303686
US 2SL,N87609262
FR UJA,R70075
FR 7AM,R1662095
DE 5TP,R1389622
IT LZG,R47220
FR FEP,R398224
ES PLE,R346850
BD SAV,N141466273
MY KLA,R10715532
GB WOY,R3348908
FR HEI,R386127
ES FDR,R345413
DE GES,R1074556
VE CAL,R3372017
FR VFB,R554513
ID WMX,R8681677
JP HIC,R2682892
FR TLK,R122782
DE RHN,R401645
AO MOS,N331386368
DK HJG,N2222367820
BE OKP,R1388718
BR MUA,R297922
DE C9K,R1070986
CN SDP,N2334263235
IN BNR,N1437729448
FR 4JP,R116646
IE DLV,R6621533
GB HYM,N30691909
ET BCY,W495196697
DE BIM,R444944
NO MOE,N298010354
ES AEQ,R347694
US TMA,R119766
NO HEN,N249162242
US HGK,R181820
BE GRA,N61970178
CZ MOR,R438304
DE RGE,N240053800
GR ITM,N301280384
US ZE6,R12172401
DE EZE,R1387448
BR TOA,R302621
BE LDK,R962589
EG DMN,N299499376
IT IT5,N61753650
DE HHC,R1424151
NO FSA,N256157006
CA LEM,N4763116805
PL TCC,N2110402567
NO KJK,N224351183
DE WKB,R14289493
FR JJD,R279990
CR CRL,R5688183
FI FAJ,R2523702
DE BLH,R1071015
DE VT4,R1258374
NL RNS,R2713023
ES GET,R342893
PL NWY,R336328
US KT2,R119648
BR DEU,R185640
RU TKY,W46910429
GB RAN,R3296644
FR AAI,R88613
US LG3,R2294586
MX JU2,N3007962636
CH NDG,R1683557
DE CTB,R537137
FR UQ5,R3251985
FR L2O,R452533
UA DSK,N337574659
FR VOV,R110537
US CSK,R112343
FR MA2,R140517
CN LYO,R5673954
US 8RB,R1216729
BR BZE,R303649
GB WOC,R6000816
US 9WF,R12194347
FR D25,R94166
US LFE,N153815841
IM BRI,R1061141
ZA PAU,N155432734
FR ESP,R2638180
SK TVR,R2167087
US DGH,R198760
DE HIN,R147443
BE HRU,R15863077
IT EXO,R44207
US RMV,R6587508
US OAC,R242285
DE HDH,R403726
GB XLU,R5290228
FR NV2,R135746
DE HSS,N360221902
CA CBM,N4161460698
PT SJV,R6022201
US GIN,N158819957
FR L5D,R362642
SK PRV,R2217930
IT TST,N703220966
FR PMG,R174776
GB CAI,R1288967
TH BRK,R92061
US GZT,R2045471
GB NHI,R2846893
FR LTW,R539883
IT GCZ,N517882436
US D2S,R8196987
PL WBZ,R2645498
DE ZIY,N5804216359
IT LCM,R45731
US UDF,N154396594
FR ZYB,R2897242
JP YBT,R4056277
BE GGI,R11130631
US ANX,N151778567
IT CTD,R45074
DO AZU,N250651411
BR SVJ,R302706
GB DSO,N29201437
CA YIB,R7657831
DE EEU,R383589
US ZYD,R206946
SA WAE,R12423662
BO SJV,W169625523
SR TOT,R12994995
TR SYR,R9362961
US HQJ,R131900
IT REG,R39503
US CDO,R182425
US YOX,R127388
US H6S,R179003
ES FNN,R343210
US KO2,R121204
US RF3,R11049762
BE LRG,R3134191
BR YRM,R362486
BR DUT,R298436
GB BHY,R1837465
IT LLB,R46457
US NRM,N154390437
DK BGS,N288674041
CA CAD,N146305735
US GJA,R127484
NZ HDS,N149668039
US M9E,R112418
VE CLZ,R14510928
US OCL,R128526
CA ANA,R8138190
US KMI,R128773
ES COZ,R345732
AR PWA,R7565215
BR GRA,R242324
AR SMM,R3348578
FR HOA,R58083
SI IB3,N270530452
CH CAM,N434747198
AU WFL,R2556993
IT FIS,R41835
HU BZD,R1368008
GB WFL,R3872597
AR MDQ,R3402727
IL 2LL,W91449722
US IUD,R6584726
CN DSI,R10721908
US G3T,R169680
PG WED,N10290864187
BR GCO,R6170007
SK MNO,R2206765
RO COR,R11318836
US HSE,R10164215
JP IZT,R358795
BR IET,R362339
DE BBX,R2856985
IL BAG,R1398019
CA EPA,R7569194
FR LN2,R1373254
FR FAG,R417948
FR MES,R152511
FR CLS,R1230132
SK BTZ,R2275133
BE TMS,R13072580
CA BLH,R9671072
PA RID,R9357728
US M4B,R239880
BR ZIA,R325862
