US FUF,R1217254
SE SZS,N502895330
US GMG,R13650391
FR QSV,R906814
CH CTR,R1684763
HN AMP,N321618441
NP BHP,R12379690
US QHR,R187655
FR EAU,R140205
HU TKB,R113462
GR PST,N1827636451
BE VMA,R4473406
IT ZRW,R46835
BR CDT,R242342
US AID,R127619
TR BIT,R1836397
BE MEB,R11130348
TW GAN,R2108620
US KDN,R127553
PG BIZ,N10574529521
YE HAU,N1226124363
DE MIL,R393538
ZA ZEG,N262721888
NL ECK,R1419270
NO KRV,N30065699
FR LCG,R1126886
AT WSL,N26748998
AU UUP,R11688673
CZ TNO,R440087
BR SOF,R303936
LV ROJ,R15416627
US JGV,N157563953
IT BD7,R44986
FR SOA,R161253
CA NGU,R9570012
PT STA,R5400893
CL LMU,R1798792
US KLK,R10259184
ES AM2,R344536
HU CSD,R1360481
ES AVI,R348905
JP KZJ,R5674831
ES EDR,R341047
DE OML,R2902835
DE FIT,R163177
BE HQI,N61962690
PL NOI,R3086466
DE WH3,N266284819
AU NBW,R2383821
NZ WTI,N4930413633
GB NTK,R660922
BE SRB,R3479670
DE MBA,R1074561
FR BJT,R128193
GB ELS,R1287587
US FZG,R119855
BR ADM,R332886
FI VAS,N6387961539
GB VVE,N26674471
DE WKO,R1245784
FR VMN,R107551
FI VAA,R1855926
BR JIH,R242646
IT CRG,N561667801
CA HNO,N1134669226
ES LTN,R342085
CH TIL,N430277777
DE SAD,R1273359
CN WYK,N2387195665
BE CHM,R1549983
BE BNU,N30119709
FR CXT,R23266
IT IGP,R11909604
FR CCB,R55561
NZ HLY,N860209476
FR ZLO,R931307
BR KOL,R334521
SE MOO,R5830185
GB SOU,W116378363
IE IBS,R6867905
NO SFH,N727807577
GB BOQ,N29094444
CZ CEJ,R437199
FR MUJ,R2967181
US OYA,N158807362
CU MZO,R5915227
MX LTO,N303081835
UA VIZ,W1115501162
HR VNJ,R6466256
IT CZ2,R43974
KP WON,R8318609
CA BRB,R7473982
BE FLR,R2048709
US IOE,R197268
AT LUT,R75794
CN TPO,N2525372140
TH PKR,R11980261
IT MTF,R40610
DE BDU,R907045
CA MMA,N2138043235
DE WYS,R2789609
BE SLA,R11700218
FR DGV,R37778
FR PDB,R74043
GB HSF,R4818767
US W2K,R130510
FR TYU,R1136125
RU CHU,W682107825
US DJL,W33105850
US TL6,R181493
FR JBD,R301738
DE WIW,R1071006
BE SAN,R2139558
VE IND,R3454275
IT AGA,R39275
US XJS,N153759846
AU CPW,R3148587
IT BLO,R44442
FR IUH,R85584
BE ENU,R12729118
ID BEJ,N1308395046
ES VL9,R342991
IE BAO,R2716683
IT CL4,R41143
US ZGM,R9244637
IT RBD,R45194
US QFI,R131677
ES VPE,R343194
US C3H,R185154
CN GXC,R3180602
BR POH,R301325
US M5B,N154115119
US V74,N158310306
ES LAE,R348195
IT ZGG,R179074
US XZZ,R13565248
US ANB,R110519
BR PMZ,R302811
IT PRI,R42300
ZA NLP,N30211883
PT CMT,N4361088134
MX TDT,N291976894
FR GRX,R151053
US YAZ,R7163861
AU MUA,R6711556
BE CHA,R2147711
RO CSU,N462603896
US 9ED,R125794
BE DPE,R571891
RU RZN,R1782722
FR QWC,R2700187
FR HHR,R1362086
US KWR,R123431
AT KIN,R3902671
CA HRE,R2830101
CZ BZC,R441143
GB WTG,R1430003
US LDS,R110139
DE NAI,R958106
TM TAG,W405683502
FR HCI,R140530
US D88,R237728
IT BFE,R44736
DE WTF,R1352214
PT OLA,N360671378
RO BCT,R9664753
FR 8OU,R152227
BR JPH,R314594
IE COL,R6958387
PH NOR,N198531056
IT ZWR,R45537
ES ZBQ,R347697
IR SEM,R8199817
DE NZK,R446592
SB GZO,N1958106184
US AHB,R187527
US HY8,R206603
SE RYD,N325898110
RU NEF,R2730507
KE BUS,W362718943
CA PHL,N4246724047
CA SJR,R1600484
FR VS6,R285731
DE OBO,R394337
PK DDU,N1970511970
US 7WN,R2030037
FR RYU,R148028
FR S6P,R3006339
FI ALH,R2194232
FR L5P,R1120356
JM PKS,W178781995
DE AAW,R1059433
PG AKG,N7414986040
GB LMD,R4610666
PT SAG,R6431749
AF KDH,N97993575
FR GAB,R107664
CL ZCO,R1767300
FR B6B,R3337389
BR ARS,R334509
BE LGO,N3967251266
ES ZNK,R340225
FR M3T,R1630104
ES AGC,N1243070006
US CIX,R127237
US FEY,R16128241
US YOR,R194079
BR CNM,R301167
IL KSF,W897748805
US KIC,R112332
CA MGT,R8164172
US LAB,R5972857
FR MLC,R116568
RO STG,R14879065
DK KAI,N105097346
ES LTA,R346726
IT SGO,R45577
US LQL,N154077580
ZW LI4,N3910000479
US 5XT,R1844186
CA NTO,R4204106
US TMQ,R187760
US 6HC,R9100913
BE SGM,N1833218652
BR IOG,R298471
DE GNL,R393346
JP IZW,R4548228
IT GUR,R41813
IT VDU,R40352
GB ZCA,N21279789
FR P7A,R144176
US NUT,R170772
FR WMI,R1127370
US ZCR,R127471
BE VLX,N662019977
ES CRV,R342199
GB BIP,R8542660
US AWM,R111117
US JUA,R189152
IE BLF,R7034648
US NPZ,R133500
NL ALB,R272320
JP JPK,R4759944
FR ASI,R1851586
SI POV,N470924359
US DVV,N158918520
FR LE2,R399745
HR ZPC,R14225151
US GIM,R136936
FR LQS,R125239
FR PUY,R2165312
FR 3AH,R2349982
BR EFS,R314585
US K44,R133760
ZA PRK,N59612914
GB ADS,N1825351034
AU ELB,N8422277972
US M2B,R185307
FR GIC,R921599
US VPK,R6022366
US BPM,R134508
US ZNB,R174492
PT CMH,R8427680
DE ZFX,N1159296979
GB LDX,N1370329100
FR RAU,R148147
ES ZNU,R340009
RU SAB,W676167454
AT KTT,R943197
AU BGE,R2451494
GR GAO,R13366108
FR PJ7,R150330
ES SP4,R12684561
DO LAV,N250447847
DE 7MB,R14289629
IT ODN,R46517
FR PM4,R146188
AU ACK,R11677714
BE BZG,R1321378
DE TSN,R412432
FR GIJ,R233342
US WAP,R127611
GB SIG,N21091709
NO BRK,N59809844
ES GRA,R341523
AU ASQ,R5624064
FR ZIC,R276812
BR WTF,R242453
US SZX,R12166255
DE BRB,R935134
BO CJT,W122892564
AT LFT,R534046
BR PVH,R325855
GB GFF,N28219991
US WHH,R182079
CA WDS,R9349948
FR COJ,R252606
NO ARD,N206095709
US AOI,R119931
ES BG9,R339859
BR JGA,R362513
US SUF,R206528
CA LZN,R8180116
FR BZR,R70070
US AJF,R119964
US MSH,R134545
RS SUB,R1279957
AU ABX,R5901440
DE 9BY,R10226393
GB WCE,R3553570
ES ZFX,R348046
GB ROK,R8395457
IT PZW,R45046
DE WHC,R956870
CH VLM,N240026989
DE NBG,R943684
FR LDA,R140376
US TAN,R130601
US ROR,R370095
DE LON,R1255902
MU BLM,R13476446
GB KSF,R1400980
DE 4FM,R1424394
CA LYS,R8055269
JP NAM,W464515051
BE LEH,R3368271
AT SEI,R111538
AR BAD,R2537834
NG JIB,N501449268
CF GDA,N4307030427
GB BLS,R76851
AU CFL,R2395595
US OLR,R136764
FR UGN,R301824
CI SGL,N2725995822
US FBH,R8890591
DE BZB,R957047
GB HGE,R3334985
US 8HA,R361453
NO FRJ,N6216710678
CH ZJW,N240062727
IT OLI,R39913
DK HST,N26559208
DE BBU,R384270
BR CEP,R302700
CA WCH,R9118794
ZA HIL,R10632498
US XXC,W785501453
CA RDM,N29772180
GB LW9,R11168415
DE GIH,R456987
US SVJ,N157639702
ID DEP,R14525364
CH SVZ,R1683408
ES BEL,N4906107824
MX CAN,N2010661020
MT KAL,W730435990
FR ZUE,R53418
FR N5V,R56421
GB CTR,N94176427
DE SB2,R1332939
PL STB,R4016676
ES LPD,R343301
DE 5HL,R453172
FR LZP,R124924
US PX9,R1212773
BR PSS,R334499
US MRC,R197449
GB WSW,N25676239
IE NNR,R3967492
GB TUT,R6966927
DE HMR,R2063637
BR CWM,R303636
DE LPW,R551154
DE FBL,R452421
CH EMG,R1684517
FR TEU,R525574
CA NKA,R7923729
LK PDU,N245519771
HR BUZ,N255611715
CH BIS,R1685277
CA GVN,R2862979
ZA BEW,N26925608
AT BHL,R2006262
GB WGN,W698614440
ES DSM,R348154
FR SZL,R58638
US KUV,R127891
US RPP,N150940810
FR DCU,R145222
FO SRV,R2154110
DE SMT,R1438068
US FTQ,R3481853
US MEO,R180141
AU MYR,R7390334
US AT6,R239904
FR DYS,R145138
ES BCA,R344068
DE 8AV,N3888944138
BR OVH,R301370
AR JGR,R2149206
HU KJZ,R1370247
DE S4G,R2818530
CZ PDE,R440121
US NEE,R1943944
US ZTV,R126247
US KH2,R141781
RU NZV,W542097529
US CD5,N151537097
DE ABF,N1577002557
US P4T,R188246
RU KAK,R3048533
GB HCA,R1315974
FR SQ7,R152910
DE THT,R455470
DE BBT,R2498094
JP NHR,R4556083
US HRB,N150932683
FR P5I,R115065
US OZQ,R125968
TN CAR,R4135055
ES GGR,R346480
GB SET,R7282586
ES VDR,N249561520
GB BFC,N289956328
PL KPR,R2813386
GB FDH,N1690271920
GH SOM,N738980914
DE RSZ,R2778488
US SGO,R195965
US PTP,R179808
US AO8,N141033448
CA CYW,R7932213
BR KPR,R332501
US ODY,N158570610
PE VHN,W260321779
IT SBN,R43429
IN JGB,N571101442
CA GMO,N472560206
US EAG,W938252444
FR XC4,R396725
US AUT,R111192
SI T29,N445848709
DE TT5,N392658849
CH FNX,R1684979
ES VIL,R345680
RO BDF,R9717308
DE WOE,R904764
NZ PBB,N289349659
FR EMM,R74178
FR MYC,R161877
IT NNO,R39952
DE PZG,R1080496
IE FSF,R14605853
BE HCI,R2102788
BO PTA,W366140251
CH MAR,R1684543
SK KHU,N102585118
DE DOB,N1760815790
CZ PEV,R436992
CA FTH,N1352977550
ES PIR,R345699
FR VG2,R154884
SE VRI,N254041816
HU CEG,R1323439
US PGS,N150968162
AU KIA,R11677134
PT RIO,R6022198
AU NWP,R5614602
US NJA,R188534
JP UKU,R4792039
GB KBO,R1628753
DE NE4,R958965
CZ JEV,R436647
GB MCM,N2522143388
US MKN,R206943
US WSE,R132528
SI CER,W114552752
CH KDO,N2003639587
NO TRN,R408222
US ENB,R127349
ZA KIM,W31274983
NO LRD,R409076
FR IGZ,R274482
DE FIS,R968903
AR CDS,R2822715
US UMC,R127787
MY LAS,N647516496
ES OIT,R345307
US MTI,R124791
DE HS9,R2734493
US PVM,R137397
US HVP,N157643142
DE LHN,R59415
FR SMC,R422156
CA BSS,W72940978
SA AKH,N1236705190
GB RUH,N7280633589
DE 82Q,R421227
US WRR,N154314552
CZ JNU,R439224
FR PNU,R56014
FR LML,N259806289
US CAL,R132578
PL PWK,R2971215
US TKU,R137290
CA SUS,R9664203
IT BD5,R9346588
IN KGA,R14282422
US XGP,R1865799
ES PIT,R344397
AU GOC,R11675459
FR SH3,R384222
SK IPN,R2210197
FR MEI,R105275
DK TIS,N9350711771
CH ARL,N600048453
AT GZS,R943077
TD MEF,N7719688612
BR DER,R314956
GB OCY,N24978378
MX JRZ,R13838742
US GV6,N150948841
CZ SLS,R440951
CN HCN,N244080577
FR MOT,R137735
DE HNL,R1182394
ES URD,R339647
GA MBC,N3450710257
ES MGR,R346504
PT SRT,R5396190
GB HYO,N1329027309
IT DGD,R46682
DE WPH,R173849
US TMM,R126074
RO RMN,R10761211
GB WNB,R3411970
DE ZON,R1253802
PL WZD,R2715727
FR PB6,R76000
AT ZEN,R111832
BR IOP,R302688
IT CDS,R44153
GB YAL,R2353097
US KU2,N6984025292
HR NVG,R6466286
FR I2H,R227233
FR VAH,R2307315
US MOL,R186593
HR KOS,R9072034
GB DOY,R297232
DE HH2,R215972
PT BBN,N2766890744
DE UEN,R1184560
FR MI9,R184462
US M5L,N158851242
AU SYA,R2384446
US WUF,R237219
FI STA,R4657179
US YVA,R7650675
DE MH3,R1946738
SE NYB,R935475
US GRM,R137679
FR VT6,R164614
LU SCH,R407741
IT ZVZ,R45593
PG AUP,N7416696368
FR TRK,R275461
LK MTL,N7244388573
FR PAJ,R448653
DE AER,R1169356
US YNI,N158915783
FR CIA,R214395
US RTX,R8382049
IT VLU,R45083
US QUP,R119809
US 9KP,R115449
MY KEM,N254074007
US PYC,R5675894
US SKX,R141018
FR SN4,R537377
ES TYZ,R1863916
DK HBL,N7993083149
FR 2MO,R92143
US BSH,R175691
MX MLT,N472257687
PG SMU,N7688724220
US SLP,R131608
BF OB2,N1082784388
FR OXE,R75970
US IAK,N153856180
HU KOM,R1027781
NO RAO,N3240732590
SI VUH,N290509491
US NC2,N154353946
GB HDF,N26703087
US JEC,R170953
EC CRT,N249422397
FR IER,R269889
DE 72C,R1420553
CL TIL,R175894
MX MSL,N472257743
US SYI,R197466
US NRD,R170657
JP TAI,N8535693079
ZA RDB,N262721987
FR LI9,R531554
FR YXL,R2169366
AU TBC,R11675695
GR IKE,N353880861
DE 7AO,R2218441
BR PEZ,R314937
CA BUO,R2840305
US HUY,R242806
DE LNN,R659752
DE DTW,R1621065
DE BJ3,R1245782
FR RYT,R151109
LV GUL,R1823773
PL OPT,R6838007
FR XMT,R970874
GR STM,N789215824
IT AG2,N213482697
BR RMB,R242645
ES GLA,N667520908
FR MQC,R124355
BR MEO,R301352
US XJC,N158493124
BE LGA,R12871009
DE GTO,R138119
GB ILH,R6736193
AT SBG,R915354
KE LKG,W198653249
IT ZEQ,N1828651643
FR XDH,R2897598
FR 37L,R285567
SI TRD,N468347629
FR AHE,R114981
SE BOD,R935421
ZA GRM,N26453407
SN MGS,N351540931
ZA HAM,N1334311352
DE M8B,R957054
US M4V,N154018194
RU IZB,R4857732
FR ZHY,R2604626
CH VTP,R1685014
US A3R,R187890
DE WBX,R1185589
IE DFY,R6950988
ES AGZ,R345085
ZA MGR,N262721297
FR H4S,R113541
JP IWD,R3256890
HU BIH,R1444159
CA LLV,R9236371
US ZPH,R117454
US MVH,R174883
DE 83I,R1182314
US G8R,R12180995
ES EDG,R344748
US M8M,R137060
US HBY,R137695
AU R5W,R5646832
RO CIA,N460195228
IT MPV,R44128
BR SLD,R334042
FR MU6,R153422
NL ABB,R2726744
US CAR,R132495
HU EPE,R1456917
BG MEZ,R1922252
IN UNN,N1181276716
DE SPP,R1243987
BE DES,R1212060
PL NDZ,R2997041
IT OSP,R45282
IE JUL,R14607828
IE RED,R5170638
FR AYQ,R3259823
BR IMT,R315000
US MUC,R179699
ES RB2,R347379
CH BRY,N354850357
FR QXM,R155545
FI RAO,R2506383
DE NUT,R173876
BR SGI,R315383
JP YGE,N8723840276
US UAJ,N154210227
US 2HA,R237860
CA YTT,R13095792
GB NHC,R4784617
IT F8T,R41418
SI NMO,R1685734
US NIA,R197329
CA VEB,R12085602
DK HEL,N26559025
MY SIP,R13085041
CO TTM,N703253892
NL GOK,R298860
FR 8BU,R942844
US LTG,N158630729
PL PLW,R3995887
TR JYN,R9680778
FI SYY,N5126455617
CA COU,R2221301
US H6R,R175833
GB BWQ,R3331619
US XHD,N150934663
IT GNR,R44030
FR SPN,R88790
FR PAC,R74791
AU DCR,R2386805
FR MJL,R319064
ES ESO,R340729
FR TCU,R7857995
ES BJN,R346942
DE 78H,N269386342
US MDQ,R182620
US LKX,R119285
US BBR,R2017153
FR AGG,R3044987
AT DUR,R105872
BR MRS,R15959925
FR H4T,R377949
DE 75M,R1180887
ES PEB,R340665
DE PHN,R401641
BR NBI,R333737
FR CUT,R56171
DE 5BJ,R1152700
US CXY,R6595886
US FLC,N153866477
IT ERT,R46290
DK SKL,N262161952
US YYX,R139881
BE BAV,R960127
FR L22,R149085
PH BLY,R14454034
CA KES,R14467396
NO TJO,N5424474014
FR I79,R149690
AU BCB,R11689512
US PV4,R11000242
HU OPU,R1025114
PG HGU,N103905360
IT ZHN,R41325
FR CKI,R55893
FR CZO,R395964
DE HHR,R2805973
AR BEL,R2430419
IN REW,N245723853
IN QUT,N5606586548
US S6E,N150954716
FR FMI,R58173
TR CTK,N259669697
US PLZ,R6575893
BR AYT,R315433
ES TIP,N1015159922
GB RYA,R11524178
US JDS,N150950059
BR UPE,R297894
