BR ICN,R1826741
DE B7E,R2338535
FR BBC,R107008
DE BSF,R1168892
ES AN4,R343545
GB TOL,R1551152
US B8R,R12203860
US WBD,R1844205
FR ANW,R945992
CN HUW,N1758136491
CZ BVA,R441590
HU STF,R1078476
GB UPD,N4907717947
IE NWG,R8449477
SK TIS,R2274725
FR SKO,R1304307
FI SKB,N261100944
US WV8,R110320
US MZL,R175954
DE BXD,R1322549
US MCX,R130727
DE AQW,R1427888
BG API,R1922486
BE WBR,R3418196
FR CGE,R108432
AR LCS,R2993135
FR ZSG,R384360
GB SYK,R1875313
US IZO,R12194317
FR 6YC,R164241
UY DOL,R3287661
MX PRS,N1357145102
BR AWZ,R334596
BR NAS,R334001
NL WAR,R2714005
DE HIL,R1176503
FR BL5,R1150939
US BYV,R206975
IT VL3,R40890
BR PFC,R332931
AT MAT,R109349
SG CLE,W795876723
FR HAD,R152695
IT FDG,R40166
KR HNM,R2409172
FR VCZ,R1547702
US UZI,R170645
US YCR,N154120454
ES CMO,R1864281
CZ HLH,R441571
IT PLF,R41190
US OYL,R7162873
TR ERZ,N26486754
FR L8M,R934971
HU OOD,R214933
DE 9AA,R1332255
FI MTA,N2619272666
DE SON,R1273177
BE MTA,R2429916
IT PAE,N1728507196
US SFF,R140645
IT CNY,R42851
US 3SD,R238654
IT MDS,N8325642187
ID JPU,R7625977
FR LYO,R3202959
NL BHM,N4320431436
US 8XD,R182075
BR GAA,R314584
IN SLT,W155174612
US HJI,R137228
FR LM8,R195304
IT LIM,R8326157
CH THA,R1683713
IT OVR,R46181
IT MOY,R42143
PE EEN,R1969731
US BOB,R251595
US ELG,R175853
NO SFS,N6205774431
CL PMC,R1798806
AR GUY,R2921358
US TMV,N158353552
DZ KHE,R4112854
HU KDK,R1367891
IT CIO,R44630
DE HEZ,R1130285
CN QIN,R3469133
FR IGS,R319092
FR SYF,R93276
GB DGR,R2283619
DE KIE,R7914079
US PGP,R170578
CH PLG,R1685103
LU FEN,N269127500
PL WRA,N31863869
DE SWD,R962184
EC LAM,R3774336
FR MTZ,R915399
ES MZO,R345277
BR EUB,R298491
FR OOC,R2194003
US RZY,N150954025
BR VID,R297582
IN DMA,N1070269375
NO ERS,N7097749204
DE WLM,R1357886
IT NMP,R40795
US HDU,R305528
CN SPI,N5127667640
IT TVC,R179079
PL KLE,R2911924
MX TOL,N3637194072
BR RBS,R297823
US HON,R195122
US VNT,R112589
CA CNC,N319104195
US PQP,R6571670
US BHH,N150977317
FR DDG,R121749
DK MRS,N7993125772
FR MZC,R2726676
US MAV,R115384
US CUH,R185203
RO MTI,R9845367
NL HTR,R334189
IT SG9,R41469
FR 2GR,R382567
PL BRS,R4105357
IT ALO,R44825
TR SOG,N304237491
GB PTB,R11075122
GE KHV,R16084742
BG DUP,R1978249
SK SYB,R2217946
SE SGZ,N1952857097
CA VOM,R7692496
DE EGH,R445500
GB CKH,R3871327
FR CL6,R127046
BE ANS,R2387590
BR BQU,R303897
FR BO4,R105045
FR BXE,R3000815
US NAL,R183427
US IHP,R2362284
TR ZCA,R1812321
FR FAO,R166092
GB HOP,N811441313
FR FKL,R115225
US 9DH,R3166225
BR MLU,R302480
FR 4SU,R3020440
DE SHG,R2785268
JP URA,N7163592523
UY DZO,R3245362
DE DEX,R2012735
FR XDU,R87645
FR 7RL,R223468
JP AJK,R4107525
AU MEN,R2396284
BG ELE,R1929746
BE BHT,R2162969
FR EVE,R118104
ES NSL,N349238559
ES RQA,R342346
US ZCL,R187672
SE FRO,N337871629
ES CA6,N1210776822
BO COR,W230105494
AT FSD,R105568
KR KPO,R7740687
FR CXW,R191570
CA SFV,R2416081
CO PIV,R11890151
GR KKZ,N134237444
US HFB,N158811396
IT GEL,R44479
PL MAR,R2961897
ES ATI,R344856
GB FKH,N540940205
DE RBP,R420576
GB KHT,N495075747
IT RZI,R44864
FR CZY,R146768
GB ZPB,N107429248
ES FDE,R341117
NO HRD,R407767
US DIE,R119985
NL VAL,R2078313
BR OAS,R314913
US ITN,R188295
MM TAV,N26576200
US MP7,R128460
CO PVA,R7740575
HU KKS,R1130355
AU KAX,R11689940
FR XRX,R75469
FR LWN,R158287
NL RAS,R1450783
GB DVN,N267259178
GB TLC,R3959181
US LXS,N151569640
DE B66,R1231959
BO SAN,R4505766
LB AMM,R8347406
US A6N,R176005
FR AHZ,N624027794
ZA ION,N262708734
NL LEY,R409806
PL MTZ,R2584406
FR GCF,R122898
PH BSO,R1513433
IT 9SR,R39185
CH GVL,R1682456
DE P9B,R941946
ES DY7,R12578267
HU SZN,R1317824
US M8O,R130883
US ZKH,W197752984
FR 6BF,R2996989
JP KMI,R3989984
GB HUF,R3992500
PL LWI,R2966774
CA UPO,R9119222
US NMF,R170653
IT TUV,R39611
DE CGL,R402690
CA LCR,N1842968256
DE LZE,R449941
ES FRV,R340435
GB MMG,R2889966
GB SUP,R2878428
HR VGN,R15897344
FI PAA,N4927064731
FR SR6,R1773356
US 8VL,R12201633
US C6B,R1216955
PH GUI,N2527297456
BR ABK,R302769
BR JDI,R298226
DE LGG,R1979186
CA MAE,N3274055806
MA KHF,R2875670
DE SHV,R940871
AT SKB,R106142
GB BGR,N185711177
CH ECL,R1684956
ES ADD,R343553
CN PZI,R2785689
TR KSL,R1273939
DE OTD,R1314221
CN GDJ,N2065800687
BR ITS,R302796
FR PUT,R91776
ES RBO,R7411946
US HAU,R195183
FR OIC,R301825
US TXB,R6584379
GB GCX,R8555015
PL WYS,R4337660
GB HUE,R3871243
AU CAS,R5490412
GB MML,R9572812
FR MAL,R150931
IT GME,R45598
IT ZSW,R40471
CA ZNU,N52555836
US ZXV,R111578
US SYY,N150952705
US MEP,R126275
IE CKS,R4777645
CH WGA,R1682716
DE 65G,R288939
FR MN3,R1119105
DE RMH,R1251030
US GWO,R109874
US GYA,R131693
US RW4,R117952
FR MRL,R106192
AT FLO,R1991437
DE ETO,R1460253
DE B4P,R6266522
DE TKH,R940831
PL SPN,R3010002
US T9R,R175989
TN TUN,R8896976
DE BFT,R2808123
IT UMO,R40909
US KRE,R184306
FR RB2,R2450395
GB GRE,N29674390
HU ORS,R1026144
NL SPR,R1369588
CZ VIM,R437974
US 7BR,R12235263
BE QVA,R2175156
BR BPW,R333691
JP NSK,N8737635948
DE CGS,R2778363
GB LKB,N20981696
PL WOD,R2919493
VN SGN,W802069407
CZ LIN,R439725
EE KEA,R355461
US FDZ,N158845217
HU PMT,R1027768
IT RIN,N271010626
IT FRD,R40724
BR SHW,R242322
FR B8N,R154374
HR CRN,R9024757
DE EME,R62562
GB ETO,N18009095
AU BLO,R11676401
HR ROG,R15900339
GB MHA,N267763148
GB GGV,R7319988
US DAO,R179858
BR PVL,R301121
IT PLU,R44964
BE ZEM,R4480573
ES PAE,R346935
