NO FND,N3402086742
GB LGC,R12487836
IT LOR,R45759
US CP6,W541622175
FR VB8,R148903
IT VRV,R46555
US PSX,R115360
FR IMG,R3286216
PL OXI,R3147511
FR AUA,R2109162
PL OSN,R2925612
GB BCO,R1430001
BR FEX,R297804
CZ JIE,R437234
BR YGT,R297966
PL WIL,R2751961
US LLY,R963133
MX ADZ,N4043076143
IT BBV,N64779111
BR JPU,R297835
NL LEE,R1731316
BR EMO,R362516
AT SWH,N1093891636
IT CS3,R45801
ES AMU,R348224
ES SP2,R347922
BE MBU,R12943012
US PHV,N151936164
BE CRE,N687163173
PA LES,R8454021
NL ZAY,R1414219
US AJW,N151347954
IT PRC,R179182
US KQP,N141033256
CH KNA,R1682155
US OZP,R184922
BR YTC,R334589
DE SH4,N25415428
IT ZBW,R41045
DE AFE,R1318349
ES BRV,R344173
BR APZ,R297737
GB STM,N364664007
CA YSK,R9463000
IT SLR,R43786
NL FEE,R1468241
SE LAY,N895438434
JP NOB,R3989923
GB TBA,R8340385
DE OTI,R962610
CN HDU,R3287616
DE DUE,R163046
BR JMR,R297957
PA QEC,N8416484668
US KVQ,N150976127
IT AON,R44828
PL CWO,R2864239
NL BWE,R2656634
FR O59,R57813
BR GDM,R242500
JP TGA,R812080
CZ MOS,R437964
US S3B,N151412094
US ULG,R9228286
ES B9C,N492415946
ID KIJ,R10359141
IT TZ8,R40184
AR GPO,R3363309
FR SN3,R225564
FR GNP,R1664272
DE HMA,R965020
CH REV,R1685118
IT GVS,R44824
MX ISD,N2457727053
SE MNO,R6396480
BE MOE,R4497126
ZA ADY,N262694717
US ZH3,R251823
US PZT,R130722
BR LAO,R303606
GB DER,R1022566
FR SRT,R2010678
IE KTE,R5635265
FR TUZ,R390972
JP UWA,R4047858
FR FM5,R897907
SK DNV,R1676651
ES ZCQ,R343533
DE WKP,R155572
GB MOR,R8418555
US MBR,R130861
FI VNA,N1296067811
BR TUL,R298273
PL WAC,R2920570
AT ZAM,R77309
RO BRL,R10715611
GB LGS,N25935219
DE 82J,R2808136
RO OVI,R10520476
GB LOF,N358533800
US ZXW,N158641299
DZ EZZ,R157508
FR DAR,R940575
US KHW,R119153
GB HGM,R1022375
