actor_id,type,name,is_part_of,datasource_id
HR POP,city,Popovaca,HR-03,UNLOCODE:2022-1
AR LUJ,city,Luján,AR-B,UNLOCODE:2022-1
DE BYZ,city,Bennewitz,DE-SN,UNLOCODE:2022-1
US PUC,city,Price,US-UT,UNLOCODE:2022-1
FR TIC,city,Tiercé,FR-49,UNLOCODE:2022-1
NL NSU,city,Nessersluis,NL-UT,UNLOCODE:2022-1
BG SBV,city,Stambolovo,BG-26,UNLOCODE:2022-1
BR RAT,city,Ronda Alta,BR-RS,UNLOCODE:2022-1
LU CRA,city,Crauthem,LU,UNLOCODE:2022-1
IT CBT,city,Caresanablot,IT,UNLOCODE:2022-1
CA JOH,city,Johnstown,CA-ON,UNLOCODE:2022-1
CL TOL,city,Toltén,CL-AR,UNLOCODE:2022-1
FR PVD,city,Pont-du-Navoy,FR-39,UNLOCODE:2022-1
FR JCN,city,Jurançon,FR-64,UNLOCODE:2022-1
DE REK,city,Reken,DE-NW,UNLOCODE:2022-1
NO KOL,city,Kollsnes Øst,NO,UNLOCODE:2022-1
US NYA,city,Marathon,US-NY,UNLOCODE:2022-1
EG PSE,city,Port Said East,EG-SUZ,UNLOCODE:2022-1
JP KWS,city,Kawasaki,JP-14,UNLOCODE:2022-1
SE LA9,city,Langas,SE-N,UNLOCODE:2022-1
GB AUL,city,Aultbea,GB-HLD,UNLOCODE:2022-1
BR SHN,city,Santa Helena,BR-MA,UNLOCODE:2022-1
MX AVD,city,Alvarado,MX-VER,UNLOCODE:2022-1
DE RTN,city,Rottenbuch,DE-BY,UNLOCODE:2022-1
FR IXY,city,Igney,FR-88,UNLOCODE:2022-1
US HR5,city,Hilger,US-MT,UNLOCODE:2022-1
US AZX,city,Altus,US-AR,UNLOCODE:2022-1
US ILA,city,Imlay City,US-MI,UNLOCODE:2022-1
UA OKH,city,Okhtyrka,UA-59,UNLOCODE:2022-1
FR NSS,city,Neuilly-sur-Seine,FR-92,UNLOCODE:2022-1
BR LCA,city,Lagoa da Canoa,BR-AL,UNLOCODE:2022-1
IT CNV,city,Cassolnovo,IT,UNLOCODE:2022-1
CH WQL,city,Wil,CH-AG,UNLOCODE:2022-1
FR CZM,city,Couzon-au-Mont-d'Or,FR-69,UNLOCODE:2022-1
PE ANS,city,Andahuaylas,PE,UNLOCODE:2022-1
US NWY,city,North Weymouth,US-MA,UNLOCODE:2022-1
US VKW,city,West Kavik,US-AK,UNLOCODE:2022-1
US EQB,city,Bethel,US-ME,UNLOCODE:2022-1
KR JHG,city,Jangheung-gun,KR-46,UNLOCODE:2022-1
CA HUN,city,Huntsville,CA-ON,UNLOCODE:2022-1
IT EEC,city,Pontelatone,IT-CE,UNLOCODE:2022-1
FR EEP,city,Pont-sur-Seine,FR-10,UNLOCODE:2022-1
US S6T,city,Saratoga Springs,US-UT,UNLOCODE:2022-1
QA DOH,city,Doha,QA-DA,UNLOCODE:2022-1
US AS2,city,Ashton,US-RI,UNLOCODE:2022-1
AU LDH,city,Lord Howe Is,AU-NSW,UNLOCODE:2022-1
IN CJV,city,VTPL SEZ/Kancheepuram,IN-TN,UNLOCODE:2022-1
FR OPY,city,Saint-Orens-Pouy-Petit,FR-32,UNLOCODE:2022-1
RO MGR,city,Magurele,RO-IF,UNLOCODE:2022-1
ES ZJI,city,Pozal de Gallinas,ES-VA,UNLOCODE:2022-1
IN BHA,city,Bharatpur,IN-RJ,UNLOCODE:2022-1
US ZVT,city,Hanover Township,US-PA,UNLOCODE:2022-1
ES SEN,city,Senegue,ES-HU,UNLOCODE:2022-1
DE AZH,city,Adrazhofen,DE-BW,UNLOCODE:2022-1
US PEZ,city,Pearl City,US-IL,UNLOCODE:2022-1
GB PBL,city,Parbold,GB-LAN,UNLOCODE:2022-1
EC PIF,city,Pifo,EC-P,UNLOCODE:2022-1
FR T8S,city,Othis,FR-77,UNLOCODE:2022-1
US AUC,city,Aurora,US-CO,UNLOCODE:2022-1
US QS3,city,Soperton,US-GA,UNLOCODE:2022-1
US R8G,city,Rossburg,US-OH,UNLOCODE:2022-1
FR UMR,city,Courmelois,FR-51,UNLOCODE:2022-1
CZ MYO,city,Myto,CZ,UNLOCODE:2022-1
BS IGA,city,Inagua,BS,UNLOCODE:2022-1
DE FDS,city,Friedrichsschleuse,DE-NI,UNLOCODE:2022-1
IT IPP,city,Ripi,IT-FR,UNLOCODE:2022-1
IQ NMA,city,Nahr an Nu'maniyah,IQ-DQ,UNLOCODE:2022-1
BE LQA,city,Lanquesaint,BE-WHT,UNLOCODE:2022-1
FR WA2,city,Pontcarré,FR-77,UNLOCODE:2022-1
US NKR,city,Manchester,US-NY,UNLOCODE:2022-1
US GLJ,city,Goldston,US-NC,UNLOCODE:2022-1
BR LOP,city,Lagoa do Piauí,BR-PI,UNLOCODE:2022-1
FR BBS,city,La Bresse,FR-88,UNLOCODE:2022-1
AR CMG,city,Contralmirante Martín Guerrico,AR-R,UNLOCODE:2022-1
FR IAC,city,Archiac,FR-17,UNLOCODE:2022-1
FR YXX,city,Cormoyeux,FR-51,UNLOCODE:2022-1
HN CUL,city,Cuyamel,HN-CR,UNLOCODE:2022-1
US ABB,city,Abbeville,US-AL,UNLOCODE:2022-1
FR RD4,city,Lagarde,FR-31,UNLOCODE:2022-1
US GMH,city,Gilman,US-VT,UNLOCODE:2022-1
FR RDE,city,Ardes,FR-63,UNLOCODE:2022-1
IN CHR,city,Chapora,IN-GA,UNLOCODE:2022-1
FR CA9,city,Chaudoux,FR-18,UNLOCODE:2022-1
JP FJK,city,Fujioka,JP-23,UNLOCODE:2022-1
FR ORR,city,Orléans,FR-45,UNLOCODE:2022-1
FR MY5,city,Meyras,FR-07,UNLOCODE:2022-1
RU ZDK,city,Zelënodol'sk,RU,UNLOCODE:2022-1
IN BDQ,city,Vadodara,IN-GJ,UNLOCODE:2022-1
FR TS4,city,La Tessoualle,FR-49,UNLOCODE:2022-1
LU BCH,city,Bech,LU-EC,UNLOCODE:2022-1
IT TPO,city,Sestri Ponente,IT-GE,UNLOCODE:2022-1
AU IGF,city,Ingle Farm,AU-SA,UNLOCODE:2022-1
CA COB,city,Comber,CA-ON,UNLOCODE:2022-1
PT VNB,city,Vila Nova da Barquinha,PT-14,UNLOCODE:2022-1
US M5I,city,Miston,US-TN,UNLOCODE:2022-1
AU ZBO,city,Bowen,AU-QLD,UNLOCODE:2022-1
FR MGP,city,Maizières-la-Grande-Paroisse,FR-10,UNLOCODE:2022-1
US GGO,city,Gouldsboro,US-PA,UNLOCODE:2022-1
AU MRA,city,Moora,AU-WA,UNLOCODE:2022-1
IN CAR,city,Carijam,IN,UNLOCODE:2022-1
US NAH,city,Natrona Heights,US-PA,UNLOCODE:2022-1
US RMP,city,Rampart,US-AK,UNLOCODE:2022-1
CZ VNE,city,Vanovice,CZ,UNLOCODE:2022-1
IT ZLI,city,Salandra,IT-MT,UNLOCODE:2022-1
US HAM,city,Hamburg,US-NJ,UNLOCODE:2022-1
RS VOG,city,Voganj,RS-07,UNLOCODE:2022-1
DE HET,city,Heroldstatt,DE-BW,UNLOCODE:2022-1
DE MOW,city,Manschnow,DE-BB,UNLOCODE:2022-1
NL ORE,city,Ommeren,NL-GE,UNLOCODE:2022-1
US RJZ,city,Roseland,US-VA,UNLOCODE:2022-1
US CPA,city,Canoga Park,US-CA,UNLOCODE:2022-1
DE ZMM,city,Zell am Main,DE-BY,UNLOCODE:2022-1
FR PBK,city,Pibrac,FR-31,UNLOCODE:2022-1
DE HZC,city,Herzebrock,DE-NW,UNLOCODE:2022-1
KE MUH,city,Muhoroni,KE-17,UNLOCODE:2022-1
BR AUM,city,Apuarema,BR-BA,UNLOCODE:2022-1
IT CHA,city,Chiavazza,IT,UNLOCODE:2022-1
ES VRO,city,Viveros,ES-AB,UNLOCODE:2022-1
DE UNR,city,Untermeitingen,DE-BY,UNLOCODE:2022-1
US SP9,city,Spraggs,US-PA,UNLOCODE:2022-1
US UZG,city,Troutville,US-VA,UNLOCODE:2022-1
NO HVG,city,Honningsvåg,NO,UNLOCODE:2022-1
LB BMN,city,Bchamoun,LB,UNLOCODE:2022-1
CA CMT,city,Clairmont,CA-AB,UNLOCODE:2022-1
TR DEM,city,Demirköy,TR-39,UNLOCODE:2022-1
GT MOR,city,Morales,GT-18,UNLOCODE:2022-1
US HNJ,city,Henning,US-TN,UNLOCODE:2022-1
GN KOU,city,Koubia,GN-KB,UNLOCODE:2022-1
US RSS,city,Rossville,US-GA,UNLOCODE:2022-1
FR V5O,city,Villotte-sur-Ource,FR-21,UNLOCODE:2022-1
PT ADS,city,Alcácer do Sal,PT-15,UNLOCODE:2022-1
