actor_id,type,name,is_part_of,datasource_id
FR BEI,city,Berguette,FR-62,UNLOCODE:2022-1
NG ENU,city,Enugu,NG,UNLOCODE:2022-1
MK STN,city,Sveti Naum,MK-310,UNLOCODE:2022-1
NL ZBH,city,Oude Leye,NL-FR,UNLOCODE:2022-1
IT UCP,city,Colloredo di Prato,IT-UD,UNLOCODE:2022-1
US QBR,city,Brownsville,US-FL,UNLOCODE:2022-1
PL RAP,city,Radzyn Podlaski,PL-20,UNLOCODE:2022-1
PT AGD,city,Aguda,PT-13,UNLOCODE:2022-1
DE BHN,city,Burghausen,DE-BY,UNLOCODE:2022-1
FR QAN,city,Sauvagnon,FR-64,UNLOCODE:2022-1
US ELK,city,Elk City,US-OK,UNLOCODE:2022-1
US QEH,city,Quechee,US-VT,UNLOCODE:2022-1
US AEI,city,Amelia,US-LA,UNLOCODE:2022-1
CH ADI,city,Adligenswil,CH-LU,UNLOCODE:2022-1
ES SNO,city,Sanchonuño,ES-SG,UNLOCODE:2022-1
US PWO,city,Porter,US-IN,UNLOCODE:2022-1
US NAX,city,Barbers Point (Oahu),US-HI,UNLOCODE:2022-1
RS SZE,city,Smederevska Palanka,RS-10,UNLOCODE:2022-1
CA CBY,city,Carberry,CA-MB,UNLOCODE:2022-1
US XRF,city,Bancroft,US-ID,UNLOCODE:2022-1
CH RGW,city,Roggwil,CH-BE,UNLOCODE:2022-1
BI BRR,city,Bururi,BI-BR,UNLOCODE:2022-1
US ED5,city,Eldorado,US-PA,UNLOCODE:2022-1
UA PRN,city,Plodorodnoye,UA-23,UNLOCODE:2022-1
ID AKE,city,Akeselaka,ID-MA,UNLOCODE:2022-1
PA PRO,city,Paraíso,PA-7,UNLOCODE:2022-1
VN NIH,city,Ninh Hòa,VN-34,UNLOCODE:2022-1
US YTU,city,Turner,US-OR,UNLOCODE:2022-1
BE NMA,city,Neufmaison,BE-WHT,UNLOCODE:2022-1
DE HSC,city,Hassloch,DE-RP,UNLOCODE:2022-1
KW MIS,city,Mina Saud,KW,UNLOCODE:2022-1
FR PFE,city,Pierrefiche,FR-12,UNLOCODE:2022-1
FR OUJ,city,Soual,FR-81,UNLOCODE:2022-1
GB HYT,city,Hythe,GB-HAM,UNLOCODE:2022-1
FR CCV,city,Cheptainville,FR-91,UNLOCODE:2022-1
US NLV,city,"Pine Level, Johnston",US-NC,UNLOCODE:2022-1
GB SMW,city,Simonswood,GB-LAN,UNLOCODE:2022-1
ES MND,city,Mondoñedo,ES-LU,UNLOCODE:2022-1
US H9B,city,High Bridge,US-NJ,UNLOCODE:2022-1
AU 5CO,city,Wantirna,AU-VIC,UNLOCODE:2022-1
FR YGJ,city,Massingy,FR-21,UNLOCODE:2022-1
US OEY,city,Olney,US-MD,UNLOCODE:2022-1
IT TCN,city,Taceno,IT-LC,UNLOCODE:2022-1
GB APN,city,Alperton,GB-BEN,UNLOCODE:2022-1
US ILP,city,Illiopolis,US-IL,UNLOCODE:2022-1
US BDD,city,Braddock,US-PA,UNLOCODE:2022-1
FR PRB,city,Presles-en-Brie,FR-77,UNLOCODE:2022-1
MA TAL,city,Talsint,MA-FIG,UNLOCODE:2022-1
US HT8,city,Henrietta,US-NY,UNLOCODE:2022-1
FR BUN,city,Beaurainville,FR-62,UNLOCODE:2022-1
CL LAJ,city,La Laja,CL-BI,UNLOCODE:2022-1
RE PAL,city,Plaine des Palmistes,RE,UNLOCODE:2022-1
AR SJO,city,San Justo,AR-B,UNLOCODE:2022-1
PA AGF,city,Agua Fria,PA-5,UNLOCODE:2022-1
FR SVV,city,Saint-Gervais-d'Auvergne,FR-63,UNLOCODE:2022-1
FR AGL,city,Aiguillon,FR-47,UNLOCODE:2022-1
ES C8R,city,Campo Arcís,ES-V,UNLOCODE:2022-1
IT AAD,city,Arcade,IT-TV,UNLOCODE:2022-1
ES CLR,city,Celrà,ES-GI,UNLOCODE:2022-1
FR PIA,city,Pia,FR-66,UNLOCODE:2022-1
ES GQ7,city,Benalúa de las Villas,ES-GR,UNLOCODE:2022-1
DE ELX,city,Elxleben,DE-TH,UNLOCODE:2022-1
RO BH3,city,Madaras,RO-BH,UNLOCODE:2022-1
BR KLD,city,Carlinda,BR-MT,UNLOCODE:2022-1
US PZ6,city,Pleasant Shade,US-TN,UNLOCODE:2022-1
PA PNC,city,Peñas Chatas,PA-6,UNLOCODE:2022-1
US PJA,city,Proberta,US-CA,UNLOCODE:2022-1
IT SQU,city,San Quirico Di Trecasali,IT-PR,UNLOCODE:2022-1
BR LDI,city,Lagoa de Itaenga,BR-PE,UNLOCODE:2022-1
US RS5,city,Russell Springs,US-KY,UNLOCODE:2022-1
GB SRA,city,Strathdon,GB-ABD,UNLOCODE:2022-1
DE 62V,city,Traventhal,DE-SH,UNLOCODE:2022-1
DE A87,city,Auw bei Prüm,DE-RP,UNLOCODE:2022-1
ES P3T,city,Prats de Llusanes,ES-B,UNLOCODE:2022-1
SK PLA,city,Plavec,SK-PV,UNLOCODE:2022-1
BR LNR,city,Lavandeira,BR-TO,UNLOCODE:2022-1
FR R63,city,Ris,FR-63,UNLOCODE:2022-1
GB UPW,city,Upwood,GB-CAM,UNLOCODE:2022-1
CA ABO,city,Assiniboia,CA-SK,UNLOCODE:2022-1
FR ONP,city,Monprimblanc,FR-33,UNLOCODE:2022-1
US DMI,city,Drayton Plains,US-MI,UNLOCODE:2022-1
US WXQ,city,Wayland,US-NY,UNLOCODE:2022-1
US FS7,city,Forsan,US-TX,UNLOCODE:2022-1
US GCE,city,Grace,US-SC,UNLOCODE:2022-1
NO STU,city,Stura,NO,UNLOCODE:2022-1
ES REM,city,Amer,ES-GI,UNLOCODE:2022-1
ES YST,city,Yeste,ES-AB,UNLOCODE:2022-1
GB TFF,city,Trottiscliffe,GB-KEN,UNLOCODE:2022-1
CA PDI,city,Pond Inlet,CA-NU,UNLOCODE:2022-1
AU MBK,city,Mooroolbark,AU-VIC,UNLOCODE:2022-1
CZ HOP,city,Hodkovice Praha Zapad,CZ,UNLOCODE:2022-1
US BE2,city,Banner Elk,US-NC,UNLOCODE:2022-1
FR CXJ,city,Champtoceaux,FR-49,UNLOCODE:2022-1
FR LSM,city,Les Mées,FR-04,UNLOCODE:2022-1
CR SAO,city,Sabalito,CR-P,UNLOCODE:2022-1
US 8GV,city,Green Valley,US-SC,UNLOCODE:2022-1
GB MWE,city,Market Weighton,GB-ERY,UNLOCODE:2022-1
FR VIA,city,Ville-d'Avray,FR-92,UNLOCODE:2022-1
PL 6OM,city,Odrowaz,PL-12,UNLOCODE:2022-1
ES SRE,city,Soto del Real,ES,UNLOCODE:2022-1
GB ULV,city,Ulverston,GB-CMA,UNLOCODE:2022-1
US CGQ,city,Columbus Grove,US-OH,UNLOCODE:2022-1
BR BDP,city,Bom Despacho,BR-MG,UNLOCODE:2022-1
FR RIE,city,Rieux,FR,UNLOCODE:2022-1
NG AKE,city,Adekunle,NG-OY,UNLOCODE:2022-1
BO SJS,city,San José,BO-S,UNLOCODE:2022-1
GR KOM,city,Komotiní,GR,UNLOCODE:2022-1
GB SUA,city,Sutton in Ashfield,GB-NTT,UNLOCODE:2022-1
FR RR3,city,Dierre,FR-37,UNLOCODE:2022-1
ES ABQ,city,Alburqueque,ES-BA,UNLOCODE:2022-1
CZ SLC,city,Lipnik u Hrotovic,CZ,UNLOCODE:2022-1
DE SXT,city,Söhnstetten,DE-BW,UNLOCODE:2022-1
US IOS,city,Los Molinos,US-CA,UNLOCODE:2022-1
NL PSI,city,Piershil,NL-ZH,UNLOCODE:2022-1
US CJK,city,Clarkton,US-NC,UNLOCODE:2022-1
IT EBO,city,Cesano Boscone,IT-MI,UNLOCODE:2022-1
FR RS5,city,Rians,FR-83,UNLOCODE:2022-1
GB XLG,city,Llangorse,GB-POW,UNLOCODE:2022-1
RO SCI,city,Sincraieni,RO-HR,UNLOCODE:2022-1
US BWY,city,Berwyn,US-IL,UNLOCODE:2022-1
BR LET,city,Santa Salete,BR-SP,UNLOCODE:2022-1
GB WT4,city,Waverton,GB-CMA,UNLOCODE:2022-1
PK RYK,city,Rahim Yar Khan,PK-PB,UNLOCODE:2022-1
BR ECR,city,Érico Cardoso,BR-BA,UNLOCODE:2022-1
DE KRS,city,Kriebstein,DE-SN,UNLOCODE:2022-1
JP KZS,city,Kazusaminato,JP-12,UNLOCODE:2022-1
SE UKM,city,Ucklum,SE-O,UNLOCODE:2022-1
US RTI,city,Martinez,US-GA,UNLOCODE:2022-1
IT ABN,city,Albino,IT-BG,UNLOCODE:2022-1
US WQX,city,Williamston,US-NC,UNLOCODE:2022-1
