actor_id,type,name,is_part_of,datasource_id
CN WUZ,city,Wuzhou,CN-GX,UNLOCODE:2022-1
US IHN,city,Fithian,US-IL,UNLOCODE:2022-1
BR KNB,city,Carnaubais,BR-RN,UNLOCODE:2022-1
US CU7,city,Calhoun,US-TN,UNLOCODE:2022-1
FR 7YO,city,Curcy-sur-Orne,FR-14,UNLOCODE:2022-1
US ELY,city,Ely,US-NV,UNLOCODE:2022-1
BR MTM,city,Monte Mor,BR-SP,UNLOCODE:2022-1
DE PLO,city,Plochingen,DE-BW,UNLOCODE:2022-1
US HHR,city,Hawthorne,US-CA,UNLOCODE:2022-1
US RNF,city,Springfield,US-KY,UNLOCODE:2022-1
CN HSA,city,Heishan,CN,UNLOCODE:2022-1
CZ HRY,city,Hory,CZ,UNLOCODE:2022-1
US EOI,city,Caledonia,US-MN,UNLOCODE:2022-1
US CBF,city,Council Bluffs,US-IA,UNLOCODE:2022-1
FR L4Y,city,Saint-Martin-Lys,FR-11,UNLOCODE:2022-1
AU VEY,city,Oxley,AU-VIC,UNLOCODE:2022-1
US DOR,city,Dover,US-FL,UNLOCODE:2022-1
US BA8,city,Barnstead,US-NH,UNLOCODE:2022-1
NG QIB,city,Qua Iboe,NG,UNLOCODE:2022-1
CZ MOK,city,Mokrá,CZ,UNLOCODE:2022-1
US 8PR,city,Zamora,US-CA,UNLOCODE:2022-1
TH I6C,city,T S Transport and Logistics,TH-11,UNLOCODE:2022-1
US FLZ,city,Florence,US-CO,UNLOCODE:2022-1
US UIO,city,"Union, Monroe",US-WV,UNLOCODE:2022-1
BR GCA,city,Garça,BR-SP,UNLOCODE:2022-1
FR PEP,city,Crespian,FR-30,UNLOCODE:2022-1
FR S38,city,Sainte-Gemmes-le-Robert,FR-53,UNLOCODE:2022-1
RO ALD,city,Alesd,RO-BH,UNLOCODE:2022-1
DE AYU,city,Altenkirchen (Rügen),DE-MV,UNLOCODE:2022-1
DE AYL,city,Ayl,DE-RP,UNLOCODE:2022-1
CL ELT,city,El Tabo,CL-VS,UNLOCODE:2022-1
US RS9,city,Rescue,US-CA,UNLOCODE:2022-1
US RQD,city,Rockland,US-WI,UNLOCODE:2022-1
DE STO,city,Stolberg/Harz,DE-ST,UNLOCODE:2022-1
GB SRG,city,Sundridge,GB-KEN,UNLOCODE:2022-1
BR JNA,city,Januária,BR-MG,UNLOCODE:2022-1
US PBH,city,Parma,US-OH,UNLOCODE:2022-1
US EB3,city,Elberta,US-AL,UNLOCODE:2022-1
NL EYL,city,Eygelshoven,NL-LI,UNLOCODE:2022-1
IT FTM,city,Frattamaggiore,IT,UNLOCODE:2022-1
US CK3,city,Cooksville,US-MD,UNLOCODE:2022-1
GB NWM,city,Newmachar,GB-ABD,UNLOCODE:2022-1
US RCN,city,Richmond,US-MI,UNLOCODE:2022-1
CN ZXN,city,Zhongxian,CN-CQ,UNLOCODE:2022-1
FR BGD,city,Bourg-Madame,FR-66,UNLOCODE:2022-1
AU H8S,city,Schofields,AU-NSW,UNLOCODE:2022-1
KZ PWQ,city,Pavlodar,KZ-PAV,UNLOCODE:2022-1
NO EAR,city,Vear,NO,UNLOCODE:2022-1
FR NAC,city,Carnac,FR-56,UNLOCODE:2022-1
FR DCH,city,Saint-André-de-la-Marche,FR-49,UNLOCODE:2022-1
BE SZE,city,Somzée,BE-WNA,UNLOCODE:2022-1
AU MRD,city,Merredin,AU-WA,UNLOCODE:2022-1
FR LUN,city,Lunel-Viel,FR-34,UNLOCODE:2022-1
TR IDS,city,Icdas Jetty,TR-17,UNLOCODE:2022-1
DK ADN,city,Arden,DK,UNLOCODE:2022-1
US NNC,city,Nanticoke,US-PA,UNLOCODE:2022-1
IT RGA,city,Ragusa,IT,UNLOCODE:2022-1
US BDR,city,Bridgeport,US-CT,UNLOCODE:2022-1
NL OSD,city,Oostdijk,NL,UNLOCODE:2022-1
US JJW,city,FE Warren Air Force Base,US-WY,UNLOCODE:2022-1
ES MON,city,Mondragón,ES-SS,UNLOCODE:2022-1
GB CB2,city,Colburn,GB-NYK,UNLOCODE:2022-1
AI BLP,city,Blowing Point,AI,UNLOCODE:2022-1
NO HLS,city,Halsa,NO-15,UNLOCODE:2022-1
US XGJ,city,Holland,US-NY,UNLOCODE:2022-1
FR REH,city,Rethel,FR-08,UNLOCODE:2022-1
FR WLG,city,Wargnies-le-Grand,FR-59,UNLOCODE:2022-1
BE WND,city,Wandre,BE-WLG,UNLOCODE:2022-1
GB ESR,city,Esher,GB-SRY,UNLOCODE:2022-1
CZ OVV,city,Novy Knin,CZ,UNLOCODE:2022-1
PE COR,city,Corongo,PE-ANC,UNLOCODE:2022-1
US AVD,city,Avondale,US-LA,UNLOCODE:2022-1
US AGT,city,Arlington,US-SD,UNLOCODE:2022-1
BR QEO,city,Quebrangulo,BR-AL,UNLOCODE:2022-1
FR SHA,city,Seilhac,FR-19,UNLOCODE:2022-1
DE BXM,city,Babensham,DE-BY,UNLOCODE:2022-1
IT QCO,city,Corato,IT-BA,UNLOCODE:2022-1
EE SLJ,city,Selja,EE-68,UNLOCODE:2022-1
RS NVR,city,Nova Varos,RS-16,UNLOCODE:2022-1
BR ITD,city,Itambé do Mato Dentro,BR-MG,UNLOCODE:2022-1
CN LQN,city,Liquan,CN,UNLOCODE:2022-1
FR AQJ,city,Attigny,FR-08,UNLOCODE:2022-1
AU CDL,city,Carindale,AU-QLD,UNLOCODE:2022-1
CA FNI,city,Fernie,CA-BC,UNLOCODE:2022-1
ES DTT,city,Barruelo de Santullan,ES-P,UNLOCODE:2022-1
FR F29,city,Pont-Aven,FR-29,UNLOCODE:2022-1
US KM2,city,Kamiah,US-ID,UNLOCODE:2022-1
DE BUK,city,Bad Überkingen,DE-BW,UNLOCODE:2022-1
DE ST9,city,Steisslingen,DE,UNLOCODE:2022-1
BR MKL,city,Marcolândia,BR-PI,UNLOCODE:2022-1
US H6H,city,Hughestown,US-PA,UNLOCODE:2022-1
US XCU,city,Burlington,US-WY,UNLOCODE:2022-1
FR 3SV,city,Saint-Victor-de-Morestel,FR-38,UNLOCODE:2022-1
CZ OOU,city,Loucna Nad Desnou,CZ,UNLOCODE:2022-1
AU COP,city,Cossack Pioneer (oil terminal),AU-WA,UNLOCODE:2022-1
CD MSM,city,Masi-Manimba,CD,UNLOCODE:2022-1
GB INL,city,Ingleton,GB-NYK,UNLOCODE:2022-1
US XED,city,Eads,US-TN,UNLOCODE:2022-1
ES MDX,city,Molíns de Rey,ES,UNLOCODE:2022-1
FR PTT,city,Pfastatt,FR-68,UNLOCODE:2022-1
ES BMF,city,Benimarfull,ES-A,UNLOCODE:2022-1
BR KNS,city,Colinas,BR-RS,UNLOCODE:2022-1
BR KBI,city,Cambira,BR-PR,UNLOCODE:2022-1
ES MTM,city,Montmeló,ES,UNLOCODE:2022-1
NL DEN,city,Denekamp,NL-OV,UNLOCODE:2022-1
DK RND,city,Rønde,DK-82,UNLOCODE:2022-1
FR DER,city,Derval,FR-44,UNLOCODE:2022-1
BR IAC,city,Igarapé-Açu,BR-PA,UNLOCODE:2022-1
TT SPR,city,Siparia,TT,UNLOCODE:2022-1
FR LDQ,city,Landévant,FR-56,UNLOCODE:2022-1
AT BGM,city,Bad Goisern,AT-4,UNLOCODE:2022-1
ES HMV,city,Hornos de Moncalvillo,ES-LO,UNLOCODE:2022-1
FR CF3,city,Chauconin-Neufmontiers,FR-77,UNLOCODE:2022-1
FR EIL,city,Mareuil,FR-46,UNLOCODE:2022-1
LK SLK,city,Wadduwa,LK,UNLOCODE:2022-1
JP TDA,city,Tohda,JP-32,UNLOCODE:2022-1
US WV6,city,Waverly,US-KS,UNLOCODE:2022-1
FR A3Q,city,La Crique,FR-76,UNLOCODE:2022-1
ID KMM,city,Kimam,ID,UNLOCODE:2022-1
PL SCA,city,Siennica Rózana,PL-26,UNLOCODE:2022-1
RU KHA,city,Kharovsk,RU-VLG,UNLOCODE:2022-1
US ZZL,city,Zionsville,US-IN,UNLOCODE:2022-1
IT EA9,city,Catena,IT-PT,UNLOCODE:2022-1
US VIK,city,Kavik,US-AK,UNLOCODE:2022-1
TR EMI,city,Eminönü,TR-34,UNLOCODE:2022-1
JP OTS,city,Otsuki,JP-19,UNLOCODE:2022-1
FR ZQO,city,Velesmes,FR-70,UNLOCODE:2022-1
FR ERI,city,Mériel,FR-95,UNLOCODE:2022-1
ES MMR,city,Matamorosa,ES-S,UNLOCODE:2022-1
HN VDZ,city,Valle del Zamorano,HN-FM,UNLOCODE:2022-1
PL BJS,city,Bojszowy,PL-24,UNLOCODE:2022-1
US TH2,city,Thrall,US-TX,UNLOCODE:2022-1
SE VAN,city,Vänersborg,SE-O,UNLOCODE:2022-1
CN ZHJ,city,Zhuji,CN-ZJ,UNLOCODE:2022-1
MX JAO,city,Jalostotitlan,MX-JAL,UNLOCODE:2022-1
PL SZN,city,Swarozyn,PL,UNLOCODE:2022-1
SK VVC,city,Vlckovce,SK,UNLOCODE:2022-1
IT MR3,city,Moresco,IT-FM,UNLOCODE:2022-1
JP USH,city,Ushimado,JP-33,UNLOCODE:2022-1
PG OBX,city,Obo,PG,UNLOCODE:2022-1
BE SKM,city,Serskamp,BE-VOV,UNLOCODE:2022-1
DE MD2,city,Muldenstein,DE-ST,UNLOCODE:2022-1
LV SKT,city,Saulkrasti,LV-089,UNLOCODE:2022-1
BR UBG,city,Ubaporanga,BR-MG,UNLOCODE:2022-1
DK AAO,city,Hurup Thy,DK-82,UNLOCODE:2022-1
FR ZHF,city,Rauzan,FR-33,UNLOCODE:2022-1
SK LUZ,city,Luzianky,SK-NI,UNLOCODE:2022-1
US EIJ,city,Ellis,US-KS,UNLOCODE:2022-1
SE JON,city,Jonsered,SE-O,UNLOCODE:2022-1
CZ KUJ,city,Kamenný Újezd,CZ,UNLOCODE:2022-1
CA YXT,city,Terrace,CA-BC,UNLOCODE:2022-1
GB WAO,city,Wallington,GB-STN,UNLOCODE:2022-1
DE LWZ,city,Kolkwitz,DE-BB,UNLOCODE:2022-1
IT ZQO,city,Pieranica,IT-CR,UNLOCODE:2022-1
UA BOR,city,Borodjanka,UA-32,UNLOCODE:2022-1
US MGD,city,Mogadore,US-OH,UNLOCODE:2022-1
CA PAR,city,Parrsboro,CA-NS,UNLOCODE:2022-1
US FHG,city,Ford Heights,US-IL,UNLOCODE:2022-1
US HSQ,city,Hamilton Square,US-NJ,UNLOCODE:2022-1
IT MZ3,city,Mesenzana,IT-VA,UNLOCODE:2022-1
FR JL3,city,Saint-Julien-sur-Dheune,FR-71,UNLOCODE:2022-1
US NHW,city,"Northwood, Wood",US-OH,UNLOCODE:2022-1
AU WTP,city,Wattleup,AU-WA,UNLOCODE:2022-1
BR CLN,city,Carolina,BR-MA,UNLOCODE:2022-1
DE 89R,city,Kindenheim,DE-RP,UNLOCODE:2022-1
US GGV,city,Greenville,US-NH,UNLOCODE:2022-1
ES LNR,city,Llerena,ES,UNLOCODE:2022-1
DE 8BZ,city,Buschdorf,DE-BB,UNLOCODE:2022-1
JP KGD,city,Kaga,JP-17,UNLOCODE:2022-1
FR BTY,city,Béthisy-Saint-Pierre,FR-60,UNLOCODE:2022-1
FR EED,city,Salles-d'Aude,FR-11,UNLOCODE:2022-1
FR UOV,city,Beaumont-Village,FR-37,UNLOCODE:2022-1
GB EKI,city,Erskine,GB-RFW,UNLOCODE:2022-1
FR 6EV,city,Verneusses,FR-27,UNLOCODE:2022-1
IT MRP,city,Marina di Campo,IT-LI,UNLOCODE:2022-1
AT RTH,city,Rothis,AT-8,UNLOCODE:2022-1
CU UPA,city,Punta Alegre,CU,UNLOCODE:2022-1
BR KEM,city,Caém,BR-BA,UNLOCODE:2022-1
FR LKZ,city,Concoeur-et-Corboin,FR-21,UNLOCODE:2022-1
MX BCA,city,Baca,MX-YUC,UNLOCODE:2022-1
FR TSI,city,Troisvilles,FR-59,UNLOCODE:2022-1
FR GS8,city,Gagnac-sur-Garonne,FR-31,UNLOCODE:2022-1
BR INJ,city,Inajá,BR-PE,UNLOCODE:2022-1
FR SOM,city,Somain,FR-59,UNLOCODE:2022-1
US CZG,city,Cornelius,US-OR,UNLOCODE:2022-1
FI LPL,city,Lempäälä,FI-11,UNLOCODE:2022-1
US TTV,city,"Tottenville, Staten Island",US-NY,UNLOCODE:2022-1
IT ZJU,city,Giardinello,IT-PA,UNLOCODE:2022-1
PL IBN,city,Izabelin,PL,UNLOCODE:2022-1
US BUU,city,Burlington,US-CT,UNLOCODE:2022-1
DE UFF,city,Uffenheim,DE-BY,UNLOCODE:2022-1
CA NWP,city,Argentia,CA-NL,UNLOCODE:2022-1
DE DUR,city,Durbach,DE-BW,UNLOCODE:2022-1
