actor_id,type,name,is_part_of,datasource_id
BR IBH,city,Itabirinha,BR-MG,UNLOCODE:2022-1
BR KRO,city,Croatá,BR-CE,UNLOCODE:2022-1
FR FTD,city,Fontaine-le-Dun,FR-76,UNLOCODE:2022-1
BA DOJ,city,Domaljevac,BA,UNLOCODE:2022-1
US CLY,city,Clayton,US-NY,UNLOCODE:2022-1
US XLB,city,Royal City,US-WA,UNLOCODE:2022-1
CH DSF,city,Epalinges,CH-VD,UNLOCODE:2022-1
ES SPP,city,San Pedro del Pinatar,ES,UNLOCODE:2022-1
SE LIT,city,Lidhult,SE-G,UNLOCODE:2022-1
DE 78D,city,Knittlingen,DE-BW,UNLOCODE:2022-1
FR XCU,city,Ségur-le-Château,FR-19,UNLOCODE:2022-1
US H8U,city,Hudson,US-ME,UNLOCODE:2022-1
DE BUJ,city,Burgrieden,DE-BW,UNLOCODE:2022-1
FR XPY,city,Pugey,FR-25,UNLOCODE:2022-1
CA TND,city,Thorndale,CA-ON,UNLOCODE:2022-1
US QLM,city,Salem,US-SD,UNLOCODE:2022-1
CA YVO,city,Val-d'Or,CA-QC,UNLOCODE:2022-1
IT TN9,city,Binetto,IT-BA,UNLOCODE:2022-1
DE RGO,city,Ruppach-Goldhausen,DE-RP,UNLOCODE:2022-1
BR PSI,city,Palestina,BR-SP,UNLOCODE:2022-1
CA VKH,city,Vankleek Hill,CA-ON,UNLOCODE:2022-1
US QSO,city,Nelson,US-CA,UNLOCODE:2022-1
ZA FVW,city,Fairview,ZA-EC,UNLOCODE:2022-1
CA RUI,city,Rupert Inlet,CA-BC,UNLOCODE:2022-1
BR MHN,city,Maria Helena,BR-PR,UNLOCODE:2022-1
IT RRE,city,Roure,IT-TO,UNLOCODE:2022-1
FR VKO,city,Vion,FR-72,UNLOCODE:2022-1
US YLF,city,Alden,US-NY,UNLOCODE:2022-1
ES MCB,city,San Martin de Centellas,ES-B,UNLOCODE:2022-1
CA YDA,city,Dawson City,CA-YT,UNLOCODE:2022-1
US HSS,city,High Springs,US-FL,UNLOCODE:2022-1
US CL9,city,Collins,US-ID,UNLOCODE:2022-1
ES BLU,city,Bell-Lloc de Urgell,ES-L,UNLOCODE:2022-1
AU WUD,city,Wudinna,AU-SA,UNLOCODE:2022-1
PL OPR,city,Oporów,PL-10,UNLOCODE:2022-1
GR PLK,city,Polykastron,GR,UNLOCODE:2022-1
GB WHD,city,Wear Head,GB-DUR,UNLOCODE:2022-1
US XKE,city,Orting,US-WA,UNLOCODE:2022-1
MT XAG,city,Xghajra,MT-63,UNLOCODE:2022-1
GB BKN,city,Bracknell,GB-BRC,UNLOCODE:2022-1
TR DAR,city,Darica,TR-41,UNLOCODE:2022-1
DE 5BV,city,Bliesdorf/Oder,DE-BB,UNLOCODE:2022-1
US EXF,city,Essex Fells,US-NJ,UNLOCODE:2022-1
KR SSP,city,Seongsan-po,KR-49,UNLOCODE:2022-1
US PWW,city,Lone Pine,US-CA,UNLOCODE:2022-1
BR VHA,city,Vilhena,BR-RO,UNLOCODE:2022-1
US XHL,city,Lebanon,US-NJ,UNLOCODE:2022-1
IT OCL,city,Oricola,IT-RM,UNLOCODE:2022-1
CN JMO,city,Jimo,CN-SD,UNLOCODE:2022-1
CN XTZ,city,Xuetangzhou,CN-HB,UNLOCODE:2022-1
FR AVJ,city,Avrechy,FR-60,UNLOCODE:2022-1
CZ LUP,city,Lukavec u Pacova,CZ-63,UNLOCODE:2022-1
SK NZZ,city,Nizná,SK-ZI,UNLOCODE:2022-1
FR 8M8,city,Flesselles,FR-80,UNLOCODE:2022-1
VE PPZ,city,Puerto Páez,VE,UNLOCODE:2022-1
US BNT,city,Bentonville,US-AR,UNLOCODE:2022-1
ES OCB,city,O Carballino,ES-OR,UNLOCODE:2022-1
FI ATT,city,Anttola,FI-04,UNLOCODE:2022-1
SE GTS,city,Gustafs,SE-W,UNLOCODE:2022-1
US SE4,city,Sedan,US-KS,UNLOCODE:2022-1
PL BGL,city,Boglewice,PL-14,UNLOCODE:2022-1
DE GNT,city,Genthin,DE-ST,UNLOCODE:2022-1
AU STT,city,Stuart,AU-QLD,UNLOCODE:2022-1
CZ AAA,city,Svatava,CZ,UNLOCODE:2022-1
FR EFG,city,Bonnelles,FR-78,UNLOCODE:2022-1
CN SXI,city,Shixing,CN-GD,UNLOCODE:2022-1
ES BU3,city,Benicull,ES-V,UNLOCODE:2022-1
DE XHR,city,Horhausen,DE-RP,UNLOCODE:2022-1
US TPX,city,Princeton,US-TX,UNLOCODE:2022-1
AU OXY,city,Morney,AU-QLD,UNLOCODE:2022-1
GB ATH,city,Atherstone,GB-WAR,UNLOCODE:2022-1
BR SGP,city,São Gabriel da Palha,BR-ES,UNLOCODE:2022-1
SE ASQ,city,Ärsta,SE-Y,UNLOCODE:2022-1
US EP7,city,Epping,US-NH,UNLOCODE:2022-1
PE COM,city,Comas,PE-LIM,UNLOCODE:2022-1
LY ZLI,city,Zliten,LY,UNLOCODE:2022-1
TR BAB,city,Babaeski,TR-39,UNLOCODE:2022-1
TH KRU,city,Phra Khanong,TH-10,UNLOCODE:2022-1
