actor_id,type,name,is_part_of,datasource_id
ES LCR,city,Los Cristianos,ES,UNLOCODE:2022-1
FR DIN,city,Divonne-les-Bains,FR-01,UNLOCODE:2022-1
US DR8,city,Dresden,US-TX,UNLOCODE:2022-1
ID ADB,city,Adang Bay,ID,UNLOCODE:2022-1
FR FS2,city,Fontenai-Sur-Orne,FR-61,UNLOCODE:2022-1
DE BJT,city,Buttlar,DE-TH,UNLOCODE:2022-1
CA AES,city,Saint-Arsène,CA-QC,UNLOCODE:2022-1
FR ORX,city,Ornex,FR-01,UNLOCODE:2022-1
BR CJM,city,Cajamar,BR-SP,UNLOCODE:2022-1
FI LOV,city,Loviisa (Lovisa),FI-18,UNLOCODE:2022-1
IS HUS,city,Husavik - høfn,IS,UNLOCODE:2022-1
AT LSN,city,Langenstein,AT,UNLOCODE:2022-1
PL KNS,city,Konstantcin,PL,UNLOCODE:2022-1
BE EKE,city,Ekeren,BE-VAN,UNLOCODE:2022-1
US DZV,city,Danville,US-AR,UNLOCODE:2022-1
CL LLI,city,Llico,CL-BI,UNLOCODE:2022-1
ZA SLB,city,Stellenberg,ZA-WC,UNLOCODE:2022-1
BR BRT,city,Brasnorte,BR-MT,UNLOCODE:2022-1
BE XLO,city,Lo,BE-VWV,UNLOCODE:2022-1
US SBQ,city,Ship Bottom,US-NJ,UNLOCODE:2022-1
AU WRW,city,Warrawagine,AU-WA,UNLOCODE:2022-1
FI RKY,city,Rääkkylä,FI-13,UNLOCODE:2022-1
NL NB4,city,Den Hout,NL-NB,UNLOCODE:2022-1
FR CC2,city,Cannes-et-Clairan,FR-30,UNLOCODE:2022-1
DE GUE,city,Gusen,DE-ST,UNLOCODE:2022-1
LV ARX,city,Avoti,LV-RIX,UNLOCODE:2022-1
DE ZJM,city,Jockgrim,DE-RP,UNLOCODE:2022-1
PL MYL,city,Myslowice,PL,UNLOCODE:2022-1
PL GAB,city,Gabin,PL-14,UNLOCODE:2022-1
LT BET,city,Betygala,LT,UNLOCODE:2022-1
CN HAQ,city,Huangqi/Nanhai,CN-GD,UNLOCODE:2022-1
MY SKB,city,Seri Kembangan,MY-10,UNLOCODE:2022-1
US M2Y,city,Mayersville,US-MS,UNLOCODE:2022-1
BR AWR,city,Alfredo Wagner,BR-SC,UNLOCODE:2022-1
GR PRT,city,Protória,GR,UNLOCODE:2022-1
BR NEP,city,Nova Esperança do Piriá,BR-PA,UNLOCODE:2022-1
US PMY,city,Plymouth,US-PA,UNLOCODE:2022-1
DO CBJ,city,Cabo Rojo,DO,UNLOCODE:2022-1
GB STW,city,Stowmarket,GB-SFK,UNLOCODE:2022-1
DE GSW,city,Grossrückerswalde,DE-SN,UNLOCODE:2022-1
FR IFT,city,Chalifert,FR-77,UNLOCODE:2022-1
FR TOX,city,Thénioux,FR-18,UNLOCODE:2022-1
RO BOI,city,Bosanci,RO-SV,UNLOCODE:2022-1
FR CXU,city,Charlieu,FR-42,UNLOCODE:2022-1
FR BYU,city,Bray-et-Lû,FR-95,UNLOCODE:2022-1
BE STK,city,Stekene,BE-VOV,UNLOCODE:2022-1
BR NCP,city,Nova Canaã Paulista,BR-SP,UNLOCODE:2022-1
IL YEH,city,Yehud,IL-M,UNLOCODE:2022-1
BR CDU,city,Cândido Rodrigues,BR-SP,UNLOCODE:2022-1
NL UTZ,city,Uithuizen,NL,UNLOCODE:2022-1
US RHC,city,Rock Hill,US-NC,UNLOCODE:2022-1
JP TBT,city,Tobata/Kitakyushu,JP-40,UNLOCODE:2022-1
CA MAL,city,Malton,CA-ON,UNLOCODE:2022-1
MX PCO,city,Punta Colorada,MX,UNLOCODE:2022-1
HU BKS,city,Bekecs,HU-BZ,UNLOCODE:2022-1
FR CEH,city,La Caillère-Saint-Hilaire,FR-85,UNLOCODE:2022-1
FR GLB,city,La Guerche-sur-l'Aubois,FR-18,UNLOCODE:2022-1
PG KKD,city,Kokoda,PG,UNLOCODE:2022-1
US LJV,city,Lewisville,US-TX,UNLOCODE:2022-1
BG ARD,city,Ardino,BG-21,UNLOCODE:2022-1
SK NSV,city,Nemsová,SK-TC,UNLOCODE:2022-1
DE ZFR,city,Schrozberg,DE-BW,UNLOCODE:2022-1
VE GTM,city,Guatire,VE-M,UNLOCODE:2022-1
CV BVC,city,Boa Vista,CV,UNLOCODE:2022-1
CH FLM,city,Flamatt,CH-FR,UNLOCODE:2022-1
BR PKY,city,Presidente Kennedy,BR-ES,UNLOCODE:2022-1
ES FUE,city,Puerto del Rosario-Fuerteventura,ES,UNLOCODE:2022-1
JP KJK,city,Kajiki,JP-46,UNLOCODE:2022-1
IT CV2,city,Casal Velino,IT-SA,UNLOCODE:2022-1
FR CUW,city,La Caunette,FR-34,UNLOCODE:2022-1
PA LCA,city,La Colorada,PA-10,UNLOCODE:2022-1
PR VBA,city,Vega Baja,PR,UNLOCODE:2022-1
DE BQ2,city,Birklar,DE-HE,UNLOCODE:2022-1
KR BJG,city,Busanjin-Gu,KR-26,UNLOCODE:2022-1
CZ PBK,city,Borek,CZ,UNLOCODE:2022-1
ES VSV,city,Villarejo de Salvanés,ES-M,UNLOCODE:2022-1
GB LHT,city,Little Hulton,GB-SLF,UNLOCODE:2022-1
IN QNB,city,Anand,IN-GJ,UNLOCODE:2022-1
SE OJY,city,Öjebyn,SE-BD,UNLOCODE:2022-1
SE TKF,city,Töcksfors,SE-S,UNLOCODE:2022-1
US CBQ,city,Courtland,US-KS,UNLOCODE:2022-1
DE EZR,city,Elzweiler,DE-RP,UNLOCODE:2022-1
IT VVP,city,Rovescala,IT-PV,UNLOCODE:2022-1
AT MSB,city,Mettersdorf Am Sassbach,AT,UNLOCODE:2022-1
CR CCI,city,Cachí,CR-C,UNLOCODE:2022-1
RU RZJ,city,Tihvin,RU,UNLOCODE:2022-1
JP ONJ,city,Oniike,JP-43,UNLOCODE:2022-1
JM SAN,city,Sandy Bay,JM,UNLOCODE:2022-1
CA ONR,city,Ridgeway,CA-ON,UNLOCODE:2022-1
GB BXS,city,Brighstone,GB-IOW,UNLOCODE:2022-1
TR DMK,city,Demirkapi,TR-49,UNLOCODE:2022-1
IT SCN,city,San Cipriano Po,IT,UNLOCODE:2022-1
CN LOH,city,Luohuang,CN-CQ,UNLOCODE:2022-1
CZ NUP,city,Nupaky,CZ,UNLOCODE:2022-1
PL BYK,city,Bystrzyca Klodzka,PL-02,UNLOCODE:2022-1
BR SXM,city,São Félix de Minas,BR-MG,UNLOCODE:2022-1
FR ICB,city,Saint-Vincent-en-Bresse,FR-71,UNLOCODE:2022-1
RS SVR,city,Svrljig,RS-20,UNLOCODE:2022-1
IQ ABU,city,Abu Ghraib,IQ-BG,UNLOCODE:2022-1
FR BTK,city,Saint-Baussant,FR-54,UNLOCODE:2022-1
FR VCX,city,La Vraie-Croix,FR-56,UNLOCODE:2022-1
US M6E,city,Mendon,US-IL,UNLOCODE:2022-1
GB SNR,city,South Norwood,GB-CRY,UNLOCODE:2022-1
US LTX,city,Lancaster,US-TX,UNLOCODE:2022-1
BR LSU,city,Laranjeiras do Sul,BR-PR,UNLOCODE:2022-1
US KR7,city,Crandall,US-GA,UNLOCODE:2022-1
US H7W,city,Humbird,US-WI,UNLOCODE:2022-1
BE DPA,city,De Panne,BE-VWV,UNLOCODE:2022-1
PH VZA,city,Valenzuela,PH-BUL,UNLOCODE:2022-1
US A2D,city,Advance,US-IN,UNLOCODE:2022-1
JE SJN,city,Saint Johns,JE,UNLOCODE:2022-1
US DSD,city,Dresden,US-TN,UNLOCODE:2022-1
BR BGO,city,Bom Jesus do Galho,BR-MG,UNLOCODE:2022-1
RU DDK,city,Dondukovskaya,RU-AD,UNLOCODE:2022-1
US ITM,city,Whittemore,US-MI,UNLOCODE:2022-1
SE SNN,city,Sennan,SE-N,UNLOCODE:2022-1
CN FXG,city,Fuxing,CN-AH,UNLOCODE:2022-1
FI RYT,city,Ryttylä,FI-06,UNLOCODE:2022-1
ES AQE,city,Alcácer,ES,UNLOCODE:2022-1
US BAC,city,Bassett,US-CA,UNLOCODE:2022-1
HR SVE,city,Sesvete,HR-21,UNLOCODE:2022-1
NO SRX,city,Sotra,NO,UNLOCODE:2022-1
DK MNK,city,Munkebo,DK,UNLOCODE:2022-1
CA WON,city,Saint Williams,CA-ON,UNLOCODE:2022-1
CH NOI,city,Le Noirmont,CH-JU,UNLOCODE:2022-1
CL BUL,city,Bulnes,CL-BI,UNLOCODE:2022-1
HU NAK,city,Nagyrákos,HU-VA,UNLOCODE:2022-1
DE 82S,city,Hackenheim,DE-RP,UNLOCODE:2022-1
US G2H,city,Glendale Heights,US-IL,UNLOCODE:2022-1
PT TSO,city,Tortosendo,PT-05,UNLOCODE:2022-1
US LIL,city,Lakeville,US-MA,UNLOCODE:2022-1
JP NGN,city,Naigainoura,JP-39,UNLOCODE:2022-1
FR LZK,city,Labarthe-sur-Lèze,FR-31,UNLOCODE:2022-1
FR GDM,city,La Grande-Motte,FR-34,UNLOCODE:2022-1
US GNR,city,Garner,US-IA,UNLOCODE:2022-1
ZA BEA,city,Beaconsfield,ZA-NC,UNLOCODE:2022-1
AU FEL,city,Felixstow,AU-SA,UNLOCODE:2022-1
US EE2,city,Erie,US-MI,UNLOCODE:2022-1
RS LDC,city,Ledinci,RS-VO,UNLOCODE:2022-1
FR IYN,city,Brion,FR-49,UNLOCODE:2022-1
US MNO,city,Mount Olive,US-NC,UNLOCODE:2022-1
IN GPR,city,Gopalpur,IN-OR,UNLOCODE:2022-1
KE EMB,city,Embakasi,KE,UNLOCODE:2022-1
DE MIR,city,Meinersen,DE-NI,UNLOCODE:2022-1
LY BAR,city,Bardiyah,LY,UNLOCODE:2022-1
DZ DEL,city,Dellys,DZ,UNLOCODE:2022-1
BR JOM,city,José Gonçalves de Minas,BR-MG,UNLOCODE:2022-1
FR EJV,city,Échevis,FR-26,UNLOCODE:2022-1
AU GLL,city,Glebe Island,AU-NSW,UNLOCODE:2022-1
CL VLC,city,Viluco,CL-RM,UNLOCODE:2022-1
AU BGA,city,Bungwahl,AU-NSW,UNLOCODE:2022-1
FR S7S,city,Serre-les-Sapins,FR-25,UNLOCODE:2022-1
FR AEC,city,Amécourt,FR-27,UNLOCODE:2022-1
PL S9W,city,Siepraw,PL-12,UNLOCODE:2022-1
HR DUR,city,Dugi Rat,HR-17,UNLOCODE:2022-1
US XOO,city,Moro,US-OR,UNLOCODE:2022-1
NZ LRV,city,Lorneville,NZ-STL,UNLOCODE:2022-1
