actor_id,type,name,is_part_of,datasource_id
DE RBR,city,Leegebruch,DE-BB,UNLOCODE:2022-1
IT VGO,city,Valdagno,IT,UNLOCODE:2022-1
US NID,city,North Bend,US-NE,UNLOCODE:2022-1
GB WLC,city,Waltham Chase,GB-HAM,UNLOCODE:2022-1
CZ RZD,city,Rozd'alovice,CZ-20,UNLOCODE:2022-1
US RNM,city,Carson,US-MS,UNLOCODE:2022-1
PL MCA,city,Mosciska,PL-14,UNLOCODE:2022-1
NO SEV,city,Selva,NO,UNLOCODE:2022-1
DE DGD,city,Dammendorf,DE-BB,UNLOCODE:2022-1
US GGN,city,"Georgetown, Fairfield",US-CT,UNLOCODE:2022-1
IE DLG,city,Dun Laoghaire,IE,UNLOCODE:2022-1
IT OTN,city,Ortona,IT,UNLOCODE:2022-1
DK VAD,city,Vadum,DK,UNLOCODE:2022-1
CY ZYY,city,Zyyi,CY-03,UNLOCODE:2022-1
AT SHF,city,Strasshof an der Nordbahn,AT-3,UNLOCODE:2022-1
BE ARO,city,Attenrode,BE-VBR,UNLOCODE:2022-1
US LXD,city,Lenox Dale,US-MA,UNLOCODE:2022-1
PR CAR,city,Carolina,PR,UNLOCODE:2022-1
FR LXI,city,Lavit,FR-82,UNLOCODE:2022-1
NL OBL,city,Oud-Beijerland,NL,UNLOCODE:2022-1
ID TAL,city,Tanah Laut,ID-KS,UNLOCODE:2022-1
IT AZP,city,Azzano San Paolo,IT-BG,UNLOCODE:2022-1
US CTA,city,Catawba,US-SC,UNLOCODE:2022-1
RU SAY,city,Sayanogorsk,RU-KYA,UNLOCODE:2022-1
GB HRR,city,Harrington,GB-CMA,UNLOCODE:2022-1
FI TVO,city,Tarvasjoki,FI-19,UNLOCODE:2022-1
SK PLK,city,Polomka,SK-BC,UNLOCODE:2022-1
BR PFU,city,Presidente Figueiredo,BR-AM,UNLOCODE:2022-1
DE DNM,city,Dietenheim,DE-BW,UNLOCODE:2022-1
MY KLM,city,Kulim,MY-02,UNLOCODE:2022-1
PE AB4,city,Abancay,PE-APU,UNLOCODE:2022-1
FR FNN,city,Fronton,FR-31,UNLOCODE:2022-1
US 6AP,city,Aroma Park,US-IL,UNLOCODE:2022-1
US NKC,city,Newcastle,US-WA,UNLOCODE:2022-1
PA UNS,city,Unión Santeña,PA-8,UNLOCODE:2022-1
DE 4AQ,city,Andervenne,DE-NI,UNLOCODE:2022-1
IT PIP,city,Poggio Imperiale,IT-FG,UNLOCODE:2022-1
BR IHR,city,Inhacorá,BR-RS,UNLOCODE:2022-1
LU ABW,city,Abweiler,LU,UNLOCODE:2022-1
US MMY,city,Maumee,US-OH,UNLOCODE:2022-1
US HIE,city,Whitefield,US-NH,UNLOCODE:2022-1
AU URR,city,Urrbrae,AU-SA,UNLOCODE:2022-1
GB PI7,city,Pitney,GB-SOM,UNLOCODE:2022-1
US AUS,city,Austin,US-TX,UNLOCODE:2022-1
