actor_id,type,name,is_part_of,datasource_id
DE MRU,city,Mehrum,DE-NI,UNLOCODE:2022-1
KR GSO,city,Goseong-gun,KR-47,UNLOCODE:2022-1
US UKM,city,Cunningham,US-KS,UNLOCODE:2022-1
FR YYY,city,Saint-Cyr-du-Ronceray,FR-14,UNLOCODE:2022-1
MD STR,city,Straseni,MD-ST,UNLOCODE:2022-1
BR RCA,city,Rancharia,BR-SP,UNLOCODE:2022-1
CR GLF,city,Golfito,CR-P,UNLOCODE:2022-1
FR U5B,city,Augers-en-Brie,FR-77,UNLOCODE:2022-1
GB BVR,city,Balvicar,GB-AGB,UNLOCODE:2022-1
US QSI,city,Sea Island,US-GA,UNLOCODE:2022-1
IT RHO,city,Rho,IT-MI,UNLOCODE:2022-1
US VYW,city,Spring Valley,US-WI,UNLOCODE:2022-1
US KC7,city,Knob Lick,US-MO,UNLOCODE:2022-1
NL SUR,city,Surhuisterveen,NL,UNLOCODE:2022-1
IN IRU,city,Irungattukottai,IN-TN,UNLOCODE:2022-1
CO MBA,city,Maria La Baja,CO-BOL,UNLOCODE:2022-1
CA SHN,city,Saint-Henri,CA-QC,UNLOCODE:2022-1
LI BAZ,city,Balzers,LI,UNLOCODE:2022-1
TN AQR,city,Al Qayrawan,TN,UNLOCODE:2022-1
CH FRB,city,Fribourg,CH-FR,UNLOCODE:2022-1
BR BSE,city,Boa Esperança,BR-MG,UNLOCODE:2022-1
GR MRM,city,Marmari,GR,UNLOCODE:2022-1
IT VPM,city,Varallo Pombia,IT,UNLOCODE:2022-1
ES GD9,city,Gumiel de Hizán,ES-BU,UNLOCODE:2022-1
GE VAC,city,Vachnadziani,GE-KA,UNLOCODE:2022-1
FR LEB,city,Le Boulou,FR-66,UNLOCODE:2022-1
CA BKA,city,Brocket,CA-AB,UNLOCODE:2022-1
US PIC,city,Picacho,US-AZ,UNLOCODE:2022-1
CD DIC,city,Dili,CD,UNLOCODE:2022-1
IT GDF,city,Gemona del Friuli,IT,UNLOCODE:2022-1
DE SE3,city,Seiffen,DE-SN,UNLOCODE:2022-1
GB PEM,city,Pembroke,GB-PEM,UNLOCODE:2022-1
NL KGH,city,Konigsbosch,NL,UNLOCODE:2022-1
IN WAI,city,Wai,IN-MH,UNLOCODE:2022-1
JM FRF,city,Frankfield,JM-13,UNLOCODE:2022-1
CH LNN,city,Lauenen,CH-BE,UNLOCODE:2022-1
SE ENE,city,Enebyberg,SE-AB,UNLOCODE:2022-1
UA MUK,city,Mukachëvo,UA-21,UNLOCODE:2022-1
US WTX,city,White Oak,US-TX,UNLOCODE:2022-1
US B6S,city,Brussels,US-WI,UNLOCODE:2022-1
DE ERA,city,Watzerath,DE-RP,UNLOCODE:2022-1
IT ZOT,city,Nepi,IT-VT,UNLOCODE:2022-1
US ES6,city,Essex,US-MA,UNLOCODE:2022-1
US PBK,city,Pack Creek,US-AK,UNLOCODE:2022-1
PH MTA,city,Matina Aplaya/Davao,PH,UNLOCODE:2022-1
ES STH,city,Sant Hilari Sacalm,ES-GI,UNLOCODE:2022-1
PT MRO,city,Muro,PT-13,UNLOCODE:2022-1
PE AYP,city,Ayacucho,PE,UNLOCODE:2022-1
ES VDK,city,Villarejo de Fuentes,ES-CU,UNLOCODE:2022-1
DE BMH,city,Bruchmühlbach-Miesau,DE-RP,UNLOCODE:2022-1
ID GUN,city,Gunungsari,ID-JB,UNLOCODE:2022-1
CZ VKB,city,Bilovice,CZ,UNLOCODE:2022-1
FR UAU,city,Palluau,FR-85,UNLOCODE:2022-1
EG GSQ,city,Shark El Oweinat,EG,UNLOCODE:2022-1
FR NMR,city,Saint-Léomer,FR-86,UNLOCODE:2022-1
US W3H,city,Wheaton,US-MN,UNLOCODE:2022-1
US FNT,city,Flint,US-MI,UNLOCODE:2022-1
FR RUO,city,Ruoms,FR-07,UNLOCODE:2022-1
FR H3G,city,Cintegabelle,FR-31,UNLOCODE:2022-1
IT PGQ,city,Ponte Buggianese,IT,UNLOCODE:2022-1
IT CN4,city,Controguerra,IT-TE,UNLOCODE:2022-1
DE RHW,city,Rheda-Wiedenbrück,DE-NW,UNLOCODE:2022-1
AF LAG,city,Lashkar Gah,AF-HEL,UNLOCODE:2022-1
BE HAD,city,Haasrode,BE-VBR,UNLOCODE:2022-1
TR ASR,city,Kayseri,TR-38,UNLOCODE:2022-1
TR SCA,city,Sapanca,TR-54,UNLOCODE:2022-1
DE BJP,city,Busenberg,DE-RP,UNLOCODE:2022-1
ES IEG,city,Ibiricu,ES-NA,UNLOCODE:2022-1
CZ CET,city,Telnice,CZ,UNLOCODE:2022-1
CA JEJ,city,Head of Jeddore,CA-NS,UNLOCODE:2022-1
BR TCR,city,Tacuru,BR-MS,UNLOCODE:2022-1
ES CE2,city,Cembranos,ES-LE,UNLOCODE:2022-1
AU OUR,city,Moura,AU-QLD,UNLOCODE:2022-1
PA SJE,city,San José,PA-10,UNLOCODE:2022-1
GB RLP,city,Royal Leamington Spa,GB-WAR,UNLOCODE:2022-1
GB OSA,city,Ormesby Saint Margaret,GB-NFK,UNLOCODE:2022-1
DE B3N,city,Benkendorf/Teutschenthal,DE-ST,UNLOCODE:2022-1
US CQT,city,Clinton,US-TN,UNLOCODE:2022-1
ES ZGU,city,La Canonja,ES-T,UNLOCODE:2022-1
US JCR,city,Jackson Center,US-OH,UNLOCODE:2022-1
DE SPW,city,Spreewitz,DE-SN,UNLOCODE:2022-1
CN SZK,city,Songzikou,CN-HB,UNLOCODE:2022-1
GB SWV,city,Sutton Weaver,GB-STN,UNLOCODE:2022-1
NO BRN,city,Brandasund,NO,UNLOCODE:2022-1
IT ZDE,city,Badalucco,IT-IM,UNLOCODE:2022-1
BR CSE,city,Castelândia,BR-GO,UNLOCODE:2022-1
CN YXA,city,Yixian,CN,UNLOCODE:2022-1
BE LPO,city,Langemark-Poelkapelle,BE-VWV,UNLOCODE:2022-1
AT POE,city,Pöchlarn,AT,UNLOCODE:2022-1
FR FSO,city,Flavigny-sur-Ozerain,FR-21,UNLOCODE:2022-1
PL WOJ,city,Wójtowo,PL-28,UNLOCODE:2022-1
IT MNS,city,Monastier di Treviso,IT,UNLOCODE:2022-1
IT GGM,city,Gaggio Montano,IT,UNLOCODE:2022-1
BR SOI,city,Senhora de Oliveira,BR-MG,UNLOCODE:2022-1
PH PAR,city,Paete,PH-LAG,UNLOCODE:2022-1
GB BOG,city,Bonnyrigg,GB-MLN,UNLOCODE:2022-1
US IUR,city,Salisbury,US-PA,UNLOCODE:2022-1
ES GTF,city,Getafe,ES,UNLOCODE:2022-1
FR OZK,city,Ouzouer-sur-Loire,FR-45,UNLOCODE:2022-1
BR CUO,city,Cubatão,BR-SP,UNLOCODE:2022-1
NL ZBI,city,Ooy,NL-GE,UNLOCODE:2022-1
DE PTT,city,Pettstadt (Hasharpberge),DE-BY,UNLOCODE:2022-1
CA LGT,city,Langton,CA-ON,UNLOCODE:2022-1
US GHF,city,Bingham Farms,US-MI,UNLOCODE:2022-1
GB NGY,city,New Galloway,GB-DGY,UNLOCODE:2022-1
BR AFD,city,Abel Figueiredo,BR-PA,UNLOCODE:2022-1
US SPN,city,Spring Valley,US-IL,UNLOCODE:2022-1
US B3B,city,Big Bend,US-CA,UNLOCODE:2022-1
US RY8,city,Roy,US-UT,UNLOCODE:2022-1
ES SOT,city,Tardelcuende,ES-SO,UNLOCODE:2022-1
IT AIS,city,Almisano,IT-VI,UNLOCODE:2022-1
IN PTQ,city,Patiala,IN-PB,UNLOCODE:2022-1
GB HOY,city,Hornsey,GB-HRY,UNLOCODE:2022-1
PL LIW,city,Lidzbark Warminski,PL-28,UNLOCODE:2022-1
ES POZ,city,Pozorrubio,ES,UNLOCODE:2022-1
FR TAN,city,Saint-Alban,FR-31,UNLOCODE:2022-1
GB BMI,city,Brackmills,GB-NTH,UNLOCODE:2022-1
CA MII,city,Mistissini,CA-QC,UNLOCODE:2022-1
PG GAR,city,Garaina,PG,UNLOCODE:2022-1
RU OKT,city,Oktyabr'skiy,RU,UNLOCODE:2022-1
JP NIG,city,Nishigo,JP-07,UNLOCODE:2022-1
FR ANY,city,Anneyron,FR-26,UNLOCODE:2022-1
GB ZAD,city,Boncath,GB-PEM,UNLOCODE:2022-1
IT AAZ,city,Agazzano,IT-PC,UNLOCODE:2022-1
BE BIV,city,Bièvre,BE-WNA,UNLOCODE:2022-1
MR LEG,city,Aleg,MR,UNLOCODE:2022-1
US WYT,city,Wilton,US-ME,UNLOCODE:2022-1
PG TSW,city,Tsewi,PG,UNLOCODE:2022-1
US NTH,city,Natchitoches,US-LA,UNLOCODE:2022-1
AT FUR,city,Fürnitz,AT-2,UNLOCODE:2022-1
CO GLP,city,Galapa,CO-ATL,UNLOCODE:2022-1
US SST,city,South River,US-MO,UNLOCODE:2022-1
US ON2,city,Onarga,US-IL,UNLOCODE:2022-1
CH KAN,city,Kandersteg,CH-BE,UNLOCODE:2022-1
IT GSV,city,Rosignano Solvay,IT-LI,UNLOCODE:2022-1
US CLB,city,Clinton,US-CT,UNLOCODE:2022-1
ES CDO,city,Cabanillas del Campo,ES,UNLOCODE:2022-1
SN KDA,city,Kolda,SN,UNLOCODE:2022-1
IS SEL,city,Selfoss,IS,UNLOCODE:2022-1
CZ YOV,city,Holýsov,CZ,UNLOCODE:2022-1
ES LIA,city,Aliaga,ES-GR,UNLOCODE:2022-1
BE JK8,city,Moerdijk,BE-VWV,UNLOCODE:2022-1
JP KAF,city,Kafuri,JP-40,UNLOCODE:2022-1
IT RPS,city,Riva Presso Chieri,IT-TO,UNLOCODE:2022-1
GB CQM,city,Crumpsall,GB-MAN,UNLOCODE:2022-1
US PJU,city,Pluckemin,US-NJ,UNLOCODE:2022-1
GB RAP,city,"Rapness, Westray",GB-ORK,UNLOCODE:2022-1
