actor_id,type,name,is_part_of,datasource_id
AU SOT,city,Ashmont,AU-NSW,UNLOCODE:2022-1
DE RFA,city,Reinsdorf,DE-NI,UNLOCODE:2022-1
US HMA,city,Harmans,US-MD,UNLOCODE:2022-1
IE CAT,city,Castlecomer,IE-KK,UNLOCODE:2022-1
DE 64H,city,Gremersdorf,DE-SH,UNLOCODE:2022-1
US SWM,city,Snowmass Village,US-CO,UNLOCODE:2022-1
FR SLQ,city,Saint-Lin,FR-79,UNLOCODE:2022-1
GB HHD,city,Hindhead,GB-SRY,UNLOCODE:2022-1
FR LNN,city,Languenan,FR-22,UNLOCODE:2022-1
JP HDK,city,Hidaka,JP-30,UNLOCODE:2022-1
NL TRW,city,Terwolde,NL-GE,UNLOCODE:2022-1
FR QSH,city,Saint-Thuriau,FR-56,UNLOCODE:2022-1
PA LCP,city,Los Cerros de Paja,PA-6,UNLOCODE:2022-1
DE KTL,city,Kalletal,DE-NW,UNLOCODE:2022-1
DE WLC,city,Willich,DE-NW,UNLOCODE:2022-1
CA LST,city,Long Sault,CA-ON,UNLOCODE:2022-1
DE MRB,city,Morbach,DE-RP,UNLOCODE:2022-1
BR GWL,city,Água Limpa,BR-GO,UNLOCODE:2022-1
DE OHK,city,Obernheim,DE-BW,UNLOCODE:2022-1
MY CHI,city,Cameron Highlands,MY-06,UNLOCODE:2022-1
EE OOS,city,Oomiste,EE-79,UNLOCODE:2022-1
IT MOL,city,Molfetta,IT,UNLOCODE:2022-1
CH MNG,city,Montlingen,CH-SG,UNLOCODE:2022-1
CA MBL,city,Mont Tremblant,CA-QC,UNLOCODE:2022-1
US NLC,city,Lemoore,US-CA,UNLOCODE:2022-1
ES ZNE,city,Villacil,ES-LE,UNLOCODE:2022-1
IR RJN,city,Rafsanjan,IR,UNLOCODE:2022-1
US ZRS,city,Santa Rosa,US-TX,UNLOCODE:2022-1
DE DIR,city,Dierdorf,DE-RP,UNLOCODE:2022-1
NL MGT,city,Molengat,NL-NH,UNLOCODE:2022-1
GB BW9,city,Brewood,GB-STS,UNLOCODE:2022-1
FR 2N2,city,St Geours d'Auribat,FR-40,UNLOCODE:2022-1
PA GZN,city,Guzmán,PA-2,UNLOCODE:2022-1
DE JHN,city,Jüchen,DE-NW,UNLOCODE:2022-1
AT SMN,city,Sankt Martin bei Linz,AT,UNLOCODE:2022-1
