actor_id,type,name,is_part_of,datasource_id
GR FOU,city,Foúrnoi,GR,UNLOCODE:2022-1
CA ROA,city,Roaches Line,CA-NL,UNLOCODE:2022-1
BR CCZ,city,Cocos,BR-BA,UNLOCODE:2022-1
DE TTT,city,Titting,DE-BY,UNLOCODE:2022-1
IT VIG,city,Vigliano,IT,UNLOCODE:2022-1
GB KET,city,"Kettletoft, Sanday",GB-ORK,UNLOCODE:2022-1
US ZJE,city,Von Ormy,US-TX,UNLOCODE:2022-1
BR PBT,city,Pereira Barreto,BR-SP,UNLOCODE:2022-1
FR H5T,city,Meuse,FR-52,UNLOCODE:2022-1
NL LYG,city,Luyksgestel,NL-NB,UNLOCODE:2022-1
AU PMG,city,Peppermint Grove,AU-WA,UNLOCODE:2022-1
EE HRJ,city,Harju,EE-39,UNLOCODE:2022-1
US LEM,city,Lemmon,US-SD,UNLOCODE:2022-1
US IAO,city,Cotati,US-CA,UNLOCODE:2022-1
RS HGO,city,Horgos,RS-VO,UNLOCODE:2022-1
DE A93,city,Axien,DE-ST,UNLOCODE:2022-1
SK NBA,city,Nová Bana,SK-BC,UNLOCODE:2022-1
GB OHL,city,Breedon on the Hill,GB-LEC,UNLOCODE:2022-1
US GUQ,city,Greendale,US-IN,UNLOCODE:2022-1
AU BUT,city,Beaumont,AU-SA,UNLOCODE:2022-1
US ZYY,city,Suttons Bay,US-MI,UNLOCODE:2022-1
SI TEP,city,Tepanje,SI-114,UNLOCODE:2022-1
NL SBM,city,Sexbierum,NL-FL,UNLOCODE:2022-1
FR IOK,city,Bondaroy,FR-45,UNLOCODE:2022-1
US V8X,city,Auxvasse,US-MO,UNLOCODE:2022-1
GR FIS,city,Fiskárdo,GR,UNLOCODE:2022-1
FR QTV,city,Tavernes,FR-83,UNLOCODE:2022-1
FR B9V,city,Bernardvillé,FR-67,UNLOCODE:2022-1
DE ARG,city,Ainring,DE-BY,UNLOCODE:2022-1
FR MEA,city,Meaux,FR-77,UNLOCODE:2022-1
DK VLL,city,Vallø,DK-85,UNLOCODE:2022-1
FR CN6,city,Le Controis-en-Sologne,FR-41,UNLOCODE:2022-1
FI HLS,city,Halsua,FI-14,UNLOCODE:2022-1
BR LED,city,Lagoa de Dentro,BR-PB,UNLOCODE:2022-1
AU TUM,city,Tumut,AU-NSW,UNLOCODE:2022-1
