actor_id,type,name,is_part_of,datasource_id
CD LBO,city,Lusambo,CD,UNLOCODE:2022-1
IT MRZ,city,Marzano,IT,UNLOCODE:2022-1
US Q5T,city,Quinton,US-VA,UNLOCODE:2022-1
CH SCY,city,Suchy,CH-JU,UNLOCODE:2022-1
US 8MT,city,Fairfield,US-MT,UNLOCODE:2022-1
IN LWP,city,Lakshadweep,IN-LD,UNLOCODE:2022-1
DE OBV,city,Oberviechtach,DE-BY,UNLOCODE:2022-1
GY KPG,city,Kurupung,GY,UNLOCODE:2022-1
IT ZDR,city,Borgo Santa Maria,IT-PU,UNLOCODE:2022-1
AT ITT,city,Itterdörfl,AT-7,UNLOCODE:2022-1
NO DMG,city,Damsgård,NO,UNLOCODE:2022-1
DE UBS,city,Bubenheim Rheinhess,DE-RP,UNLOCODE:2022-1
GB HNS,city,"Hamars Ness, Fetlar",GB-ZET,UNLOCODE:2022-1
DE NLZ,city,Neuensalz,DE-SN,UNLOCODE:2022-1
HU HEG,city,Hegyeshalom,HU,UNLOCODE:2022-1
US EYO,city,Kenyon,US-MN,UNLOCODE:2022-1
SE OER,city,Örnsköldsvik,SE-Y,UNLOCODE:2022-1
CN ZHF,city,Zhangfeng,CN-YN,UNLOCODE:2022-1
AU TUG,city,Tuggerah,AU-NSW,UNLOCODE:2022-1
GB DSY,city,Norton Disney,GB,UNLOCODE:2022-1
IT XCP,city,Castelfranco Piandiscò,IT-AR,UNLOCODE:2022-1
FR ZCF,city,Chassagny,FR-69,UNLOCODE:2022-1
US ELM,city,Elmira,US-NY,UNLOCODE:2022-1
US QSD,city,Sneads,US-FL,UNLOCODE:2022-1
US OTJ,city,Laotto,US-IN,UNLOCODE:2022-1
BR EMZ,city,Emas,BR-PB,UNLOCODE:2022-1
FR CN4,city,Charnas,FR-07,UNLOCODE:2022-1
BG SUZ,city,Suhindol,BG,UNLOCODE:2022-1
FR NUX,city,Nanteuil-lès-Meaux,FR-77,UNLOCODE:2022-1
ES SZZ,city,Santibañez de la Peña,ES-P,UNLOCODE:2022-1
FR SS5,city,Saint-Just-Sauvage,FR-51,UNLOCODE:2022-1
US NOL,city,Nakolik River,US-AK,UNLOCODE:2022-1
SV EZB,city,Cutuco,SV,UNLOCODE:2022-1
ES LVE,city,Losar de la Vera,ES-CC,UNLOCODE:2022-1
IT ZZL,city,Salza Irpina,IT-AV,UNLOCODE:2022-1
DE TTN,city,Train,DE-BY,UNLOCODE:2022-1
RU KST,city,Kostarikha,RU,UNLOCODE:2022-1
DE GYF,city,Gremsdorf,DE-BY,UNLOCODE:2022-1
AR ODR,city,Open Door,AR-B,UNLOCODE:2022-1
SI BS3,city,Bohinjska Bela,SI-003,UNLOCODE:2022-1
US EVB,city,Essex,US-CA,UNLOCODE:2022-1
US BUY,city,Blauvelt,US-NY,UNLOCODE:2022-1
BE KTE,city,Kettenis,BE-WLG,UNLOCODE:2022-1
FR B8R,city,Broué,FR-28,UNLOCODE:2022-1
US YHR,city,Hebron,US-NE,UNLOCODE:2022-1
IT MSD,city,Marina di Grosseto,IT,UNLOCODE:2022-1
US LVT,city,Livingston,US-AL,UNLOCODE:2022-1
FR MQS,city,Marolles-sur-Seine,FR-77,UNLOCODE:2022-1
DE AIC,city,Aichach,DE-BY,UNLOCODE:2022-1
FR EEB,city,Beaumont-de-Lomagne,FR-82,UNLOCODE:2022-1
IT AIO,city,Aci Sant'Antonio,IT-CT,UNLOCODE:2022-1
RU MOL,city,Molot,RU-NVS,UNLOCODE:2022-1
CH OTH,city,Othmarsingen,CH-AG,UNLOCODE:2022-1
GB LSP,city,Leamington Spa,GB-WAR,UNLOCODE:2022-1
DE 66D,city,Grossbarkau,DE-SH,UNLOCODE:2022-1
US 8PL,city,Woodland,US-MS,UNLOCODE:2022-1
AT SAW,city,Sankt Andrä-Wördern,AT-3,UNLOCODE:2022-1
IT SIT,city,Ostia,IT-RM,UNLOCODE:2022-1
ZW BZH,city,Bumi Hills,ZW,UNLOCODE:2022-1
US CHL,city,Challis,US-ID,UNLOCODE:2022-1
JP SMD,city,"Shimoda, Shizuoka",JP-22,UNLOCODE:2022-1
US GTS,city,Greeneville,US-TN,UNLOCODE:2022-1
DE DDT,city,Dingelstädt,DE-TH,UNLOCODE:2022-1
US HOQ,city,Helotes,US-TX,UNLOCODE:2022-1
MF GES,city,Galisbay,MF,UNLOCODE:2022-1
ES AEO,city,Almonte,ES-H,UNLOCODE:2022-1
GB MKT,city,Mickle Trafford,GB-CHW,UNLOCODE:2022-1
GB WDO,city,Wendover,GB-BKM,UNLOCODE:2022-1
GB ELM,city,Ellesmere,GB-SHR,UNLOCODE:2022-1
PA CGA,city,Chiguirí Arriba,PA-2,UNLOCODE:2022-1
US ELF,city,Belfield,US-ND,UNLOCODE:2022-1
GB SBF,city,South Benfleet,GB-ESS,UNLOCODE:2022-1
US HEW,city,Hopewell,US-NJ,UNLOCODE:2022-1
MQ LER,city,Le Robert,MQ,UNLOCODE:2022-1
BR YPC,city,Ipuaçu,BR-SC,UNLOCODE:2022-1
US DJV,city,Dennisville,US-NJ,UNLOCODE:2022-1
CL LVT,city,Los Vientos,CL-AN,UNLOCODE:2022-1
DE DNO,city,Danna/Niedergörsdorf,DE-BB,UNLOCODE:2022-1
IT MMC,city,Montesano sulla Marcellana,IT-SA,UNLOCODE:2022-1
HN BRC,city,Baracoa,HN-CR,UNLOCODE:2022-1
DE BSL,city,Baisweil,DE-BY,UNLOCODE:2022-1
US O4F,city,Pomfret,US-MD,UNLOCODE:2022-1
LK KAD,city,Kaduwela,LK-1,UNLOCODE:2022-1
FR AHI,city,Aubry-du-Hainaut,FR-59,UNLOCODE:2022-1
GN DIN,city,Dinguiraye,GN-DI,UNLOCODE:2022-1
BR NAV,city,Nova Alvorada,BR-RS,UNLOCODE:2022-1
PT CNF,city,Cinfães,PT-18,UNLOCODE:2022-1
HK TKO,city,Tseung Kwan O,HK,UNLOCODE:2022-1
SI VIT,city,Vitanje,SI-137,UNLOCODE:2022-1
IT MMO,city,Marettimo,IT,UNLOCODE:2022-1
TR KTM,city,Kastamonu,TR-37,UNLOCODE:2022-1
DE 3AX,city,Arzfeld,DE-RP,UNLOCODE:2022-1
US KWO,city,Kenilworth,US-NJ,UNLOCODE:2022-1
RS PLC,city,Palic,RS,UNLOCODE:2022-1
US TMN,city,Trumann,US-AR,UNLOCODE:2022-1
PR COE,city,Comerio,PR,UNLOCODE:2022-1
NL KER,city,Kerkrade,NL,UNLOCODE:2022-1
DE BRA,city,Bramel,DE-NI,UNLOCODE:2022-1
US S4W,city,Switz City,US-IN,UNLOCODE:2022-1
CA SVQ,city,Saint-Valérien,CA-QC,UNLOCODE:2022-1
ES ROX,city,Tirgo,ES-LO,UNLOCODE:2022-1
FI HAU,city,Haukipudas,FI-14,UNLOCODE:2022-1
AU NLL,city,Nullagine,AU-WA,UNLOCODE:2022-1
US BH2,city,Binghampton,US-IL,UNLOCODE:2022-1
US JBS,city,Pleasanton,US-CA,UNLOCODE:2022-1
FR 9IA,city,Moriat,FR-63,UNLOCODE:2022-1
US TFV,city,Taftsville,US-VT,UNLOCODE:2022-1
US INV,city,Madisonville,US-LA,UNLOCODE:2022-1
HR GRC,city,Gornja Rijeka,HR-06,UNLOCODE:2022-1
DE BRM,city,Bramsche,DE-NI,UNLOCODE:2022-1
CA LAD,city,Ladysmith,CA-BC,UNLOCODE:2022-1
FR TZW,city,Tence,FR-43,UNLOCODE:2022-1
FR UNO,city,L'Union,FR-31,UNLOCODE:2022-1
AU BBE,city,Big Bell,AU-WA,UNLOCODE:2022-1
JP ISA,city,Issai,JP-39,UNLOCODE:2022-1
US AGV,city,Autaugaville,US-AL,UNLOCODE:2022-1
AT KTF,city,Krottendorf,AT-6,UNLOCODE:2022-1
BR LPD,city,Leme do Prado,BR-MG,UNLOCODE:2022-1
EG PTK,city,Port Tewfik,EG,UNLOCODE:2022-1
IT PVL,city,Pergine Valsugana,IT,UNLOCODE:2022-1
PL MIN,city,Minsk Mazowiecki,PL-14,UNLOCODE:2022-1
FR ZJY,city,Villey-Saint-Étienne,FR-54,UNLOCODE:2022-1
CN COZ,city,Chaozhou,CN-GD,UNLOCODE:2022-1
SM BMG,city,Borgo Maggiore,SM,UNLOCODE:2022-1
FR C2C,city,Cherves-Châtelars,FR-16,UNLOCODE:2022-1
