actor_id,type,name,is_part_of,datasource_id
DE 53Q,city,Gudow,DE-SH,UNLOCODE:2022-1
MW LUZ,city,Luchenza,MW-TH,UNLOCODE:2022-1
GB KTE,city,Kettlethorpe,GB-LIN,UNLOCODE:2022-1
ZA RHS,city,Rhodes,ZA-EC,UNLOCODE:2022-1
IT UKQ,city,Marcellina,IT-RM,UNLOCODE:2022-1
CA LKD,city,Lakeside,CA-NS,UNLOCODE:2022-1
JP IHK,city,Inashiki,JP-08,UNLOCODE:2022-1
FR MQ8,city,Monbéqui,FR-82,UNLOCODE:2022-1
NZ KOP,city,Kopu,NZ-AUK,UNLOCODE:2022-1
DE BQS,city,Bischofsmais,DE-BY,UNLOCODE:2022-1
CH VSN,city,Villorsonnens,CH-FR,UNLOCODE:2022-1
IT SUI,city,Suisio,IT-BG,UNLOCODE:2022-1
BR MHZ,city,Munhoz,BR-MG,UNLOCODE:2022-1
US JN2,city,Jourdanton,US-TX,UNLOCODE:2022-1
FR URT,city,Courtry,FR-77,UNLOCODE:2022-1
IL DFN,city,Dafna,IL-Z,UNLOCODE:2022-1
GB CYK,city,Corley,GB,UNLOCODE:2022-1
GB PNO,city,Prenton,GB-WRL,UNLOCODE:2022-1
UA UGL,city,Vuhlehirsk,UA-14,UNLOCODE:2022-1
FR BGU,city,Biguglia,FR-2B,UNLOCODE:2022-1
DE 4AY,city,Ascheffel,DE-SH,UNLOCODE:2022-1
GB PRS,city,Prestatyn,GB-DEN,UNLOCODE:2022-1
NO USD,city,Uskedalen,NO,UNLOCODE:2022-1
FR MH6,city,Saint-M'Hervon,FR-35,UNLOCODE:2022-1
SI MDP,city,Miklavz Na Dravskem Polju,SI-070,UNLOCODE:2022-1
FR BSF,city,Bagnols-en-Forêt,FR-83,UNLOCODE:2022-1
IT TSA,city,Castelmassa,IT-RO,UNLOCODE:2022-1
DE IGH,city,Igersheim,DE-BW,UNLOCODE:2022-1
BE RKM,city,Rekkem,BE-VWV,UNLOCODE:2022-1
FR TMB,city,Saint-Martin-Boulogne,FR-62,UNLOCODE:2022-1
ES BBJ,city,Breña Baja,ES,UNLOCODE:2022-1
US SRF,city,San Rafael,US-CA,UNLOCODE:2022-1
IT JCO,city,Jerago con Orago,IT,UNLOCODE:2022-1
AU WIT,city,Wittenoom,AU-WA,UNLOCODE:2022-1
TR ZEY,city,Zeytinburnu,TR-34,UNLOCODE:2022-1
ES TRV,city,Torrelavit,ES-B,UNLOCODE:2022-1
TR MHM,city,Mahmudiye,TR-26,UNLOCODE:2022-1
DE BN5,city,Balje,DE-NI,UNLOCODE:2022-1
IT VBO,city,Savigno,IT-BO,UNLOCODE:2022-1
FR GOC,city,Lagorce,FR-07,UNLOCODE:2022-1
IT LDM,city,Luco dei Marsi,IT-AQ,UNLOCODE:2022-1
US 2MH,city,Manhattan,US-MT,UNLOCODE:2022-1
SK MOL,city,Moravské Lieskové,SK-TC,UNLOCODE:2022-1
ES FBX,city,Sant Feliu de Buixalleu,ES-GI,UNLOCODE:2022-1
GB ELB,city,"Ellenabeich, Seil",GB-AGB,UNLOCODE:2022-1
US SQP,city,Sheldon,US-MO,UNLOCODE:2022-1
DE WS3,city,Wrestedt,DE-NI,UNLOCODE:2022-1
US NSZ,city,Nyssa,US-OR,UNLOCODE:2022-1
US B3G,city,Bulger,US-PA,UNLOCODE:2022-1
FR XCO,city,Cirfontaines-en-Ornois,FR-52,UNLOCODE:2022-1
GB SIT,city,Sittingbourne,GB-KEN,UNLOCODE:2022-1
AZ MGC,city,Mingechaur,AZ,UNLOCODE:2022-1
AU PNG,city,Piangil,AU-VIC,UNLOCODE:2022-1
US IR5,city,Irving,US-MI,UNLOCODE:2022-1
DE ZEF,city,Ehrenfriedersdorf,DE-SN,UNLOCODE:2022-1
FR MPD,city,Lampourdier,FR-84,UNLOCODE:2022-1
GB WAW,city,Warwick,GB-CMA,UNLOCODE:2022-1
PT TZO,city,Vila Nogueira de Azeitao,PT-15,UNLOCODE:2022-1
US MR7,city,Manchester,US-ME,UNLOCODE:2022-1
CA SHM,city,Schumacher,CA-ON,UNLOCODE:2022-1
CA GNO,city,Glendon,CA-AB,UNLOCODE:2022-1
US JDI,city,Arcadia,US-MO,UNLOCODE:2022-1
US DOC,city,Maddock,US-ND,UNLOCODE:2022-1
FR AR3,city,Aragon,FR-11,UNLOCODE:2022-1
US OC5,city,Oceanview,US-NJ,UNLOCODE:2022-1
GR DRE,city,Drepano Riou,GR,UNLOCODE:2022-1
IQ KIK,city,Kirkuk,IQ,UNLOCODE:2022-1
CA MMI,city,Miami,CA-MB,UNLOCODE:2022-1
BE SLY,city,Sclayn,BE-WNA,UNLOCODE:2022-1
SI MGS,city,Menges,SI-072,UNLOCODE:2022-1
AZ XIR,city,Xirdalan,AZ-ABS,UNLOCODE:2022-1
ES HIE,city,Puerto de la Estaca,ES,UNLOCODE:2022-1
IL NUR,city,Newe Ur,IL,UNLOCODE:2022-1
CA YXN,city,Whale Cove,CA-NU,UNLOCODE:2022-1
CN GIR,city,Gyirong,CN-XZ,UNLOCODE:2022-1
US AOK,city,Catatonk,US-NY,UNLOCODE:2022-1
FR 3FC,city,Flines-lez-Raches,FR-59,UNLOCODE:2022-1
AU EDE,city,Eden Valley,AU-SA,UNLOCODE:2022-1
SE STD,city,Ställdalen,SE-T,UNLOCODE:2022-1
DE 3AC,city,Alt Bennebek,DE-SH,UNLOCODE:2022-1
US NRX,city,Monroe,US-VA,UNLOCODE:2022-1
FR YRV,city,Avirey-Lingey,FR-10,UNLOCODE:2022-1
IT PXT,city,Prato Sesia,IT,UNLOCODE:2022-1
FR LVY,city,Laveyrune,FR-07,UNLOCODE:2022-1
ES ZLO,city,Sucina,ES-MU,UNLOCODE:2022-1
IT ZYQ,city,San Leo di Pellaro,IT,UNLOCODE:2022-1
TR SRK,city,Sarköy,TR-59,UNLOCODE:2022-1
NZ DGO,city,Doubtful Sound,NZ-STL,UNLOCODE:2022-1
ID PMK,city,Pomako,ID-PA,UNLOCODE:2022-1
DE 53B,city,Bonnhagen,DE-MV,UNLOCODE:2022-1
TZ BKZ,city,Bukoba,TZ,UNLOCODE:2022-1
FR BWI,city,Bollwiller,FR-68,UNLOCODE:2022-1
AU MLN,city,Marulan,AU-NSW,UNLOCODE:2022-1
PT MLI,city,Macieira da Lixa,PT-13,UNLOCODE:2022-1
FR AL3,city,Availles-Limouzine,FR-86,UNLOCODE:2022-1
HR ALJ,city,Aljmas,HR,UNLOCODE:2022-1
US NOI,city,North Richland Hills,US-TX,UNLOCODE:2022-1
GB EME,city,East Mersea,GB,UNLOCODE:2022-1
US TRL,city,Terrell,US-TX,UNLOCODE:2022-1
IT PRO,city,Procida,IT,UNLOCODE:2022-1
NL ASS,city,Assen,NL,UNLOCODE:2022-1
CN NJK,city,Nanjiangkou,CN-GD,UNLOCODE:2022-1
US EE4,city,Eastanollee,US-GA,UNLOCODE:2022-1
US UTV,city,Mountville,US-SC,UNLOCODE:2022-1
ES PES,city,Peñalsordo,ES-BA,UNLOCODE:2022-1
BR AHF,city,Cidade de Anchieta FPSO,BR-RJ,UNLOCODE:2022-1
SI MED,city,Smlednik,SI-071,UNLOCODE:2022-1
DE WB5,city,Windeby,DE-SH,UNLOCODE:2022-1
AU COJ,city,Coonabarabran,AU-NSW,UNLOCODE:2022-1
ES SDE,city,Sodupe,ES-BI,UNLOCODE:2022-1
BR QUO,city,Quixelô,BR-CE,UNLOCODE:2022-1
NL BZW,city,Boornzwaag,NL-FR,UNLOCODE:2022-1
DK LAA,city,Låsby,DK,UNLOCODE:2022-1
ES HMR,city,Húmera,ES-M,UNLOCODE:2022-1
TH MDH,city,Mukdahan Customs House,TH-49,UNLOCODE:2022-1
JM HIE,city,Highgate,JM-05,UNLOCODE:2022-1
MU TDD,city,Trou d'eau Douce,MU-FL,UNLOCODE:2022-1
FR E3B,city,Charmont-en-Beauce,FR-45,UNLOCODE:2022-1
AU NSO,city,Scone,AU-NSW,UNLOCODE:2022-1
IT 5FN,city,Fornoli,IT-LU,UNLOCODE:2022-1
CA MNN,city,McLennan,CA-AB,UNLOCODE:2022-1
DE DSD,city,Pferdsdorf,DE-TH,UNLOCODE:2022-1
DE CKL,city,Kiel Canal,DE-SH,UNLOCODE:2022-1
TN MOK,city,Moknine,TN,UNLOCODE:2022-1
IL RFH,city,Rafiach,IL,UNLOCODE:2022-1
FR ABA,city,Rabastens,FR-81,UNLOCODE:2022-1
AT SRM,city,Schrems,AT,UNLOCODE:2022-1
US OFI,city,Brookfield,US-MO,UNLOCODE:2022-1
SI GG3,city,Gornji Grad,SI-030,UNLOCODE:2022-1
CH BSU,city,Busswil,CH-BE,UNLOCODE:2022-1
US GYM,city,Gilmanton,US-NH,UNLOCODE:2022-1
DK TAG,city,Tranbjerg,DK-81,UNLOCODE:2022-1
AU ONS,city,Onslow,AU-WA,UNLOCODE:2022-1
FR FY3,city,Fayl-Billot,FR-52,UNLOCODE:2022-1
NL SUA,city,Suameer,NL-FR,UNLOCODE:2022-1
BR PSD,city,Porto Esperidião,BR-MT,UNLOCODE:2022-1
IT MT9,city,Montorso,IT-VI,UNLOCODE:2022-1
DE OVR,city,Overath,DE-NW,UNLOCODE:2022-1
US MCB,city,McComb,US-MS,UNLOCODE:2022-1
ZW MZW,city,Mazowe,ZW-MC,UNLOCODE:2022-1
US PL4,city,Plympton,US-MA,UNLOCODE:2022-1
BR SXA,city,Senador Alexandre Costa,BR-MA,UNLOCODE:2022-1
BR BET,city,Bandeirantes,BR-MS,UNLOCODE:2022-1
CA MWA,city,Madawaska,CA-ON,UNLOCODE:2022-1
DE 83X,city,Freinsheim,DE-RP,UNLOCODE:2022-1
ZA AVL,city,Strubenvale,ZA-GP,UNLOCODE:2022-1
FR NNA,city,Bannay,FR-18,UNLOCODE:2022-1
US JFI,city,Fairlee,US-VT,UNLOCODE:2022-1
