actor_id,type,name,is_part_of,datasource_id
BE MTN,city,Montegnee,BE-WLG,UNLOCODE:2022-1
BR PSG,city,Paraíso das Águas,BR-MS,UNLOCODE:2022-1
NL NIB,city,Nieuw-Bergen,NL-LI,UNLOCODE:2022-1
NO OYS,city,Øystese,NO,UNLOCODE:2022-1
US DNL,city,Denville,US-NJ,UNLOCODE:2022-1
BR CAW,city,Carmo,BR-RJ,UNLOCODE:2022-1
ID GLX,city,"Galela, Halmahera",ID,UNLOCODE:2022-1
IT PGD,city,Poggiridenti,IT-SO,UNLOCODE:2022-1
AU MDP,city,Mandogalup,AU-WA,UNLOCODE:2022-1
SE NYL,city,Nyland,SE-Y,UNLOCODE:2022-1
BR AEU,city,Aceguá,BR-RS,UNLOCODE:2022-1
CA NPT,city,Notre-Dame-de-l'Île-Perrot,CA-QC,UNLOCODE:2022-1
ES ZLQ,city,Sant Pere Molanta,ES-B,UNLOCODE:2022-1
FR OMR,city,Cormery,FR-37,UNLOCODE:2022-1
RU VNY,city,Venyov,RU,UNLOCODE:2022-1
US 5BR,city,Brownstown,US-IL,UNLOCODE:2022-1
FR PFN,city,Pierrefitte-Nestalas,FR-65,UNLOCODE:2022-1
DE MDD,city,Diedesheim/Mosbach,DE-BW,UNLOCODE:2022-1
CA SVE,city,Sainte-Veronique,CA-QC,UNLOCODE:2022-1
ZA JOH,city,Port Saint John's,ZA-EC,UNLOCODE:2022-1
DE ES2,city,Ernstroda,DE-TH,UNLOCODE:2022-1
DE ZLW,city,Zeil/Edling bei Wasserburg am Inn,DE-BY,UNLOCODE:2022-1
NI 8LG,city,Totogalpa,NI-MD,UNLOCODE:2022-1
PT OAS,city,Aldeia Galega da Merceana,PT-11,UNLOCODE:2022-1
US ZXS,city,Slingerlands,US-NY,UNLOCODE:2022-1
MT STV,city,Santa Venera,MT-53,UNLOCODE:2022-1
ES MCS,city,Montealegre del Castillo,ES-AB,UNLOCODE:2022-1
GB WHJ,city,Whiteinch/Glasgow,GB-GLG,UNLOCODE:2022-1
US JML,city,Mills,US-WY,UNLOCODE:2022-1
US LYO,city,Lyons,US-KS,UNLOCODE:2022-1
AR GUR,city,Guerrico,AR-B,UNLOCODE:2022-1
DE JUE,city,Jülich,DE-NW,UNLOCODE:2022-1
ES LMU,city,Almudevar,ES-HU,UNLOCODE:2022-1
DE ETM,city,Eltmann,DE-BY,UNLOCODE:2022-1
DE WLD,city,Walkenried,DE-NI,UNLOCODE:2022-1
ES PDA,city,Puebla de Alfindén,ES,UNLOCODE:2022-1
GB SSS,city,Sharpness,GB-GLS,UNLOCODE:2022-1
DE XIG,city,Sigmaringendorf,DE-BW,UNLOCODE:2022-1
GB CAE,city,Caerphilly,GB-CAY,UNLOCODE:2022-1
ES PDE,city,Pola de Allande,ES-O,UNLOCODE:2022-1
US FWJ,city,Fanwood,US-NJ,UNLOCODE:2022-1
FR PE7,city,Pessac-sur-Dordogne,FR-33,UNLOCODE:2022-1
JP TME,city,Tomie,JP-42,UNLOCODE:2022-1
DE GGE,city,Gross Glienicke,DE-BE,UNLOCODE:2022-1
CA SGF,city,Sturgeon Falls,CA-ON,UNLOCODE:2022-1
RO CVO,city,Comuna Voineasa,RO-VL,UNLOCODE:2022-1
US RVK,city,Russellville,US-KY,UNLOCODE:2022-1
FR FIT,city,Fitou,FR-11,UNLOCODE:2022-1
BR MEL,city,Serra do Mel,BR-RN,UNLOCODE:2022-1
US MXP,city,Meraux,US-LA,UNLOCODE:2022-1
KZ EIK,city,Esik,KZ-ALA,UNLOCODE:2022-1
AT OZB,city,Ötztal-Bahnhof,AT-7,UNLOCODE:2022-1
FR VMU,city,Saint-Vincent-de-Mercuze,FR-38,UNLOCODE:2022-1
PL PZT,city,Przytoczna,PL-08,UNLOCODE:2022-1
US SRO,city,Spring Hope,US-NC,UNLOCODE:2022-1
US BSJ,city,Bristol,US-WI,UNLOCODE:2022-1
IT GRT,city,Grottaglie,IT,UNLOCODE:2022-1
GB KPS,city,Killroot Power Station Jetty,GB,UNLOCODE:2022-1
DE SBW,city,Stäbelow,DE-MV,UNLOCODE:2022-1
VE 9VA,city,Vargas,VE-D,UNLOCODE:2022-1
BE MIL,city,Milmort,BE-WLG,UNLOCODE:2022-1
FR 3KR,city,Lerné,FR-37,UNLOCODE:2022-1
DE YUG,city,Neusorg,DE-BY,UNLOCODE:2022-1
JP SXO,city,Shinjuku-ku,JP-13,UNLOCODE:2022-1
FR FY8,city,Fontaines,FR-89,UNLOCODE:2022-1
ES ACA,city,Alcanar,ES-T,UNLOCODE:2022-1
MX TST,city,Tesistan,MX-JAL,UNLOCODE:2022-1
DE KEU,city,Buckow,DE-BB,UNLOCODE:2022-1
FR QCP,city,Saint-Quentin-de-Caplong,FR-33,UNLOCODE:2022-1
FR MCI,city,Macinaggio,FR-2B,UNLOCODE:2022-1
FR QXY,city,Lacquy,FR-40,UNLOCODE:2022-1
