actor_id,type,name,is_part_of,datasource_id
GT PAN,city,Patzún,GT-04,UNLOCODE:2022-1
ES LG5,city,La Guardia,ES-TO,UNLOCODE:2022-1
ES LQR,city,La Carolina,ES,UNLOCODE:2022-1
GR M8L,city,Magoúla,GR,UNLOCODE:2022-1
GB GLF,city,Glenfield,GB-LEC,UNLOCODE:2022-1
US VIN,city,Vineland,US-NJ,UNLOCODE:2022-1
DE AUD,city,Anhalt Süd,DE-ST,UNLOCODE:2022-1
AU DTO,city,Dapto,AU-NSW,UNLOCODE:2022-1
US YNK,city,Yaphank,US-NY,UNLOCODE:2022-1
ES SMU,city,San Martin de Unx,ES-NA,UNLOCODE:2022-1
DE ISE,city,Iserlohn,DE-NW,UNLOCODE:2022-1
IT CAU,city,Cantù,IT-CO,UNLOCODE:2022-1
US FKV,city,Falkville,US-AL,UNLOCODE:2022-1
BR APY,city,Alto Parnaíba,BR-MA,UNLOCODE:2022-1
ES OPA,city,Oropesa,ES-CS,UNLOCODE:2022-1
US DSO,city,Danielson,US-CT,UNLOCODE:2022-1
IL RRA,city,Ramat Razi'el,IL-JM,UNLOCODE:2022-1
GB NTW,city,Nantwich,GB-CHE,UNLOCODE:2022-1
US DGJ,city,Hodgdon,US-ME,UNLOCODE:2022-1
IE CTT,city,Clontibret,IE,UNLOCODE:2022-1
RO AID,city,Aiud,RO-AB,UNLOCODE:2022-1
PG OBM,city,Morobe,PG,UNLOCODE:2022-1
RO BNT,city,Banesti,RO-PH,UNLOCODE:2022-1
FR C2M,city,Chaudeney-sur-Moselle,FR-54,UNLOCODE:2022-1
JP SCR,city,Shichirui,JP-32,UNLOCODE:2022-1
US DEU,city,Decatur,US-TX,UNLOCODE:2022-1
NL VDH,city,Veldhoven,NL,UNLOCODE:2022-1
CZ BES,city,Bestovice,CZ,UNLOCODE:2022-1
IT RSE,city,Bagno Roselle,IT,UNLOCODE:2022-1
CA CPC,city,Copper Cliff,CA-ON,UNLOCODE:2022-1
US ADC,city,Camphill,US-PA,UNLOCODE:2022-1
NL SIM,city,Simpelveld,NL-LI,UNLOCODE:2022-1
US ZSL,city,Sibley,US-IA,UNLOCODE:2022-1
US VSW,city,Stillwater,US-NJ,UNLOCODE:2022-1
JP KJO,city,Kinjo,JP-23,UNLOCODE:2022-1
PL RNW,city,Rakoniewice,PL,UNLOCODE:2022-1
US TPK,city,Topeka,US-IN,UNLOCODE:2022-1
US HH8,city,Highwood,US-IL,UNLOCODE:2022-1
CN DMY,city,Damaiyu,CN-ZJ,UNLOCODE:2022-1
AU MGO,city,Mittagong,AU-NSW,UNLOCODE:2022-1
AU BKE,city,Berkeley Vale,AU-NSW,UNLOCODE:2022-1
US DEM,city,Dermott,US-AR,UNLOCODE:2022-1
BE KGV,city,Kaggevinne,BE-VBR,UNLOCODE:2022-1
BR BGV,city,Bento Gonçalves,BR-RS,UNLOCODE:2022-1
BR ADE,city,Alto Rio Doce,BR-MG,UNLOCODE:2022-1
FI TRI,city,Turenki,FI-06,UNLOCODE:2022-1
BO MOC,city,Moco Moco,BO-L,UNLOCODE:2022-1
GB MSE,city,Manston,GB-KEN,UNLOCODE:2022-1
PT BUS,city,Bustos,PT,UNLOCODE:2022-1
GB XCD,city,Codsall,GB-STS,UNLOCODE:2022-1
BE OKO,city,Oosteeklo,BE-VOV,UNLOCODE:2022-1
ES OLA,city,Olaberría,ES,UNLOCODE:2022-1
US VER,city,Verona,US-NJ,UNLOCODE:2022-1
NZ MOS,city,Mossburn,NZ-STL,UNLOCODE:2022-1
BR ALM,city,Abreu e Lima,BR-PE,UNLOCODE:2022-1
JP KWC,city,"Kawachi, Nagasaki",JP-42,UNLOCODE:2022-1
FR AE2,city,Arc-en-Barrois,FR-52,UNLOCODE:2022-1
DE EHZ,city,Eichenzell,DE-HE,UNLOCODE:2022-1
GB RID,city,Ridham Dock,GB-KEN,UNLOCODE:2022-1
FR WPS,city,Petite-Synthe,FR-59,UNLOCODE:2022-1
DE PCE,city,Pruchten,DE-MV,UNLOCODE:2022-1
AU TPO,city,Taren Point,AU-NSW,UNLOCODE:2022-1
RS TPP,city,Topola,RS-12,UNLOCODE:2022-1
FR T7Z,city,Traize,FR-73,UNLOCODE:2022-1
US OT5,city,Ontario,US-OH,UNLOCODE:2022-1
FR BOM,city,Billom,FR-63,UNLOCODE:2022-1
DE BTW,city,Bentwisch,DE-MV,UNLOCODE:2022-1
JP TIR,city,"Tachiarai, Fukuoka",JP-40,UNLOCODE:2022-1
BE SDE,city,Saint-Denis,BE-WNA,UNLOCODE:2022-1
US VPJ,city,Poy Sippi,US-WI,UNLOCODE:2022-1
BG KBT,city,Karnobat,BG,UNLOCODE:2022-1
FR TNR,city,Tonnerre,FR-89,UNLOCODE:2022-1
FR BKK,city,Blasimon,FR-33,UNLOCODE:2022-1
AU AYB,city,Boya,AU-WA,UNLOCODE:2022-1
DE MJN,city,Merzen,DE-NI,UNLOCODE:2022-1
US ZLB,city,Bartlett,US-NH,UNLOCODE:2022-1
FR DOV,city,Parfondeval,FR-02,UNLOCODE:2022-1
PH MDN,city,Medina,PH,UNLOCODE:2022-1
JP UMA,city,Uruma,JP-47,UNLOCODE:2022-1
TN SJM,city,Sejoumi,TN,UNLOCODE:2022-1
FR UEC,city,Burey-la-Côte,FR-55,UNLOCODE:2022-1
HR SDR,city,Sudurad,HR,UNLOCODE:2022-1
PG SPL,city,Sipul,PG,UNLOCODE:2022-1
FR JNE,city,Julienne,FR-16,UNLOCODE:2022-1
CA SJM,city,Saint Jerome,CA-QC,UNLOCODE:2022-1
GB GOF,city,Gorefield,GB-CAM,UNLOCODE:2022-1
US BBA,city,Bethany Beach,US-DE,UNLOCODE:2022-1
ES PRA,city,Praves,ES,UNLOCODE:2022-1
