actor_id,type,name,is_part_of,datasource_id
GB WSY,city,Westbury,GB-WIL,UNLOCODE:2022-1
US E9D,city,Edgar,US-MT,UNLOCODE:2022-1
UA ZUM,city,Kamenka,UA-51,UNLOCODE:2022-1
US YBC,city,Columbus,US-NJ,UNLOCODE:2022-1
HK 9NC,city,Ngau Chi Wan,HK,UNLOCODE:2022-1
ES M8M,city,San Mames De Meruelo,ES-S,UNLOCODE:2022-1
US GQR,city,Gordon,US-AL,UNLOCODE:2022-1
PA CAR,city,La Carrasquilla,PA,UNLOCODE:2022-1
ES VBV,city,Vilanova de Bellpuig,ES-L,UNLOCODE:2022-1
PL WWE,city,Wilkowice,PL,UNLOCODE:2022-1
LU TTE,city,Tuntange (Téinten),LU-ME,UNLOCODE:2022-1
ES GOM,city,Gomara,ES-SO,UNLOCODE:2022-1
US VMC,city,McClure,US-PA,UNLOCODE:2022-1
GR STE,city,Steni Evvias,GR,UNLOCODE:2022-1
FR ROJ,city,Rosey,FR-70,UNLOCODE:2022-1
ES RCI,city,Reocín,ES-S,UNLOCODE:2022-1
RU PZK,city,Priozërsk,RU-LEN,UNLOCODE:2022-1
MH TIC,city,Tinak Island,MH,UNLOCODE:2022-1
ES ACD,city,Albalate de Cinca,ES-HU,UNLOCODE:2022-1
TD 2GR,city,Mongo,TD-GR,UNLOCODE:2022-1
GB ING,city,Ingham,GB-LIN,UNLOCODE:2022-1
BR ATZ,city,Antas,BR-BA,UNLOCODE:2022-1
FR 2MR,city,Brem-sur-Mer,FR-85,UNLOCODE:2022-1
US O8K,city,Seiling,US-OK,UNLOCODE:2022-1
ES MRZ,city,Moralzarzal,ES-M,UNLOCODE:2022-1
GB LAG,city,Lancing,GB-WSX,UNLOCODE:2022-1
BR CPS,city,Campinas,BR-SP,UNLOCODE:2022-1
DE 38B,city,Bolz,DE-MV,UNLOCODE:2022-1
CA ONO,city,Mono,CA-ON,UNLOCODE:2022-1
BR LDC,city,Lagoa do Carro,BR-PE,UNLOCODE:2022-1
GB UHA,city,Uphall,GB-WLN,UNLOCODE:2022-1
DE DPK,city,Diespeck,DE-BY,UNLOCODE:2022-1
CO AQA,city,Antioquia,CO-ANT,UNLOCODE:2022-1
IT PTJ,city,Partinico,IT-PA,UNLOCODE:2022-1
EE LEP,city,Leppneeme,EE-37,UNLOCODE:2022-1
FR ANZ,city,Anzin,FR-59,UNLOCODE:2022-1
FI THK,city,Tahkoluoto,FI,UNLOCODE:2022-1
DK SVG,city,Sandvig,DK,UNLOCODE:2022-1
IN NHV,city,Nhave,IN-MH,UNLOCODE:2022-1
HU AEW,city,Nagyrecse,HU-ZA,UNLOCODE:2022-1
PT ERS,city,Ermidas,PT-15,UNLOCODE:2022-1
PL LND,city,Niedrzwica Duza,PL-06,UNLOCODE:2022-1
NL OTR,city,Oostrum,NL-LI,UNLOCODE:2022-1
BR JRL,city,Jardinópolis,BR-SC,UNLOCODE:2022-1
MR FGD,city,Fdérik,MR,UNLOCODE:2022-1
IT CSX,city,Camposano,IT-NA,UNLOCODE:2022-1
UA SVP,city,Sevastopol,UA-40,UNLOCODE:2022-1
