actor_id,type,name,is_part_of,datasource_id
GB MGT,city,Margate,GB-KEN,UNLOCODE:2022-1
CO OVE,city,Ovejas,CO-SUC,UNLOCODE:2022-1
PL BIK,city,Biskupiec,PL,UNLOCODE:2022-1
CA AWD,city,Atwood,CA-ON,UNLOCODE:2022-1
MY SAP,city,Simpang Ampat,MY-07,UNLOCODE:2022-1
GB HLY,city,Holyhead,GB-GWN,UNLOCODE:2022-1
AT JOH,city,Sankt Johann in Tirol,AT-7,UNLOCODE:2022-1
BE PES,city,Péronnes,BE-WHT,UNLOCODE:2022-1
RU BRK,city,Lomonosov,RU-SPE,UNLOCODE:2022-1
PA CSA,city,Carlos Santana Avila,PA-10,UNLOCODE:2022-1
IT BVS,city,Boves,IT-CN,UNLOCODE:2022-1
DE UPP,city,Untergruppenbach,DE-BW,UNLOCODE:2022-1
GB EDO,city,Edington,GB-SOM,UNLOCODE:2022-1
PT PVL,city,Póvoa de Lanhoso,PT-03,UNLOCODE:2022-1
FJ SIN,city,Singatoka,FJ,UNLOCODE:2022-1
MX LED,city,Ciudad Lerdo,MX-COA,UNLOCODE:2022-1
FR MBA,city,Montbazens,FR-12,UNLOCODE:2022-1
AU 2VC,city,Springvale South,AU-VIC,UNLOCODE:2022-1
TR ELI,city,Eregli,TR-42,UNLOCODE:2022-1
FR R9R,city,Lamothe-Landerron,FR-33,UNLOCODE:2022-1
DE GYH,city,Grossheirath,DE-BY,UNLOCODE:2022-1
CZ MHL,city,Mohelnice,CZ,UNLOCODE:2022-1
FR M7V,city,Montauville,FR-54,UNLOCODE:2022-1
FI HER,city,Herrala,FI-15,UNLOCODE:2022-1
AU GSC,city,Gascoyne Junction,AU-WA,UNLOCODE:2022-1
NO SOV,city,Sövik,NO-15,UNLOCODE:2022-1
AU N7K,city,Kinglake,AU-VIC,UNLOCODE:2022-1
GB TKG,city,Throcking,GB-HRT,UNLOCODE:2022-1
ES TOA,city,Tolosa,ES-SS,UNLOCODE:2022-1
IT GG5,city,Pistrino,IT-PG,UNLOCODE:2022-1
US AQO,city,Aquebogue,US-NY,UNLOCODE:2022-1
JP TMT,city,"Tamatsu, Okayama",JP-33,UNLOCODE:2022-1
FR I9E,city,Rumegies,FR-59,UNLOCODE:2022-1
ID MES,city,"Medan, Sumatra",ID,UNLOCODE:2022-1
GB KLW,city,Kenilworth,GB-WAR,UNLOCODE:2022-1
HU TRA,city,Tarany,HU-SO,UNLOCODE:2022-1
DE B7M,city,Benediktbeuern,DE-BY,UNLOCODE:2022-1
BE SLO,city,Sorinne-la-Longue,BE-WNA,UNLOCODE:2022-1
GB CCR,city,Catterick,GB-NYK,UNLOCODE:2022-1
CA OTE,city,Thamesville,CA-ON,UNLOCODE:2022-1
CO SJH,city,San Juan del Cesar,CO-LAG,UNLOCODE:2022-1
ES CMN,city,Camarenilla,ES-TO,UNLOCODE:2022-1
VU HNH,city,Havannah Harbour,VU-SEE,UNLOCODE:2022-1
US PJW,city,Pawlet,US-VT,UNLOCODE:2022-1
FR MV6,city,Minerve,FR-34,UNLOCODE:2022-1
CA TAB,city,Tabusintac,CA-NB,UNLOCODE:2022-1
BR GPO,city,Goianápolis,BR-GO,UNLOCODE:2022-1
FR MAS,city,Maisdon-sur-Sèvre,FR-44,UNLOCODE:2022-1
US GC4,city,Grassy Creek,US-NC,UNLOCODE:2022-1
US YPG,city,Pleasant Grove,US-CA,UNLOCODE:2022-1
FR YYU,city,Cornebarrieu,FR-31,UNLOCODE:2022-1
CF GDI,city,Gordil,CF,UNLOCODE:2022-1
ID CGU,city,Cimanggu,ID-JT,UNLOCODE:2022-1
DE ODS,city,Oldinghausen,DE-NW,UNLOCODE:2022-1
AT VIC,city,Vichtenstein,AT-4,UNLOCODE:2022-1
DE MRD,city,Merbelsrod,DE-TH,UNLOCODE:2022-1
IT S6M,city,San Damiano Macra,IT-CN,UNLOCODE:2022-1
US 5WA,city,Waialua,US-HI,UNLOCODE:2022-1
AT WAN,city,Wannersdorf,AT-6,UNLOCODE:2022-1
US 4WS,city,Weldon Spring,US-MO,UNLOCODE:2022-1
US XEJ,city,Catasauqua,US-PA,UNLOCODE:2022-1
US OQA,city,Oakland,US-FL,UNLOCODE:2022-1
US YNW,city,Norwood,US-MN,UNLOCODE:2022-1
PL KRE,city,Krzewie,PL,UNLOCODE:2022-1
NO MEY,city,Meløy,NO-18,UNLOCODE:2022-1
RU USS,city,Ussuriysk,RU,UNLOCODE:2022-1
GB MSR,city,Menstrie,GB-CLK,UNLOCODE:2022-1
FR ZBO,city,Bourbach-le-Bas,FR-68,UNLOCODE:2022-1
IN ATU,city,Attur,IN-TN,UNLOCODE:2022-1
CI KOS,city,Kosagi,CI,UNLOCODE:2022-1
