actor_id,type,name,is_part_of,datasource_id
NG UMO,city,Umuoja Obosi,NG-AN,UNLOCODE:2022-1
GB RTN,city,Royton,GB-OLD,UNLOCODE:2022-1
HN PCA,city,Puerto Castilla,HN,UNLOCODE:2022-1
IT GRV,city,Grava,IT-AL,UNLOCODE:2022-1
FR CBD,city,Châteaubriant,FR-44,UNLOCODE:2022-1
FR VB5,city,Vieux-Boucau-les-Bains,FR-40,UNLOCODE:2022-1
BR SOC,city,Socorro,BR-SP,UNLOCODE:2022-1
US MYW,city,Maywood,US-NJ,UNLOCODE:2022-1
ES VIB,city,Villalbilla de Burgos,ES-BU,UNLOCODE:2022-1
GB FIR,city,Findern,GB-DBY,UNLOCODE:2022-1
US LCD,city,Little Canada,US-MN,UNLOCODE:2022-1
CA TIO,city,Saint-Bruno,CA-QC,UNLOCODE:2022-1
RO DDL,city,Dragomiresti-Deal,RO-B,UNLOCODE:2022-1
BR SAO,city,São Paulo,BR-SP,UNLOCODE:2022-1
DE ZGY,city,Sülzhayn,DE-TH,UNLOCODE:2022-1
BR DBO,city,Dom Basílio,BR-BA,UNLOCODE:2022-1
IT CMZ,city,Costa di Mezzate,IT,UNLOCODE:2022-1
CH SPY,city,Le Sépey,CH-VD,UNLOCODE:2022-1
ES GUA,city,Guadalajara,ES,UNLOCODE:2022-1
DO LCS,city,Las Calderas,DO-17,UNLOCODE:2022-1
US CT4,city,Cottontown,US-TN,UNLOCODE:2022-1
US OZT,city,Olathe,US-CO,UNLOCODE:2022-1
DE HIZ,city,Hildrizhausen,DE-BW,UNLOCODE:2022-1
IE RUS,city,Rushbrooke,IE,UNLOCODE:2022-1
BE QRO,city,Quaregnon,BE-WHT,UNLOCODE:2022-1
US RFI,city,Rock Falls,US-IL,UNLOCODE:2022-1
BR PSO,city,Pimenteiras do Oeste,BR-RO,UNLOCODE:2022-1
US HSH,city,Hollis,US-NH,UNLOCODE:2022-1
US JMA,city,Marissa,US-IL,UNLOCODE:2022-1
JP SGN,city,"Suginami, Tokyo",JP-13,UNLOCODE:2022-1
DK HVA,city,Hvalpsund,DK,UNLOCODE:2022-1
FR GNT,city,Magnet,FR-03,UNLOCODE:2022-1
PT VGA,city,Vidigueira,PT-02,UNLOCODE:2022-1
VN PNG,city,Po Hang,VN-26,UNLOCODE:2022-1
GB IGM,city,Ingoldmells,GB-LIN,UNLOCODE:2022-1
FR RVV,city,Plourivo,FR-22,UNLOCODE:2022-1
PL TOR,city,Torun,PL,UNLOCODE:2022-1
US XGT,city,Heath,US-OH,UNLOCODE:2022-1
AU DYA,city,Dysart,AU-QLD,UNLOCODE:2022-1
DE WZF,city,Wenzendorf,DE-NI,UNLOCODE:2022-1
CN WUA,city,Wusha,CN-GD,UNLOCODE:2022-1
ES CLH,city,Calahorra,ES,UNLOCODE:2022-1
MX SME,city,San Miguel el Alto,MX-JAL,UNLOCODE:2022-1
HU 4PS,city,Petnehaza,HU-SZ,UNLOCODE:2022-1
US CEQ,city,College,US-AK,UNLOCODE:2022-1
MA TRE,city,Tardane,MA-LAR,UNLOCODE:2022-1
CZ MTO,city,Mesto Touskov,CZ,UNLOCODE:2022-1
KR GMD,city,Geomundo,KR-46,UNLOCODE:2022-1
US H9F,city,Hartford,US-AR,UNLOCODE:2022-1
CH WNS,city,Wangs,CH-SG,UNLOCODE:2022-1
NL ZAG,city,Zwaag,NL,UNLOCODE:2022-1
CZ CSE,city,Chroustovice,CZ,UNLOCODE:2022-1
IT GMT,city,Garbagnate Monastero,IT-LC,UNLOCODE:2022-1
AU WLV,city,Watervale,AU-SA,UNLOCODE:2022-1
FR HLZ,city,Saint-Hilaire-de-Riez,FR-85,UNLOCODE:2022-1
DE WZN,city,Wurzen,DE-SN,UNLOCODE:2022-1
US MV8,city,Martinsville,US-NJ,UNLOCODE:2022-1
US AVL,city,Arundel Village,US-MD,UNLOCODE:2022-1
FR PEV,city,Pont-Évêque,FR-38,UNLOCODE:2022-1
US XVH,city,Hoxeyville,US-MI,UNLOCODE:2022-1
DK FEJ,city,Fejø,DK,UNLOCODE:2022-1
BR SQC,city,São José dos Quatro Marcos,BR-MT,UNLOCODE:2022-1
JP UCU,city,"Uchiura, Fukui",JP-18,UNLOCODE:2022-1
MX NHY,city,Nezahualcóyotl,MX-MEX,UNLOCODE:2022-1
BO POR,city,Poroma,BO-H,UNLOCODE:2022-1
GB RBO,city,Roberttown,GB-ERY,UNLOCODE:2022-1
IT AGD,city,Agordo,IT-BL,UNLOCODE:2022-1
DZ ZZB,city,Barika,DZ-05,UNLOCODE:2022-1
FR 8DG,city,Saint-Nazaire-des-Gardies,FR-30,UNLOCODE:2022-1
NL BBR,city,Babberich,NL-GE,UNLOCODE:2022-1
SR MZG,city,Meerzorg,SR-CM,UNLOCODE:2022-1
FR LRI,city,La Riche,FR-37,UNLOCODE:2022-1
LV KRU,city,Krustpils,LV,UNLOCODE:2022-1
AO PSA,city,Porto Saco (Portosalazar),AO,UNLOCODE:2022-1
ES PG4,city,Puigpunyent,ES-PM,UNLOCODE:2022-1
US INI,city,Indianola,US-FL,UNLOCODE:2022-1
ES ADR,city,Adra,ES,UNLOCODE:2022-1
AO SVP,city,Kuito,AO,UNLOCODE:2022-1
FR PME,city,Parçay-Meslay,FR-37,UNLOCODE:2022-1
US DRX,city,Drexel,US-NC,UNLOCODE:2022-1
US FOM,city,Flora,US-MS,UNLOCODE:2022-1
FR FBC,city,Foulbec,FR-27,UNLOCODE:2022-1
ES GLL,city,Gallur,ES-Z,UNLOCODE:2022-1
US BLF,city,Princeton,US-WV,UNLOCODE:2022-1
NZ PMS,city,Palmerston,NZ-OTA,UNLOCODE:2022-1
GB ABS,city,Aber Sôch (Abersoch),GB-GWN,UNLOCODE:2022-1
NL NUL,city,Nuland,NL-NB,UNLOCODE:2022-1
DE NSO,city,Neversdorf,DE-SH,UNLOCODE:2022-1
US BKR,city,Brookley,US-AL,UNLOCODE:2022-1
RS VRB,city,Vrbas,RS,UNLOCODE:2022-1
US JP9,city,Peoria,US-OH,UNLOCODE:2022-1
FR PIV,city,Pithiviers,FR-45,UNLOCODE:2022-1
US XKN,city,Plymouth,US-NC,UNLOCODE:2022-1
FR SFC,city,Saint-Florent-sur-Cher,FR-18,UNLOCODE:2022-1
DE ORM,city,Ober-Mörlen,DE-HE,UNLOCODE:2022-1
MG MOB,city,Manombo,MG,UNLOCODE:2022-1
US MMF,city,Menomonee Falls,US-WI,UNLOCODE:2022-1
BR CVC,city,Chuvisca,BR-RS,UNLOCODE:2022-1
ES CAM,city,Camas,ES,UNLOCODE:2022-1
IT CSL,city,Caselle di Altivole,IT-TV,UNLOCODE:2022-1
SE AJG,city,Emmaljunga,SE,UNLOCODE:2022-1
IE CHA,city,Charleville,IE-CO,UNLOCODE:2022-1
GB UP3,city,Upham,GB-HAM,UNLOCODE:2022-1
BR CVT,city,Cavalcante,BR-GO,UNLOCODE:2022-1
GB LZF,city,Langford,GB-NTY,UNLOCODE:2022-1
NL HVK,city,Hilvarenbeek,NL-NB,UNLOCODE:2022-1
ES CAQ,city,Riudecanyes,ES-T,UNLOCODE:2022-1
ES ZEY,city,Errezil,ES-SS,UNLOCODE:2022-1
FR CB3,city,Cambremer,FR-14,UNLOCODE:2022-1
CA YXL,city,Sioux Lookout,CA-ON,UNLOCODE:2022-1
PA PAL,city,Palenque,PA-3,UNLOCODE:2022-1
AU BZU,city,Burraneer,AU-NSW,UNLOCODE:2022-1
DE WRH,city,Wehrheim,DE-HE,UNLOCODE:2022-1
RU KU3,city,Kursk,RU-KRS,UNLOCODE:2022-1
IE DUK,city,Duleek,IE-MH,UNLOCODE:2022-1
US GP7,city,Grapeview,US-WA,UNLOCODE:2022-1
JP NTX,city,"Nakata, Kumamoto",JP-43,UNLOCODE:2022-1
PE SUP,city,Supe,PE,UNLOCODE:2022-1
JP AGS,city,Ageshima,JP-37,UNLOCODE:2022-1
IT RV7,city,Carovigno,IT-BR,UNLOCODE:2022-1
TR CVD,city,Çavdir,TR-15,UNLOCODE:2022-1
US XCW,city,Clarendon,US-TX,UNLOCODE:2022-1
BR YGM,city,Itagimirim,BR-BA,UNLOCODE:2022-1
AU MTL,city,Maitland,AU-NSW,UNLOCODE:2022-1
FR HRX,city,Heyrieux,FR-38,UNLOCODE:2022-1
VN BNH,city,Bac Ninh,VN-56,UNLOCODE:2022-1
GB DSW,city,Widford,GB-HRT,UNLOCODE:2022-1
FR ORM,city,Ormes,FR-51,UNLOCODE:2022-1
ES ROB,city,La Robla,ES-LE,UNLOCODE:2022-1
BF KOS,city,Kossodo,BF,UNLOCODE:2022-1
CA TRC,city,Tracy,CA-QC,UNLOCODE:2022-1
DE DHN,city,Dahn,DE-RP,UNLOCODE:2022-1
JP OMU,city,Omuta,JP-40,UNLOCODE:2022-1
DE A26,city,Volsbach,DE-BY,UNLOCODE:2022-1
AU LDB,city,Lidcombe,AU-NSW,UNLOCODE:2022-1
ES AKA,city,Alcalá la Real,ES,UNLOCODE:2022-1
IT BOA,city,Bosa,IT-OR,UNLOCODE:2022-1
SV CHM,city,Chinameca,SV-SM,UNLOCODE:2022-1
PL KWE,city,Karlowice,PL-30,UNLOCODE:2022-1
BR SQI,city,Santa Quitéria,BR-CE,UNLOCODE:2022-1
CA CDL,city,Cadillac,CA-QC,UNLOCODE:2022-1
FI SLF,city,Luopioinen,FI-11,UNLOCODE:2022-1
DE LK9,city,Lanken,DE-SH,UNLOCODE:2022-1
DE NGF,city,Niedergörsdorf,DE-BB,UNLOCODE:2022-1
FR TGV,city,Varennes,FR-82,UNLOCODE:2022-1
IT TIL,city,Torrile,IT-PR,UNLOCODE:2022-1
ES SSA,city,Sant Sadurní d'Anoia,ES,UNLOCODE:2022-1
DE GHK,city,Gehren (Blankenburg Harz),DE-ST,UNLOCODE:2022-1
DE AFO,city,Aftholderbach,DE-RP,UNLOCODE:2022-1
DE LHC,city,Langenbach,DE-BY,UNLOCODE:2022-1
BE DEU,city,Deurle,BE-VOV,UNLOCODE:2022-1
IT CRZ,city,Casorezzo,IT,UNLOCODE:2022-1
US NET,city,New Brighton,US-PA,UNLOCODE:2022-1
PL OYS,city,Przykona,PL,UNLOCODE:2022-1
FR R38,city,Corenc,FR-38,UNLOCODE:2022-1
NL WLK,city,Waalwijk,NL,UNLOCODE:2022-1
PL CIC,city,Ciche,PL,UNLOCODE:2022-1
IT LID,city,Palidano,IT-MN,UNLOCODE:2022-1
GB IVV,city,Invermoriston,GB-SCB,UNLOCODE:2022-1
CZ TRE,city,Trebotov,CZ,UNLOCODE:2022-1
AU PLW,city,Paralowie,AU-SA,UNLOCODE:2022-1
FR RPA,city,Brasparts,FR-29,UNLOCODE:2022-1
PA PAE,city,Puerto Almirante,PA-1,UNLOCODE:2022-1
FR DUO,city,Pluduno,FR-22,UNLOCODE:2022-1
TH RNN,city,Ranong,TH-85,UNLOCODE:2022-1
ES EAL,city,Escalona,ES-TO,UNLOCODE:2022-1
CR UPA,city,Upala,CR-A,UNLOCODE:2022-1
DE AMG,city,Amberg (Unterallgau),DE,UNLOCODE:2022-1
NO AKL,city,Akland,NO,UNLOCODE:2022-1
US CZP,city,Cape Pole,US-AK,UNLOCODE:2022-1
DE TTA,city,Ettenstatt,DE-BY,UNLOCODE:2022-1
BR OMB,city,Trombas,BR-GO,UNLOCODE:2022-1
ZA ZAL,city,Bloemfontein Industria,ZA-FS,UNLOCODE:2022-1
FR DYL,city,Dracy-Saint-Loup,FR-71,UNLOCODE:2022-1
AT HIA,city,Hainburg,AT,UNLOCODE:2022-1
US CWS,city,Center Island,US-WA,UNLOCODE:2022-1
DE RLZ,city,Bralitz,DE-BB,UNLOCODE:2022-1
CL QNO,city,Quinta Normal,CL-RM,UNLOCODE:2022-1
BR PLS,city,Pirenópolis,BR-GO,UNLOCODE:2022-1
MX IMM,city,Ixtacuixtla de Mariano Matamoros,MX-TLA,UNLOCODE:2022-1
CN NIG,city,Nanning Pt,CN-GX,UNLOCODE:2022-1
