actor_id,type,name,is_part_of,datasource_id
ID CDS,city,Cicadas,ID-JB,UNLOCODE:2022-1
UA ZDO,city,Zavydovo,UA-21,UNLOCODE:2022-1
US RGX,city,Redding,US-CT,UNLOCODE:2022-1
FR TZN,city,Castel-Sarrazin,FR-40,UNLOCODE:2022-1
FR EAS,city,Meursanges,FR-21,UNLOCODE:2022-1
IT CBB,city,Carobbio,IT,UNLOCODE:2022-1
LT PAN,city,Panemune,LT-KL,UNLOCODE:2022-1
GB CKP,city,Cockburnspath,GB-SCB,UNLOCODE:2022-1
CN SAJ,city,Qinzhoushajing,CN-GX,UNLOCODE:2022-1
GB PEG,city,Port Edgar,GB-EDH,UNLOCODE:2022-1
SK VIN,city,Vinosady,SK-BL,UNLOCODE:2022-1
US GXO,city,Brighton,US-IL,UNLOCODE:2022-1
DE BHC,city,Babenhausen,DE-BY,UNLOCODE:2022-1
DE ZSF,city,Zühlsdorf (Zuehlsdorf),DE-BB,UNLOCODE:2022-1
UA OCT,city,Olviia,UA-48,UNLOCODE:2022-1
FI POR,city,Björneborg (Pori),FI-17,UNLOCODE:2022-1
CH EIS,city,Erlenbach im Simmental,CH-BE,UNLOCODE:2022-1
CA SHR,city,Sherrington,CA-QC,UNLOCODE:2022-1
US MX2,city,Marble,US-CO,UNLOCODE:2022-1
US JYS,city,Keystone,US-IN,UNLOCODE:2022-1
AU SRR,city,Stradbroke Island,AU-QLD,UNLOCODE:2022-1
IL CML,city,Karmi'el,IL-Z,UNLOCODE:2022-1
FR EP3,city,Esprels,FR-70,UNLOCODE:2022-1
US JPY,city,Jamesport,US-NY,UNLOCODE:2022-1
BR CSG,city,Casa Grande,BR-MG,UNLOCODE:2022-1
DE LPD,city,Lampoldshausen,DE-BW,UNLOCODE:2022-1
CA MTI,city,Malartic,CA-QC,UNLOCODE:2022-1
SK R4B,city,Rúban,SK-NI,UNLOCODE:2022-1
IN JIN,city,Jind,IN-HR,UNLOCODE:2022-1
