actor_id,type,name,is_part_of,datasource_id
HR ZVJ,city,Zvecaj,HR-04,UNLOCODE:2022-1
CO UNC,city,Unguia,CO-CHO,UNLOCODE:2022-1
FR LLV,city,La Livinière,FR-34,UNLOCODE:2022-1
FR HON,city,Honfleur,FR-14,UNLOCODE:2022-1
FR GYH,city,Légny,FR-69,UNLOCODE:2022-1
GB MFD,city,Mansfield,GB-NTT,UNLOCODE:2022-1
DE RRU,city,Reurieth,DE-TH,UNLOCODE:2022-1
SE GLI,city,Glimåkra,SE-M,UNLOCODE:2022-1
US IRB,city,Iraan,US-TX,UNLOCODE:2022-1
DE BM8,city,Balge,DE-NI,UNLOCODE:2022-1
US RDW,city,Red Wing,US-MN,UNLOCODE:2022-1
FR SYI,city,Sailly-Saillisel,FR-80,UNLOCODE:2022-1
US YBY,city,Bonifay,US-FL,UNLOCODE:2022-1
GB TLG,city,Tylers Green,GB-BKM,UNLOCODE:2022-1
FR CAL,city,Caluire-et-Cuire,FR-69,UNLOCODE:2022-1
FR MQD,city,Mouilleron-en-Pareds,FR-85,UNLOCODE:2022-1
FR XMV,city,Montigny-sur-Vesle,FR-51,UNLOCODE:2022-1
NL HKN,city,Hollands Kroon,NL-NH,UNLOCODE:2022-1
US TNL,city,Tinley Park,US-IL,UNLOCODE:2022-1
ZA BHD,city,Bayhead,ZA-KZN,UNLOCODE:2022-1
BR FTM,city,Fortim,BR-CE,UNLOCODE:2022-1
FI JYV,city,Jyväskylä,FI-08,UNLOCODE:2022-1
AU RTS,city,Rottnest Island,AU-WA,UNLOCODE:2022-1
JP KWT,city,Kawatana,JP-42,UNLOCODE:2022-1
DE RP7,city,Flemlingen,DE-RP,UNLOCODE:2022-1
CA YSX,city,Shearwater,CA-BC,UNLOCODE:2022-1
FR BOJ,city,Bousies,FR-59,UNLOCODE:2022-1
EC CNT,city,Canuto,EC-M,UNLOCODE:2022-1
US FAQ,city,Faulkner,US-MD,UNLOCODE:2022-1
IT ZPW,city,Pescaglia,IT-LU,UNLOCODE:2022-1
CA YGM,city,Gimli,CA-MB,UNLOCODE:2022-1
US VCJ,city,Valley Cottage,US-NY,UNLOCODE:2022-1
BR OIA,city,Oiapoque,BR-AP,UNLOCODE:2022-1
IT IBN,city,Bellinzago Novarese,IT-NO,UNLOCODE:2022-1
DE RWZ,city,Ruppertsweiler,DE-RP,UNLOCODE:2022-1
US SUL,city,Port Sulphur,US-LA,UNLOCODE:2022-1
GB YMT,city,Yetminster,GB-DOR,UNLOCODE:2022-1
JP ONK,city,Oniki,JP-43,UNLOCODE:2022-1
DE HOA,city,Haundorf,DE-BY,UNLOCODE:2022-1
IT SUF,city,Lamezia-Terme,IT,UNLOCODE:2022-1
DE BJH,city,Busenhausen,DE-RP,UNLOCODE:2022-1
AT FRH,city,Friesach,AT-2,UNLOCODE:2022-1
US HNQ,city,Henagar,US-AL,UNLOCODE:2022-1
HR BRG,city,Bregana,HR-01,UNLOCODE:2022-1
BR MII,city,Marília,BR-SP,UNLOCODE:2022-1
CN XIM,city,Xiamao,CN-GD,UNLOCODE:2022-1
GB KBP,city,Kingston Bagpuize,GB-OXF,UNLOCODE:2022-1
US G2R,city,Gregory,US-MI,UNLOCODE:2022-1
FR B7T,city,Bois-Arnault,FR-27,UNLOCODE:2022-1
BH JDF,city,Jidhafs,BH-17,UNLOCODE:2022-1
IN KOK,city,Koka,IN-GJ,UNLOCODE:2022-1
CZ RPY,city,Rudna u Prahy,CZ,UNLOCODE:2022-1
NZ MGL,city,Mosgiel,NZ-OTA,UNLOCODE:2022-1
AT A9Z,city,Zaussenberg,AT-3,UNLOCODE:2022-1
US WVX,city,Wyoming,US-DE,UNLOCODE:2022-1
CA HTD,city,Hartland,CA-NB,UNLOCODE:2022-1
GB CBG,city,Corbridge,GB-NBL,UNLOCODE:2022-1
IE OCA,city,Ocallaghansmills,IE,UNLOCODE:2022-1
PL CIK,city,Ciechocinek,PL-04,UNLOCODE:2022-1
FR JEN,city,Canejean,FR-33,UNLOCODE:2022-1
US 8TT,city,Woodbury,US-NY,UNLOCODE:2022-1
HR SLU,city,Slunj,HR,UNLOCODE:2022-1
CN QUI,city,Qujing,CN-YN,UNLOCODE:2022-1
US PH4,city,"Panhandle, Cass",US-TX,UNLOCODE:2022-1
US BIE,city,Beatrice,US-NE,UNLOCODE:2022-1
RO RZN,city,Mintia,RO-HD,UNLOCODE:2022-1
FR RDR,city,Saint-Pierre-du-Regard,FR-61,UNLOCODE:2022-1
FR XPF,city,Perrecy-les-Forges,FR-71,UNLOCODE:2022-1
IT AN9,city,Ariano nel Polesine,IT-RO,UNLOCODE:2022-1
BR LAW,city,Pedro Laurentino,BR-PI,UNLOCODE:2022-1
PL LAZ,city,Laziska,PL-24,UNLOCODE:2022-1
PE CHE,city,Chepen,PE-LAL,UNLOCODE:2022-1
US CA4,city,Channing,US-TX,UNLOCODE:2022-1
NZ OTU,city,Offshore Tui,NZ,UNLOCODE:2022-1
US BRL,city,Burlington,US-IA,UNLOCODE:2022-1
US RBQ,city,Rancho Belago,US-CA,UNLOCODE:2022-1
RU NSK,city,Noril'sk,RU,UNLOCODE:2022-1
IT MR9,city,Marino,IT-RM,UNLOCODE:2022-1
NL ODW,city,Oudewater,NL,UNLOCODE:2022-1
BR GUC,city,Guaiçara,BR-SP,UNLOCODE:2022-1
US DZT,city,Mount Desert,US-ME,UNLOCODE:2022-1
US MK8,city,Makawao,US-HI,UNLOCODE:2022-1
US URY,city,Middlebury Center,US-PA,UNLOCODE:2022-1
US 9MP,city,Machiasport,US-ME,UNLOCODE:2022-1
HK 9HT,city,Hok Tsui Wan,HK,UNLOCODE:2022-1
BR IBR,city,Ibirá,BR-SP,UNLOCODE:2022-1
FR AHO,city,Lahontan,FR-64,UNLOCODE:2022-1
IT MSH,city,Monte Sant'Angelo,IT-FG,UNLOCODE:2022-1
US 7EL,city,Eldon,US-IA,UNLOCODE:2022-1
FR MEY,city,Meyzieu,FR-69,UNLOCODE:2022-1
DE CEL,city,Celle,DE-NI,UNLOCODE:2022-1
FR YLZ,city,Yutz,FR-57,UNLOCODE:2022-1
US KCI,city,Koloa,US-HI,UNLOCODE:2022-1
AR MOR,city,Moreno,AR-B,UNLOCODE:2022-1
SE BRS,city,Braås,SE-G,UNLOCODE:2022-1
GB FTS,city,Frinton On Sea,GB-ESS,UNLOCODE:2022-1
US XJZ,city,Old Forge,US-PA,UNLOCODE:2022-1
DE 65C,city,Helmstorf,DE-SH,UNLOCODE:2022-1
ID TBT,city,"Tandjung Batu, Riau",ID,UNLOCODE:2022-1
PL OXP,city,Zbylitowska Gora,PL,UNLOCODE:2022-1
FR GAY,city,Gasny,FR-27,UNLOCODE:2022-1
IT SG6,city,San Jacopo al Girone,IT-FI,UNLOCODE:2022-1
SI KRM,city,Krmelj,SI-110,UNLOCODE:2022-1
US BDC,city,Bland,US-VA,UNLOCODE:2022-1
US BOQ,city,Booneville,US-AR,UNLOCODE:2022-1
CL CQQ,city,Coquimbo,CL-CO,UNLOCODE:2022-1
US TMP,city,Temple,US-PA,UNLOCODE:2022-1
AR MTC,city,Montecarlo,AR-N,UNLOCODE:2022-1
GB AYR,city,Ayr,GB-SAY,UNLOCODE:2022-1
US AXW,city,Maxwell,US-CA,UNLOCODE:2022-1
ES IZG,city,Izurdiaga,ES-NA,UNLOCODE:2022-1
FR NGV,city,Nogent-sur-Vernisson,FR-45,UNLOCODE:2022-1
TR SLE,city,Sile,TR-34,UNLOCODE:2022-1
AT KAM,city,Kammern im Liesingtal,AT-8,UNLOCODE:2022-1
AU WLN,city,Wallan,AU-VIC,UNLOCODE:2022-1
US SN8,city,Shelby Township,US-MI,UNLOCODE:2022-1
GB QLT,city,Elton,GB-CHW,UNLOCODE:2022-1
FR OTE,city,Otterswiller,FR-67,UNLOCODE:2022-1
US ZVP,city,San Tan Valley,US-AZ,UNLOCODE:2022-1
JP INS,city,Innoshima,JP-34,UNLOCODE:2022-1
IN AZK,city,Azhikkal,IN-KL,UNLOCODE:2022-1
FI TPS,city,Taipalsaari,FI-17,UNLOCODE:2022-1
CZ TIS,city,Tisnov,CZ,UNLOCODE:2022-1
HR MPD,city,Podravska Moslavina,HR,UNLOCODE:2022-1
FR ILA,city,Servon-sur-Vilaine,FR-35,UNLOCODE:2022-1
NZ ROT,city,Rotorua,NZ-BOP,UNLOCODE:2022-1
FR GYC,city,Saint-Geyrac,FR-24,UNLOCODE:2022-1
