actor_id,type,name,is_part_of,datasource_id
PL SPW,city,Staporków,PL,UNLOCODE:2022-1
BR IRX,city,Irará,BR-BA,UNLOCODE:2022-1
US DAY,city,Dayton,US-OH,UNLOCODE:2022-1
US UGW,city,Douglass,US-KS,UNLOCODE:2022-1
US VCE,city,Vance,US-AL,UNLOCODE:2022-1
DE TTD,city,Metten,DE-BY,UNLOCODE:2022-1
AU GRN,city,Granville,AU-NSW,UNLOCODE:2022-1
IT 8CR,city,Genivolta,IT-CR,UNLOCODE:2022-1
LR RVC,city,River Cess,LR,UNLOCODE:2022-1
DZ QLK,city,El Kala,DZ-36,UNLOCODE:2022-1
US GR9,city,Granville,US-WI,UNLOCODE:2022-1
US 3DF,city,Middlefield,US-MA,UNLOCODE:2022-1
TR CEV,city,Cevizli,TR-34,UNLOCODE:2022-1
BG SOF,city,Sofia,BG-22,UNLOCODE:2022-1
DE NDK,city,Niederkail,DE-RP,UNLOCODE:2022-1
HU BIC,city,Bicske,HU,UNLOCODE:2022-1
US 9EC,city,Eaton Center,US-NH,UNLOCODE:2022-1
ID TPN,city,Tanjung Pemancingan,ID-KS,UNLOCODE:2022-1
ES CGR,city,Consuegra,ES,UNLOCODE:2022-1
BE RPM,city,Rupelmonde,BE-VOV,UNLOCODE:2022-1
IN DAD,city,Dadra,IN-GJ,UNLOCODE:2022-1
DE FHL,city,Friedrichsfeld,DE-NW,UNLOCODE:2022-1
US MLI,city,Moline,US-IL,UNLOCODE:2022-1
BR AFI,city,Águas Frias,BR-SC,UNLOCODE:2022-1
CA BBD,city,Boisbriand,CA-QC,UNLOCODE:2022-1
ES SPR,city,San Pedro Riudevitlles,ES,UNLOCODE:2022-1
DE TSZ,city,Teuschnitz,DE-BY,UNLOCODE:2022-1
FR F2C,city,Fresnay-le-Comte,FR-28,UNLOCODE:2022-1
AT GUT,city,Gurten,AT-4,UNLOCODE:2022-1
BR YGA,city,Iacanga,BR-SP,UNLOCODE:2022-1
DE KCF,city,Klosterlechfeld,DE-BY,UNLOCODE:2022-1
UY LSC,city,Lascano,UY-RO,UNLOCODE:2022-1
US S7N,city,Shannon,US-IL,UNLOCODE:2022-1
GB ZCB,city,Melsonby,GB-NYK,UNLOCODE:2022-1
FR NOX,city,Nolay,FR-21,UNLOCODE:2022-1
US NNT,city,Anniston,US-MO,UNLOCODE:2022-1
HR DDA,city,Darda,HR,UNLOCODE:2022-1
FR SNI,city,Sancoins,FR-18,UNLOCODE:2022-1
AU AWD,city,Ashwood,AU-VIC,UNLOCODE:2022-1
US FV3,city,Fultonville,US-NY,UNLOCODE:2022-1
GE LIL,city,Lilo,GE,UNLOCODE:2022-1
IT ABZ,city,Albuzzano,IT-PV,UNLOCODE:2022-1
US WBR,city,Big Rapids,US-MI,UNLOCODE:2022-1
DE UWK,city,Buchow-Karpzow,DE-BB,UNLOCODE:2022-1
CZ KHJ,city,Klaster Hradiste nad Jizerou,CZ,UNLOCODE:2022-1
FR QIF,city,Saint-Martin-lès-Melle,FR-79,UNLOCODE:2022-1
CN HZH,city,Huzhou,CN-ZJ,UNLOCODE:2022-1
ES VAY,city,Villanueva de Arosa,ES-PO,UNLOCODE:2022-1
US EPZ,city,Esperance,US-NY,UNLOCODE:2022-1
US WYX,city,Willis,US-TX,UNLOCODE:2022-1
AU OSB,city,Osborne Island,AU-WA,UNLOCODE:2022-1
DE LUN,city,Lüdinghausen,DE-NW,UNLOCODE:2022-1
ES D9P,city,Perandones,ES-LE,UNLOCODE:2022-1
DE BNL,city,Bad Soden-Salmünster,DE-HE,UNLOCODE:2022-1
GB TKV,city,Kilmore,GB-HLD,UNLOCODE:2022-1
CZ BRY,city,Brezany,CZ,UNLOCODE:2022-1
IT ZLH,city,Custoza,IT-VR,UNLOCODE:2022-1
US LRO,city,Lathrop,US-CA,UNLOCODE:2022-1
GB GFG,city,Glenfarg,GB-PKN,UNLOCODE:2022-1
US OQU,city,Aaron,US-GA,UNLOCODE:2022-1
US S5R,city,Star,US-ID,UNLOCODE:2022-1
FR HAI,city,Haironville,FR-55,UNLOCODE:2022-1
ES BAO,city,Baracaldo,ES,UNLOCODE:2022-1
DE JSN,city,Jössen,DE-NW,UNLOCODE:2022-1
PL STS,city,Stargard,PL,UNLOCODE:2022-1
US TCI,city,Temple City,US-CA,UNLOCODE:2022-1
UA SKD,city,Skadovsk,UA-65,UNLOCODE:2022-1
US PIJ,city,Piedmont,US-SC,UNLOCODE:2022-1
CN YGP,city,Yangpu,CN-SH,UNLOCODE:2022-1
US RMN,city,Richmond,US-IL,UNLOCODE:2022-1
PT SDB,city,Santiago de Besteiros,PT-18,UNLOCODE:2022-1
US CYB,city,Clyde,US-OH,UNLOCODE:2022-1
IQ CBC,city,Camp Bucca,IQ-BA,UNLOCODE:2022-1
DE YBE,city,Oberndorf,DE-BY,UNLOCODE:2022-1
DE 3B8,city,Boddin bei Pritzwalk,DE-BB,UNLOCODE:2022-1
US OHU,city,Oakhurst,US-CA,UNLOCODE:2022-1
FR L5A,city,Larceveau-Arros-Cibits,FR-64,UNLOCODE:2022-1
CA AQP,city,Sambro,CA-NS,UNLOCODE:2022-1
FR 9SV,city,Assevent,FR-59,UNLOCODE:2022-1
FR PLZ,city,Plouzané,FR-29,UNLOCODE:2022-1
PL OEW,city,Okuniew,PL-14,UNLOCODE:2022-1
DE 78W,city,Wiesenbach,DE-BW,UNLOCODE:2022-1
DE WB2,city,Willmersdorf,DE-BB,UNLOCODE:2022-1
FR YPO,city,Ploubalay,FR-22,UNLOCODE:2022-1
DE TIP,city,Stipshausen,DE-RP,UNLOCODE:2022-1
US FZE,city,Forrest,US-IL,UNLOCODE:2022-1
GR TRS,city,Thirasía,GR,UNLOCODE:2022-1
CA WFZ,city,Wainfleet,CA-ON,UNLOCODE:2022-1
BR SCX,city,São Pedro da Cipa,BR-MT,UNLOCODE:2022-1
ES RBE,city,Arbeca,ES-L,UNLOCODE:2022-1
FR JLE,city,Jalognes,FR-18,UNLOCODE:2022-1
US GSD,city,Ringsted,US-IA,UNLOCODE:2022-1
GB BRI,city,Braintree,GB-ESS,UNLOCODE:2022-1
FR PSD,city,Saint-Paul-lès-Durance,FR-13,UNLOCODE:2022-1
US PZF,city,Pittsfield,US-NY,UNLOCODE:2022-1
DE XHE,city,Hemme,DE-SH,UNLOCODE:2022-1
ES MCL,city,Marcilla,ES-NA,UNLOCODE:2022-1
NL NDI,city,Nieuwediep,NL-DR,UNLOCODE:2022-1
US LPK,city,Lake Forest Park,US-WA,UNLOCODE:2022-1
NZ STU,city,Seatoun,NZ-WGN,UNLOCODE:2022-1
IL M8A,city,Magshimim,IL-M,UNLOCODE:2022-1
