actor_id,type,name,is_part_of,datasource_id
US 7SF,city,Stamford,US-VT,UNLOCODE:2022-1
FR HLL,city,Le Haillan,FR-33,UNLOCODE:2022-1
GB LIS,city,Lisburn,GB,UNLOCODE:2022-1
BR NAD,city,Nova Andradina,BR-MS,UNLOCODE:2022-1
PE LCH,city,Lauricocha,PE-HUC,UNLOCODE:2022-1
DE BHV,city,Bruchhausen-Vilsen,DE-NI,UNLOCODE:2022-1
US CQX,city,Clackamas,US-OR,UNLOCODE:2022-1
CN SJQ,city,Sanshui,CN-GD,UNLOCODE:2022-1
US ECB,city,Edgecomb,US-ME,UNLOCODE:2022-1
SK SBP,city,Strbské Pleso,SK-PV,UNLOCODE:2022-1
CA NWR,city,New Ross,CA-NS,UNLOCODE:2022-1
ES ADJ,city,Arrabal de Jesús,ES-T,UNLOCODE:2022-1
US PNZ,city,Princeville,US-IL,UNLOCODE:2022-1
NL NUI,city,Nuis,NL,UNLOCODE:2022-1
UA ISI,city,Lisichansk,UA-09,UNLOCODE:2022-1
US PI4,city,Pioche,US-NV,UNLOCODE:2022-1
US LYL,city,Lynnville,US-IA,UNLOCODE:2022-1
BR CCN,city,Capão da Canoa,BR-RS,UNLOCODE:2022-1
PH JAG,city,Jagna,PH,UNLOCODE:2022-1
CU ICR,city,Nicaro,CU,UNLOCODE:2022-1
MX UGA,city,Ursulo Galván,MX-VER,UNLOCODE:2022-1
DE XRN,city,Ammern,DE-TH,UNLOCODE:2022-1
IT ZBP,city,Corigliano d'Otranto,IT-LE,UNLOCODE:2022-1
LY ABK,city,Abu Kammash,LY,UNLOCODE:2022-1
FR VC5,city,Villaudric,FR-31,UNLOCODE:2022-1
US IYF,city,Niskayuna,US-NY,UNLOCODE:2022-1
US CCO,city,Canton,US-OH,UNLOCODE:2022-1
SE FKG,city,Falköping,SE-O,UNLOCODE:2022-1
US LBE,city,Latrobe,US-PA,UNLOCODE:2022-1
BG SLI,city,Stanke Lisitchkovo,BG,UNLOCODE:2022-1
PG JOP,city,Josephstaal,PG,UNLOCODE:2022-1
FR ZP5,city,Montpezat,FR-47,UNLOCODE:2022-1
ES ELR,city,El Raal,ES,UNLOCODE:2022-1
FR V3N,city,Verlin,FR-89,UNLOCODE:2022-1
ES VL7,city,Vallbona de las Monjas,ES-L,UNLOCODE:2022-1
IT TGR,city,Torregrande,IT,UNLOCODE:2022-1
ES FGL,city,Fuengirola,ES-MA,UNLOCODE:2022-1
AT SIF,city,Siegendorf,AT,UNLOCODE:2022-1
US PA3,city,Saint Paul,US-MO,UNLOCODE:2022-1
GB WVL,city,Woodville,GB-DBY,UNLOCODE:2022-1
BE TIS,city,Tisselt,BE-VAN,UNLOCODE:2022-1
CA SYD,city,Sydney,CA-NS,UNLOCODE:2022-1
LK OWT,city,Orugodawatte,LK,UNLOCODE:2022-1
PL DRE,city,Drahle,PL-20,UNLOCODE:2022-1
BG KYS,city,Kyustendil,BG,UNLOCODE:2022-1
FR BPH,city,Burnhaupt-le-Haut,FR-68,UNLOCODE:2022-1
FR 7UP,city,Meyenheim,FR-68,UNLOCODE:2022-1
DE SIO,city,Selbitz,DE-BY,UNLOCODE:2022-1
CZ CVK,city,Cervenka,CZ,UNLOCODE:2022-1
US LYA,city,Lynn,US-AL,UNLOCODE:2022-1
NL DED,city,Dedemsvaart,NL,UNLOCODE:2022-1
CH UKN,city,Uitikon,CH-ZH,UNLOCODE:2022-1
DE BYH,city,Bayenthal,DE-NW,UNLOCODE:2022-1
BR TWP,city,Tupirama,BR-TO,UNLOCODE:2022-1
FR LO8,city,Louvois,FR-51,UNLOCODE:2022-1
NL ZVB,city,Zevenbergen,NL-NB,UNLOCODE:2022-1
FR QEJ,city,Roquetaillade,FR-11,UNLOCODE:2022-1
US EEG,city,Greene,US-NY,UNLOCODE:2022-1
LV SAU,city,Sauriesi,LV-RIX,UNLOCODE:2022-1
CV SFL,city,Sao Filipe,CV-SF,UNLOCODE:2022-1
US IAM,city,Miamisburg,US-OH,UNLOCODE:2022-1
