actor_id,type,name,is_part_of,datasource_id
BR BSS,city,Balsas,BR-MA,UNLOCODE:2022-1
FR NRZ,city,La Bernerie-en-Retz,FR-44,UNLOCODE:2022-1
FR VQV,city,Virac,FR-81,UNLOCODE:2022-1
FR INT,city,Cintré,FR-35,UNLOCODE:2022-1
DE 74B,city,Borgisdorf,DE-BB,UNLOCODE:2022-1
BE GIS,city,Gistel,BE-VWV,UNLOCODE:2022-1
MZ PBE,city,Porto Belo,MZ,UNLOCODE:2022-1
CZ ISB,city,Jistebnice,CZ,UNLOCODE:2022-1
NL KHV,city,Ketelhaven,NL-FL,UNLOCODE:2022-1
US CEC,city,Crescent City,US-CA,UNLOCODE:2022-1
DE WHE,city,Wattenheim,DE-HE,UNLOCODE:2022-1
LB ALE,city,Aley,LB-JL,UNLOCODE:2022-1
FR MLI,city,Moulines,FR-50,UNLOCODE:2022-1
DE VEL,city,Velbert,DE-NW,UNLOCODE:2022-1
DE GE2,city,Germendorf (Oranienburg),DE-BB,UNLOCODE:2022-1
GR MXK,city,Mastichari Kos,GR,UNLOCODE:2022-1
CH BBS,city,Basel Schweizerhalle,CH-BS,UNLOCODE:2022-1
BE HHT,city,Hulshout,BE-VAN,UNLOCODE:2022-1
US EKI,city,Elkhart,US-IN,UNLOCODE:2022-1
GB OWE,city,Ower,GB-HAM,UNLOCODE:2022-1
CA PCS,city,Port Clements,CA-BC,UNLOCODE:2022-1
PW MKK,city,Melekeok,PW-212,UNLOCODE:2022-1
PT SMO,city,São Martinho do Porto,PT-10,UNLOCODE:2022-1
ES LGO,city,Lugo,ES,UNLOCODE:2022-1
US E9T,city,East Pittsburgh,US-PA,UNLOCODE:2022-1
TH KKC,city,Khon Kaen,TH-40,UNLOCODE:2022-1
US WXF,city,Winfield,US-TN,UNLOCODE:2022-1
BO LPB,city,La Paz,BO-L,UNLOCODE:2022-1
FR CJL,city,Luc-sur-Orbieu,FR-11,UNLOCODE:2022-1
SI STO,city,Store,SI,UNLOCODE:2022-1
FR RTL,city,Bussy-Lettrée,FR-51,UNLOCODE:2022-1
PL WLN,city,Wielun,PL,UNLOCODE:2022-1
CH CLG,city,Cologny,CH-GE,UNLOCODE:2022-1
CA DHQ,city,Dunman,CA-ON,UNLOCODE:2022-1
HN RLD,city,Rio Lindo,HN,UNLOCODE:2022-1
LV LBN,city,Lubana,LV,UNLOCODE:2022-1
MX SAN,city,Nextlalpan,MX-MEX,UNLOCODE:2022-1
NL ZWW,city,Zwartewaal,NL-ZH,UNLOCODE:2022-1
CN SZH,city,Suzhou,CN-JS,UNLOCODE:2022-1
FR GJC,city,Genouillac,FR-16,UNLOCODE:2022-1
FR LMY,city,Limay,FR-78,UNLOCODE:2022-1
CA OSS,city,Rosslyn,CA-ON,UNLOCODE:2022-1
JP ENR,city,"Enoura, Kagawa",JP-37,UNLOCODE:2022-1
AT SZI,city,Stratzing,AT-3,UNLOCODE:2022-1
US OB5,city,Braman,US-OK,UNLOCODE:2022-1
MX AXA,city,Axapusco,MX-MEX,UNLOCODE:2022-1
BE BOL,city,Bolland,BE-WLG,UNLOCODE:2022-1
RU SPO,city,Stupino,RU,UNLOCODE:2022-1
DE SCG,city,Schramberg,DE-BW,UNLOCODE:2022-1
CA DNC,city,Donnacona,CA-QC,UNLOCODE:2022-1
FR PXT,city,Poix-Terron,FR-08,UNLOCODE:2022-1
FR OPU,city,Montferrat,FR-83,UNLOCODE:2022-1
US WFG,city,West Fargo,US-ND,UNLOCODE:2022-1
BR MLA,city,Matelândia,BR-PR,UNLOCODE:2022-1
DE B67,city,Bottmersdorf,DE-ST,UNLOCODE:2022-1
US XEB,city,Connell,US-WA,UNLOCODE:2022-1
IE BWD,city,Bawnboy,IE-CN,UNLOCODE:2022-1
US ASE,city,Aspen,US-CO,UNLOCODE:2022-1
AU DRO,city,Donnybrook,AU-WA,UNLOCODE:2022-1
DE 55M,city,Duvensee,DE-SH,UNLOCODE:2022-1
JP SZQ,city,Kai,JP-19,UNLOCODE:2022-1
US NQP,city,Northport,US-NY,UNLOCODE:2022-1
GB SNW,city,Saint Andrews,GB-FIF,UNLOCODE:2022-1
DE AD2,city,Addebüll,DE-SH,UNLOCODE:2022-1
JP KJJ,city,Koshima,JP-46,UNLOCODE:2022-1
BE BEM,city,Bellem,BE-VOV,UNLOCODE:2022-1
US ZD4,city,Hessmer,US-LA,UNLOCODE:2022-1
ES BMA,city,Barciademera,ES-PO,UNLOCODE:2022-1
CA CTY,city,Chertsey,CA-QC,UNLOCODE:2022-1
BE ANH,city,Anhée,BE-WNA,UNLOCODE:2022-1
US QLR,city,Laureldale,US-PA,UNLOCODE:2022-1
HU CPE,city,Csepel,HU-PE,UNLOCODE:2022-1
BR RMR,city,Paramirim,BR-BA,UNLOCODE:2022-1
FR IPE,city,Petit-Mars,FR-44,UNLOCODE:2022-1
RO SIR,city,Siret,RO-SV,UNLOCODE:2022-1
ES VFU,city,Valdelafuente,ES-LE,UNLOCODE:2022-1
FI PO5,city,Posio,FI-10,UNLOCODE:2022-1
GB DDT,city,Durward Dauntless,GB,UNLOCODE:2022-1
BR FBR,city,Francisco Badaró,BR-MG,UNLOCODE:2022-1
BR QDI,city,Quedas do Iguaçu,BR-PR,UNLOCODE:2022-1
GT MJS,city,Monjas,GT-21,UNLOCODE:2022-1
ES LDS,city,Lodosa,ES,UNLOCODE:2022-1
US RUL,city,Rule,US-TX,UNLOCODE:2022-1
GB RHN,city,Ruthin,GB-DEN,UNLOCODE:2022-1
