actor_id,type,name,is_part_of,datasource_id
FR OCV,city,Villevocance,FR-07,UNLOCODE:2022-1
IT GMI,city,Gemonio,IT-VA,UNLOCODE:2022-1
FR CQS,city,Coquelles,FR-62,UNLOCODE:2022-1
FR TQ9,city,Turquant,FR-49,UNLOCODE:2022-1
DE COY,city,Cösitz,DE-ST,UNLOCODE:2022-1
AU NS3,city,Bellingen,AU-NSW,UNLOCODE:2022-1
PL SKP,city,Skopanie,PL,UNLOCODE:2022-1
DE 73G,city,Süderbrarup,DE-SH,UNLOCODE:2022-1
IN CBT,city,TDPL SEZ/Coimbatore,IN-TN,UNLOCODE:2022-1
JP IBS,city,Ibusuki,JP-46,UNLOCODE:2022-1
MX LTJ,city,La Troje,MX-AGU,UNLOCODE:2022-1
BR IBF,city,Cidade de Ilha Bela FPSO,BR-SP,UNLOCODE:2022-1
PL KRS,city,Krasnik,PL-06,UNLOCODE:2022-1
FR LTY,city,Le Thillay,FR-95,UNLOCODE:2022-1
AR CEO,city,Crespo,AR-E,UNLOCODE:2022-1
IT FAU,city,Fauglia,IT-PI,UNLOCODE:2022-1
FR S2B,city,Saint-Sorlin-en-Bugey,FR-01,UNLOCODE:2022-1
GR INF,city,Inofyta,GR,UNLOCODE:2022-1
TN MAH,city,Mahires,TN,UNLOCODE:2022-1
ES ZJH,city,Priego de Cordoba,ES-CO,UNLOCODE:2022-1
FR ITT,city,Villette,FR-73,UNLOCODE:2022-1
US BC5,city,Blachly,US-OR,UNLOCODE:2022-1
IT VTI,city,Voltri,IT-GE,UNLOCODE:2022-1
UY SOO,city,Soriano,UY-SO,UNLOCODE:2022-1
DE LWU,city,Lichtenstein (Reutlingen),DE-BW,UNLOCODE:2022-1
GB KSU,city,South Killingholme,GB-LIN,UNLOCODE:2022-1
CV PON,city,Porto Novo,CV,UNLOCODE:2022-1
DE FUR,city,Fürth,DE-HE,UNLOCODE:2022-1
MM MUR,city,Murdon,MM,UNLOCODE:2022-1
CZ CNI,city,Cernice,CZ,UNLOCODE:2022-1
ES SMX,city,San Martin de Unx,ES-NA,UNLOCODE:2022-1
