actor_id,type,name,is_part_of,datasource_id
US ADP,city,Conway,US-AR,UNLOCODE:2022-1
ES RXO,city,Rianxo,ES-C,UNLOCODE:2022-1
US IYK,city,Inyokern,US-CA,UNLOCODE:2022-1
US KIF,city,Kingfisher,US-OK,UNLOCODE:2022-1
NL BLD,city,Blaaksedijk,NL,UNLOCODE:2022-1
AU HCQ,city,Halls Creek,AU-WA,UNLOCODE:2022-1
CA ALH,city,Alhambra,CA-AB,UNLOCODE:2022-1
DE NXB,city,Bohlsen,DE-NI,UNLOCODE:2022-1
US CNG,city,Clinton,US-NJ,UNLOCODE:2022-1
DK HOE,city,Holte,DK,UNLOCODE:2022-1
FR A76,city,Auzebosc,FR-76,UNLOCODE:2022-1
US RUB,city,Rubonia,US-FL,UNLOCODE:2022-1
ES AQR,city,Antequera,ES,UNLOCODE:2022-1
GB SBU,city,Stainburn,GB-NYK,UNLOCODE:2022-1
DE MTB,city,Maitenbeth,DE-BY,UNLOCODE:2022-1
ZA EDG,city,Mount Edgecombe,ZA,UNLOCODE:2022-1
ES BLG,city,Bellreguart,ES,UNLOCODE:2022-1
GB BFR,city,Blackford,GB-PKN,UNLOCODE:2022-1
ES AKC,city,Alcaudete,ES,UNLOCODE:2022-1
DE 3AV,city,Armstorf,DE-NI,UNLOCODE:2022-1
FR GPP,city,Grosseto-Prugna,FR-2A,UNLOCODE:2022-1
CA RQQ,city,Rockton,CA-ON,UNLOCODE:2022-1
GB BTK,city,Bedstone,GB-SHR,UNLOCODE:2022-1
BR DIT,city,Dois Irmãos do Tocantins,BR-TO,UNLOCODE:2022-1
FI KO8,city,Saynatsalo,FI-08,UNLOCODE:2022-1
FR S6G,city,Saint-Georges-Buttavent,FR-53,UNLOCODE:2022-1
US JSG,city,Jarvisburg,US-NC,UNLOCODE:2022-1
CZ PDO,city,Prádlo,CZ-32,UNLOCODE:2022-1
BR VGA,city,Vigia,BR-PA,UNLOCODE:2022-1
FR NMY,city,Saint-Martin-d'Oney,FR-40,UNLOCODE:2022-1
KE KIU,city,Kiunga,KE,UNLOCODE:2022-1
SB ANH,city,Anuha Island,SB,UNLOCODE:2022-1
FR GCE,city,Garches,FR-92,UNLOCODE:2022-1
IT PEU,city,Gradara,IT-PU,UNLOCODE:2022-1
BR NHZ,city,Nova Hartz,BR-RS,UNLOCODE:2022-1
FR PZQ,city,Plounévez-Quintin,FR-22,UNLOCODE:2022-1
CH STA,city,Stansstad,CH-NW,UNLOCODE:2022-1
DK KBY,city,Kyndbyvaerkets Havn,DK,UNLOCODE:2022-1
IT PLP,city,Ponte Valleceppi,IT-PG,UNLOCODE:2022-1
US EET,city,Leetonia,US-OH,UNLOCODE:2022-1
ES A2Z,city,A Zamorana,ES-OR,UNLOCODE:2022-1
IT ART,city,Artegna,IT-UD,UNLOCODE:2022-1
DE HUO,city,Neuhausen ob Eck,DE-BW,UNLOCODE:2022-1
US CQI,city,Carlisle,US-IN,UNLOCODE:2022-1
PL NWC,city,Niwnica,PL-16,UNLOCODE:2022-1
DE DKK,city,Dahme/Mark,DE-BB,UNLOCODE:2022-1
PT RMA,city,Rio Maior,PT-14,UNLOCODE:2022-1
FR TDG,city,Castelnau-d'Anglès,FR-32,UNLOCODE:2022-1
RO TET,city,Tetchea,RO,UNLOCODE:2022-1
US HPK,city,Hanover Park,US-IL,UNLOCODE:2022-1
FR GLR,city,Bourg-la-Reine,FR-92,UNLOCODE:2022-1
GB AGO,city,Arinagour,GB-AGB,UNLOCODE:2022-1
FR LM5,city,La Magdelaine-sur-Tarn,FR-31,UNLOCODE:2022-1
US ZJI,city,"Alpine, Los Angeles",US-CA,UNLOCODE:2022-1
JP TNI,city,Tsuneishi,JP-34,UNLOCODE:2022-1
IT WCV,city,Cison di Valmarino,IT-TV,UNLOCODE:2022-1
