actor_id,type,name,is_part_of,datasource_id
BR MVD,city,Mata Verde,BR-MG,UNLOCODE:2022-1
US UNA,city,Union Beach,US-NJ,UNLOCODE:2022-1
NL SAR,city,Sint Andries,NL-GE,UNLOCODE:2022-1
NO BRS,city,Braskereidfoss,NO,UNLOCODE:2022-1
FR ZSE,city,Colombé-la-Fosse,FR-10,UNLOCODE:2022-1
BR GUM,city,Gurinhém,BR-PB,UNLOCODE:2022-1
SI SRO,city,Sromlje,SI-009,UNLOCODE:2022-1
CR MAO,city,Matapalo,CR-P,UNLOCODE:2022-1
JP YAO,city,Yao,JP-27,UNLOCODE:2022-1
FR TTJ,city,Jonquerettes,FR-84,UNLOCODE:2022-1
DE EGD,city,Ergolding,DE-BY,UNLOCODE:2022-1
US AEK,city,Aberdeen,US-MS,UNLOCODE:2022-1
BE EGI,city,Enghien,BE-WHT,UNLOCODE:2022-1
US UNM,city,Mount Arlington,US-NJ,UNLOCODE:2022-1
FR ORW,city,Orgerus,FR-78,UNLOCODE:2022-1
US YEL,city,Yellville,US-AR,UNLOCODE:2022-1
US 6WN,city,New London,US-NH,UNLOCODE:2022-1
BE KNS,city,Knesselaere,BE-VOV,UNLOCODE:2022-1
AU KQB,city,Koonibba,AU-SA,UNLOCODE:2022-1
US FSD,city,Sioux Falls,US-SD,UNLOCODE:2022-1
GB MTB,city,Milltimber,GB-ABD,UNLOCODE:2022-1
GB GL9,city,Poulton,GB-GLS,UNLOCODE:2022-1
GH ABK,city,Abeka,GH-AA,UNLOCODE:2022-1
PE ARI,city,Arica,PE,UNLOCODE:2022-1
BR RON,city,Rio Sono,BR-TO,UNLOCODE:2022-1
DE KUO,city,Knüllwald,DE-HE,UNLOCODE:2022-1
ES MZL,city,Matapozuelos,ES-VA,UNLOCODE:2022-1
US CSE,city,Crested Butte,US-CO,UNLOCODE:2022-1
US KDA,city,Kodak,US-TN,UNLOCODE:2022-1
BD BRG,city,Bogura,BD,UNLOCODE:2022-1
US IDG,city,Ida Grove,US-IA,UNLOCODE:2022-1
DK LOH,city,Lohals,DK,UNLOCODE:2022-1
FR QRA,city,Corlay,FR-22,UNLOCODE:2022-1
BR ACN,city,Acreúna,BR-GO,UNLOCODE:2022-1
FR 7NH,city,Avon-les-Roches,FR-37,UNLOCODE:2022-1
FR DZS,city,Dossenheim-sur-Zinsel,FR-67,UNLOCODE:2022-1
IT SOG,city,Somaglia,IT,UNLOCODE:2022-1
BE VBO,city,Villers-le-Bouillet,BE-WLG,UNLOCODE:2022-1
HU BRI,city,Biri,HU-SZ,UNLOCODE:2022-1
CL PUQ,city,Punta Arenas,CL-MA,UNLOCODE:2022-1
US UDT,city,Cumberland Center,US-ME,UNLOCODE:2022-1
IT GZE,city,Gargazzone,IT-BZ,UNLOCODE:2022-1
PL BLC,city,Bobolice,PL-32,UNLOCODE:2022-1
DE KUB,city,Kaub,DE-RP,UNLOCODE:2022-1
US MJQ,city,Jackson,US-MN,UNLOCODE:2022-1
US IIG,city,Killington,US-VT,UNLOCODE:2022-1
FR SYN,city,Seyne,FR-04,UNLOCODE:2022-1
GB LXG,city,Luxborough,GB-SOM,UNLOCODE:2022-1
NL SRB,city,Sijbrandaburen,NL-FR,UNLOCODE:2022-1
FR TLB,city,Thoisy-la-Berchère,FR-21,UNLOCODE:2022-1
BR LZI,city,Luiziânia,BR-SP,UNLOCODE:2022-1
ZA SDB,city,Saldanha Bay,ZA,UNLOCODE:2022-1
ES ZNZ,city,Almazan,ES-SO,UNLOCODE:2022-1
US TZE,city,Trent,US-SD,UNLOCODE:2022-1
US WRY,city,West Roxbury,US-MA,UNLOCODE:2022-1
US ECV,city,Ellicottville,US-NY,UNLOCODE:2022-1
PK WGH,city,Wagah,PK-PB,UNLOCODE:2022-1
US 6YP,city,Langley Park,US-MD,UNLOCODE:2022-1
VN DGD,city,Dong Da,VN,UNLOCODE:2022-1
FR PCV,city,Saint-Pierre-de-Cheville,FR-72,UNLOCODE:2022-1
US AJE,city,Alger,US-OH,UNLOCODE:2022-1
DE JUH,city,Jünkerath,DE-RP,UNLOCODE:2022-1
CA IVT,city,L'Isle-Verte,CA-QC,UNLOCODE:2022-1
FR CMS,city,Cambes,FR,UNLOCODE:2022-1
NO RSD,city,Raudsand,NO-15,UNLOCODE:2022-1
AU RYC,city,Reedy Creek,AU-QLD,UNLOCODE:2022-1
DE UAB,city,Barnau,DE-BY,UNLOCODE:2022-1
MX QMX,city,Ajuchitlán,MX-QUE,UNLOCODE:2022-1
DE UOF,city,Brudersdorf/Dargun,DE-MV,UNLOCODE:2022-1
NP SYH,city,Syangboche,NP,UNLOCODE:2022-1
US YSU,city,South Union,US-KY,UNLOCODE:2022-1
AU MUB,city,Murray Bridge,AU-SA,UNLOCODE:2022-1
US GYK,city,Gray,US-KY,UNLOCODE:2022-1
FR D8D,city,Buthiers,FR-70,UNLOCODE:2022-1
BR GWR,city,Guaraciama,BR-MG,UNLOCODE:2022-1
US GD9,city,Grand Mound,US-IA,UNLOCODE:2022-1
BR NBV,city,Nova Boa Vista,BR-RS,UNLOCODE:2022-1
DE GOC,city,Goch,DE-NW,UNLOCODE:2022-1
JP KZH,city,Kazuhara,JP-37,UNLOCODE:2022-1
AU 6VC,city,Sunshine,AU-VIC,UNLOCODE:2022-1
US AWW,city,Awendaw,US-SC,UNLOCODE:2022-1
IT CFT,city,Casale Monferrato,IT-AL,UNLOCODE:2022-1
US EI3,city,Elida,US-NM,UNLOCODE:2022-1
FR 7OG,city,Matougues,FR-51,UNLOCODE:2022-1
CR GDA,city,Guardia,CR-G,UNLOCODE:2022-1
NO VEL,city,Velfjord,NO-18,UNLOCODE:2022-1
NO BRE,city,Bremanger,NO,UNLOCODE:2022-1
FR XLB,city,Saint-Laurent-Blangy,FR-62,UNLOCODE:2022-1
IL KFN,city,Kfar Netter,IL-M,UNLOCODE:2022-1
US JNU,city,Juneau,US-AK,UNLOCODE:2022-1
DE BJ6,city,Badingen,DE-ST,UNLOCODE:2022-1
RU SAR,city,Sarova,RU,UNLOCODE:2022-1
LU WSG,city,Wasserbillig,LU,UNLOCODE:2022-1
PT DAR,city,Darque,PT-16,UNLOCODE:2022-1
BG GAB,city,Tumbalovo,BG-07,UNLOCODE:2022-1
BR BNR,city,Brejinho de Nazaré,BR-TO,UNLOCODE:2022-1
US FB8,city,Blandford,US-MA,UNLOCODE:2022-1
IT ODP,city,Orciano di Pesaro,IT-PU,UNLOCODE:2022-1
RU NOU,city,Novouralsk,RU-ORE,UNLOCODE:2022-1
US FVW,city,Franksville,US-WI,UNLOCODE:2022-1
US ZLG,city,Lake Garfield,US-FL,UNLOCODE:2022-1
DE KBU,city,Korbussen,DE-TH,UNLOCODE:2022-1
NZ RUS,city,Russel,NZ-NTL,UNLOCODE:2022-1
FI VRA,city,Virrat (Virdois),FI-11,UNLOCODE:2022-1
GB ETD,city,Elstead,GB-SRY,UNLOCODE:2022-1
NO BUF,city,Burfjord,NO,UNLOCODE:2022-1
FR M4R,city,Marie,FR-06,UNLOCODE:2022-1
IT HMF,city,San Michele de Gatti,IT-PR,UNLOCODE:2022-1
US R3G,city,Ringold,US-OK,UNLOCODE:2022-1
IT STV,city,Castelnuovo,IT-TN,UNLOCODE:2022-1
US AXS,city,Axis,US-AL,UNLOCODE:2022-1
GB GNW,city,Greenwich,GB-LEW,UNLOCODE:2022-1
NZ PRU,city,Porirua,NZ-WGN,UNLOCODE:2022-1
BR MUE,city,Mutuípe,BR-BA,UNLOCODE:2022-1
FR CH2,city,Chambuf,FR-21,UNLOCODE:2022-1
IN BRR,city,Balrampur,IN-UP,UNLOCODE:2022-1
US CJA,city,Cressona,US-PA,UNLOCODE:2022-1
US HSW,city,Schleswig,US-IA,UNLOCODE:2022-1
BR REC,city,Recife,BR-PE,UNLOCODE:2022-1
ES STI,city,Santa Eulalia,ES-TE,UNLOCODE:2022-1
RS VJB,city,Vrnjacka Banja,RS-18,UNLOCODE:2022-1
TN BEB,city,Borj el Bey,TN-51,UNLOCODE:2022-1
ES MN2,city,Moraña,ES-PO,UNLOCODE:2022-1
MX PIJ,city,Pijijiapan,MX-CHP,UNLOCODE:2022-1
UA ZUX,city,Voznesensk,UA-48,UNLOCODE:2022-1
CZ STB,city,Sternberk,CZ,UNLOCODE:2022-1
DE SWC,city,Schweinrich,DE-BB,UNLOCODE:2022-1
ES LZR,city,La Zarza,ES-BA,UNLOCODE:2022-1
AU HH5,city,Merewether,AU-NSW,UNLOCODE:2022-1
IN RIR,city,Rajgir,IN-BR,UNLOCODE:2022-1
IT PVI,city,Poviglio,IT,UNLOCODE:2022-1
CZ HOR,city,Horní Libchava,CZ,UNLOCODE:2022-1
US KUS,city,Acushnet,US-MA,UNLOCODE:2022-1
CN SAG,city,Songgang,CN-GD,UNLOCODE:2022-1
ES ORA,city,Illora,ES-GR,UNLOCODE:2022-1
FR BUZ,city,Bruz,FR-35,UNLOCODE:2022-1
FR RZQ,city,Rozières,FR-52,UNLOCODE:2022-1
JP AGR,city,Agonoura,JP-47,UNLOCODE:2022-1
US EH5,city,East Greenwich,US-WA,UNLOCODE:2022-1
CH MAT,city,Matran,CH-FR,UNLOCODE:2022-1
US JDR,city,Eldora,US-IA,UNLOCODE:2022-1
GB KRN,city,Killearn,GB-STG,UNLOCODE:2022-1
CA LMR,city,Lloydminster,CA-SK,UNLOCODE:2022-1
DE KUW,city,Breitscheid/Kreis Neuwied,DE-RP,UNLOCODE:2022-1
CN LCP,city,Lucheng Pt,CN-HB,UNLOCODE:2022-1
DE LAW,city,Langewiesen,DE-TH,UNLOCODE:2022-1
US THH,city,Temple Hills,US-MD,UNLOCODE:2022-1
HR SSN,city,Sisinec,HR-03,UNLOCODE:2022-1
FI ESP,city,Esbo (Espoo),FI-18,UNLOCODE:2022-1
PH SKU,city,Sultan Kudarat/Dadiangas,PH,UNLOCODE:2022-1
US CNZ,city,Canton,US-MO,UNLOCODE:2022-1
SI LZR,city,Straza,SI-085,UNLOCODE:2022-1
JP SRW,city,Shirakawa,JP-07,UNLOCODE:2022-1
MU BOR,city,Bel Ombre,MU-SA,UNLOCODE:2022-1
SE FJC,city,Fjärås,SE-N,UNLOCODE:2022-1
AT TLN,city,Tulln,AT-3,UNLOCODE:2022-1
US YDG,city,Coolidge,US-AZ,UNLOCODE:2022-1
FR PUR,city,Ploemeur,FR-56,UNLOCODE:2022-1
FR YE7,city,Ayse,FR-74,UNLOCODE:2022-1
CZ LOK,city,Loukov,CZ,UNLOCODE:2022-1
US UOU,city,Newtown,US-MO,UNLOCODE:2022-1
PL GRC,city,Gieralcice,PL,UNLOCODE:2022-1
JP MGY,city,Nagayama,JP-47,UNLOCODE:2022-1
BE DRW,city,Denderleeuw,BE-VOV,UNLOCODE:2022-1
CZ HUV,city,Hruba Vrbka,CZ,UNLOCODE:2022-1
FR LZE,city,Lézigné,FR-49,UNLOCODE:2022-1
CZ DDD,city,Dobroviz,CZ,UNLOCODE:2022-1
BE CLA,city,Clavier,BE-WLG,UNLOCODE:2022-1
CZ MZA,city,Mezimestí,CZ,UNLOCODE:2022-1
FR ADS,city,Aubigné,FR-79,UNLOCODE:2022-1
AU CXQ,city,Christmas Creek,AU-WA,UNLOCODE:2022-1
DE HIQ,city,Hirschbach,DE-BY,UNLOCODE:2022-1
IT FSU,city,Faedis,IT-UD,UNLOCODE:2022-1
US QMX,city,Monroe,US-NJ,UNLOCODE:2022-1
PA PTL,city,Paritilla,PA-7,UNLOCODE:2022-1
CL ELB,city,El Bosque,CL-RM,UNLOCODE:2022-1
US WLJ,city,Wall,US-NJ,UNLOCODE:2022-1
FR CZW,city,Créquy,FR-62,UNLOCODE:2022-1
US TP2,city,Tupper Lake,US-NY,UNLOCODE:2022-1
IN NKI,city,Sinnar,IN-MH,UNLOCODE:2022-1
DE PHT,city,Philippsthal,DE-BB,UNLOCODE:2022-1
ES CU8,city,Cizurquil,ES,UNLOCODE:2022-1
DE PA4,city,Pfaffing an der Attel,DE-BY,UNLOCODE:2022-1
US EJX,city,Emden,US-IL,UNLOCODE:2022-1
US AMJ,city,Amity,US-OR,UNLOCODE:2022-1
MX CSL,city,Cabo San Lucas,MX-BCS,UNLOCODE:2022-1
FR FTU,city,Fitilieu,FR-38,UNLOCODE:2022-1
GB ITC,city,Itchenor,GB-WSX,UNLOCODE:2022-1
RU KUK,city,Kurkachi,RU-TA,UNLOCODE:2022-1
DE HEP,city,Heppenheim,DE-HE,UNLOCODE:2022-1
NL OSM,city,Oosterbierum,NL-FR,UNLOCODE:2022-1
DE BQP,city,Breddenberg,DE-NI,UNLOCODE:2022-1
CN ZNY,city,Zunyi,CN-GZ,UNLOCODE:2022-1
EC QUI,city,Quinche,EC-P,UNLOCODE:2022-1
IS GRD,city,Gardur,IS,UNLOCODE:2022-1
ES CME,city,Cormes,ES-LU,UNLOCODE:2022-1
BE MRS,city,Moorslede,BE-VWV,UNLOCODE:2022-1
GB RUD,city,Raunds,GB-NTH,UNLOCODE:2022-1
PL GMZ,city,Glina,PL-14,UNLOCODE:2022-1
GB WTQ,city,Weston,GB-NTH,UNLOCODE:2022-1
US CNC,city,Clinton,US-MI,UNLOCODE:2022-1
SK SZK,city,Hnústa,SK-BC,UNLOCODE:2022-1
AQ ZGN,city,Zhongshan,AQ,UNLOCODE:2022-1
CI COD,city,Cocody,CI,UNLOCODE:2022-1
DE HLD,city,Hillscheid,DE-RP,UNLOCODE:2022-1
FR PGI,city,Poligny,FR-39,UNLOCODE:2022-1
DE ESF,city,Estorf/Weser,DE-NI,UNLOCODE:2022-1
GB RWL,city,Rosewell,GB-MLN,UNLOCODE:2022-1
SE LOM,city,Lomma,SE-M,UNLOCODE:2022-1
GB WTP,city,West Hartlepool,GB-HPL,UNLOCODE:2022-1
FR NYZ,city,Vomécourt,FR-88,UNLOCODE:2022-1
FR FGA,city,Figeac,FR-46,UNLOCODE:2022-1
MX PUT,city,Putla de Guerrero,MX-OAX,UNLOCODE:2022-1
GB NWH,city,Nailsworth,GB-GLS,UNLOCODE:2022-1
US LBM,city,Lebanon,US-MO,UNLOCODE:2022-1
FR GYA,city,Magny,FR-28,UNLOCODE:2022-1
AS PPG,city,Pago Pago,AS,UNLOCODE:2022-1
SE MLU,city,Malung,SE-W,UNLOCODE:2022-1
US SW4,city,South West City,US-MO,UNLOCODE:2022-1
IT GGX,city,Roncadello di Casalmaggiore,IT-CR,UNLOCODE:2022-1
GR KLM,city,Kalamaki,GR,UNLOCODE:2022-1
FR HBO,city,Chambon,FR-37,UNLOCODE:2022-1
IT SND,city,Sondrio,IT,UNLOCODE:2022-1
FR LVS,city,Louviers,FR-27,UNLOCODE:2022-1
US PKY,city,Parksley,US-VA,UNLOCODE:2022-1
FR C4A,city,Castillon-en-Auge,FR-14,UNLOCODE:2022-1
GB ESM,city,Earl Soham,GB-SFK,UNLOCODE:2022-1
US KLP,city,Kelp Bay,US-AK,UNLOCODE:2022-1
FR HNI,city,Chéniers,FR-23,UNLOCODE:2022-1
BR FAP,city,São Francisco de Assis do Piauí,BR-PI,UNLOCODE:2022-1
US FBL,city,Faribault,US-MN,UNLOCODE:2022-1
TH CSD,city,Chachoengsao,TH-24,UNLOCODE:2022-1
VE PDZ,city,Pedernales,VE,UNLOCODE:2022-1
GB CXY,city,Cosby,GB-LEC,UNLOCODE:2022-1
US AQ7,city,Attica,US-NY,UNLOCODE:2022-1
US SZO,city,Solomon,US-KS,UNLOCODE:2022-1
US S8F,city,Strafford,US-PA,UNLOCODE:2022-1
GB HWC,city,Hawick,GB-SCB,UNLOCODE:2022-1
NO UVD,city,Uvdal,NO,UNLOCODE:2022-1
JP KSR,city,Kishira,JP-46,UNLOCODE:2022-1
DE DED,city,Dettmannsdorf,DE-MV,UNLOCODE:2022-1
ES AHL,city,Ahigal,ES-CC,UNLOCODE:2022-1
IT MZR,city,Mezzolara,IT,UNLOCODE:2022-1
US AFJ,city,Beloit,US-OH,UNLOCODE:2022-1
RO VMA,city,Vanatorii-Mari,RO-GR,UNLOCODE:2022-1
TW CYI,city,Chiayi,TW,UNLOCODE:2022-1
US OV2,city,Orangeville,US-PA,UNLOCODE:2022-1
US NRG,city,North Reading,US-MA,UNLOCODE:2022-1
FR EBF,city,Elbeuf,FR-76,UNLOCODE:2022-1
US GNC,city,Garner,US-NC,UNLOCODE:2022-1
