actor_id,type,name,is_part_of,datasource_id
FR MPQ,city,Dampierre-sur-Loire,FR-49,UNLOCODE:2022-1
ZA FHK,city,Fish Hoek,ZA-WC,UNLOCODE:2022-1
LT KRA,city,Kazlu Ruda,LT,UNLOCODE:2022-1
BE HTH,city,Houthalen,BE-VLI,UNLOCODE:2022-1
CN DHP,city,Dahuangpu,CN-GD,UNLOCODE:2022-1
TR DIL,city,Diliskelesi,TR-41,UNLOCODE:2022-1
SV EPL,city,El Pedregal,SV,UNLOCODE:2022-1
US IGK,city,Bigfork,US-MN,UNLOCODE:2022-1
BR AGG,city,Alvorada do Gurguéia,BR-PI,UNLOCODE:2022-1
US AR3,city,Andover,US-OH,UNLOCODE:2022-1
PL OXE,city,Tuczno,PL-32,UNLOCODE:2022-1
GB MRF,city,Marfleet,GB-KHL,UNLOCODE:2022-1
FR BFA,city,Bellefontaine,FR-39,UNLOCODE:2022-1
US EEP,city,"Enterprise, Washington",US-UT,UNLOCODE:2022-1
US TGI,city,Saint Ignatius,US-MT,UNLOCODE:2022-1
US VLJ,city,Lovell,US-ME,UNLOCODE:2022-1
CH ETT,city,Ettingen,CH-BL,UNLOCODE:2022-1
DE HSO,city,Hemsloh,DE-NI,UNLOCODE:2022-1
BY GRK,city,Gorodok,BY-VI,UNLOCODE:2022-1
PE MLQ,city,Mollendo,PE,UNLOCODE:2022-1
IT PCD,city,Pieve di Cadore,IT,UNLOCODE:2022-1
GB XNU,city,Nutfield,GB-SRY,UNLOCODE:2022-1
FR XC2,city,Bueil-en-Touraine,FR-37,UNLOCODE:2022-1
RS POP,city,Popovac,RS-13,UNLOCODE:2022-1
FR SG9,city,Sacy-le-Grand,FR-60,UNLOCODE:2022-1
BR HEL,city,Herval,BR-RS,UNLOCODE:2022-1
FR IZE,city,Dareizé,FR-69,UNLOCODE:2022-1
PL RUD,city,Rudnik nad Sanem,PL-18,UNLOCODE:2022-1
US DYI,city,Dundee,US-IL,UNLOCODE:2022-1
NL STG,city,Steggerda,NL-FR,UNLOCODE:2022-1
CA WOV,city,Wolfville,CA-NS,UNLOCODE:2022-1
FR GGX,city,Ganges,FR-34,UNLOCODE:2022-1
US FSY,city,Falls City,US-NE,UNLOCODE:2022-1
US HDM,city,Hudson,US-MA,UNLOCODE:2022-1
US XTE,city,Timmonsville,US-SC,UNLOCODE:2022-1
NI SBS,city,San Benito (San Francisco Libre),NI-MN,UNLOCODE:2022-1
BR SMG,city,São Miguel do Gostoso,BR-RN,UNLOCODE:2022-1
ES BEN,city,Beniel,ES,UNLOCODE:2022-1
IT AII,city,Brignano Frascata,IT-AL,UNLOCODE:2022-1
CN KZG,city,Kangzhou Pt,CN-GD,UNLOCODE:2022-1
TG ABG,city,Ablogamé,TG-M,UNLOCODE:2022-1
DE TBZ,city,Treuenbrietzen,DE-BB,UNLOCODE:2022-1
US EED,city,Needles,US-CA,UNLOCODE:2022-1
GB CHQ,city,Chale,GB-IOW,UNLOCODE:2022-1
IT TL8,city,Torreselle,IT-VI,UNLOCODE:2022-1
US TVT,city,Thompsons Station,US-TN,UNLOCODE:2022-1
FR NNV,city,Normanville,FR-27,UNLOCODE:2022-1
US FY3,city,Fryburg,US-ND,UNLOCODE:2022-1
US 5WH,city,Whiting,US-VT,UNLOCODE:2022-1
US VOW,city,Stow,US-NY,UNLOCODE:2022-1
GT FRS,city,Flores,GT,UNLOCODE:2022-1
FR COQ,city,Condal,FR-71,UNLOCODE:2022-1
BR FUS,city,Figueirópolis,BR-TO,UNLOCODE:2022-1
US ONT,city,Ontario,US-CA,UNLOCODE:2022-1
FR VVI,city,Viéville,FR-52,UNLOCODE:2022-1
RO HOZ,city,Hoghiz,RO-BV,UNLOCODE:2022-1
BR RRY,city,Aramari,BR-BA,UNLOCODE:2022-1
NO LNS,city,Lyngstad,NO-15,UNLOCODE:2022-1
DK SPB,city,Spodsbjerg Havn,DK,UNLOCODE:2022-1
US SUC,city,Sundance,US-WY,UNLOCODE:2022-1
KR YGP,city,Yonggipo,KR-28,UNLOCODE:2022-1
FR FFU,city,Pfaffenheim,FR-68,UNLOCODE:2022-1
AT HER,city,Herzogenburg,AT,UNLOCODE:2022-1
