actor_id,type,name,is_part_of,datasource_id
BR MVN,city,Manoel Viana,BR-RS,UNLOCODE:2022-1
DK GVS,city,Grævinge,DK-85,UNLOCODE:2022-1
ES NOR,city,Norena,ES-O,UNLOCODE:2022-1
FR PXK,city,Plourin-lès-Morlaix,FR-29,UNLOCODE:2022-1
DE RIZ,city,Britz,DE-BE,UNLOCODE:2022-1
AU FGS,city,Ferguson,AU-WA,UNLOCODE:2022-1
CD IDF,city,Idiofa,CD,UNLOCODE:2022-1
PA ZAN,city,Zanguenga,PA-8,UNLOCODE:2022-1
CN YJC,city,Yangjiachang,CN-HB,UNLOCODE:2022-1
DE KCE,city,Kalscheuren,DE-NW,UNLOCODE:2022-1
DE JSA,city,Jessen,DE-ST,UNLOCODE:2022-1
PT HER,city,Herdade,PT,UNLOCODE:2022-1
FR YRE,city,La Vieille-Lyre,FR-27,UNLOCODE:2022-1
IT ZBT,city,Castello di Serravalle,IT-BO,UNLOCODE:2022-1
US 9JV,city,North Java,US-NY,UNLOCODE:2022-1
IT PKF,city,Prati,IT,UNLOCODE:2022-1
US NVR,city,Northville (Riverhead),US-NY,UNLOCODE:2022-1
GB ETN,city,Eton,GB-WNM,UNLOCODE:2022-1
JP YAD,city,"Yamada, Iwate",JP-03,UNLOCODE:2022-1
CA SPD,city,Springdale,CA-NL,UNLOCODE:2022-1
DE NEO,city,Niederndodeleben,DE-ST,UNLOCODE:2022-1
UA ZUB,city,Artemovsk,UA-14,UNLOCODE:2022-1
AT SYM,city,Steyrermühl,AT-4,UNLOCODE:2022-1
BR BSF,city,Barra de São Francisco,BR-ES,UNLOCODE:2022-1
FR FVE,city,Fauverney,FR-21,UNLOCODE:2022-1
BR KBR,city,Cerro Branco,BR-RS,UNLOCODE:2022-1
IT TDO,city,Terno d'Isola,IT-BG,UNLOCODE:2022-1
US HTQ,city,Huntley,US-IL,UNLOCODE:2022-1
ES ZBA,city,Zierbena,ES,UNLOCODE:2022-1
IT MAY,city,Capannori,IT-LU,UNLOCODE:2022-1
FR VGO,city,Velotte-et-Tatignécourt,FR-88,UNLOCODE:2022-1
RO CCA,city,Carcea,RO,UNLOCODE:2022-1
BR INO,city,Indiaroba,BR-SE,UNLOCODE:2022-1
DE BMP,city,Bempflingen,DE-BW,UNLOCODE:2022-1
SL PEP,city,Pepel,SL,UNLOCODE:2022-1
PG WPM,city,Wipim,PG,UNLOCODE:2022-1
AR EJO,city,Nueve de Julio,AR-B,UNLOCODE:2022-1
FR YGL,city,Langey,FR-28,UNLOCODE:2022-1
US SO7,city,Stanton,US-TN,UNLOCODE:2022-1
US B5G,city,Berger,US-MO,UNLOCODE:2022-1
CZ PMY,city,Moravany,CZ,UNLOCODE:2022-1
DE BLR,city,Bruel,DE-MV,UNLOCODE:2022-1
DE 59W,city,Högersdorf,DE-SH,UNLOCODE:2022-1
AT EAJ,city,Elsarn am Jauerling,AT-3,UNLOCODE:2022-1
IT XMO,city,Morozzo,IT-CN,UNLOCODE:2022-1
NL MCK,city,Melick,NL,UNLOCODE:2022-1
IT DLO,city,Medolago,IT-BG,UNLOCODE:2022-1
SI SMA,city,Smarje pri Jelsah,SI-124,UNLOCODE:2022-1
CN ASM,city,Asjman,CN,UNLOCODE:2022-1
FR 8LP,city,Vénérand,FR-17,UNLOCODE:2022-1
HR NVD,city,Novi Vinodolski,HR,UNLOCODE:2022-1
JP SNJ,city,Shinojima,JP-23,UNLOCODE:2022-1
US MD3,city,McDade,US-TX,UNLOCODE:2022-1
GR KMS,city,Kímolos,GR,UNLOCODE:2022-1
US F2D,city,Ford,US-WA,UNLOCODE:2022-1
DE 5BA,city,Berzhausen,DE-RP,UNLOCODE:2022-1
AU BIR,city,Birkenhead,AU-SA,UNLOCODE:2022-1
DE QXH,city,Schönhagen,DE-BB,UNLOCODE:2022-1
PK KOT,city,Kotri,PK,UNLOCODE:2022-1
DE EKI,city,Engelskirchen,DE-NW,UNLOCODE:2022-1
CM BTA,city,Bertoua,CM,UNLOCODE:2022-1
US PUX,city,Port Republic,US-NJ,UNLOCODE:2022-1
ES WQ4,city,Villanueva del Conde,ES-SA,UNLOCODE:2022-1
EG QAH,city,Nasr City,EG-C,UNLOCODE:2022-1
SE GOA,city,Göta,SE-O,UNLOCODE:2022-1
GR HLS,city,Chalastra,GR,UNLOCODE:2022-1
US ME7,city,Mashpee,US-MA,UNLOCODE:2022-1
IT BL3,city,Balvano,IT-PZ,UNLOCODE:2022-1
US TWB,city,Townsend,US-MA,UNLOCODE:2022-1
IT VLG,city,Volargne,IT,UNLOCODE:2022-1
GB ADW,city,Addiewell,GB-WLN,UNLOCODE:2022-1
