actor_id,type,name,is_part_of,datasource_id
US 4CP,city,Captiva,US-FL,UNLOCODE:2022-1
BE TIG,city,Tiegem,BE-VWV,UNLOCODE:2022-1
DE MGA,city,Magdala,DE-TH,UNLOCODE:2022-1
NZ FEE,city,Fernside,NZ-CAN,UNLOCODE:2022-1
MW CPK,city,Chipoka,MW-SA,UNLOCODE:2022-1
DE WNL,city,Wandersleben,DE-TH,UNLOCODE:2022-1
FR M5Z,city,Mazille,FR-71,UNLOCODE:2022-1
BR NIC,city,Santa Mônica,BR-PR,UNLOCODE:2022-1
BR DUO,city,Dourado,BR-SP,UNLOCODE:2022-1
US 3AR,city,Warm Springs,US-AR,UNLOCODE:2022-1
FR LAZ,city,La Canourgue,FR-48,UNLOCODE:2022-1
US B2M,city,Bloomington,US-MD,UNLOCODE:2022-1
NL OOS,city,Oosterhout,NL-NB,UNLOCODE:2022-1
DE LOC,city,Lorch,DE-BW,UNLOCODE:2022-1
CZ JST,city,Jenstejn,CZ,UNLOCODE:2022-1
NZ IVC,city,Invercargill,NZ-STL,UNLOCODE:2022-1
US MU4,city,Mountain,US-WI,UNLOCODE:2022-1
UA PLY,city,Polohy,UA-23,UNLOCODE:2022-1
BE KWA,city,Kwaadmechelen,BE-VLI,UNLOCODE:2022-1
FR CZU,city,Chalezeule,FR-25,UNLOCODE:2022-1
CA NGL,city,New Glasgow,CA-NS,UNLOCODE:2022-1
BR IRC,city,Itapororoca,BR-PB,UNLOCODE:2022-1
ES PFD,city,Puebla de Don Fadrique,ES-GR,UNLOCODE:2022-1
DE SXE,city,Seelbach,DE-BW,UNLOCODE:2022-1
GB BDU,city,Biddulph,GB-STS,UNLOCODE:2022-1
FR AAP,city,Trans,FR-35,UNLOCODE:2022-1
HU TZG,city,Tószeg,HU-JN,UNLOCODE:2022-1
IT TRL,city,Trambileno,IT,UNLOCODE:2022-1
US SYS,city,Sayville,US-NY,UNLOCODE:2022-1
OM KHS,city,Khasab,OM,UNLOCODE:2022-1
BE MS5,city,Montignies-Sur-Roc,BE-WHT,UNLOCODE:2022-1
FR 8BH,city,Bouhy,FR-58,UNLOCODE:2022-1
FR RMZ,city,Roumazières-Loubert,FR-16,UNLOCODE:2022-1
DE GVZ,city,Burgschwalbach,DE-RP,UNLOCODE:2022-1
ME IGL,city,Igalo,ME,UNLOCODE:2022-1
FR NLZ,city,Neulise,FR-42,UNLOCODE:2022-1
IN NOL,city,Panoli,IN-GJ,UNLOCODE:2022-1
CN RNH,city,Renhe,CN-CQ,UNLOCODE:2022-1
IT AUV,city,Arcugnano,IT-VI,UNLOCODE:2022-1
JP KMD,city,Komoda,JP-42,UNLOCODE:2022-1
NZ MCY,city,Manukau City,NZ-AUK,UNLOCODE:2022-1
JP OTK,city,Otake,JP-34,UNLOCODE:2022-1
US CV6,city,Coulterville,US-IL,UNLOCODE:2022-1
AU EKD,city,Elkedra,AU-NT,UNLOCODE:2022-1
DE EEI,city,Zell (Geisenfeld),DE-BY,UNLOCODE:2022-1
DE ESC,city,Eschborn,DE-HE,UNLOCODE:2022-1
GB TEM,city,Temple Sowerby,GB,UNLOCODE:2022-1
CA SF6,city,Saint Frederic,CA-QC,UNLOCODE:2022-1
GR AVL,city,Avlon,GR,UNLOCODE:2022-1
NO LIE,city,Lier,NO,UNLOCODE:2022-1
PT AVT,city,Alvito,PT-02,UNLOCODE:2022-1
US NXK,city,Normandy,US-TN,UNLOCODE:2022-1
US OB3,city,Ocean Beach,US-CA,UNLOCODE:2022-1
FR BBR,city,Bessé-sur-Braye,FR-72,UNLOCODE:2022-1
US HWC,city,West Harwich,US-MA,UNLOCODE:2022-1
SG TPY,city,Toa Payoh,SG,UNLOCODE:2022-1
FR TVB,city,Tronville-en-Barrois,FR-55,UNLOCODE:2022-1
RU BTK,city,Bratsk,RU,UNLOCODE:2022-1
US BB4,city,Big Bend,US-TX,UNLOCODE:2022-1
DE XSC,city,Schlangen,DE-NW,UNLOCODE:2022-1
FR URZ,city,Ur,FR-66,UNLOCODE:2022-1
ES IGE,city,Igea,ES,UNLOCODE:2022-1
PL OXD,city,Turosn Koscielna,PL,UNLOCODE:2022-1
ES MGO,city,Milagro,ES-NA,UNLOCODE:2022-1
ES ROS,city,Rosas,ES,UNLOCODE:2022-1
US OI7,city,Three Oaks,US-MI,UNLOCODE:2022-1
DE USP,city,Uchtspringe,DE-ST,UNLOCODE:2022-1
US ZR9,city,Zirconia,US-NC,UNLOCODE:2022-1
DE LQT,city,Lautert,DE-RP,UNLOCODE:2022-1
BA OMO,city,Mostar,BA,UNLOCODE:2022-1
US ZQZ,city,Coalfield,US-TN,UNLOCODE:2022-1
BR PVN,city,Passa Vinte,BR-MG,UNLOCODE:2022-1
US VRL,city,Harlan,US-IN,UNLOCODE:2022-1
IN AMG,city,Amingaon (Gauhati),IN-AS,UNLOCODE:2022-1
IT GND,city,Gandino,IT,UNLOCODE:2022-1
CA SNZ,city,Saint-Nazaire,CA-QC,UNLOCODE:2022-1
KR ASA,city,Asan,KR-44,UNLOCODE:2022-1
MR OTL,city,Boutilimit,MR,UNLOCODE:2022-1
PH LIG,city,Ligao,PH-ALB,UNLOCODE:2022-1
JP YOR,city,Yoro,JP-46,UNLOCODE:2022-1
NA BQI,city,Bagani,NA,UNLOCODE:2022-1
US NKN,city,Franklin,US-TX,UNLOCODE:2022-1
US ZGW,city,Novelty,US-OH,UNLOCODE:2022-1
US CWU,city,Carroll,US-OH,UNLOCODE:2022-1
AU BYN,city,Baynton,AU-WA,UNLOCODE:2022-1
PG EPT,city,Eliptamin,PG,UNLOCODE:2022-1
DE PHE,city,Petershagen/Eggersdorf,DE-BB,UNLOCODE:2022-1
