actor_id,type,name,is_part_of,datasource_id
DE WFM,city,Wölfersheim,DE-HE,UNLOCODE:2022-1
JP TYO,city,Tokyo,JP-13,UNLOCODE:2022-1
US LFJ,city,Little Falls,US-NJ,UNLOCODE:2022-1
ES ACZ,city,Alcañiz,ES,UNLOCODE:2022-1
ES MDG,city,Muro de Aguas,ES-LO,UNLOCODE:2022-1
ES MNN,city,Manan,ES,UNLOCODE:2022-1
US PJN,city,Peotone,US-IL,UNLOCODE:2022-1
NZ PKK,city,Pukekohe,NZ-AUK,UNLOCODE:2022-1
DE HKG,city,Brunow,DE-BB,UNLOCODE:2022-1
CR PCL,city,Playa Conchal,CR-G,UNLOCODE:2022-1
US RZQ,city,Carson,US-WA,UNLOCODE:2022-1
DE VPP,city,Vipperow,DE-MV,UNLOCODE:2022-1
US C28,city,Cove City,US-NC,UNLOCODE:2022-1
NO LAV,city,Lavangen,NO,UNLOCODE:2022-1
FR GGN,city,Gignac,FR,UNLOCODE:2022-1
PL GNK,city,Glinianka,PL-14,UNLOCODE:2022-1
FR PCX,city,Le Pont-de-Claix,FR-38,UNLOCODE:2022-1
US LEE,city,Leesburg,US-FL,UNLOCODE:2022-1
US AH9,city,Armagh,US-PA,UNLOCODE:2022-1
ES HVC,city,Sanxenxo,ES-PO,UNLOCODE:2022-1
JP OOW,city,"Okawa, Nagasaki",JP-42,UNLOCODE:2022-1
FR MDD,city,Montdidier,FR-80,UNLOCODE:2022-1
IT FTV,city,Fontaniva,IT-PD,UNLOCODE:2022-1
US OXD,city,Oxford,US-OH,UNLOCODE:2022-1
CZ VRY,city,Volary,CZ,UNLOCODE:2022-1
BE TTT,city,Testelt,BE-VBR,UNLOCODE:2022-1
AU TBY,city,Thornbury,AU-VIC,UNLOCODE:2022-1
FR PST,city,Pont-Saint-Vincent,FR-54,UNLOCODE:2022-1
IT GLI,city,Galtelli,IT-NU,UNLOCODE:2022-1
HR GBJ,city,Grubisno Polje,HR-07,UNLOCODE:2022-1
TD MOU,city,Moussoro,TD-KA,UNLOCODE:2022-1
BE BWS,city,Beveren-Waas,BE-VOV,UNLOCODE:2022-1
IT AOE,city,Agognate,IT-NO,UNLOCODE:2022-1
BY KII,city,Krivichi,BY-MI,UNLOCODE:2022-1
IT ZUL,city,Sorbara,IT-MO,UNLOCODE:2022-1
DK BLL,city,Billund,DK,UNLOCODE:2022-1
GB ZBU,city,Leadenham,GB-LIN,UNLOCODE:2022-1
US RRM,city,Richland,US-MO,UNLOCODE:2022-1
DE WPG,city,Wippingen,DE-NI,UNLOCODE:2022-1
US MHW,city,Mahwah,US-NJ,UNLOCODE:2022-1
MU PMR,city,Palmar,MU-FL,UNLOCODE:2022-1
UA KRT,city,Korosten',UA-18,UNLOCODE:2022-1
DK MLL,city,Millinge,DK,UNLOCODE:2022-1
GY ROS,city,Rosignol,GY-MA,UNLOCODE:2022-1
SE GLS,city,Gällstad,SE-O,UNLOCODE:2022-1
DE BYU,city,Bayreuth,DE-BY,UNLOCODE:2022-1
DE 68K,city,Pahlen,DE-SH,UNLOCODE:2022-1
PH MAN,city,"Mandaue, Cebu",PH-CEB,UNLOCODE:2022-1
CA LRN,city,Saint-Laurent,CA-MB,UNLOCODE:2022-1
ID OLO,city,Olee Lheue,ID,UNLOCODE:2022-1
IE BLG,city,Ballygar,IE,UNLOCODE:2022-1
DE BLS,city,Blaustein,DE-BW,UNLOCODE:2022-1
FR GWU,city,Grosrouvres,FR-54,UNLOCODE:2022-1
US OWS,city,Jacobstown,US-NJ,UNLOCODE:2022-1
FR LEF,city,Le Fayet,FR-74,UNLOCODE:2022-1
FR 9SS,city,Ressons-le-Long,FR-02,UNLOCODE:2022-1
DE OFR,city,Offenberg,DE-BY,UNLOCODE:2022-1
US BKK,city,Berkeley,US-IL,UNLOCODE:2022-1
US MEH,city,Mehoopany,US-PA,UNLOCODE:2022-1
BR JGI,city,Jaguari,BR-RS,UNLOCODE:2022-1
CN CHQ,city,Chongqing Pt,CN-CQ,UNLOCODE:2022-1
IN JSJ,city,Sambalpur,IN-OR,UNLOCODE:2022-1
TH WPJ,city,Wang Prachan Customs House,TH-91,UNLOCODE:2022-1
BR YTS,city,Itapiratins,BR-TO,UNLOCODE:2022-1
CA DUV,city,Dunnville,CA-ON,UNLOCODE:2022-1
MG MXM,city,Morombe,MG,UNLOCODE:2022-1
DE KUK,city,Kümmersbruck,DE-BY,UNLOCODE:2022-1
PL OLA,city,Olawa,PL-02,UNLOCODE:2022-1
