actor_id,type,name,is_part_of,datasource_id
NZ BKB,city,Bannockburn,NZ-OTA,UNLOCODE:2022-1
BR SEN,city,Sengés,BR-PR,UNLOCODE:2022-1
BY GME,city,Gomel,BY,UNLOCODE:2022-1
DE UN7,city,Unterturkheim,DE-BW,UNLOCODE:2022-1
IT GVV,city,Grottolella,IT-AV,UNLOCODE:2022-1
MX MPP,city,Mapastepec,MX-CHP,UNLOCODE:2022-1
SE DNG,city,Dingle,SE-O,UNLOCODE:2022-1
BR PTY,city,Potiraguá,BR-BA,UNLOCODE:2022-1
CZ OYE,city,Vysovice,CZ,UNLOCODE:2022-1
IN UKL,city,Etlisl-SEZ/Erode,IN-TN,UNLOCODE:2022-1
US 9WS,city,Warm Springs,US-VA,UNLOCODE:2022-1
CA SAJ,city,Saint-Jean-Baptiste,CA-MB,UNLOCODE:2022-1
GB TWM,city,Thornwood Common,GB-HRT,UNLOCODE:2022-1
US VBN,city,Van Buren,US-ME,UNLOCODE:2022-1
NP BJU,city,Bajura,NP,UNLOCODE:2022-1
BR FAR,city,Francisco Ayres,BR-PI,UNLOCODE:2022-1
GB WSF,city,West Stafford,GB-DOR,UNLOCODE:2022-1
CA 7TK,city,Stoke,CA-QC,UNLOCODE:2022-1
DE DHM,city,Diersheim,DE-BW,UNLOCODE:2022-1
GB CPU,city,Capenhurst,GB-CHW,UNLOCODE:2022-1
AU BOO,city,Booby Island,AU-QLD,UNLOCODE:2022-1
GB FLH,city,Flotta,GB-ORK,UNLOCODE:2022-1
ES ACO,city,Agoncillo,ES,UNLOCODE:2022-1
IT MOE,city,Monselice,IT,UNLOCODE:2022-1
US XVS,city,Stonewood,US-WV,UNLOCODE:2022-1
SI RAC,city,Race,SI-098,UNLOCODE:2022-1
FR FON,city,Fontaine-lès-Luxeuil,FR-70,UNLOCODE:2022-1
US 5FT,city,Franktown,US-CO,UNLOCODE:2022-1
US KIH,city,Kihei,US-HI,UNLOCODE:2022-1
ES CRT,city,Carlet,ES,UNLOCODE:2022-1
AU GGQ,city,Jerrys Plains,AU-NSW,UNLOCODE:2022-1
JP IKJ,city,Isshiki,JP-23,UNLOCODE:2022-1
FR LG5,city,Les Landes-Genusson,FR-85,UNLOCODE:2022-1
AT GFS,city,Greifenstein,AT-3,UNLOCODE:2022-1
BR NGA,city,Nova Granada,BR-SP,UNLOCODE:2022-1
BR AGS,city,Alagoinhas,BR-BA,UNLOCODE:2022-1
ES VLI,city,Villanueva de los Infantes,ES,UNLOCODE:2022-1
ZA KDB,city,Kidd's Beach,ZA,UNLOCODE:2022-1
BR PQU,city,Paquetá,BR-PI,UNLOCODE:2022-1
ES TA2,city,Benisanet,ES-T,UNLOCODE:2022-1
FI PET,city,Petolahti,FI-19,UNLOCODE:2022-1
AU BGO,city,Booragoon,AU-WA,UNLOCODE:2022-1
FR ERJ,city,Mombrier,FR-33,UNLOCODE:2022-1
EC LUN,city,La Unión,EC-R,UNLOCODE:2022-1
US NBJ,city,New Brunswick,US-NJ,UNLOCODE:2022-1
