actor_id,type,name,is_part_of,datasource_id
FR SEX,city,Semur-en-Auxois,FR-21,UNLOCODE:2022-1
ES GD7,city,Granja de Rocamora,ES-A,UNLOCODE:2022-1
BR AMM,city,Almeirim,BR-PA,UNLOCODE:2022-1
US WPM,city,West Point,US-MS,UNLOCODE:2022-1
US M3O,city,Mooresville,US-TN,UNLOCODE:2022-1
RU OBY,city,Oktiabr'skiy,RU-MOS,UNLOCODE:2022-1
PL POT,city,Potworów,PL-30,UNLOCODE:2022-1
SA MED,city,Madinah,SA,UNLOCODE:2022-1
BR OIP,city,Moiporá,BR-GO,UNLOCODE:2022-1
LV MRX,city,Mersrags,LV,UNLOCODE:2022-1
CL DDA,city,Diego de Almagro,CL-AT,UNLOCODE:2022-1
NO HLE,city,Helle - Forsand,NO-11,UNLOCODE:2022-1
US VLO,city,Vallejo,US-CA,UNLOCODE:2022-1
US BO6,city,Bennet,US-NE,UNLOCODE:2022-1
US YGW,city,Youngwood,US-PA,UNLOCODE:2022-1
IT CFF,city,Malfa,IT-ME,UNLOCODE:2022-1
IT ZLG,city,Pasian di Prato,IT-UD,UNLOCODE:2022-1
BR SSI,city,São Simão,BR-GO,UNLOCODE:2022-1
JP TYW,city,Toyokawa,JP-23,UNLOCODE:2022-1
FR DMD,city,Notre-Dame-de-l'Isle,FR-27,UNLOCODE:2022-1
BR NSB,city,Nova Santa Bárbara,BR-PR,UNLOCODE:2022-1
NL ILO,city,Illikhoven,NL-LI,UNLOCODE:2022-1
US RAO,city,Granton,US-WI,UNLOCODE:2022-1
IT CL9,city,Casarola,IT-PR,UNLOCODE:2022-1
SK LAD,city,Lada,SK-PV,UNLOCODE:2022-1
GR RZM,city,Rízoma,GR-E,UNLOCODE:2022-1
CN SHM,city,Mafang,CN-GD,UNLOCODE:2022-1
FR VV6,city,Valroufié,FR-46,UNLOCODE:2022-1
FR NV9,city,Nanteuil-en-Vallée,FR-16,UNLOCODE:2022-1
AT GKN,city,Gratkorn,AT,UNLOCODE:2022-1
DE PAU,city,Parsau,DE-NI,UNLOCODE:2022-1
PT BRE,city,Beire,PT-13,UNLOCODE:2022-1
GB MWA,city,Millwall,GB,UNLOCODE:2022-1
US NIG,city,Pennington,US-AL,UNLOCODE:2022-1
CH LVR,city,Les Verrières,CH-NE,UNLOCODE:2022-1
MY SGK,city,Sungkai,MY-08,UNLOCODE:2022-1
DE 5LU,city,Luebesse,DE-MV,UNLOCODE:2022-1
GB AUS,city,Austrey,GB-WAR,UNLOCODE:2022-1
IT CDU,city,Candelù,IT-TV,UNLOCODE:2022-1
US EKJ,city,Elkhart,US-IL,UNLOCODE:2022-1
BR CJL,city,Campos de Júlio,BR-MT,UNLOCODE:2022-1
ES CRS,city,Carboneras,ES-AL,UNLOCODE:2022-1
KG FRU,city,Bishkek (ex Frunze),KG-GB,UNLOCODE:2022-1
DE AGX,city,Aglasterhausen,DE-BW,UNLOCODE:2022-1
DE 54X,city,Pogeez,DE-SH,UNLOCODE:2022-1
GB KBK,city,Burstwick,GB-ERY,UNLOCODE:2022-1
ES BEV,city,Benavente,ES-ZA,UNLOCODE:2022-1
CA GOH,city,Goderich,CA-ON,UNLOCODE:2022-1
BR MTT,city,Monte Alto,BR-SP,UNLOCODE:2022-1
DE 64T,city,Schürsdorf,DE-SH,UNLOCODE:2022-1
US QLC,city,Carlisle,US-SC,UNLOCODE:2022-1
CA SIT,city,Saint-Thomas,CA-QC,UNLOCODE:2022-1
RS BVC,city,Boljevac,RS-15,UNLOCODE:2022-1
GT MMA,city,Magdalena Milpas Altas,GT-03,UNLOCODE:2022-1
JP TAA,city,Takamijima,JP-37,UNLOCODE:2022-1
US C8L,city,Crane Lake,US-MN,UNLOCODE:2022-1
FR YR2,city,Saint-Jean-du-Bruel,FR-12,UNLOCODE:2022-1
US OMW,city,Castile,US-NY,UNLOCODE:2022-1
US AVO,city,Avon Park,US-FL,UNLOCODE:2022-1
GB SHI,city,Shipley,GB-BRD,UNLOCODE:2022-1
US W32,city,Walnut Hill,US-FL,UNLOCODE:2022-1
FR NYV,city,Norroy-le-Veneur,FR-57,UNLOCODE:2022-1
GB WDF,city,Widford,GB-ESS,UNLOCODE:2022-1
GB ZTO,city,Brandesburton,GB-ERY,UNLOCODE:2022-1
IT AL3,city,Altomonte,IT-CS,UNLOCODE:2022-1
US TSB,city,Petersburg,US-NY,UNLOCODE:2022-1
HR CLE,city,Cavle,HR-19,UNLOCODE:2022-1
RS CAC,city,Cacak,RS,UNLOCODE:2022-1
DE EGR,city,Esgrus,DE-SH,UNLOCODE:2022-1
FR IEC,city,Riec-sur-Bélon,FR-29,UNLOCODE:2022-1
TN U3T,city,Utique,TN-23,UNLOCODE:2022-1
BE KRA,city,Kraainem,BE-VBR,UNLOCODE:2022-1
DE HRZ,city,Hattorf am Harz,DE-NI,UNLOCODE:2022-1
IT NDS,city,Auna di Sotto,IT-BZ,UNLOCODE:2022-1
CA MCC,city,Macamic,CA-QC,UNLOCODE:2022-1
US RYQ,city,Reynolds,US-IN,UNLOCODE:2022-1
US 8DC,city,Woodacre,US-CA,UNLOCODE:2022-1
MG AMP,city,Ampanihy,MG,UNLOCODE:2022-1
BR BGA,city,Biritinga,BR-BA,UNLOCODE:2022-1
US LBF,city,North Platte,US-NE,UNLOCODE:2022-1
DE MAT,city,Marktschorgast,DE-BY,UNLOCODE:2022-1
IT TOD,city,Montodine,IT-CR,UNLOCODE:2022-1
CA VIK,city,Viking,CA-AB,UNLOCODE:2022-1
US HKV,city,Hindsville,US-AR,UNLOCODE:2022-1
IT MS5,city,Muscoline,IT-BS,UNLOCODE:2022-1
JM PEV,city,Port Esquivel,JM,UNLOCODE:2022-1
