actor_id,type,name,is_part_of,datasource_id
GB CME,city,Cheam,GB-SRY,UNLOCODE:2022-1
US PRA,city,Prairieville,US-LA,UNLOCODE:2022-1
TR EYU,city,Eyüp,TR-34,UNLOCODE:2022-1
HR OPT,city,Opatovac,HR,UNLOCODE:2022-1
HU ZHK,city,Kiskunlacháza,HU-PE,UNLOCODE:2022-1
US SZT,city,Stanleytown,US-VA,UNLOCODE:2022-1
GB BKI,city,Blackhall Colliery,GB-DUR,UNLOCODE:2022-1
US YNT,city,Bryant,US-AR,UNLOCODE:2022-1
IN RXL,city,Raxaul,IN-BR,UNLOCODE:2022-1
AR MOC,city,Mocoretá,AR-W,UNLOCODE:2022-1
NO REK,city,Rekefjord,NO-11,UNLOCODE:2022-1
US YWF,city,Warfordsburg,US-PA,UNLOCODE:2022-1
IT UBD,city,Uboldo,IT-VA,UNLOCODE:2022-1
BR AIW,city,Alcantil,BR-PB,UNLOCODE:2022-1
US RL5,city,Starlight,US-IN,UNLOCODE:2022-1
CN CTN,city,Cuntan,CN-CQ,UNLOCODE:2022-1
NL BRN,city,Brunssum,NL,UNLOCODE:2022-1
PA CML,city,Chumical,PA-6,UNLOCODE:2022-1
BR JAI,city,Japeri,BR-RJ,UNLOCODE:2022-1
BR RFI,city,Rifaina,BR-SP,UNLOCODE:2022-1
GB WAS,city,White Ladies Aston,GB-WOR,UNLOCODE:2022-1
ZA ALR,city,Alrode,ZA,UNLOCODE:2022-1
HU KIT,city,Kistarcsa,HU-KE,UNLOCODE:2022-1
IT LNN,city,Lunano,IT-PU,UNLOCODE:2022-1
IT SB2,city,San Bellino,IT-VR,UNLOCODE:2022-1
TN ARB,city,Zriba,TN,UNLOCODE:2022-1
GB DRF,city,Driffield,GB-ERY,UNLOCODE:2022-1
US OEJ,city,Olustee,US-FL,UNLOCODE:2022-1
DK DLB,city,Dalby,DK,UNLOCODE:2022-1
IT TDV,city,Tombelle,IT,UNLOCODE:2022-1
SI MIN,city,Podbrdo,SI-128,UNLOCODE:2022-1
BR AFZ,city,Alto Feliz,BR-RS,UNLOCODE:2022-1
