actor_id,type,name,is_part_of,datasource_id
PG TIG,city,Tingwon,PG,UNLOCODE:2022-1
FR HGH,city,Hurtigheim,FR-67,UNLOCODE:2022-1
US XJB,city,Mars,US-PA,UNLOCODE:2022-1
FR NRD,city,Bonnard,FR-89,UNLOCODE:2022-1
BE ZWL,city,Zwijndrecht,BE-VAN,UNLOCODE:2022-1
SI MZA,city,Mezica,SI,UNLOCODE:2022-1
BR CFL,city,Cafelândia,BR-SP,UNLOCODE:2022-1
CH TGC,city,Tägerschen,CH-TG,UNLOCODE:2022-1
DE ALH,city,Alsbach,DE-RP,UNLOCODE:2022-1
US TVM,city,Thomasville,US-AL,UNLOCODE:2022-1
FR PGD,city,Plélan-le-Grand,FR-35,UNLOCODE:2022-1
CU PAL,city,Palo Alto,CU,UNLOCODE:2022-1
GB SYW,city,Sywell,GB-NTH,UNLOCODE:2022-1
US MUK,city,Mountain View,US-GA,UNLOCODE:2022-1
CA BNT,city,Benito,CA-MB,UNLOCODE:2022-1
US LNE,city,Los Nietos,US-CA,UNLOCODE:2022-1
ES ALR,city,Alboraya,ES,UNLOCODE:2022-1
DE RKH,city,Rückholz,DE-BY,UNLOCODE:2022-1
BR OCA,city,Otacílio Costa,BR-SC,UNLOCODE:2022-1
HK KTZ,city,Kwun Tong,HK,UNLOCODE:2022-1
FR R4V,city,Rovon,FR-38,UNLOCODE:2022-1
FR 6SP,city,Saint-Pierre-lès-Bitry,FR-60,UNLOCODE:2022-1
JP SEG,city,Seigaura,JP-46,UNLOCODE:2022-1
ES PNO,city,Pino,ES,UNLOCODE:2022-1
US GRB,city,Green Bay,US-WI,UNLOCODE:2022-1
SI VLL,city,Velike Lasce,SI-134,UNLOCODE:2022-1
JP IER,city,Ieura,JP-37,UNLOCODE:2022-1
CV PAL,city,Palmeira,CV,UNLOCODE:2022-1
BY KRA,city,Krasnosel'skiy,BY-HM,UNLOCODE:2022-1
PH LIC,city,Legaspi,PH-ALB,UNLOCODE:2022-1
FR AAB,city,Allègre,FR-43,UNLOCODE:2022-1
BR NVG,city,Nicolau Vergueiro,BR-RS,UNLOCODE:2022-1
BE BSA,city,Sint-Agatha-Berchem (Berchem-Sainte-Agathe),BE-BRU,UNLOCODE:2022-1
FR DAB,city,Drambon,FR-21,UNLOCODE:2022-1
ES LXO,city,La Llosa,ES,UNLOCODE:2022-1
JP AIN,city,Ainoura/Sasebo,JP-42,UNLOCODE:2022-1
MY ZCA,city,Cyberjaya,MY-10,UNLOCODE:2022-1
EG QUB,city,Qalyub,EG-KB,UNLOCODE:2022-1
PG FNE,city,Fane,PG,UNLOCODE:2022-1
NI ZEO,city,El Viejo,NI-CI,UNLOCODE:2022-1
BE BLZ,city,Bilzen,BE-VLI,UNLOCODE:2022-1
PL ZIC,city,Dziecmierowo,PL-30,UNLOCODE:2022-1
GR PSC,city,Psachna,GR,UNLOCODE:2022-1
PH BLP,city,Bolos Point/Aparri,PH,UNLOCODE:2022-1
FR APY,city,Appilly,FR-60,UNLOCODE:2022-1
IN KJR,city,Bbrel Sez/Kundalahalli,IN-KA,UNLOCODE:2022-1
ES ZMF,city,Sauzal,ES-TF,UNLOCODE:2022-1
US SD8,city,Splendora,US-TX,UNLOCODE:2022-1
PG KDE,city,Koroba,PG,UNLOCODE:2022-1
ES MTV,city,Montaverner,ES,UNLOCODE:2022-1
DE DKT,city,Drackenstein,DE-BW,UNLOCODE:2022-1
RS KUC,city,Kucevo,RS-11,UNLOCODE:2022-1
NO GLP,city,Gloppen,NO,UNLOCODE:2022-1
BG BUZ,city,Buzovgrad,BG-24,UNLOCODE:2022-1
CH LDB,city,Les Diablerets,CH-VD,UNLOCODE:2022-1
PL POK,city,Polska Cerekiew,PL-16,UNLOCODE:2022-1
BR NMU,city,Nova Mutum,BR-MT,UNLOCODE:2022-1
GB REE,city,Kings Bromley,GB-STS,UNLOCODE:2022-1
ES MRN,city,Maracena,ES,UNLOCODE:2022-1
US STM,city,Stamps,US-AR,UNLOCODE:2022-1
BE KOO,city,Koolskamp,BE-VWV,UNLOCODE:2022-1
BR CYO,city,Ciríaco,BR-RS,UNLOCODE:2022-1
ES SNS,city,Santa Susana,ES-B,UNLOCODE:2022-1
FR ULZ,city,Oulins,FR-28,UNLOCODE:2022-1
FR CCQ,city,Château-Chalon,FR-39,UNLOCODE:2022-1
RO BRC,city,Berca,RO-BZ,UNLOCODE:2022-1
GB GSD,city,Grange-over-Sands,GB-CMA,UNLOCODE:2022-1
JP TGI,city,"Tochigi, Tochigi",JP-09,UNLOCODE:2022-1
MD LEU,city,Leusheny,MD,UNLOCODE:2022-1
IT V2E,city,Veveri,IT-NO,UNLOCODE:2022-1
BR RLR,city,Rosário da Limeira,BR-MG,UNLOCODE:2022-1
US EDU,city,East Dublin,US-GA,UNLOCODE:2022-1
AU IUH,city,Bellevue Hill,AU-NSW,UNLOCODE:2022-1
CZ KCC,city,Klásterec nad Orlicí,CZ,UNLOCODE:2022-1
FR 3LR,city,La Romagne,FR-49,UNLOCODE:2022-1
BR SDE,city,Schroeder,BR-SC,UNLOCODE:2022-1
US QWB,city,New Albany,US-OH,UNLOCODE:2022-1
US HS4,city,Heaters,US-WV,UNLOCODE:2022-1
DE HLB,city,Hilburghausen,DE-TH,UNLOCODE:2022-1
BR P3O,city,Petrobrás 31 FPSO,BR-RJ,UNLOCODE:2022-1
BR ULI,city,Populina,BR-SP,UNLOCODE:2022-1
NL WPP,city,Wesepe,NL,UNLOCODE:2022-1
DE KOX,city,Korb,DE-BW,UNLOCODE:2022-1
DE ZJS,city,Salzweg,DE-BY,UNLOCODE:2022-1
DE 69Z,city,Schwabstedt,DE-SH,UNLOCODE:2022-1
IE ROS,city,Rosslare Harbour,IE,UNLOCODE:2022-1
FR CLO,city,Clisson,FR-44,UNLOCODE:2022-1
JP YBC,city,Yabuki-Machi,JP,UNLOCODE:2022-1
EG PSW,city,Port Said West,EG-SUZ,UNLOCODE:2022-1
BR TSE,city,Tangará da Serra,BR-MT,UNLOCODE:2022-1
GB BTU,city,Bontddu,GB-GWN,UNLOCODE:2022-1
ES WQZ,city,Ventosa,ES-LO,UNLOCODE:2022-1
AU KTN,city,Kitan FPSO,AU,UNLOCODE:2022-1
US KFD,city,Kingsford,US-MI,UNLOCODE:2022-1
DE SDX,city,Steindorf,DE-BY,UNLOCODE:2022-1
FR ZZN,city,Puygouzon,FR-81,UNLOCODE:2022-1
US DZA,city,Duvall,US-WA,UNLOCODE:2022-1
DE HRN,city,Haren/Ems,DE-NI,UNLOCODE:2022-1
DE 69N,city,Kosel,DE-SH,UNLOCODE:2022-1
CL CCP,city,Concepción,CL-BI,UNLOCODE:2022-1
IS FEY,city,Flatey,IS-3,UNLOCODE:2022-1
FR IME,city,Ivry-en-Montagne,FR-21,UNLOCODE:2022-1
US UPX,city,Point Lookout,US-PA,UNLOCODE:2022-1
JP ITU,city,"Itoh, Shimane",JP-32,UNLOCODE:2022-1
IT MPP,city,Mappano,IT,UNLOCODE:2022-1
BR NEW,city,Presidente Nereu,BR-SC,UNLOCODE:2022-1
SG TPG,city,Tanjong Pagar,SG,UNLOCODE:2022-1
US SRA,city,Sauk Rapids,US-MN,UNLOCODE:2022-1
GB FBU,city,Fishbourne,GB-IOW,UNLOCODE:2022-1
IN GAH,city,Godhra,IN-GJ,UNLOCODE:2022-1
US AJU,city,Asbury,US-NJ,UNLOCODE:2022-1
FR CU8,city,Cunac,FR-81,UNLOCODE:2022-1
FR ICH,city,Chiché,FR-79,UNLOCODE:2022-1
US NEK,city,Newark,US-OH,UNLOCODE:2022-1
EC RBA,city,Riobamba,EC,UNLOCODE:2022-1
US RFD,city,Rockford,US-IL,UNLOCODE:2022-1
US 2SV,city,Sciotoville,US-OH,UNLOCODE:2022-1
KI NIK,city,Nikumaroro,KI-P,UNLOCODE:2022-1
DE BTH,city,Bammental,DE-BW,UNLOCODE:2022-1
CZ VBO,city,Velké Bílovice,CZ,UNLOCODE:2022-1
IT PM4,city,Pomaro Monferrato,IT-AL,UNLOCODE:2022-1
ZA LWD,city,Newlands,ZA-WC,UNLOCODE:2022-1
NL RZG,city,Rozenburg,NL-NH,UNLOCODE:2022-1
US HWD,city,Hayward,US-CA,UNLOCODE:2022-1
US KKH,city,Kongiganak,US-AK,UNLOCODE:2022-1
FR RAY,city,Tinchebray,FR-61,UNLOCODE:2022-1
US RIT,city,Ridgeway,US-WI,UNLOCODE:2022-1
IS GJR,city,Gjogur,IS,UNLOCODE:2022-1
