actor_id,type,name,is_part_of,datasource_id
CA KWL,city,Kelowna,CA-BC,UNLOCODE:2022-1
CA YVT,city,Buffalo Narrows,CA-SK,UNLOCODE:2022-1
GB WHS,city,Walthamstow,GB-WFT,UNLOCODE:2022-1
CN IUA,city,Liuan,CN,UNLOCODE:2022-1
CA SKK,city,Skiff Lake,CA-NB,UNLOCODE:2022-1
US WDB,city,Deep Bay,US-AK,UNLOCODE:2022-1
EG AMA,city,Al Monofiya,EG,UNLOCODE:2022-1
US ZG5,city,Lowmoor,US-VA,UNLOCODE:2022-1
PL GLK,city,Golków,PL,UNLOCODE:2022-1
SE OVN,city,Oviken,SE-Z,UNLOCODE:2022-1
US ZF8,city,Louisville,US-IL,UNLOCODE:2022-1
IT VNR,city,Castelvenere,IT-BN,UNLOCODE:2022-1
FR WOB,city,Osenbach,FR-68,UNLOCODE:2022-1
US BGE,city,Bainbridge,US-GA,UNLOCODE:2022-1
IT VPD,city,Vaprio d'Adda,IT,UNLOCODE:2022-1
JP NGM,city,Nagimi,JP-38,UNLOCODE:2022-1
NP XMG,city,Mahendranagar,NP,UNLOCODE:2022-1
BE EGM,city,Edegem,BE-VAN,UNLOCODE:2022-1
EE OTP,city,Otepää,EE-81,UNLOCODE:2022-1
US ZQN,city,Emerson,US-GA,UNLOCODE:2022-1
GB NBS,city,Newton by the Sea,GB-NBL,UNLOCODE:2022-1
DE B9F,city,Behnsdorf,DE-ST,UNLOCODE:2022-1
US QPG,city,Paragon,US-IN,UNLOCODE:2022-1
ZA SHR,city,Shaka's Rock,ZA-KZN,UNLOCODE:2022-1
SE ALS,city,Älvsjö/Stockholm,SE-AB,UNLOCODE:2022-1
FR A2N,city,Sainte-Croix,FR-01,UNLOCODE:2022-1
ZA MTZ,city,Mtunzini,ZA-KZN,UNLOCODE:2022-1
HK TKT,city,Tai Kok Tsui,HK,UNLOCODE:2022-1
DE BAY,city,Bayerbach,DE-BY,UNLOCODE:2022-1
BO PUC,city,Pucarani,BO-L,UNLOCODE:2022-1
US EDA,city,Edna Bay,US-AK,UNLOCODE:2022-1
PL AND,city,Andrespol,PL-10,UNLOCODE:2022-1
DK KBK,city,Karrebæksminde,DK-85,UNLOCODE:2022-1
FR QFF,city,Saint-Martin-du-Bois,FR-33,UNLOCODE:2022-1
PL SWZ,city,Stawiszyn,PL,UNLOCODE:2022-1
RO FRT,city,Floresti,RO,UNLOCODE:2022-1
AU UPH,city,Upton Hill,AU-VIC,UNLOCODE:2022-1
CN XEN,city,Xingcheng,CN-LN,UNLOCODE:2022-1
CZ KNS,city,Kout na Sumave,CZ,UNLOCODE:2022-1
US PQH,city,Peachtree City,US-GA,UNLOCODE:2022-1
TR CZE,city,Cizre,TR-73,UNLOCODE:2022-1
TW SMT,city,Sun Moon Lake,TW,UNLOCODE:2022-1
IT TRF,city,Treiso,IT,UNLOCODE:2022-1
EE HLD,city,Haldi,EE-39,UNLOCODE:2022-1
ES CAF,city,Calaf,ES,UNLOCODE:2022-1
AR PUR,city,Puerto Rico,AR-N,UNLOCODE:2022-1
GB TBN,city,Toberonochy,GB-AGB,UNLOCODE:2022-1
DE ZAN,city,Heeslingen,DE-NI,UNLOCODE:2022-1
NL LCH,city,Lochem,NL,UNLOCODE:2022-1
DE F5R,city,Glebitzsch,DE-ST,UNLOCODE:2022-1
LK GAL,city,Galle,LK,UNLOCODE:2022-1
NO JOS,city,Jøssingfjord,NO-11,UNLOCODE:2022-1
JP QIK,city,"Kamiita, Tokushima",JP-36,UNLOCODE:2022-1
FR BJX,city,Bagard,FR-30,UNLOCODE:2022-1
RU BBR,city,Buturlinovka,RU-VOR,UNLOCODE:2022-1
HU DRE,city,Dunaremete,HU-GS,UNLOCODE:2022-1
US KEY,city,Keyport,US-NJ,UNLOCODE:2022-1
MX SMQ,city,Santa María Tequepexpan,MX-JAL,UNLOCODE:2022-1
CZ KVS,city,Kvasiny,CZ,UNLOCODE:2022-1
