actor_id,type,name,is_part_of,datasource_id
DK LMM,city,Lemming,DK,UNLOCODE:2022-1
ES LGZ,city,Logrezana,ES-O,UNLOCODE:2022-1
DE WSY,city,Wiesloch,DE-BW,UNLOCODE:2022-1
US 4UR,city,Aurora,US-WV,UNLOCODE:2022-1
BR FST,city,Felício dos Santos,BR-MG,UNLOCODE:2022-1
DE NOW,city,Neu Kosenow,DE-MV,UNLOCODE:2022-1
DK BMG,city,Bramming,DK,UNLOCODE:2022-1
DE ELB,city,Ellerbek,DE-SH,UNLOCODE:2022-1
US FNL,city,Fort Collins,US-CO,UNLOCODE:2022-1
PL KCI,city,Kunice,PL-08,UNLOCODE:2022-1
AR MED,city,Medanitos,AR-K,UNLOCODE:2022-1
SK LMS,city,Lysa pod Makytou-Strelna,SK-TC,UNLOCODE:2022-1
CA PIN,city,Pintendre,CA-QC,UNLOCODE:2022-1
US G9V,city,Golden Valley,US-AZ,UNLOCODE:2022-1
CA LPT,city,La Patrie,CA-QC,UNLOCODE:2022-1
ES UDS,city,Urdiáin,ES-NA,UNLOCODE:2022-1
ES AW4,city,El Far d'Emporda,ES-GI,UNLOCODE:2022-1
ES KPT,city,Can Picafort,ES-PM,UNLOCODE:2022-1
AR PDM,city,Pozo del Molle,AR-X,UNLOCODE:2022-1
FR ZBB,city,Moineville,FR-54,UNLOCODE:2022-1
MX TLN,city,Tultitlán,MX-MEX,UNLOCODE:2022-1
ES BDV,city,Barbera del Valles,ES,UNLOCODE:2022-1
US PHK,city,Pahokee,US-FL,UNLOCODE:2022-1
US QAD,city,Redan,US-GA,UNLOCODE:2022-1
GA LCN,city,Leconi,GA,UNLOCODE:2022-1
US H88,city,Harpster,US-OH,UNLOCODE:2022-1
SI LZM,city,Poljcane,SI-113,UNLOCODE:2022-1
FR MT7,city,Monteton,FR-47,UNLOCODE:2022-1
KW ALR,city,Ra's al Ard,KW,UNLOCODE:2022-1
BR BLU,city,Belém do Piauí,BR-PI,UNLOCODE:2022-1
ES FDD,city,Villafranca de Duero,ES-VA,UNLOCODE:2022-1
AU ASF,city,Ashfield,AU-WA,UNLOCODE:2022-1
SE HRN,city,Horndal,SE-W,UNLOCODE:2022-1
RU SHV,city,Serpukhov,RU-MOS,UNLOCODE:2022-1
DE HXT,city,Horst,DE-SH,UNLOCODE:2022-1
GR NPE,city,Nea Peramos,GR,UNLOCODE:2022-1
IR GHA,city,Ghazvin (Qazwin),IR,UNLOCODE:2022-1
PG GUV,city,Mougulu,PG,UNLOCODE:2022-1
ZA AS3,city,Mdantsane,ZA-EC,UNLOCODE:2022-1
MX ZAC,city,Zacatlan,MX-PUE,UNLOCODE:2022-1
AT VOT,city,Völkermarkt,AT-2,UNLOCODE:2022-1
PL KEK,city,Kedzierzyn-Kozle,PL,UNLOCODE:2022-1
CA NPG,city,Nipigon,CA-ON,UNLOCODE:2022-1
VN HYN,city,Hung Yen,VN-66,UNLOCODE:2022-1
IE GUR,city,Gurteen,IE-LM,UNLOCODE:2022-1
ES YTR,city,Cabuérniga,ES-S,UNLOCODE:2022-1
CA SQT,city,Scott,CA-QC,UNLOCODE:2022-1
JP HOM,city,Hitachiomiya,JP-08,UNLOCODE:2022-1
DE RRE,city,Rerik,DE-MV,UNLOCODE:2022-1
CA DID,city,Didsbury,CA-AB,UNLOCODE:2022-1
US WG7,city,Conewango Valley,US-NY,UNLOCODE:2022-1
US NWK,city,Newark,US-DE,UNLOCODE:2022-1
BR MRV,city,Morada Nova,BR-CE,UNLOCODE:2022-1
US AC8,city,Abercrombie,US-ND,UNLOCODE:2022-1
DE DSN,city,Dornstetten,DE-BW,UNLOCODE:2022-1
US OT2,city,Oakbrook Terrace,US-IL,UNLOCODE:2022-1
FR LP3,city,Loupian,FR-34,UNLOCODE:2022-1
US MYI,city,Mayville,US-WI,UNLOCODE:2022-1
KP RJN,city,Rajin (Najin),KP-13,UNLOCODE:2022-1
CA MGV,city,Meteghan River,CA-NS,UNLOCODE:2022-1
US LRD,city,Laredo,US-TX,UNLOCODE:2022-1
US 8BT,city,Batesville,US-TX,UNLOCODE:2022-1
IT GVP,city,Giffoni Valle Piana,IT-SA,UNLOCODE:2022-1
US BDK,city,Budd Lake,US-NJ,UNLOCODE:2022-1
CH ETO,city,Etoy,CH-VD,UNLOCODE:2022-1
AU CDF,city,Cardiff,AU-NSW,UNLOCODE:2022-1
US KVW,city,"Lake View, Erie",US-NY,UNLOCODE:2022-1
ZA ZAX,city,Claremont,ZA-WC,UNLOCODE:2022-1
RU SKA,city,Slavyanka,RU,UNLOCODE:2022-1
US BBM,city,Bamberg,US-SC,UNLOCODE:2022-1
US SXH,city,Saint Pauls,US-NC,UNLOCODE:2022-1
FR LCS,city,La Chapelle-en-Serval,FR-60,UNLOCODE:2022-1
US HUG,city,Hugo,US-OK,UNLOCODE:2022-1
ES L8S,city,La Alameda de la Sagra,ES-TO,UNLOCODE:2022-1
BR VBO,city,Vargem Bonita,BR-SC,UNLOCODE:2022-1
US QJU,city,Monessen,US-PA,UNLOCODE:2022-1
BY NHK,city,Navahrudak,BY-HR,UNLOCODE:2022-1
NO RAM,city,Ramsund,NO-18,UNLOCODE:2022-1
PL KZB,city,Korzybie,PL,UNLOCODE:2022-1
SK BRP,city,Petrzalka/Bratislava,SK-BL,UNLOCODE:2022-1
NO HOO,city,Horsøy,NO,UNLOCODE:2022-1
FR FNR,city,Flines-lez-Rache,FR-59,UNLOCODE:2022-1
PL CRW,city,Chorzow,PL,UNLOCODE:2022-1
BE KLS,city,Kleine-Spouwen,BE-VLI,UNLOCODE:2022-1
LC GRI,city,Gros Islet,LC-06,UNLOCODE:2022-1
US P7L,city,Pompton Lakes,US-NJ,UNLOCODE:2022-1
FR ATU,city,Aillevillers-et-Lyaumont,FR-70,UNLOCODE:2022-1
IT ACM,city,Campoleone,IT-RM,UNLOCODE:2022-1
AT KRO,city,Krobotek,AT-1,UNLOCODE:2022-1
